ID;CompanySize;SectorBranchesSIC2008;Periods;TurnoverIndices_1;TurnoverYearOnYearChange_2
42;Total 1 or more employed persons;F Construction;2007 July;;
43;Total 1 or more employed persons;F Construction;2007 August;;
44;Total 1 or more employed persons;F Construction;2007 September;;
45;Total 1 or more employed persons;F Construction;2007 3rd quarter;;
46;Total 1 or more employed persons;F Construction;2007 October;;
47;Total 1 or more employed persons;F Construction;2007 November;;
48;Total 1 or more employed persons;F Construction;2007 December;;
49;Total 1 or more employed persons;F Construction;2007 4th quarter;;
50;Total 1 or more employed persons;F Construction;2007;;
51;Total 1 or more employed persons;F Construction;2008 January;;
52;Total 1 or more employed persons;F Construction;2008 February;;
53;Total 1 or more employed persons;F Construction;2008 March;;
54;Total 1 or more employed persons;F Construction;2008 1st quarter;;
55;Total 1 or more employed persons;F Construction;2008 April;;
56;Total 1 or more employed persons;F Construction;2008 May;;
57;Total 1 or more employed persons;F Construction;2008 June;;
58;Total 1 or more employed persons;F Construction;2008 2nd quarter;;
59;Total 1 or more employed persons;F Construction;2008 July;;
60;Total 1 or more employed persons;F Construction;2008 August;;
61;Total 1 or more employed persons;F Construction;2008 September;;
62;Total 1 or more employed persons;F Construction;2008 3rd quarter;;
63;Total 1 or more employed persons;F Construction;2008 October;;
64;Total 1 or more employed persons;F Construction;2008 November;;
65;Total 1 or more employed persons;F Construction;2008 December;;
66;Total 1 or more employed persons;F Construction;2008 4th quarter;;
67;Total 1 or more employed persons;F Construction;2008;;
68;Total 1 or more employed persons;F Construction;2009 January;79.6;
69;Total 1 or more employed persons;F Construction;2009 February;99.8;
70;Total 1 or more employed persons;F Construction;2009 March;123.1;
71;Total 1 or more employed persons;F Construction;2009 1st quarter;100.9;
72;Total 1 or more employed persons;F Construction;2009 April;118.0;
73;Total 1 or more employed persons;F Construction;2009 May;112.0;
74;Total 1 or more employed persons;F Construction;2009 June;124.2;
75;Total 1 or more employed persons;F Construction;2009 2nd quarter;118.1;
76;Total 1 or more employed persons;F Construction;2009 July;114.8;
77;Total 1 or more employed persons;F Construction;2009 August;75.8;
78;Total 1 or more employed persons;F Construction;2009 September;119.6;
79;Total 1 or more employed persons;F Construction;2009 3rd quarter;103.4;
80;Total 1 or more employed persons;F Construction;2009 October;122.5;
81;Total 1 or more employed persons;F Construction;2009 November;117.0;
82;Total 1 or more employed persons;F Construction;2009 December;132.5;
83;Total 1 or more employed persons;F Construction;2009 4th quarter;124.0;
84;Total 1 or more employed persons;F Construction;2009;111.6;
85;Total 1 or more employed persons;F Construction;2010 January;64.8;-18.6
86;Total 1 or more employed persons;F Construction;2010 February;77.3;-22.5
87;Total 1 or more employed persons;F Construction;2010 March;106.1;-13.8
88;Total 1 or more employed persons;F Construction;2010 1st quarter;82.8;-18.0
89;Total 1 or more employed persons;F Construction;2010 April;104.8;-11.2
90;Total 1 or more employed persons;F Construction;2010 May;98.9;-11.7
91;Total 1 or more employed persons;F Construction;2010 June;117.8;-5.1
92;Total 1 or more employed persons;F Construction;2010 2nd quarter;107.2;-9.2
93;Total 1 or more employed persons;F Construction;2010 July;108.1;-5.8
94;Total 1 or more employed persons;F Construction;2010 August;70.0;-7.6
95;Total 1 or more employed persons;F Construction;2010 September;108.6;-9.2
96;Total 1 or more employed persons;F Construction;2010 3rd quarter;95.6;-7.6
97;Total 1 or more employed persons;F Construction;2010 October;113.0;-7.8
98;Total 1 or more employed persons;F Construction;2010 November;117.1;0.1
99;Total 1 or more employed persons;F Construction;2010 December;121.1;-8.6
100;Total 1 or more employed persons;F Construction;2010 4th quarter;117.1;-5.6
101;Total 1 or more employed persons;F Construction;2010;100.6;-9.8
102;Total 1 or more employed persons;F Construction;2011 January;71.4;10.2
103;Total 1 or more employed persons;F Construction;2011 February;90.6;17.2
104;Total 1 or more employed persons;F Construction;2011 March;109.6;3.3
105;Total 1 or more employed persons;F Construction;2011 1st quarter;90.5;9.4
106;Total 1 or more employed persons;F Construction;2011 April;105.9;1.0
107;Total 1 or more employed persons;F Construction;2011 May;114.8;16.0
108;Total 1 or more employed persons;F Construction;2011 June;109.7;-6.9
109;Total 1 or more employed persons;F Construction;2011 2nd quarter;110.1;2.8
110;Total 1 or more employed persons;F Construction;2011 July;103.3;-4.4
111;Total 1 or more employed persons;F Construction;2011 August;73.6;5.1
112;Total 1 or more employed persons;F Construction;2011 September;116.8;7.5
113;Total 1 or more employed persons;F Construction;2011 3rd quarter;97.9;2.4
114;Total 1 or more employed persons;F Construction;2011 October;110.3;-2.4
115;Total 1 or more employed persons;F Construction;2011 November;117.3;0.2
116;Total 1 or more employed persons;F Construction;2011 December;131.7;8.8
117;Total 1 or more employed persons;F Construction;2011 4th quarter;119.8;2.3
118;Total 1 or more employed persons;F Construction;2011;104.6;3.9
119;Total 1 or more employed persons;F Construction;2012 January;67.1;-6.1
120;Total 1 or more employed persons;F Construction;2012 February;79.4;-12.4
121;Total 1 or more employed persons;F Construction;2012 March;100.5;-8.3
122;Total 1 or more employed persons;F Construction;2012 1st quarter;82.3;-9.1
123;Total 1 or more employed persons;F Construction;2012 April;97.6;-7.9
124;Total 1 or more employed persons;F Construction;2012 May;101.1;-11.9
125;Total 1 or more employed persons;F Construction;2012 June;108.8;-0.9
126;Total 1 or more employed persons;F Construction;2012 2nd quarter;102.5;-6.9
127;Total 1 or more employed persons;F Construction;2012 July;95.4;-7.7
128;Total 1 or more employed persons;F Construction;2012 August;73.4;-0.2
129;Total 1 or more employed persons;F Construction;2012 September;112.1;-4.0
130;Total 1 or more employed persons;F Construction;2012 3rd quarter;93.6;-4.3
131;Total 1 or more employed persons;F Construction;2012 October;102.9;-6.7
132;Total 1 or more employed persons;F Construction;2012 November;110.1;-6.2
133;Total 1 or more employed persons;F Construction;2012 December;113.1;-14.1
134;Total 1 or more employed persons;F Construction;2012 4th quarter;108.7;-9.2
135;Total 1 or more employed persons;F Construction;2012;96.8;-7.5
136;Total 1 or more employed persons;F Construction;2013 January;62.0;-7.5
137;Total 1 or more employed persons;F Construction;2013 February;71.8;-9.5
138;Total 1 or more employed persons;F Construction;2013 March;90.0;-10.5
139;Total 1 or more employed persons;F Construction;2013 1st quarter;74.6;-9.3
140;Total 1 or more employed persons;F Construction;2013 April;90.7;-7.0
141;Total 1 or more employed persons;F Construction;2013 May;95.9;-5.2
142;Total 1 or more employed persons;F Construction;2013 June;100.5;-7.6
143;Total 1 or more employed persons;F Construction;2013 2nd quarter;95.7;-6.6
144;Total 1 or more employed persons;F Construction;2013 July;93.1;-2.4
145;Total 1 or more employed persons;F Construction;2013 August;72.1;-1.8
146;Total 1 or more employed persons;F Construction;2013 September;101.1;-9.8
147;Total 1 or more employed persons;F Construction;2013 3rd quarter;88.7;-5.2
148;Total 1 or more employed persons;F Construction;2013 October;107.4;4.4
149;Total 1 or more employed persons;F Construction;2013 November;105.5;-4.2
150;Total 1 or more employed persons;F Construction;2013 December;116.5;3.0
151;Total 1 or more employed persons;F Construction;2013 4th quarter;109.8;1.0
152;Total 1 or more employed persons;F Construction;2013;92.2;-4.7
153;Total 1 or more employed persons;F Construction;2014 January;67.2;8.3
154;Total 1 or more employed persons;F Construction;2014 February;79.2;10.4
155;Total 1 or more employed persons;F Construction;2014 March;88.2;-2.0
156;Total 1 or more employed persons;F Construction;2014 1st quarter;78.2;4.8
157;Total 1 or more employed persons;F Construction;2014 April;93.8;3.3
158;Total 1 or more employed persons;F Construction;2014 May;92.9;-3.1
159;Total 1 or more employed persons;F Construction;2014 June;96.6;-4.0
160;Total 1 or more employed persons;F Construction;2014 2nd quarter;94.4;-1.4
161;Total 1 or more employed persons;F Construction;2014 July;96.8;4.0
162;Total 1 or more employed persons;F Construction;2014 August;65.0;-9.8
163;Total 1 or more employed persons;F Construction;2014 September;101.1;0.0
164;Total 1 or more employed persons;F Construction;2014 3rd quarter;87.6;-1.3
165;Total 1 or more employed persons;F Construction;2014 October;116.3;8.3
166;Total 1 or more employed persons;F Construction;2014 November;111.4;5.6
167;Total 1 or more employed persons;F Construction;2014 December;126.7;8.7
168;Total 1 or more employed persons;F Construction;2014 4th quarter;118.1;7.6
169;Total 1 or more employed persons;F Construction;2014;94.6;2.6
170;Total 1 or more employed persons;F Construction;2015 January;68.7;2.2
171;Total 1 or more employed persons;F Construction;2015 February;80.1;1.1
172;Total 1 or more employed persons;F Construction;2015 March;99.6;13.0
173;Total 1 or more employed persons;F Construction;2015 1st quarter;82.8;5.9
174;Total 1 or more employed persons;F Construction;2015 April;96.0;2.4
175;Total 1 or more employed persons;F Construction;2015 May;96.3;3.6
176;Total 1 or more employed persons;F Construction;2015 June;119.1;23.3
177;Total 1 or more employed persons;F Construction;2015 2nd quarter;103.8;9.9
178;Total 1 or more employed persons;F Construction;2015 July;103.7;7.2
179;Total 1 or more employed persons;F Construction;2015 August;71.5;10.0
180;Total 1 or more employed persons;F Construction;2015 September;109.6;8.4
181;Total 1 or more employed persons;F Construction;2015 3rd quarter;95.0;8.4
182;Total 1 or more employed persons;F Construction;2015 October;112.8;-3.0
183;Total 1 or more employed persons;F Construction;2015 November;114.9;3.1
184;Total 1 or more employed persons;F Construction;2015 December;127.7;0.8
185;Total 1 or more employed persons;F Construction;2015 4th quarter;118.5;0.3
186;Total 1 or more employed persons;F Construction;2015;100.0;5.7
187;Total 1 or more employed persons;F Construction;2016 January;72.6;5.7
188;Total 1 or more employed persons;F Construction;2016 February;88.7;10.7
189;Total 1 or more employed persons;F Construction;2016 March;103.6;4.0
190;Total 1 or more employed persons;F Construction;2016 1st quarter;88.3;6.6
191;Total 1 or more employed persons;F Construction;2016 April;103.3;7.6
192;Total 1 or more employed persons;F Construction;2016 May;102.2;6.2
193;Total 1 or more employed persons;F Construction;2016 June;118.0;-0.9
194;Total 1 or more employed persons;F Construction;2016 2nd quarter;107.8;3.9
195;Total 1 or more employed persons;F Construction;2016 July;114.3;10.2
196;Total 1 or more employed persons;F Construction;2016 August;76.1;6.4
197;Total 1 or more employed persons;F Construction;2016 September;115.6;5.5
198;Total 1 or more employed persons;F Construction;2016 3rd quarter;102.0;7.4
199;Total 1 or more employed persons;F Construction;2016 October;118.2;4.8
200;Total 1 or more employed persons;F Construction;2016 November;124.5;8.3
201;Total 1 or more employed persons;F Construction;2016 December;139.1;9.0
202;Total 1 or more employed persons;F Construction;2016 4th quarter;127.3;7.4
203;Total 1 or more employed persons;F Construction;2016;106.3;6.3
204;Total 1 or more employed persons;F Construction;2017 January;73.0;0.6
205;Total 1 or more employed persons;F Construction;2017 February;91.5;3.1
206;Total 1 or more employed persons;F Construction;2017 March;116.5;12.5
207;Total 1 or more employed persons;F Construction;2017 1st quarter;93.7;6.1
208;Total 1 or more employed persons;F Construction;2017 April;103.5;0.3
209;Total 1 or more employed persons;F Construction;2017 May;116.1;13.6
210;Total 1 or more employed persons;F Construction;2017 June;124.2;5.2
211;Total 1 or more employed persons;F Construction;2017 2nd quarter;114.6;6.3
212;Total 1 or more employed persons;F Construction;2017 July;118.9;4.0
213;Total 1 or more employed persons;F Construction;2017 August;81.1;6.6
214;Total 1 or more employed persons;F Construction;2017 September;118.4;2.4
215;Total 1 or more employed persons;F Construction;2017 3rd quarter;106.1;4.0
216;Total 1 or more employed persons;F Construction;2017 October;128.0;8.2
217;Total 1 or more employed persons;F Construction;2017 November;136.6;9.7
218;Total 1 or more employed persons;F Construction;2017 December;146.8;5.5
219;Total 1 or more employed persons;F Construction;2017 4th quarter;137.1;7.7
220;Total 1 or more employed persons;F Construction;2017;112.9;6.1
221;Total 1 or more employed persons;F Construction;2018 January;82.8;13.4
222;Total 1 or more employed persons;F Construction;2018 February;100.8;10.2
223;Total 1 or more employed persons;F Construction;2018 March;120.2;3.2
224;Total 1 or more employed persons;F Construction;2018 1st quarter;101.3;8.1
225;Total 1 or more employed persons;F Construction;2018 April;121.1;16.9
226;Total 1 or more employed persons;F Construction;2018 May;126.2;8.6
227;Total 1 or more employed persons;F Construction;2018 June;137.9;11.1
228;Total 1 or more employed persons;F Construction;2018 2nd quarter;128.4;12.0
229;Total 1 or more employed persons;F Construction;2018 July;132.0;11.0
230;Total 1 or more employed persons;F Construction;2018 August;88.6;9.2
231;Total 1 or more employed persons;F Construction;2018 September;127.9;8.0
232;Total 1 or more employed persons;F Construction;2018 3rd quarter;116.2;9.5
233;Total 1 or more employed persons;F Construction;2018 October;145.0;13.4
234;Total 1 or more employed persons;F Construction;2018 November;151.8;11.1
235;Total 1 or more employed persons;F Construction;2018 December;157.4;7.3
236;Total 1 or more employed persons;F Construction;2018 4th quarter;151.4;10.4
237;Total 1 or more employed persons;F Construction;2018;124.3;10.1
238;Total 1 or more employed persons;F Construction;2019 January;91.5;10.4
239;Total 1 or more employed persons;F Construction;2019 February;116.0;15.0
240;Total 1 or more employed persons;F Construction;2019 March;132.5;10.2
241;Total 1 or more employed persons;F Construction;2019 1st quarter;113.3;11.9
242;Total 1 or more employed persons;F Construction;2019 April;135.7;12.1
243;Total 1 or more employed persons;F Construction;2019 May;143.0;13.3
244;Total 1 or more employed persons;F Construction;2019 June;134.6;-2.4
245;Total 1 or more employed persons;F Construction;2019 2nd quarter;137.8;7.3
246;Total 1 or more employed persons;F Construction;2019 July;144.4;9.4
247;Total 1 or more employed persons;F Construction;2019 August;94.6;6.7
248;Total 1 or more employed persons;F Construction;2019 September;143.0;11.8
249;Total 1 or more employed persons;F Construction;2019 3rd quarter;127.3;9.6
250;Total 1 or more employed persons;F Construction;2019 October;151.2;4.2
251;Total 1 or more employed persons;F Construction;2019 November;152.0;0.2
252;Total 1 or more employed persons;F Construction;2019 December;161.6;2.6
253;Total 1 or more employed persons;F Construction;2019 4th quarter;154.9;2.3
254;Total 1 or more employed persons;F Construction;2019;133.3;7.3
255;Total 1 or more employed persons;F Construction;2020 January;105.2;15.0
256;Total 1 or more employed persons;F Construction;2020 February;120.1;3.6
257;Total 1 or more employed persons;F Construction;2020 March;147.1;11.0
258;Total 1 or more employed persons;F Construction;2020 1st quarter;124.1;9.6
259;Total 1 or more employed persons;F Construction;2020 April;135.8;0.0
260;Total 1 or more employed persons;F Construction;2020 May;130.2;-8.9
261;Total 1 or more employed persons;F Construction;2020 June;148.5;10.4
262;Total 1 or more employed persons;F Construction;2020 2nd quarter;138.2;0.3
263;Total 1 or more employed persons;F Construction;2020 July;145.5;0.8
264;Total 1 or more employed persons;F Construction;2020 August;94.2;-0.4
265;Total 1 or more employed persons;F Construction;2020 September;147.2;3.0
266;Total 1 or more employed persons;F Construction;2020 3rd quarter;129.0;1.3
267;Total 1 or more employed persons;F Construction;2020 October;153.4;1.5
268;Total 1 or more employed persons;F Construction;2020 November;157.2;3.4
269;Total 1 or more employed persons;F Construction;2020 December;166.3;3.0
270;Total 1 or more employed persons;F Construction;2020 4th quarter;159.0;2.6
271;Total 1 or more employed persons;F Construction;2020;137.6;3.2
272;Total 1 or more employed persons;F Construction;2021 January;106.2;0.9
273;Total 1 or more employed persons;F Construction;2021 February;117.9;-1.8
274;Total 1 or more employed persons;F Construction;2021 March;156.5;6.4
275;Total 1 or more employed persons;F Construction;2021 1st quarter;126.9;2.2
276;Total 1 or more employed persons;F Construction;2021 April;148.6;9.4
277;Total 1 or more employed persons;F Construction;2021 May;141.2;8.4
278;Total 1 or more employed persons;F Construction;2021 June;166.6;12.1
279;Total 1 or more employed persons;F Construction;2021 2nd quarter;152.1;10.1
280;Total 1 or more employed persons;F Construction;2021 July;164.2;12.8
281;Total 1 or more employed persons;F Construction;2021  August;94.8;0.7
282;Total 1 or more employed persons;F Construction;2021 September;156.1;6.1
283;Total 1 or more employed persons;F Construction;2021 3rd quarter;138.4;7.3
284;Total 1 or more employed persons;F Construction;2021 October;158.9;3.6
285;Total 1 or more employed persons;F Construction;2021 November;174.2;10.8
286;Total 1 or more employed persons;F Construction;2021 December;192.6;15.8
287;Total 1 or more employed persons;F Construction;2021 4th quarter;175.2;10.2
288;Total 1 or more employed persons;F Construction;2021;148.1;7.7
289;Total 1 or more employed persons;F Construction;2022 January;105.8;-0.4
290;Total 1 or more employed persons;F Construction;2022 February;136.4;15.7
291;Total 1 or more employed persons;F Construction;2022 March;172.1;10.0
292;Total 1 or more employed persons;F Construction;2022 1st quarter;138.1;8.9
293;Total 1 or more employed persons;F Construction;2022 April;156.3;5.2
294;Total 1 or more employed persons;F Construction;2022 May;164.6;16.6
295;Total 1 or more employed persons;F Construction;2022 June;178.2;7.0
296;Total 1 or more employed persons;F Construction;2022 2nd quarter;166.4;9.4
297;Total 1 or more employed persons;F Construction;2022 July;176.5;7.5
298;Total 1 or more employed persons;F Construction;2022 August;105.2;10.9
299;Total 1 or more employed persons;F Construction;2022 September;169.2;8.4
300;Total 1 or more employed persons;F Construction;2022 3rd quarter;150.3;8.6
301;Total 1 or more employed persons;F Construction;2022 October;176.2;10.9
302;Total 1 or more employed persons;F Construction;2022 November;191.1;9.7
303;Total 1 or more employed persons;F Construction;2022 December;207.7;7.9
304;Total 1 or more employed persons;F Construction;2022 4th quarter;191.7;9.4
305;Total 1 or more employed persons;F Construction;2022;161.6;9.1
306;Total 1 or more employed persons;F Construction;2023 January;119.8;13.3
307;Total 1 or more employed persons;F Construction;2023 February;152.3;11.6
308;Total 1 or more employed persons;F Construction;2023 March;188.6;9.6
309;Total 1 or more employed persons;F Construction;2023 1st quarter;153.6;11.2
310;Total 1 or more employed persons;F Construction;2023 April;160.3;2.6
311;Total 1 or more employed persons;F Construction;2023 May;179.7;9.2
312;Total 1 or more employed persons;F Construction;2023 June;197.1;10.6
313;Total 1 or more employed persons;F Construction;2023 2nd quarter;179.0;7.6
314;Total 1 or more employed persons;F Construction;2023 July;185.9;5.3
315;Total 1 or more employed persons;F Construction;2023 August;118.5;12.7
316;Total 1 or more employed persons;F Construction;2023 September;175.0;3.4
317;Total 1 or more employed persons;F Construction;2023 3rd quarter;159.8;6.3
318;Total 1 or more employed persons;F Construction;2023 October;190.3;8.0
319;Total 1 or more employed persons;F Construction;2023 November;192.9;0.9
320;Total 1 or more employed persons;F Construction;2023 December;208.1;0.2
321;Total 1 or more employed persons;F Construction;2023 4th quarter;197.1;2.8
322;Total 1 or more employed persons;F Construction;2023;172.4;6.7
323;Total 1 or more employed persons;412-439 Construction (no development);2005 January;54.4;-1.6
324;Total 1 or more employed persons;412-439 Construction (no development);2005 February;69.5;-1.7
325;Total 1 or more employed persons;412-439 Construction (no development);2005 March;83.2;-3.3
326;Total 1 or more employed persons;412-439 Construction (no development);2005 1st quarter;69.0;-2.3
327;Total 1 or more employed persons;412-439 Construction (no development);2005 April;89.6;6.6
328;Total 1 or more employed persons;412-439 Construction (no development);2005 May;85.3;8.1
329;Total 1 or more employed persons;412-439 Construction (no development);2005 June;104.5;11.9
330;Total 1 or more employed persons;412-439 Construction (no development);2005 2nd quarter;93.2;9.0
331;Total 1 or more employed persons;412-439 Construction (no development);2005 July;87.5;5.0
332;Total 1 or more employed persons;412-439 Construction (no development);2005 August;61.1;13.2
333;Total 1 or more employed persons;412-439 Construction (no development);2005 September;100.1;9.3
334;Total 1 or more employed persons;412-439 Construction (no development);2005 3rd quarter;82.9;8.6
335;Total 1 or more employed persons;412-439 Construction (no development);2005 October;97.5;3.9
336;Total 1 or more employed persons;412-439 Construction (no development);2005 November;104.1;5.8
337;Total 1 or more employed persons;412-439 Construction (no development);2005 December;123.4;7.7
338;Total 1 or more employed persons;412-439 Construction (no development);2005 4th quarter;108.3;5.9
339;Total 1 or more employed persons;412-439 Construction (no development);2005;88.4;5.6
340;Total 1 or more employed persons;412-439 Construction (no development);2006 January;56.8;4.5
341;Total 1 or more employed persons;412-439 Construction (no development);2006 February;76.0;9.3
342;Total 1 or more employed persons;412-439 Construction (no development);2006 March;96.9;16.5
343;Total 1 or more employed persons;412-439 Construction (no development);2006 1st quarter;76.6;10.9
344;Total 1 or more employed persons;412-439 Construction (no development);2006 April;88.9;-0.8
345;Total 1 or more employed persons;412-439 Construction (no development);2006 May;100.4;17.7
346;Total 1 or more employed persons;412-439 Construction (no development);2006 June;108.6;3.9
347;Total 1 or more employed persons;412-439 Construction (no development);2006 2nd quarter;99.3;6.6
348;Total 1 or more employed persons;412-439 Construction (no development);2006 July;90.5;3.4
349;Total 1 or more employed persons;412-439 Construction (no development);2006 August;67.4;10.2
350;Total 1 or more employed persons;412-439 Construction (no development);2006 September;107.6;7.4
351;Total 1 or more employed persons;412-439 Construction (no development);2006 3rd quarter;88.5;6.7
352;Total 1 or more employed persons;412-439 Construction (no development);2006 October;107.9;10.7
353;Total 1 or more employed persons;412-439 Construction (no development);2006 November;115.2;10.6
354;Total 1 or more employed persons;412-439 Construction (no development);2006 December;133.2;7.9
355;Total 1 or more employed persons;412-439 Construction (no development);2006 4th quarter;118.7;9.6
356;Total 1 or more employed persons;412-439 Construction (no development);2006;95.8;8.4
357;Total 1 or more employed persons;412-439 Construction (no development);2007 January;64.4;13.3
358;Total 1 or more employed persons;412-439 Construction (no development);2007 February;86.9;14.4
359;Total 1 or more employed persons;412-439 Construction (no development);2007 March;110.7;14.2
360;Total 1 or more employed persons;412-439 Construction (no development);2007 1st quarter;87.3;14.0
361;Total 1 or more employed persons;412-439 Construction (no development);2007 April;99.0;11.4
362;Total 1 or more employed persons;412-439 Construction (no development);2007 May;106.4;5.9
363;Total 1 or more employed persons;412-439 Construction (no development);2007 June;120.7;11.2
364;Total 1 or more employed persons;412-439 Construction (no development);2007 2nd quarter;108.7;9.5
365;Total 1 or more employed persons;412-439 Construction (no development);2007 July;99.9;10.4
366;Total 1 or more employed persons;412-439 Construction (no development);2007 August;76.8;14.1
367;Total 1 or more employed persons;412-439 Construction (no development);2007 September;112.4;4.5
368;Total 1 or more employed persons;412-439 Construction (no development);2007 3rd quarter;96.4;8.9
369;Total 1 or more employed persons;412-439 Construction (no development);2007 October;120.9;12.1
370;Total 1 or more employed persons;412-439 Construction (no development);2007 November;125.0;8.5
371;Total 1 or more employed persons;412-439 Construction (no development);2007 December;137.0;2.8
372;Total 1 or more employed persons;412-439 Construction (no development);2007 4th quarter;127.6;7.5
373;Total 1 or more employed persons;412-439 Construction (no development);2007;105.0;9.6
374;Total 1 or more employed persons;412-439 Construction (no development);2008 January;75.4;17.1
375;Total 1 or more employed persons;412-439 Construction (no development);2008 February;102.9;18.5
376;Total 1 or more employed persons;412-439 Construction (no development);2008 March;114.8;3.7
377;Total 1 or more employed persons;412-439 Construction (no development);2008 1st quarter;97.7;11.9
378;Total 1 or more employed persons;412-439 Construction (no development);2008 April;119.5;20.7
379;Total 1 or more employed persons;412-439 Construction (no development);2008 May;114.0;7.2
380;Total 1 or more employed persons;412-439 Construction (no development);2008 June;130.8;8.4
381;Total 1 or more employed persons;412-439 Construction (no development);2008 2nd quarter;121.5;11.7
382;Total 1 or more employed persons;412-439 Construction (no development);2008 July;109.3;9.4
383;Total 1 or more employed persons;412-439 Construction (no development);2008 August;83.6;8.8
384;Total 1 or more employed persons;412-439 Construction (no development);2008 September;127.6;13.6
385;Total 1 or more employed persons;412-439 Construction (no development);2008 3rd quarter;106.8;10.9
386;Total 1 or more employed persons;412-439 Construction (no development);2008 October;133.8;10.7
387;Total 1 or more employed persons;412-439 Construction (no development);2008 November;125.3;0.3
388;Total 1 or more employed persons;412-439 Construction (no development);2008 December;143.7;5.0
389;Total 1 or more employed persons;412-439 Construction (no development);2008 4th quarter;134.3;5.2
390;Total 1 or more employed persons;412-439 Construction (no development);2008;115.1;9.6
391;Total 1 or more employed persons;412-439 Construction (no development);2009 January;77.0;2.2
392;Total 1 or more employed persons;412-439 Construction (no development);2009 February;97.8;-5.0
393;Total 1 or more employed persons;412-439 Construction (no development);2009 March;122.0;6.3
394;Total 1 or more employed persons;412-439 Construction (no development);2009 1st quarter;99.0;1.3
395;Total 1 or more employed persons;412-439 Construction (no development);2009 April;115.6;-3.3
396;Total 1 or more employed persons;412-439 Construction (no development);2009 May;111.0;-2.6
397;Total 1 or more employed persons;412-439 Construction (no development);2009 June;123.3;-5.8
398;Total 1 or more employed persons;412-439 Construction (no development);2009 2nd quarter;116.6;-4.0
399;Total 1 or more employed persons;412-439 Construction (no development);2009 July;112.7;3.1
400;Total 1 or more employed persons;412-439 Construction (no development);2009 August;75.4;-9.8
401;Total 1 or more employed persons;412-439 Construction (no development);2009 September;117.6;-7.9
402;Total 1 or more employed persons;412-439 Construction (no development);2009 3rd quarter;101.9;-4.6
403;Total 1 or more employed persons;412-439 Construction (no development);2009 October;121.9;-8.9
404;Total 1 or more employed persons;412-439 Construction (no development);2009 November;116.5;-7.0
405;Total 1 or more employed persons;412-439 Construction (no development);2009 December;126.2;-12.2
406;Total 1 or more employed persons;412-439 Construction (no development);2009 4th quarter;121.5;-9.5
407;Total 1 or more employed persons;412-439 Construction (no development);2009;109.7;-4.6
408;Total 1 or more employed persons;412-439 Construction (no development);2010 January;63.9;-17.1
409;Total 1 or more employed persons;412-439 Construction (no development);2010 February;76.6;-21.7
410;Total 1 or more employed persons;412-439 Construction (no development);2010 March;105.5;-13.5
411;Total 1 or more employed persons;412-439 Construction (no development);2010 1st quarter;82.0;-17.1
412;Total 1 or more employed persons;412-439 Construction (no development);2010 April;105.4;-8.8
413;Total 1 or more employed persons;412-439 Construction (no development);2010 May;98.5;-11.3
414;Total 1 or more employed persons;412-439 Construction (no development);2010 June;117.7;-4.6
415;Total 1 or more employed persons;412-439 Construction (no development);2010 2nd quarter;107.2;-8.1
