ID;Geslacht;Sector;Vooropleiding;Perioden;TotaalAantalStudenten_1;Na4Jaar_2;Na5Jaar_3;Na6Jaar_4;Na7Jaar_5;Na8Jaar_6;Na9JaarOfMeer_7;Na4Jaar_8;Na5Jaar_9;Na6Jaar_10;Na7Jaar_11;Na8Jaar_12;Na9JaarOfMeer_13;Na4Jaar_14;Na5Jaar_15;Na6Jaar_16;Na7Jaar_17;Na8Jaar_18;Na9JaarOfMeer_19;Na1Jaar_20;Na2Jaar_21;Na3Jaar_22;Na4Jaar_23;Na5Jaar_24;Na6Jaar_25;Na7Jaar_26;Na8Jaar_27;Na9JaarOfMeer_28;InJaar2_29;InJaar3_30;InJaar4_31;InJaar5_32;InJaar6_33;InJaar7_34;InJaar8_35;InJaar9_36;InJaar10OfMeer_37;InJaar2_38;InJaar3_39;InJaar4_40;InJaar5_41;InJaar6_42;InJaar7_43;InJaar8_44;InJaar9_45;InJaar10OfMeer_46;InJaar2_47;InJaar3_48;InJaar4_49;InJaar5_50;InJaar6_51;InJaar7_52;InJaar8_53;InJaar9_54;InJaar10OfMeer_55;InJaar2_56;InJaar3_57;InJaar4_58;InJaar5_59;InJaar6_60;InJaar7_61;InJaar8_62;InJaar9_63;InJaar10OfMeer_64
0;Totaal mannen en vrouwen;Totaal alle sectoren;Totaal alle vooropleidingen;Cohort 1991;7920.0;32.0;42.0;46.0;48.0;49.0;51.0;32.0;42.0;45.0;47.0;48.0;49.0;0.0;1.0;1.0;1.0;1.0;2.0;26.0;37.0;42.0;45.0;46.0;46.0;47.0;47.0;47.0;74.0;57.0;47.0;23.0;12.0;7.0;5.0;4.0;2.0;72.0;56.0;45.0;22.0;10.0;6.0;4.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0
1;Totaal mannen en vrouwen;Totaal alle sectoren;Totaal alle vooropleidingen;Cohort 1992;7840.0;31.0;42.0;47.0;49.0;50.0;51.0;31.0;41.0;45.0;47.0;48.0;49.0;1.0;1.0;1.0;2.0;2.0;2.0;25.0;36.0;41.0;43.0;45.0;45.0;46.0;46.0;46.0;75.0;60.0;49.0;26.0;13.0;8.0;5.0;4.0;3.0;73.0;58.0;47.0;23.0;11.0;7.0;4.0;3.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0
2;Totaal mannen en vrouwen;Totaal alle sectoren;Totaal alle vooropleidingen;Cohort 1993;7000.0;31.0;42.0;46.0;48.0;50.0;51.0;31.0;41.0;45.0;47.0;48.0;49.0;0.0;1.0;1.0;1.0;2.0;2.0;26.0;37.0;41.0;44.0;45.0;45.0;46.0;46.0;46.0;74.0;59.0;50.0;25.0;14.0;9.0;6.0;5.0;3.0;72.0;57.0;48.0;23.0;12.0;7.0;4.0;3.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0
3;Totaal mannen en vrouwen;Totaal alle sectoren;Totaal alle vooropleidingen;Cohort 1994;5680.0;33.0;43.0;47.0;49.0;51.0;;32.0;42.0;46.0;48.0;49.0;;0.0;1.0;1.0;1.0;1.0;;26.0;35.0;39.0;42.0;43.0;44.0;45.0;45.0;;73.0;59.0;50.0;25.0;14.0;8.0;6.0;4.0;;72.0;58.0;49.0;23.0;12.0;7.0;5.0;3.0;;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;
4;Totaal mannen en vrouwen;Totaal alle sectoren;Vooropleiding havo;Cohort 1991;1400.0;29.0;40.0;43.0;46.0;47.0;48.0;29.0;40.0;43.0;45.0;46.0;46.0;0.0;0.0;1.0;1.0;1.0;1.0;27.0;39.0;44.0;47.0;48.0;49.0;50.0;50.0;49.0;72.0;58.0;51.0;24.0;12.0;8.0;5.0;3.0;3.0;71.0;56.0;49.0;23.0;10.0;6.0;3.0;2.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;Totaal mannen en vrouwen;Totaal alle sectoren;Vooropleiding havo;Cohort 1992;1350.0;30.0;42.0;47.0;50.0;51.0;52.0;30.0;41.0;46.0;48.0;48.0;50.0;1.0;1.0;1.0;2.0;2.0;3.0;25.0;35.0;40.0;42.0;43.0;44.0;44.0;45.0;44.0;75.0;63.0;55.0;28.0;15.0;9.0;6.0;5.0;3.0;74.0;60.0;52.0;25.0;13.0;7.0;4.0;3.0;2.0;1.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0
6;Totaal mannen en vrouwen;Totaal alle sectoren;Vooropleiding havo;Cohort 1993;550.0;32.0;42.0;46.0;49.0;50.0;50.0;32.0;42.0;46.0;48.0;48.0;48.0;;0.0;1.0;1.0;2.0;2.0;23.0;36.0;43.0;43.0;44.0;44.0;45.0;47.0;48.0;76.0;62.0;51.0;25.0;14.0;9.0;6.0;3.0;2.0;74.0;60.0;49.0;21.0;11.0;6.0;3.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;1.0;1.0;0.0
7;Totaal mannen en vrouwen;Totaal alle sectoren;Vooropleiding havo;Cohort 1994;580.0;35.0;44.0;49.0;52.0;53.0;;35.0;43.0;48.0;51.0;51.0;;;0.0;1.0;1.0;2.0;;24.0;32.0;36.0;40.0;41.0;41.0;42.0;44.0;;76.0;67.0;60.0;25.0;15.0;10.0;6.0;3.0;;75.0;66.0;59.0;23.0;13.0;8.0;5.0;3.0;;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;
8;Totaal mannen en vrouwen;Totaal alle sectoren;Vooropleiding vwo;Cohort 1991;640.0;33.0;46.0;50.0;53.0;53.0;55.0;33.0;45.0;49.0;51.0;52.0;53.0;0.0;0.0;1.0;2.0;2.0;2.0;21.0;31.0;35.0;39.0;39.0;41.0;42.0;42.0;43.0;79.0;65.0;58.0;28.0;15.0;9.0;6.0;4.0;2.0;76.0;63.0;55.0;25.0;12.0;7.0;4.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;0.0
9;Totaal mannen en vrouwen;Totaal alle sectoren;Vooropleiding vwo;Cohort 1992;540.0;31.0;43.0;49.0;52.0;53.0;54.0;31.0;42.0;48.0;50.0;51.0;52.0;0.0;1.0;1.0;2.0;2.0;2.0;22.0;32.0;37.0;39.0;42.0;41.0;43.0;44.0;43.0;78.0;66.0;58.0;30.0;15.0;10.0;5.0;4.0;4.0;76.0;64.0;56.0;28.0;13.0;8.0;4.0;3.0;2.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;;0.0
