ID;Migratieachtergrond;Generatie;Perioden;BevolkingOp1Januari_1;Bevolkingsgroei_2;BevolkingsgroeiRelatief_3;Levendgeborenen_4;Overledenen_5;Geboorteoverschot_6;Immigratie_7;EmigratieInclusiefAdministratieveC_8;EmigratieExclusiefAdministratieveC_9;MigratiesaldoInclusiefAdministratie_10;MigratiesaldoExclusiefAdministratie_11;TotaalSaldoCorrecties_12;SaldoAdministratieveCorrecties_13;SaldoOverigeCorrecties_14;BevolkingOp31December_15
0;Totaal;Totaal;1996;15493889.0;73218.0;0.47;189521.0;137561.0;51960.0;108749.0;91945.0;65325.0;16804.0;43424.0;-22166.0;-26620.0;4454.0;15567107.0
1;Totaal;Totaal;1997;15567107.0;87085.0;0.56;192443.0;135783.0;56660.0;109860.0;81973.0;62218.0;27887.0;47642.0;-17217.0;-19755.0;2538.0;15654192.0
2;Totaal;Totaal;1998;15654192.0;106033.0;0.68;199408.0;137482.0;61926.0;122407.0;79289.0;60441.0;43118.0;61966.0;-17859.0;-18848.0;989.0;15760225.0
3;Totaal;Totaal;1999;15760225.0;103725.0;0.66;200445.0;140487.0;59958.0;119151.0;78779.0;59023.0;40372.0;60128.0;-16361.0;-19756.0;3395.0;15863950.0
4;Totaal;Totaal;2000;15863950.0;123125.0;0.78;206619.0;140527.0;66092.0;132850.0;78977.0;61201.0;53873.0;71649.0;-14616.0;-17776.0;3160.0;15987075.0
5;Totaal;Totaal;2001;15987075.0;118210.0;0.74;202603.0;140377.0;62226.0;133404.0;82566.0;63318.0;50838.0;70086.0;-14102.0;-19248.0;5146.0;16105285.0
6;Totaal;Totaal;2002;16105285.0;87287.0;0.54;202083.0;142355.0;59728.0;121250.0;96918.0;66728.0;24332.0;54522.0;-26963.0;-30190.0;3227.0;16192572.0
7;Totaal;Totaal;2003;16192572.0;65460.0;0.4;200297.0;141936.0;58361.0;104514.0;104831.0;68885.0;-317.0;35629.0;-28530.0;-35946.0;7416.0;16258032.0
8;Totaal;Totaal;2004;16258032.0;47494.0;0.29;194007.0;136553.0;57454.0;94019.0;110235.0;75049.0;-16216.0;18970.0;-28930.0;-35186.0;6256.0;16305526.0
9;Totaal;Totaal;2005;16305526.0;28684.0;0.18;187910.0;136402.0;51508.0;92297.0;119725.0;83399.0;-27428.0;8898.0;-31722.0;-36326.0;4604.0;16334210.0
10;Totaal;Totaal;2006;16334210.0;23782.0;0.15;185057.0;135372.0;49685.0;101150.0;132470.0;91028.0;-31320.0;10122.0;-36025.0;-41442.0;5417.0;16357992.0
11;Totaal;Totaal;2007;16357992.0;47407.0;0.29;181336.0;133022.0;48314.0;116819.0;122576.0;91287.0;-5757.0;25532.0;-26439.0;-31289.0;4850.0;16405399.0
12;Totaal;Totaal;2008;16405399.0;80388.0;0.49;184634.0;135136.0;49498.0;143516.0;117779.0;90067.0;25737.0;53449.0;-22559.0;-27712.0;5153.0;16485787.0
13;Totaal;Totaal;2009;16485787.0;89202.0;0.54;184915.0;134235.0;50680.0;146378.0;111897.0;85357.0;34481.0;61021.0;-22499.0;-26540.0;4041.0;16574989.0
14;Totaal;Totaal;2010;16574989.0;80810.0;0.49;184397.0;136058.0;48339.0;154432.0;121351.0;91450.0;33081.0;62982.0;-30511.0;-29901.0;-610.0;16655799.0
15;Totaal;Totaal;2011;16655799.0;74549.0;0.45;180060.0;135741.0;44319.0;162962.0;133194.0;106185.0;29768.0;56777.0;-26547.0;-27009.0;462.0;16730348.0
16;Totaal;Totaal;2012;16730348.0;49227.0;0.29;175959.0;140813.0;35146.0;158374.0;144491.0;110356.0;13883.0;48018.0;-33937.0;-34135.0;198.0;16779575.0
17;Totaal;Totaal;2013;16779575.0;49714.0;0.3;171341.0;141245.0;30096.0;164772.0;145669.0;117180.0;19103.0;47592.0;-27974.0;-28489.0;515.0;16829289.0
18;Totaal;Totaal;2014;16829289.0;71437.0;0.42;175181.0;139223.0;35958.0;182949.0;147862.0;122248.0;35087.0;60701.0;-25222.0;-25614.0;392.0;16900726.0
19;Totaal;Totaal;2015;16900726.0;78394.0;0.46;170510.0;147134.0;23376.0;204615.0;149509.0;126884.0;55106.0;77731.0;-22713.0;-22625.0;-88.0;16979120.0
20;Totaal;Totaal;2016;16979120.0;102387.0;0.6;172520.0;148997.0;23523.0;230739.0;151545.0;127320.0;79194.0;103419.0;-24555.0;-24225.0;-330.0;17081507.0
21;Totaal;Totaal;2017;17081507.0;99577.0;0.58;169836.0;150214.0;19622.0;234957.0;154292.0;127452.0;80665.0;107505.0;-27550.0;-26840.0;-710.0;17181084.0
