ID;RegioS;Perioden;TotaleVervoersprestatie_1;AutoBestuurder_2;AutoPassagier_3;Trein_4;BusTramMetro_5;BromSnorfiets_6;Fiets_7;Lopen_8;OverigeVervoersprestatie_9
0;Nederland;1985;144.2;62.7;44.3;7.7;6.4;1.4;12.2;3.8;5.7
1;Nederland;1986;149.1;65.5;46.1;7.9;7.0;1.5;12.3;3.6;5.2
2;Nederland;1987;151.3;67.2;46.8;8.9;7.1;1.3;11.6;3.7;4.6
3;Nederland;1988;156.1;72.4;45.7;8.9;7.0;1.4;12.2;3.7;4.8
4;Nederland;1989;160.2;73.3;48.2;9.1;6.3;1.2;13.3;3.8;5.2
5;Nederland;1990;167.7;76.4;49.5;11.2;6.9;1.3;13.5;3.9;5.0
6;Nederland;1991;170.5;74.7;49.8;13.3;8.2;1.0;13.3;4.1;6.1
7;Nederland;1992;175.2;79.2;49.9;14.3;8.8;1.0;13.3;4.0;4.8
8;Nederland;1993;171.1;77.0;49.1;13.7;8.7;1.1;13.0;4.0;4.5
9;Nederland;1994;172.9;76.7;52.1;12.8;8.1;1.0;13.4;4.2;4.7
10;Nederland;1995;176.0;80.1;51.3;13.0;8.0;1.0;13.7;4.1;4.8
11;Nederland;1996;176.7;81.4;51.3;13.1;7.9;1.0;12.9;4.1;4.9
12;Nederland;1997;183.2;83.1;53.4;14.2;8.0;1.0;13.9;4.1;5.5
13;Nederland;1998;182.8;85.0;52.1;14.9;7.8;1.0;13.0;4.0;5.0
14;Nederland;1999;186.6;88.4;52.9;15.0;7.5;1.1;13.1;3.9;4.7
15;Nederland;2000;186.6;89.1;52.0;15.4;7.5;1.0;13.1;3.9;4.6
16;Nederland;2001;187.6;90.2;51.4;15.5;7.6;0.9;13.1;4.0;4.8
17;Nederland;2002;189.3;91.9;52.3;15.5;7.2;0.9;13.0;4.0;4.6
18;Nederland;2003;190.9;92.9;53.2;14.5;6.6;0.9;13.9;3.9;5.1
19;Nederland;2004;196.9;95.3;56.2;15.5;6.7;0.8;13.8;4.0;4.5
20;Nederland;2005;194.0;94.9;53.9;14.1;6.5;1.0;14.4;4.2;5.1
21;Nederland;2006;195.1;95.8;52.2;16.1;5.9;0.9;14.1;4.5;5.5
22;Nederland;2007;197.2;97.5;52.0;15.7;5.8;0.9;14.2;4.5;6.7
23;Landsdeel Noord-Nederland;1985;15.6;7.0;4.9;0.5;0.6;0.0;1.5;0.4;0.5
24;Landsdeel Noord-Nederland;1986;16.0;6.5;5.3;0.8;0.6;0.0;1.6;0.3;0.7
25;Landsdeel Noord-Nederland;1987;16.7;7.6;5.5;0.7;0.6;0.0;1.4;0.3;0.5
26;Landsdeel Noord-Nederland;1988;17.4;8.4;5.1;0.7;0.7;0.1;1.6;0.3;0.5
27;Landsdeel Noord-Nederland;1989;17.5;8.0;5.7;0.7;0.7;0.0;1.7;0.4;0.4
28;Landsdeel Noord-Nederland;1990;17.3;8.1;5.4;1.0;0.5;0.2;1.5;0.4;0.2
29;Landsdeel Noord-Nederland;1991;18.1;8.0;5.6;1.1;0.8;0.0;1.5;0.5;0.4
30;Landsdeel Noord-Nederland;1992;19.7;8.5;6.3;1.6;0.8;0.1;1.4;0.4;0.5
31;Landsdeel Noord-Nederland;1993;17.1;8.0;5.3;0.8;0.8;0.0;1.4;0.3;0.5
32;Landsdeel Noord-Nederland;1994;18.8;8.9;5.5;1.1;0.8;0.0;1.4;0.3;0.5
33;Landsdeel Noord-Nederland;1995;19.6;9.0;6.1;1.2;0.8;0.0;1.5;0.3;0.5
34;Landsdeel Noord-Nederland;1996;19.5;9.0;5.9;1.2;0.8;0.0;1.5;0.4;0.6
35;Landsdeel Noord-Nederland;1997;19.6;8.9;6.1;1.1;0.8;0.0;1.6;0.3;0.7
36;Landsdeel Noord-Nederland;1998;19.7;9.2;5.9;1.5;0.9;0.0;1.4;0.3;0.4
37;Landsdeel Noord-Nederland;1999;19.6;9.4;5.9;1.1;0.6;0.0;1.5;0.3;0.7
38;Landsdeel Noord-Nederland;2000;19.9;9.7;5.7;1.4;0.6;0.0;1.5;0.3;0.4
39;Landsdeel Noord-Nederland;2001;20.5;10.2;6.0;1.3;0.7;0.0;1.5;0.3;0.5
40;Landsdeel Noord-Nederland;2002;20.6;10.2;5.9;1.4;0.7;0.0;1.5;0.3;0.3
41;Landsdeel Noord-Nederland;2003;21.2;10.5;6.2;1.4;0.5;0.0;1.5;0.3;0.5
42;Landsdeel Noord-Nederland;2004;22.8;12.0;6.5;1.0;0.8;0.0;1.5;0.3;0.5
43;Landsdeel Noord-Nederland;2005;22.2;10.8;6.5;1.4;0.6;0.0;1.7;0.3;0.5
44;Landsdeel Noord-Nederland;2006;21.3;10.9;5.8;1.5;0.6;0.0;1.5;0.5;0.5
45;Landsdeel Noord-Nederland;2007;22.6;11.2;6.6;1.4;0.6;0.1;1.5;0.5;0.8
46;Landsdeel Oost-Nederland;1985;28.9;12.7;9.3;1.1;1.1;0.3;2.7;0.6;0.9
47;Landsdeel Oost-Nederland;1986;29.2;13.3;8.8;1.6;1.1;0.3;2.8;0.7;0.6
48;Landsdeel Oost-Nederland;1987;31.1;14.6;9.7;1.5;1.1;0.3;2.6;0.7;0.9
49;Landsdeel Oost-Nederland;1988;31.9;15.3;9.5;1.7;1.1;0.4;2.5;0.6;0.9
50;Landsdeel Oost-Nederland;1989;33.6;15.4;10.2;2.1;1.0;0.3;2.7;0.7;1.1
51;Landsdeel Oost-Nederland;1990;34.8;16.4;11.0;1.7;1.0;0.3;2.8;0.7;0.8
52;Landsdeel Oost-Nederland;1991;35.8;16.1;10.9;2.5;1.6;0.1;2.7;0.7;1.1
53;Landsdeel Oost-Nederland;1992;36.5;16.5;11.0;2.5;1.5;0.2;2.9;0.7;1.2
54;Landsdeel Oost-Nederland;1993;36.1;16.1;10.6;3.6;1.4;0.1;2.8;0.7;0.9
55;Landsdeel Oost-Nederland;1994;36.6;16.8;11.3;2.7;1.2;0.2;3.0;0.7;0.9
56;Landsdeel Oost-Nederland;1995;37.4;17.2;11.4;2.7;1.3;0.2;3.0;0.7;1.0
57;Landsdeel Oost-Nederland;1996;37.9;17.9;11.4;2.6;1.2;0.2;2.8;0.7;1.0
58;Landsdeel Oost-Nederland;1997;39.9;18.3;12.1;2.9;1.3;0.2;3.1;0.7;1.3
59;Landsdeel Oost-Nederland;1998;39.2;19.0;11.3;2.8;1.2;0.2;2.9;0.7;1.0
60;Landsdeel Oost-Nederland;1999;40.8;19.6;11.9;3.4;1.0;0.3;3.0;0.7;0.9
61;Landsdeel Oost-Nederland;2000;41.6;20.6;12.0;3.0;1.1;0.1;2.9;0.7;1.1
62;Landsdeel Oost-Nederland;2001;40.7;20.0;11.2;3.3;1.2;0.1;3.0;0.7;1.0
63;Landsdeel Oost-Nederland;2002;42.5;21.5;11.7;3.4;1.0;0.2;2.8;0.7;1.2
64;Landsdeel Oost-Nederland;2003;41.0;20.4;11.9;3.0;0.9;0.2;3.0;0.7;1.0
65;Landsdeel Oost-Nederland;2004;43.3;21.9;11.9;3.4;1.1;0.1;3.1;0.7;1.1
66;Landsdeel Oost-Nederland;2005;43.5;21.4;12.4;3.5;0.9;0.1;3.2;0.8;1.4
67;Landsdeel Oost-Nederland;2006;44.8;22.4;11.9;3.7;1.0;0.2;3.3;0.9;1.4
68;Landsdeel Oost-Nederland;2007;44.8;22.8;11.5;3.5;1.0;0.1;3.5;0.9;1.6
69;Landsdeel West-Nederland;1985;67.9;29.0;20.0;4.4;3.9;0.5;5.4;1.9;2.7
70;Landsdeel West-Nederland;1986;71.1;30.6;21.3;4.1;4.4;0.7;5.3;1.9;2.8
71;Landsdeel West-Nederland;1987;71.5;30.8;21.4;4.7;4.5;0.5;5.0;2.0;2.5
72;Landsdeel West-Nederland;1988;73.3;32.9;20.6;5.1;4.3;0.6;5.4;1.9;2.5
73;Landsdeel West-Nederland;1989;75.7;34.1;22.2;4.7;3.8;0.5;6.0;2.0;2.6
74;Landsdeel West-Nederland;1990;80.5;35.6;23.1;6.0;4.3;0.6;6.1;2.0;2.9
75;Landsdeel West-Nederland;1991;81.4;34.3;23.3;7.1;4.8;0.6;5.8;2.0;3.3
76;Landsdeel West-Nederland;1992;83.3;37.2;22.7;7.6;5.2;0.5;6.1;2.1;2.1
77;Landsdeel West-Nederland;1993;81.7;36.6;22.4;6.7;5.3;0.5;5.9;2.1;2.0
