ID;Geslacht;BurgerlijkeStaat;Leeftijd;Migratieachtergrond;Perioden;PersonenMetPensioenaanspraken_1;BrutoJaarbedragOpgebouwdPensioen_2;BrutoJaarbedragTeBereikenPensioen_3
0;Totaal mannen en vrouwen;Totaal burgerlijke staat;10000;Totaal migratieachtergrond;2016;9887060.0;54201697.0;106373751.0
1;Totaal mannen en vrouwen;Totaal burgerlijke staat;10000;Totaal migratieachtergrond;2017;10030170.0;54755347.0;107461567.0
2;Totaal mannen en vrouwen;Totaal burgerlijke staat;10000;Totaal migratieachtergrond;2018;10161160.0;56256847.0;110643232.0
3;Totaal mannen en vrouwen;Totaal burgerlijke staat;10000;Totaal migratieachtergrond;2019;10265780.0;57615944.0;117081079.0
4;Totaal mannen en vrouwen;Totaal burgerlijke staat;10000;Totaal migratieachtergrond;2020;10379080.0;58175806.0;120210754.0
5;Totaal mannen en vrouwen;Totaal burgerlijke staat;10000;Totaal migratieachtergrond;2021;10584880.0;59200249.0;121486465.0
6;Totaal mannen en vrouwen;Totaal burgerlijke staat;10000;Geen migratieachtergrond;2016;7143440.0;46404932.0;88889331.0
7;Totaal mannen en vrouwen;Totaal burgerlijke staat;10000;Geen migratieachtergrond;2017;7154770.0;46810220.0;89458594.0
8;Totaal mannen en vrouwen;Totaal burgerlijke staat;10000;Geen migratieachtergrond;2018;7173090.0;47904482.0;91381922.0
9;Totaal mannen en vrouwen;Totaal burgerlijke staat;10000;Geen migratieachtergrond;2019;7204870.0;48880839.0;95465537.0
10;Totaal mannen en vrouwen;Totaal burgerlijke staat;10000;Geen migratieachtergrond;2020;7217660.0;49212170.0;97403799.0
11;Totaal mannen en vrouwen;Totaal burgerlijke staat;10000;Geen migratieachtergrond;2021;7249910.0;49829390.0;97608301.0
12;Totaal mannen en vrouwen;Totaal burgerlijke staat;10000;Met migratieachtergrond;2016;2214420.0;7408525.0;16628468.0
13;Totaal mannen en vrouwen;Totaal burgerlijke staat;10000;Met migratieachtergrond;2017;2509860.0;7649631.0;17516845.0
14;Totaal mannen en vrouwen;Totaal burgerlijke staat;10000;Met migratieachtergrond;2018;2620390.0;7985163.0;18703744.0
