ID;Periods;UnemploymentBenefitsTotalAmount_1;InterimUnemploymentFundTotalAmount_2;UnemploymentFundTotalAmount_3
0;1998 January;247.6;45.2;197.2
1;1998 February;253.1;62.7;184.3
2;1998 March;251.3;63.7;183.2
3;1998 1st quarter;752.0;171.7;564.7
4;1998 April;286.8;54.2;228.7
5;1998 May;342.4;47.0;290.3
6;1998 June;189.2;34.9;152.2
7;1998 2nd quarter;818.3;136.0;671.2
8;1998 July;223.2;36.1;185.1
9;1998 August;200.2;33.7;163.4
10;1998 September;181.0;31.7;147.2
11;1998 3rd quarter;604.4;101.4;495.7
12;1998 October;218.2;35.4;181.7
13;1998 November;172.4;30.5;139.5
14;1998 December;224.1;51.5;167.8
15;1998 4th quarter;614.7;117.4;489.0
16;1998 annual total;2789.4;526.6;2220.7
17;1999 January;203.1;51.3;148.0
18;1999 February;215.3;65.8;146.0
19;1999 March;239.7;69.1;168.2
20;1999 1st quarter;658.1;186.2;462.2
21;1999 April;178.8;40.6;136.3
22;1999 May;273.5;36.1;234.6
23;1999 June;199.5;33.7;163.8
24;1999 2nd quarter;651.8;110.4;534.8
25;1999 July;149.8;23.5;125.3
26;1999 August;150.8;24.8;124.4
27;1999 September;187.1;32.3;153.8
28;1999 3rd quarter;487.6;80.6;403.6
29;1999 October;145.7;25.4;119.3
30;1999 November;139.7;26.5;112.3
31;1999 December;191.0;42.2;146.7
32;1999 4th quarter;476.3;94.0;378.3
33;1999 annual total;2273.9;471.2;1778.9
34;2000 January;153.3;39.1;110.7
35;2000 February;176.2;56.5;116.3
36;2000 March;207.0;63.4;141.3
37;2000 1st quarter;536.5;159.0;368.2
38;2000 April;149.7;41.6;106.7
39;2000 May;243.4;42.4;199.1
40;2000 June;162.7;37.8;124.3
41;2000 2nd quarter;555.8;121.8;430.1
42;2000 July;137.3;32.2;104.1
43;2000 August;168.7;39.2;127.8
44;2000 September;134.2;32.3;100.8
45;2000 3rd quarter;440.2;103.7;332.6
46;2000 October;131.8;32.0;99.0
47;2000 November;164.9;39.9;124.2
48;2000 December;124.9;34.3;88.3
49;2000 4th quarter;421.6;106.1;311.5
50;2000 annual total;1954.2;490.6;1442.5
51;2001 January;153.9;43.3;106.6
