ID;Sex;Age;CountryOfBirth;DutchCaribbean;Periods;PopulationOnJanuary1st_1
42;Total male and female;Total;Total;Saba;2011;1797
43;Total male and female;Total;Total;Saba;2012;1971
44;Total male and female;Total;Total;Saba;2013;1991
45;Total male and female;Total;Total;Saba;2014;1846
46;Total male and female;Total;Total;Saba;2015;1811
47;Total male and female;Total;Total;Saba;2016;1947
48;Total male and female;Total;Total;Saba;2017;2010
49;Total male and female;Total;Total;Saba;2018;2155
50;Total male and female;Total;Total;Saba;2019;1915
51;Total male and female;Total;Total;Saba;2020;1933
52;Total male and female;Total;Total;Saba;2021;1918
53;Total male and female;Total;Total;Saba;2022;1911
54;Total male and female;Total;Total;Saba;2023;2035
55;Total male and female;Total;Total;Saba;2024;2060
56;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2011;12819
57;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2012;13888
58;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2013;14785
59;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2014;15582
60;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2015;15723
61;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2016;15593
62;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2017;15373
63;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2018;15904
64;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2019;15954
65;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2020;16733
66;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2021;17380
67;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2022;18183
68;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2023;19826
69;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2024;20802
70;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2011;9103
71;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2012;9846
72;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2013;10583
73;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2014;11414
74;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2015;11714
75;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2016;12123
76;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2017;11782
77;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2018;12085
78;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2019;12541
79;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2020;13283
80;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2021;13958
81;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2022;14674
82;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2023;16113
83;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2024;17120
84;Total male and female;Total;Born outside the Caribbean Netherlands;St. Eustatius;2011;2489
85;Total male and female;Total;Born outside the Caribbean Netherlands;St. Eustatius;2012;2645
86;Total male and female;Total;Born outside the Caribbean Netherlands;St. Eustatius;2013;2774
87;Total male and female;Total;Born outside the Caribbean Netherlands;St. Eustatius;2014;2878
88;Total male and female;Total;Born outside the Caribbean Netherlands;St. Eustatius;2015;2747
89;Total male and female;Total;Born outside the Caribbean Netherlands;St. Eustatius;2016;2080
90;Total male and female;Total;Born outside the Caribbean Netherlands;St. Eustatius;2017;2129
91;Total male and female;Total;Born outside the Caribbean Netherlands;St. Eustatius;2018;2209
92;Total male and female;Total;Born outside the Caribbean Netherlands;St. Eustatius;2019;2035
93;Total male and female;Total;Born outside the Caribbean Netherlands;St. Eustatius;2020;2040
94;Total male and female;Total;Born outside the Caribbean Netherlands;St. Eustatius;2021;2019
95;Total male and female;Total;Born outside the Caribbean Netherlands;St. Eustatius;2022;2111
96;Total male and female;Total;Born outside the Caribbean Netherlands;St. Eustatius;2023;2176
97;Total male and female;Total;Born outside the Caribbean Netherlands;St. Eustatius;2024;2111
98;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2011;1227
99;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2012;1397
100;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2013;1428
101;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2014;1290
102;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2015;1262
103;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2016;1390
104;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2017;1462
105;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2018;1610
106;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2019;1378
107;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2020;1410
108;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2021;1403
109;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2022;1398
110;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2023;1537
111;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2024;1571
112;Total male and female;Total;Born outside Caribbean part Kingdom of..;Caribbean Netherlands;2011;8521
113;Total male and female;Total;Born outside Caribbean part Kingdom of..;Caribbean Netherlands;2012;9516
114;Total male and female;Total;Born outside Caribbean part Kingdom of..;Caribbean Netherlands;2013;10273
115;Total male and female;Total;Born outside Caribbean part Kingdom of..;Caribbean Netherlands;2014;10871
116;Total male and female;Total;Born outside Caribbean part Kingdom of..;Caribbean Netherlands;2015;10910
117;Total male and female;Total;Born outside Caribbean part Kingdom of..;Caribbean Netherlands;2016;10635
118;Total male and female;Total;Born outside Caribbean part Kingdom of..;Caribbean Netherlands;2017;10304
119;Total male and female;Total;Born outside Caribbean part Kingdom of..;Caribbean Netherlands;2018;10764
120;Total male and female;Total;Born outside Caribbean part Kingdom of..;Caribbean Netherlands;2019;10753
121;Total male and female;Total;Born outside Caribbean part Kingdom of..;Caribbean Netherlands;2020;11377
122;Total male and female;Total;Born outside Caribbean part Kingdom of..;Caribbean Netherlands;2021;11771
123;Total male and female;Total;Born outside Caribbean part Kingdom of..;Caribbean Netherlands;2022;12384
124;Total male and female;Total;Born outside Caribbean part Kingdom of..;Caribbean Netherlands;2023;13780
125;Total male and female;Total;Born outside Caribbean part Kingdom of..;Caribbean Netherlands;2024;14678
126;Total male and female;Total;Born outside Caribbean part Kingdom of..;Bonaire;2011;5693
127;Total male and female;Total;Born outside Caribbean part Kingdom of..;Bonaire;2012;6406
128;Total male and female;Total;Born outside Caribbean part Kingdom of..;Bonaire;2013;7005
129;Total male and female;Total;Born outside Caribbean part Kingdom of..;Bonaire;2014;7670
130;Total male and female;Total;Born outside Caribbean part Kingdom of..;Bonaire;2015;7893
131;Total male and female;Total;Born outside Caribbean part Kingdom of..;Bonaire;2016;8191
132;Total male and female;Total;Born outside Caribbean part Kingdom of..;Bonaire;2017;7758
133;Total male and female;Total;Born outside Caribbean part Kingdom of..;Bonaire;2018;8040
134;Total male and female;Total;Born outside Caribbean part Kingdom of..;Bonaire;2019;8434
135;Total male and female;Total;Born outside Caribbean part Kingdom of..;Bonaire;2020;9025
136;Total male and female;Total;Born outside Caribbean part Kingdom of..;Bonaire;2021;9465
137;Total male and female;Total;Born outside Caribbean part Kingdom of..;Bonaire;2022;10038
138;Total male and female;Total;Born outside Caribbean part Kingdom of..;Bonaire;2023;11260
139;Total male and female;Total;Born outside Caribbean part Kingdom of..;Bonaire;2024;12188
140;Total male and female;Total;Born outside Caribbean part Kingdom of..;St. Eustatius;2011;1924
141;Total male and female;Total;Born outside Caribbean part Kingdom of..;St. Eustatius;2012;2039
142;Total male and female;Total;Born outside Caribbean part Kingdom of..;St. Eustatius;2013;2168
143;Total male and female;Total;Born outside Caribbean part Kingdom of..;St. Eustatius;2014;2250
144;Total male and female;Total;Born outside Caribbean part Kingdom of..;St. Eustatius;2015;2109
145;Total male and female;Total;Born outside Caribbean part Kingdom of..;St. Eustatius;2016;1429
146;Total male and female;Total;Born outside Caribbean part Kingdom of..;St. Eustatius;2017;1467
147;Total male and female;Total;Born outside Caribbean part Kingdom of..;St. Eustatius;2018;1512
148;Total male and female;Total;Born outside Caribbean part Kingdom of..;St. Eustatius;2019;1347
149;Total male and female;Total;Born outside Caribbean part Kingdom of..;St. Eustatius;2020;1344
150;Total male and female;Total;Born outside Caribbean part Kingdom of..;St. Eustatius;2021;1312
151;Total male and female;Total;Born outside Caribbean part Kingdom of..;St. Eustatius;2022;1354
152;Total male and female;Total;Born outside Caribbean part Kingdom of..;St. Eustatius;2023;1398
153;Total male and female;Total;Born outside Caribbean part Kingdom of..;St. Eustatius;2024;1352
154;Total male and female;Total;Born outside Caribbean part Kingdom of..;Saba;2011;904
155;Total male and female;Total;Born outside Caribbean part Kingdom of..;Saba;2012;1071
156;Total male and female;Total;Born outside Caribbean part Kingdom of..;Saba;2013;1100
157;Total male and female;Total;Born outside Caribbean part Kingdom of..;Saba;2014;951
158;Total male and female;Total;Born outside Caribbean part Kingdom of..;Saba;2015;908
159;Total male and female;Total;Born outside Caribbean part Kingdom of..;Saba;2016;1015
160;Total male and female;Total;Born outside Caribbean part Kingdom of..;Saba;2017;1079
161;Total male and female;Total;Born outside Caribbean part Kingdom of..;Saba;2018;1212
162;Total male and female;Total;Born outside Caribbean part Kingdom of..;Saba;2019;972
163;Total male and female;Total;Born outside Caribbean part Kingdom of..;Saba;2020;1008
164;Total male and female;Total;Born outside Caribbean part Kingdom of..;Saba;2021;994
165;Total male and female;Total;Born outside Caribbean part Kingdom of..;Saba;2022;992
166;Total male and female;Total;Born outside Caribbean part Kingdom of..;Saba;2023;1122
167;Total male and female;Total;Born outside Caribbean part Kingdom of..;Saba;2024;1138
168;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2011;6614
169;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2012;7242
170;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2013;7777
171;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2014;8095
172;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2015;8030
173;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2016;7671
174;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2017;7214
175;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2018;7539
176;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2019;7450
177;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2020;7891
178;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2021;8093
179;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2022;8514
180;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2023;9474
181;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2024;10272
182;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2011;3985
183;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2012;4356
184;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2013;4754
185;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2014;5183
186;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2015;5319
187;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2016;5530
188;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2017;4972
189;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2018;5123
190;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2019;5440
191;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2020;5829
192;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2021;6097
193;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2022;6453
194;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2023;7235
195;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2024;8043
196;Total male and female;Total;Born outside Kingdom of the Netherlands;St. Eustatius;2011;1772
197;Total male and female;Total;Born outside Kingdom of the Netherlands;St. Eustatius;2012;1873
198;Total male and female;Total;Born outside Kingdom of the Netherlands;St. Eustatius;2013;1988
199;Total male and female;Total;Born outside Kingdom of the Netherlands;St. Eustatius;2014;2032
200;Total male and female;Total;Born outside Kingdom of the Netherlands;St. Eustatius;2015;1896
201;Total male and female;Total;Born outside Kingdom of the Netherlands;St. Eustatius;2016;1233
202;Total male and female;Total;Born outside Kingdom of the Netherlands;St. Eustatius;2017;1277
203;Total male and female;Total;Born outside Kingdom of the Netherlands;St. Eustatius;2018;1321
204;Total male and female;Total;Born outside Kingdom of the Netherlands;St. Eustatius;2019;1157
205;Total male and female;Total;Born outside Kingdom of the Netherlands;St. Eustatius;2020;1155
206;Total male and female;Total;Born outside Kingdom of the Netherlands;St. Eustatius;2021;1112
207;Total male and female;Total;Born outside Kingdom of the Netherlands;St. Eustatius;2022;1175
208;Total male and female;Total;Born outside Kingdom of the Netherlands;St. Eustatius;2023;1213
209;Total male and female;Total;Born outside Kingdom of the Netherlands;St. Eustatius;2024;1189
210;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2011;857
211;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2012;1013
212;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2013;1035
213;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2014;880
214;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2015;815
215;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2016;908
216;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2017;965
217;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2018;1095
218;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2019;853
219;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2020;907
220;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2021;884
221;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2022;886
222;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2023;1026
223;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2024;1040
224;Total male and female;Total;Africa;Caribbean Netherlands;2011;99
225;Total male and female;Total;Africa;Caribbean Netherlands;2012;119
226;Total male and female;Total;Africa;Caribbean Netherlands;2013;155
227;Total male and female;Total;Africa;Caribbean Netherlands;2014;152
228;Total male and female;Total;Africa;Caribbean Netherlands;2015;141
229;Total male and female;Total;Africa;Caribbean Netherlands;2016;129
230;Total male and female;Total;Africa;Caribbean Netherlands;2017;89
231;Total male and female;Total;Africa;Caribbean Netherlands;2018;89
232;Total male and female;Total;Africa;Caribbean Netherlands;2019;76
233;Total male and female;Total;Africa;Caribbean Netherlands;2020;79
234;Total male and female;Total;Africa;Caribbean Netherlands;2021;81
235;Total male and female;Total;Africa;Caribbean Netherlands;2022;71
236;Total male and female;Total;Africa;Caribbean Netherlands;2023;90
237;Total male and female;Total;Africa;Caribbean Netherlands;2024;100
238;Total male and female;Total;Africa;Bonaire;2011;45
239;Total male and female;Total;Africa;Bonaire;2012;59
240;Total male and female;Total;Africa;Bonaire;2013;82
241;Total male and female;Total;Africa;Bonaire;2014;94
242;Total male and female;Total;Africa;Bonaire;2015;92
243;Total male and female;Total;Africa;Bonaire;2016;93
244;Total male and female;Total;Africa;Bonaire;2017;55
245;Total male and female;Total;Africa;Bonaire;2018;44
246;Total male and female;Total;Africa;Bonaire;2019;48
247;Total male and female;Total;Africa;Bonaire;2020;48
248;Total male and female;Total;Africa;Bonaire;2021;50
249;Total male and female;Total;Africa;Bonaire;2022;48
250;Total male and female;Total;Africa;Bonaire;2023;52
251;Total male and female;Total;Africa;Bonaire;2024;62
252;Total male and female;Total;Africa;St. Eustatius;2011;37
253;Total male and female;Total;Africa;St. Eustatius;2012;36
254;Total male and female;Total;Africa;St. Eustatius;2013;40
255;Total male and female;Total;Africa;St. Eustatius;2014;39
256;Total male and female;Total;Africa;St. Eustatius;2015;33
257;Total male and female;Total;Africa;St. Eustatius;2016;5
258;Total male and female;Total;Africa;St. Eustatius;2017;5
259;Total male and female;Total;Africa;St. Eustatius;2018;6
260;Total male and female;Total;Africa;St. Eustatius;2019;4
261;Total male and female;Total;Africa;St. Eustatius;2020;4
262;Total male and female;Total;Africa;St. Eustatius;2021;8
263;Total male and female;Total;Africa;St. Eustatius;2022;6
264;Total male and female;Total;Africa;St. Eustatius;2023;10
265;Total male and female;Total;Africa;St. Eustatius;2024;11
266;Total male and female;Total;Africa;Saba;2011;17
267;Total male and female;Total;Africa;Saba;2012;24
268;Total male and female;Total;Africa;Saba;2013;33
269;Total male and female;Total;Africa;Saba;2014;19
270;Total male and female;Total;Africa;Saba;2015;16
271;Total male and female;Total;Africa;Saba;2016;31
272;Total male and female;Total;Africa;Saba;2017;29
273;Total male and female;Total;Africa;Saba;2018;39
274;Total male and female;Total;Africa;Saba;2019;24
275;Total male and female;Total;Africa;Saba;2020;27
276;Total male and female;Total;Africa;Saba;2021;23
277;Total male and female;Total;Africa;Saba;2022;17
278;Total male and female;Total;Africa;Saba;2023;28
279;Total male and female;Total;Africa;Saba;2024;27
280;Total male and female;Total;America;Caribbean Netherlands;2011;18018
281;Total male and female;Total;America;Caribbean Netherlands;2012;18665
282;Total male and female;Total;America;Caribbean Netherlands;2013;19267
283;Total male and female;Total;America;Caribbean Netherlands;2014;19912
284;Total male and female;Total;America;Caribbean Netherlands;2015;20203
285;Total male and female;Total;America;Caribbean Netherlands;2016;20087
286;Total male and female;Total;America;Caribbean Netherlands;2017;20023
287;Total male and female;Total;America;Caribbean Netherlands;2018;20426
288;Total male and female;Total;America;Caribbean Netherlands;2019;20543
289;Total male and female;Total;America;Caribbean Netherlands;2020;21148
290;Total male and female;Total;America;Caribbean Netherlands;2021;21749
291;Total male and female;Total;America;Caribbean Netherlands;2022;22453
292;Total male and female;Total;America;Caribbean Netherlands;2023;23587
293;Total male and female;Total;America;Caribbean Netherlands;2024;24392
294;Total male and female;Total;America;Bonaire;2011;13318
295;Total male and female;Total;America;Bonaire;2012;13719
296;Total male and female;Total;America;Bonaire;2013;14281
297;Total male and female;Total;America;Bonaire;2014;14926
298;Total male and female;Total;America;Bonaire;2015;15317
299;Total male and female;Total;America;Bonaire;2016;15701
300;Total male and female;Total;America;Bonaire;2017;15518
301;Total male and female;Total;America;Bonaire;2018;15725
302;Total male and female;Total;America;Bonaire;2019;16172
303;Total male and female;Total;America;Bonaire;2020;16749
304;Total male and female;Total;America;Bonaire;2021;17372
305;Total male and female;Total;America;Bonaire;2022;17973
306;Total male and female;Total;America;Bonaire;2023;18972
307;Total male and female;Total;America;Bonaire;2024;19812
308;Total male and female;Total;America;St. Eustatius;2011;3195
309;Total male and female;Total;America;St. Eustatius;2012;3331
310;Total male and female;Total;America;St. Eustatius;2013;3376
311;Total male and female;Total;America;St. Eustatius;2014;3468
312;Total male and female;Total;America;St. Eustatius;2015;3389
313;Total male and female;Total;America;St. Eustatius;2016;2800
314;Total male and female;Total;America;St. Eustatius;2017;2856
315;Total male and female;Total;America;St. Eustatius;2018;2970
316;Total male and female;Total;America;St. Eustatius;2019;2795
317;Total male and female;Total;America;St. Eustatius;2020;2803
318;Total male and female;Total;America;St. Eustatius;2021;2791
319;Total male and female;Total;America;St. Eustatius;2022;2891
320;Total male and female;Total;America;St. Eustatius;2023;2936
321;Total male and female;Total;America;St. Eustatius;2024;2870
322;Total male and female;Total;America;Saba;2011;1505
323;Total male and female;Total;America;Saba;2012;1615
324;Total male and female;Total;America;Saba;2013;1610
325;Total male and female;Total;America;Saba;2014;1518
326;Total male and female;Total;America;Saba;2015;1497
327;Total male and female;Total;America;Saba;2016;1586
328;Total male and female;Total;America;Saba;2017;1649
329;Total male and female;Total;America;Saba;2018;1731
330;Total male and female;Total;America;Saba;2019;1576
331;Total male and female;Total;America;Saba;2020;1596
332;Total male and female;Total;America;Saba;2021;1586
333;Total male and female;Total;America;Saba;2022;1589
334;Total male and female;Total;America;Saba;2023;1679
335;Total male and female;Total;America;Saba;2024;1710
336;Total male and female;Total;Asia;Caribbean Netherlands;2011;620
337;Total male and female;Total;Asia;Caribbean Netherlands;2012;713
338;Total male and female;Total;Asia;Caribbean Netherlands;2013;792
339;Total male and female;Total;Asia;Caribbean Netherlands;2014;804
340;Total male and female;Total;Asia;Caribbean Netherlands;2015;756
341;Total male and female;Total;Asia;Caribbean Netherlands;2016;738
342;Total male and female;Total;Asia;Caribbean Netherlands;2017;644
343;Total male and female;Total;Asia;Caribbean Netherlands;2018;695
344;Total male and female;Total;Asia;Caribbean Netherlands;2019;650
345;Total male and female;Total;Asia;Caribbean Netherlands;2020;660
346;Total male and female;Total;Asia;Caribbean Netherlands;2021;652
347;Total male and female;Total;Asia;Caribbean Netherlands;2022;667
348;Total male and female;Total;Asia;Caribbean Netherlands;2023;734
349;Total male and female;Total;Asia;Caribbean Netherlands;2024;773
350;Total male and female;Total;Asia;Bonaire;2011;351
351;Total male and female;Total;Asia;Bonaire;2012;407
352;Total male and female;Total;Asia;Bonaire;2013;458
353;Total male and female;Total;Asia;Bonaire;2014;519
354;Total male and female;Total;Asia;Bonaire;2015;517
355;Total male and female;Total;Asia;Bonaire;2016;526
356;Total male and female;Total;Asia;Bonaire;2017;429
357;Total male and female;Total;Asia;Bonaire;2018;451
358;Total male and female;Total;Asia;Bonaire;2019;465
359;Total male and female;Total;Asia;Bonaire;2020;470
360;Total male and female;Total;Asia;Bonaire;2021;474
361;Total male and female;Total;Asia;Bonaire;2022;479
362;Total male and female;Total;Asia;Bonaire;2023;502
363;Total male and female;Total;Asia;Bonaire;2024;544
364;Total male and female;Total;Asia;St. Eustatius;2011;115
365;Total male and female;Total;Asia;St. Eustatius;2012;122
366;Total male and female;Total;Asia;St. Eustatius;2013;147
367;Total male and female;Total;Asia;St. Eustatius;2014;132
368;Total male and female;Total;Asia;St. Eustatius;2015;119
369;Total male and female;Total;Asia;St. Eustatius;2016;86
370;Total male and female;Total;Asia;St. Eustatius;2017;88
371;Total male and female;Total;Asia;St. Eustatius;2018;77
372;Total male and female;Total;Asia;St. Eustatius;2019;64
373;Total male and female;Total;Asia;St. Eustatius;2020;56
374;Total male and female;Total;Asia;St. Eustatius;2021;54
375;Total male and female;Total;Asia;St. Eustatius;2022;77
376;Total male and female;Total;Asia;St. Eustatius;2023;82
377;Total male and female;Total;Asia;St. Eustatius;2024;76
378;Total male and female;Total;Asia;Saba;2011;154
379;Total male and female;Total;Asia;Saba;2012;184
380;Total male and female;Total;Asia;Saba;2013;187
381;Total male and female;Total;Asia;Saba;2014;153
382;Total male and female;Total;Asia;Saba;2015;120
383;Total male and female;Total;Asia;Saba;2016;126
384;Total male and female;Total;Asia;Saba;2017;127
385;Total male and female;Total;Asia;Saba;2018;167
386;Total male and female;Total;Asia;Saba;2019;121
387;Total male and female;Total;Asia;Saba;2020;134
388;Total male and female;Total;Asia;Saba;2021;124
389;Total male and female;Total;Asia;Saba;2022;111
390;Total male and female;Total;Asia;Saba;2023;150
391;Total male and female;Total;Asia;Saba;2024;153
392;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2011;2338
393;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2012;2797
394;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2013;3070
395;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2014;3397
396;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2015;3479
397;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2016;3583
398;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2017;3674
399;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2018;3834
400;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2019;3882
401;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2020;4091
402;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2021;4311
403;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2022;4524
404;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2023;4997
405;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2024;5123
406;Total male and female;Total;Europe (including the Netherlands);Bonaire;2011;1960
407;Total male and female;Total;Europe (including the Netherlands);Bonaire;2012;2350
408;Total male and female;Total;Europe (including the Netherlands);Bonaire;2013;2581
409;Total male and female;Total;Europe (including the Netherlands);Bonaire;2014;2866
410;Total male and female;Total;Europe (including the Netherlands);Bonaire;2015;2971
411;Total male and female;Total;Europe (including the Netherlands);Bonaire;2016;3080
412;Total male and female;Total;Europe (including the Netherlands);Bonaire;2017;3170
413;Total male and female;Total;Europe (including the Netherlands);Bonaire;2018;3323
414;Total male and female;Total;Europe (including the Netherlands);Bonaire;2019;3414
415;Total male and female;Total;Europe (including the Netherlands);Bonaire;2020;3640
