ID;Geslacht;Leeftijd;Migratieachtergrond;Perioden;TotaalDeelnemersVavo_1;VavoDeelnemersVmboT_2;VavoDeelnemersHavo_3;VavoDeelnemersVwo_4
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond;2006/'07;11986;2714;6631;2641
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond;2007/'08;13078;2719;7337;3022
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond;2008/'09;15364;2453;9509;3402
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond;2009/'10;16665;2540;9387;4738
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond;2010/'11;15175;2256;9108;3811
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond;2011/'12;13721;2143;8222;3356
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond;2012/'13;13334;2181;7555;3598
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond;2013/'14;13453;2327;7907;3219
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond;2014/'15;13791;2285;7955;3551
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond;2015/'16;15522;2480;9106;3936
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond;2016/'17;16250;2513;9603;4134
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond;2017/'18;16674;2723;9654;4297
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond;2018/'19;16200;2448;9385;4367
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond;2019/'20;15558;2338;8769;4451
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond;2020/'21;9876;1335;6035;2506
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond;2021/'22;12252;1445;7227;3580
16;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2006/'07;7239;1452;4104;1683
17;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2007/'08;7988;1444;4572;1972
18;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2008/'09;9742;1356;6186;2200
19;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2009/'10;10469;1368;5966;3135
20;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2010/'11;9753;1244;5957;2552
21;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2011/'12;9001;1149;5492;2360
22;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2012/'13;8672;1183;5019;2470
23;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2013/'14;8520;1236;5159;2125
24;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2014/'15;8753;1224;5240;2289
25;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2015/'16;10052;1350;6145;2557
26;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2016/'17;10518;1290;6530;2698
27;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2017/'18;10574;1284;6421;2869
