ID;Populatie;KenmerkenVanHetHuishouden;RegioS;Perioden;AantalHuishoudens_1;RelatiefAantalHuishoudens_2;GemiddeldBesteedbaarInkomen_3;MediaanBesteedbaarInkomen_4;GemiddeldGestandaardiseerdInkomen_5;MediaanGestandaardiseerdInkomen_6
0;1;41;Nederland;2005;7051.6;100.0;29.0;25.3;20.2;18.1
1;1;41;Nederland;2006;7099.9;100.0;30.4;26.4;21.2;18.9
2;1;41;Nederland;2007;7156.6;100.0;32.6;27.7;22.7;19.9
3;1;41;Nederland;2008;7228.1;100.0;33.3;28.6;23.3;20.6
4;1;41;Nederland;2009 voor methodewijziging;7307.3;100.0;33.3;28.7;23.4;20.8
5;1;41;Nederland;2009 na methodewijziging;7281.3;100.0;33.5;28.8;23.4;20.9
6;1;41;Nederland;2010;7337.3;100.0;33.3;28.6;23.4;20.8
7;1;41;Nederland;2011;7406.4;100.0;33.3;28.7;23.4;20.9
8;1;41;Nederland;2012;7458.1;100.0;33.6;28.7;23.6;21.1
9;1;41;Nederland;2013;7480.8;100.0;33.8;28.6;23.7;21.1
10;1;41;Nederland;2014;7556.3;100.0;35.1;29.0;24.7;21.6
11;1;41;Noord-Nederland (LD);2005;738.6;100.0;26.4;23.5;18.5;16.7
12;1;41;Noord-Nederland (LD);2006;743.4;100.0;27.8;24.6;19.4;17.5
13;1;41;Noord-Nederland (LD);2007;748.6;100.0;29.5;25.7;20.6;18.3
14;1;41;Noord-Nederland (LD);2008;754.1;100.0;30.4;26.6;21.3;19.0
15;1;41;Noord-Nederland (LD);2009 voor methodewijziging;761.2;100.0;30.4;26.7;21.4;19.2
16;1;41;Noord-Nederland (LD);2009 na methodewijziging;757.9;100.0;30.4;26.7;21.4;19.3
17;1;41;Noord-Nederland (LD);2010;762.1;100.0;30.4;26.5;21.4;19.2
18;1;41;Noord-Nederland (LD);2011;767.5;100.0;30.5;26.7;21.5;19.4
19;1;41;Noord-Nederland (LD);2012;771.4;100.0;30.5;26.7;21.6;19.6
