ID;Geslacht;Leeftijd;Migratieachtergrond;DiagnosesICPC;Marges;Perioden;PersonenMetDiagnose_1
0;Totaal mannen en vrouwen;10000;Totaal;A. Algemeen en niet gespecificeerd;Waarde;2012;196
1;Totaal mannen en vrouwen;10000;Totaal;A. Algemeen en niet gespecificeerd;Waarde;2013;194
2;Totaal mannen en vrouwen;10000;Totaal;A. Algemeen en niet gespecificeerd;Waarde;2014;200
3;Totaal mannen en vrouwen;10000;Totaal;A. Algemeen en niet gespecificeerd;Waarde;2015;200
4;Totaal mannen en vrouwen;10000;Totaal;A. Algemeen en niet gespecificeerd;Waarde;2016;188
5;Totaal mannen en vrouwen;10000;Totaal;A. Algemeen en niet gespecificeerd;Waarde;2017;194
6;Totaal mannen en vrouwen;10000;Totaal;A. Algemeen en niet gespecificeerd;Waarde;2018;199
7;Totaal mannen en vrouwen;10000;Totaal;A. Algemeen en niet gespecificeerd;Waarde;2019;212
8;Totaal mannen en vrouwen;10000;Totaal;A. Algemeen en niet gespecificeerd;Waarde;2020;210
9;Totaal mannen en vrouwen;10000;Totaal;A. Algemeen en niet gespecificeerd;Waarde;2021;214
10;Totaal mannen en vrouwen;10000;Totaal;A. Algemeen en niet gespecificeerd;Waarde;2022;225
11;Totaal mannen en vrouwen;10000;Totaal;A. Algemeen en niet gespecificeerd;Ondergrens 95%-interval;2012;195
12;Totaal mannen en vrouwen;10000;Totaal;A. Algemeen en niet gespecificeerd;Ondergrens 95%-interval;2013;193
13;Totaal mannen en vrouwen;10000;Totaal;A. Algemeen en niet gespecificeerd;Ondergrens 95%-interval;2014;199
14;Totaal mannen en vrouwen;10000;Totaal;A. Algemeen en niet gespecificeerd;Ondergrens 95%-interval;2015;199
15;Totaal mannen en vrouwen;10000;Totaal;A. Algemeen en niet gespecificeerd;Ondergrens 95%-interval;2016;187
16;Totaal mannen en vrouwen;10000;Totaal;A. Algemeen en niet gespecificeerd;Ondergrens 95%-interval;2017;193
17;Totaal mannen en vrouwen;10000;Totaal;A. Algemeen en niet gespecificeerd;Ondergrens 95%-interval;2018;198
18;Totaal mannen en vrouwen;10000;Totaal;A. Algemeen en niet gespecificeerd;Ondergrens 95%-interval;2019;211
19;Totaal mannen en vrouwen;10000;Totaal;A. Algemeen en niet gespecificeerd;Ondergrens 95%-interval;2020;209
20;Totaal mannen en vrouwen;10000;Totaal;A. Algemeen en niet gespecificeerd;Ondergrens 95%-interval;2021;213
21;Totaal mannen en vrouwen;10000;Totaal;A. Algemeen en niet gespecificeerd;Ondergrens 95%-interval;2022;225
22;Totaal mannen en vrouwen;10000;Totaal;A. Algemeen en niet gespecificeerd;Bovengrens 95%-interval;2012;197
23;Totaal mannen en vrouwen;10000;Totaal;A. Algemeen en niet gespecificeerd;Bovengrens 95%-interval;2013;194
24;Totaal mannen en vrouwen;10000;Totaal;A. Algemeen en niet gespecificeerd;Bovengrens 95%-interval;2014;200
25;Totaal mannen en vrouwen;10000;Totaal;A. Algemeen en niet gespecificeerd;Bovengrens 95%-interval;2015;201
26;Totaal mannen en vrouwen;10000;Totaal;A. Algemeen en niet gespecificeerd;Bovengrens 95%-interval;2016;189
27;Totaal mannen en vrouwen;10000;Totaal;A. Algemeen en niet gespecificeerd;Bovengrens 95%-interval;2017;194
28;Totaal mannen en vrouwen;10000;Totaal;A. Algemeen en niet gespecificeerd;Bovengrens 95%-interval;2018;199
29;Totaal mannen en vrouwen;10000;Totaal;A. Algemeen en niet gespecificeerd;Bovengrens 95%-interval;2019;212
30;Totaal mannen en vrouwen;10000;Totaal;A. Algemeen en niet gespecificeerd;Bovengrens 95%-interval;2020;211
