ID;Geslacht;Persoonskenmerken;Beroep;CaribischNederland;Perioden;WerkzameBeroepsbevolking_1
0;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2014;13060
1;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2016;13290
2;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2018;14270
3;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2020;14330
4;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2022;15670
5;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2014;9960
6;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2016;10700
7;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2018;11240
8;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2020;11490
9;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2022;12840
10;Totaal mannen en vrouwen;Totaal;Totaal;Sint-Eustatius;2014;2200
11;Totaal mannen en vrouwen;Totaal;Totaal;Sint-Eustatius;2016;1610
12;Totaal mannen en vrouwen;Totaal;Totaal;Sint-Eustatius;2018;1860
13;Totaal mannen en vrouwen;Totaal;Totaal;Sint-Eustatius;2020;1720
14;Totaal mannen en vrouwen;Totaal;Totaal;Sint-Eustatius;2022;1810
15;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2014;900
16;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2016;970
17;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2018;1170
18;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2020;1130
19;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2022;1010
20;Totaal mannen en vrouwen;Totaal;Beroepsniveau 1 (ISCO 2008);Caribisch Nederland;2014;1490
21;Totaal mannen en vrouwen;Totaal;Beroepsniveau 1 (ISCO 2008);Caribisch Nederland;2016;1260
22;Totaal mannen en vrouwen;Totaal;Beroepsniveau 1 (ISCO 2008);Caribisch Nederland;2018;1710
23;Totaal mannen en vrouwen;Totaal;Beroepsniveau 1 (ISCO 2008);Caribisch Nederland;2020;1430
24;Totaal mannen en vrouwen;Totaal;Beroepsniveau 1 (ISCO 2008);Caribisch Nederland;2022;1790
