ID;Geslacht;KenmerkenVanPersonen;InkomensgrensHuishouden;DuurInkomenspositie;Perioden;Personen_1;PersonenRelatief_2
0;Totaal mannen en vrouwen;Totaal personen;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2011;928.7;5.8
1;Totaal mannen en vrouwen;Totaal personen;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2012;1075.0;6.7
2;Totaal mannen en vrouwen;Totaal personen;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2013;1186.6;7.4
3;Totaal mannen en vrouwen;Totaal personen;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2014;1142.8;7.2
4;Totaal mannen en vrouwen;Totaal personen;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2015;1102.7;6.9
5;Totaal mannen en vrouwen;Totaal personen;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2016;1041.3;6.5
6;Totaal mannen en vrouwen;Totaal personen;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2017;1028.7;6.3
7;Totaal mannen en vrouwen;Totaal personen;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2018;1028.9;6.3
8;Totaal mannen en vrouwen;Totaal personen;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2019;971.8;5.9
9;Totaal mannen en vrouwen;Totaal personen;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2020;896.2;5.4
10;Totaal mannen en vrouwen;Totaal personen;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2021;824.8;5.0
11;Totaal mannen en vrouwen;Totaal personen;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2022;603.0;3.6
12;Totaal mannen en vrouwen;Totaal personen;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2023;555.2;3.3
13;Totaal mannen en vrouwen;Totaal personen;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2011;286.0;1.9
14;Totaal mannen en vrouwen;Totaal personen;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2012;316.1;2.1
15;Totaal mannen en vrouwen;Totaal personen;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2013;349.1;2.3
16;Totaal mannen en vrouwen;Totaal personen;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2014;355.1;2.3
17;Totaal mannen en vrouwen;Totaal personen;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2015;391.4;2.5
18;Totaal mannen en vrouwen;Totaal personen;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2016;398.8;2.6
19;Totaal mannen en vrouwen;Totaal personen;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2017;391.5;2.5
20;Totaal mannen en vrouwen;Totaal personen;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2018;391.3;2.5
21;Totaal mannen en vrouwen;Totaal personen;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2019;391.8;2.5
22;Totaal mannen en vrouwen;Totaal personen;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2020;374.7;2.4
23;Totaal mannen en vrouwen;Totaal personen;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2021;356.0;2.3
24;Totaal mannen en vrouwen;Totaal personen;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2022;233.5;1.5
25;Totaal mannen en vrouwen;Totaal personen;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2023;149.3;0.9
26;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2011;803.0;5.1
27;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2012;869.6;5.5
28;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2013;897.2;5.6
29;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2014;904.9;5.7
30;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2015;869.2;5.4
31;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2016;865.8;5.4
32;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2017;847.5;5.2
33;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2018;824.8;5.0
34;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2019;800.1;4.9
