ID;Geslacht;Leeftijd;Herkomst;GeneesmiddelengroepATC;Perioden;PersonenMetVerstrekteGeneesmiddelen_1;PersonenMetGeneesmiddelenRelatief_2;GedefinieerdeDagdosesDDD_3;GedefinieerdeDagdosesDDDRelatief_4
0;Totaal mannen en vrouwen;10000;Totaal;Totaal;2020;11177900.0;62.8;9042636.0;508053.0
1;Totaal mannen en vrouwen;10000;Totaal;Totaal;2021;11341405.0;63.33;9177238.0;512472.0
2;Totaal mannen en vrouwen;10000;Totaal;Totaal;2022;11617275.0;63.99;9277338.0;510975.0
3;Totaal mannen en vrouwen;10000;Totaal;Totaal;2023;11715720.0;64.01;8786468.0;480027.0
4;Totaal mannen en vrouwen;10000;Totaal;A Maagdarmkanaal en metabolisme;2020;4314580.0;24.24;2089376.0;117390.0
5;Totaal mannen en vrouwen;10000;Totaal;A Maagdarmkanaal en metabolisme;2021;4466230.0;24.94;2147242.0;119905.0
6;Totaal mannen en vrouwen;10000;Totaal;A Maagdarmkanaal en metabolisme;2022;4516000.0;24.87;2193286.0;120801.0
7;Totaal mannen en vrouwen;10000;Totaal;A Maagdarmkanaal en metabolisme;2023;3955890.0;21.61;1582135.0;86436.0
8;Totaal mannen en vrouwen;10000;Totaal;A01 Mondpreparaten;2020;45190.0;0.25;288.0;16.0
9;Totaal mannen en vrouwen;10000;Totaal;A01 Mondpreparaten;2021;57885.0;0.32;240.0;13.0
10;Totaal mannen en vrouwen;10000;Totaal;A01 Mondpreparaten;2022;112735.0;0.62;921.0;51.0
11;Totaal mannen en vrouwen;10000;Totaal;A01 Mondpreparaten;2023;99835.0;0.55;628.0;34.0
12;Totaal mannen en vrouwen;10000;Totaal;A01A Mondpreparaten;2020;45190.0;0.25;288.0;16.0
13;Totaal mannen en vrouwen;10000;Totaal;A01A Mondpreparaten;2021;57885.0;0.32;240.0;13.0
14;Totaal mannen en vrouwen;10000;Totaal;A01A Mondpreparaten;2022;112735.0;0.62;921.0;51.0
15;Totaal mannen en vrouwen;10000;Totaal;A01A Mondpreparaten;2023;99835.0;0.55;628.0;34.0
16;Totaal mannen en vrouwen;10000;Totaal;A02 Middelen bij zuurgerelateerde afw.;2020;2271760.0;12.76;824097.0;46301.0
17;Totaal mannen en vrouwen;10000;Totaal;A02 Middelen bij zuurgerelateerde afw.;2021;2288615.0;12.78;829291.0;46309.0
18;Totaal mannen en vrouwen;10000;Totaal;A02 Middelen bij zuurgerelateerde afw.;2022;2265255.0;12.48;820614.0;45198.0
19;Totaal mannen en vrouwen;10000;Totaal;A02 Middelen bij zuurgerelateerde afw.;2023;2237090.0;12.22;808517.0;44171.0
20;Totaal mannen en vrouwen;10000;Totaal;A02A Antacida;2020;85.0;0.0;17.0;1.0
21;Totaal mannen en vrouwen;10000;Totaal;A02A Antacida;2021;60.0;0.0;20.0;1.0
