ID;Geslacht;Leeftijd;TypeInstelling;Perioden;AantalUltimoVerslagjaar_1;PercentageUltimoVerslagjaar_2;AantalInVerslagjaar_3;PercentageInVerslagjaar_4;OpnamedagenInVerslagjaar_5
0;Totaal mannen en vrouwen;0;Totaal zorg met verblijf;2004;227900;1.79;310605.0;2.44;83948.0
1;Totaal mannen en vrouwen;0;Totaal zorg met verblijf;2005;230160;1.8;316285.0;2.47;84381.0
2;Totaal mannen en vrouwen;0;Totaal zorg met verblijf;2006;232640;1.82;321735.0;2.51;85753.0
3;Totaal mannen en vrouwen;0;Totaal zorg met verblijf;2007;238890;1.86;;;
4;Totaal mannen en vrouwen;0;Totaal zorg met verblijf;2008;239095;1.84;334405.0;2.59;87442.0
5;Totaal mannen en vrouwen;0;Totaal zorg met verblijf;2009;246275;1.88;342425.0;2.63;89080.0
6;Totaal mannen en vrouwen;0;Verpleging en verzorging;2004;162315;1.28;240205.0;1.88;60402.0
7;Totaal mannen en vrouwen;0;Verpleging en verzorging;2005;161270;1.26;242245.0;1.89;59790.0
8;Totaal mannen en vrouwen;0;Verpleging en verzorging;2006;160190;1.25;243910.0;1.9;59840.0
9;Totaal mannen en vrouwen;0;Verpleging en verzorging;2007;163690;1.27;;;
10;Totaal mannen en vrouwen;0;Verpleging en verzorging;2008;162170;1.25;250895.0;1.95;59378.0
11;Totaal mannen en vrouwen;0;Verpleging en verzorging;2009;164790;1.26;255290.0;1.96;59850.0
12;Totaal mannen en vrouwen;0;Gehandicaptenzorg;2004;49820;0.39;52860.0;0.41;18006.0
13;Totaal mannen en vrouwen;0;Gehandicaptenzorg;2005;51820;0.41;54895.0;0.43;18606.0
14;Totaal mannen en vrouwen;0;Gehandicaptenzorg;2006;53725;0.42;57175.0;0.45;19357.0
15;Totaal mannen en vrouwen;0;Gehandicaptenzorg;2007;56355;0.44;;;
16;Totaal mannen en vrouwen;0;Gehandicaptenzorg;2008;56900;0.44;61765.0;0.48;21030.0
17;Totaal mannen en vrouwen;0;Gehandicaptenzorg;2009;59790;0.46;63600.0;0.49;21637.0
18;Totaal mannen en vrouwen;0;Geestelijke gezondheidszorg;2004;15770;0.12;18425.0;0.14;5540.0
19;Totaal mannen en vrouwen;0;Geestelijke gezondheidszorg;2005;17070;0.13;19990.0;0.16;5985.0
20;Totaal mannen en vrouwen;0;Geestelijke gezondheidszorg;2006;18725;0.15;21545.0;0.17;6555.0
21;Totaal mannen en vrouwen;0;Geestelijke gezondheidszorg;2007;18845;0.15;;;
22;Totaal mannen en vrouwen;0;Geestelijke gezondheidszorg;2008;20025;0.15;23230.0;0.18;7035.0
23;Totaal mannen en vrouwen;0;Geestelijke gezondheidszorg;2009;21690;0.17;25350.0;0.19;7593.0
24;Totaal mannen en vrouwen;1;Totaal zorg met verblijf;2004;7250;0.53;8585.0;0.64;2358.0
25;Totaal mannen en vrouwen;1;Totaal zorg met verblijf;2005;8265;0.61;9710.0;0.73;2656.0
26;Totaal mannen en vrouwen;1;Totaal zorg met verblijf;2006;9270;0.68;10925.0;0.82;3053.0
27;Totaal mannen en vrouwen;1;Totaal zorg met verblijf;2007;10335;0.75;;;
28;Totaal mannen en vrouwen;1;Totaal zorg met verblijf;2008;11425;0.81;13220.0;0.98;4008.0
29;Totaal mannen en vrouwen;1;Totaal zorg met verblijf;2009;12245;0.86;14260.0;1.03;4283.0
30;Totaal mannen en vrouwen;1;Verpleging en verzorging;2004;105;0.01;135.0;0.01;33.0
31;Totaal mannen en vrouwen;1;Verpleging en verzorging;2005;120;0.01;165.0;0.01;38.0
32;Totaal mannen en vrouwen;1;Verpleging en verzorging;2006;115;0.01;160.0;0.01;40.0
33;Totaal mannen en vrouwen;1;Verpleging en verzorging;2007;310;0.02;;;
34;Totaal mannen en vrouwen;1;Verpleging en verzorging;2008;380;0.03;510.0;0.04;131.0
35;Totaal mannen en vrouwen;1;Verpleging en verzorging;2009;415;0.03;565.0;0.04;141.0
36;Totaal mannen en vrouwen;1;Gehandicaptenzorg;2004;6015;0.44;7065.0;0.53;1984.0
37;Totaal mannen en vrouwen;1;Gehandicaptenzorg;2005;6775;0.5;7865.0;0.59;2195.0
38;Totaal mannen en vrouwen;1;Gehandicaptenzorg;2006;7580;0.56;8880.0;0.67;2518.0
39;Totaal mannen en vrouwen;1;Gehandicaptenzorg;2007;8525;0.62;;;
40;Totaal mannen en vrouwen;1;Gehandicaptenzorg;2008;9245;0.66;10685.0;0.79;3309.0
41;Totaal mannen en vrouwen;1;Gehandicaptenzorg;2009;9840;0.69;11350.0;0.82;3505.0
42;Totaal mannen en vrouwen;1;Geestelijke gezondheidszorg;2004;1130;0.08;1430.0;0.11;341.0
43;Totaal mannen en vrouwen;1;Geestelijke gezondheidszorg;2005;1365;0.1;1745.0;0.13;424.0
44;Totaal mannen en vrouwen;1;Geestelijke gezondheidszorg;2006;1575;0.12;1950.0;0.15;496.0
45;Totaal mannen en vrouwen;1;Geestelijke gezondheidszorg;2007;1500;0.11;;;
46;Totaal mannen en vrouwen;1;Geestelijke gezondheidszorg;2008;1805;0.13;2220.0;0.16;568.0
47;Totaal mannen en vrouwen;1;Geestelijke gezondheidszorg;2009;1985;0.14;2575.0;0.19;638.0
48;Totaal mannen en vrouwen;2;Totaal zorg met verblijf;2004;4925;0.5;5500.0;0.57;1745.0
49;Totaal mannen en vrouwen;2;Totaal zorg met verblijf;2005;5370;0.54;5970.0;0.62;1898.0
50;Totaal mannen en vrouwen;2;Totaal zorg met verblijf;2006;5705;0.58;6300.0;0.65;2022.0
51;Totaal mannen en vrouwen;2;Totaal zorg met verblijf;2007;5950;0.6;;;
52;Totaal mannen en vrouwen;2;Totaal zorg met verblijf;2008;6220;0.63;6915.0;0.73;2235.0
53;Totaal mannen en vrouwen;2;Totaal zorg met verblijf;2009;6830;0.68;7515.0;0.78;2428.0
54;Totaal mannen en vrouwen;2;Verpleging en verzorging;2004;130;0.01;175.0;0.02;47.0
55;Totaal mannen en vrouwen;2;Verpleging en verzorging;2005;135;0.01;175.0;0.02;47.0
56;Totaal mannen en vrouwen;2;Verpleging en verzorging;2006;125;0.01;170.0;0.02;43.0
57;Totaal mannen en vrouwen;2;Verpleging en verzorging;2007;205;0.02;;;
58;Totaal mannen en vrouwen;2;Verpleging en verzorging;2008;235;0.02;300.0;0.03;76.0
59;Totaal mannen en vrouwen;2;Verpleging en verzorging;2009;235;0.02;335.0;0.03;86.0
60;Totaal mannen en vrouwen;2;Gehandicaptenzorg;2004;3760;0.38;4060.0;0.42;1353.0
61;Totaal mannen en vrouwen;2;Gehandicaptenzorg;2005;4020;0.41;4330.0;0.45;1445.0
