ID;Zorgfuncties;FinancieringsvormenZorg;Perioden;UitgavenGezondheidsEnWelzijnszorg_1
0;Totaal uitgaven aan zorg en welzijn;Totaal alle financieringsvormen;2021;129060.0
1;Totaal uitgaven aan zorg en welzijn;Totaal alle financieringsvormen;2022;132858.0
2;Totaal uitgaven aan zorg en welzijn;Totaal alle financieringsvormen;2023;142824.0
3;Totaal uitgaven aan zorg en welzijn;Totaal financiering van ingezetenen;2021;128838.0
4;Totaal uitgaven aan zorg en welzijn;Totaal financiering van ingezetenen;2022;132605.0
5;Totaal uitgaven aan zorg en welzijn;Totaal financiering van ingezetenen;2023;142563.0
6;Totaal uitgaven aan zorg en welzijn;HF1: Overheid en soc. verzekering;2021;109367.0
7;Totaal uitgaven aan zorg en welzijn;HF1: Overheid en soc. verzekering;2022;111121.0
8;Totaal uitgaven aan zorg en welzijn;HF1: Overheid en soc. verzekering;2023;119070.0
9;Totaal uitgaven aan zorg en welzijn;HF11: Overheid;2021;32859.0
10;Totaal uitgaven aan zorg en welzijn;HF11: Overheid;2022;31622.0
11;Totaal uitgaven aan zorg en welzijn;HF11: Overheid;2023;32630.0
12;Totaal uitgaven aan zorg en welzijn;HF12: Verplichte premiegeb verzekeringen;2021;76507.0
13;Totaal uitgaven aan zorg en welzijn;HF12: Verplichte premiegeb verzekeringen;2022;79499.0
14;Totaal uitgaven aan zorg en welzijn;HF12: Verplichte premiegeb verzekeringen;2023;86440.0
15;Totaal uitgaven aan zorg en welzijn;HF121a: Wlz, AWBZ;2021;26738.0
16;Totaal uitgaven aan zorg en welzijn;HF121a: Wlz, AWBZ;2022;28349.0
17;Totaal uitgaven aan zorg en welzijn;HF121a: Wlz, AWBZ;2023;31366.0
18;Totaal uitgaven aan zorg en welzijn;HF121b: Ziekenfonds;2021;
19;Totaal uitgaven aan zorg en welzijn;HF121b: Ziekenfonds;2022;
20;Totaal uitgaven aan zorg en welzijn;HF121b: Ziekenfonds;2023;
21;Totaal uitgaven aan zorg en welzijn;HF122: Zorgverzekeringswet;2021;49769.0
22;Totaal uitgaven aan zorg en welzijn;HF122: Zorgverzekeringswet;2022;51150.0
23;Totaal uitgaven aan zorg en welzijn;HF122: Zorgverzekeringswet;2023;55074.0
24;Totaal uitgaven aan zorg en welzijn;Vrijwillige financiering, eigen betaling;2021;19472.0
25;Totaal uitgaven aan zorg en welzijn;Vrijwillige financiering, eigen betaling;2022;21484.0
26;Totaal uitgaven aan zorg en welzijn;Vrijwillige financiering, eigen betaling;2023;23493.0
27;Totaal uitgaven aan zorg en welzijn;HF2: Vrijwillige financieringsvormen;2021;6161.0
28;Totaal uitgaven aan zorg en welzijn;HF2: Vrijwillige financieringsvormen;2022;6207.0
29;Totaal uitgaven aan zorg en welzijn;HF2: Vrijwillige financieringsvormen;2023;6621.0
30;Totaal uitgaven aan zorg en welzijn;HF21:Vrijwillige ziektekostenverzekering;2021;4127.0
31;Totaal uitgaven aan zorg en welzijn;HF21:Vrijwillige ziektekostenverzekering;2022;4135.0
32;Totaal uitgaven aan zorg en welzijn;HF21:Vrijwillige ziektekostenverzekering;2023;4422.0
33;Totaal uitgaven aan zorg en welzijn;HF22: Financiering door IZWH;2021;381.0
34;Totaal uitgaven aan zorg en welzijn;HF22: Financiering door IZWH;2022;404.0
35;Totaal uitgaven aan zorg en welzijn;HF22: Financiering door IZWH;2023;418.0
36;Totaal uitgaven aan zorg en welzijn;HF23: Financiering door ondernemingen;2021;1653.0
37;Totaal uitgaven aan zorg en welzijn;HF23: Financiering door ondernemingen;2022;1668.0
