ID;PeriodenInclusiefStandaardfout;TotaalBevolkingVan16JaarOfOuder_1;Mannen_2;Vrouwen_3;k_16Tot45Jaar_4;k_45Tot65Jaar_5;k_65Tot75Jaar_6;k_75JaarOfOuder_7;TotaalRisicogroepen_8;Mannen_9;Vrouwen_10;k_16Tot45Jaar_11;k_45Tot65Jaar_12;k_65Tot75Jaar_13;k_75JaarOfOuder_14;Hartaandoeningen_15;AandoeningenLongenEnLuchtwegen_16;Suikerziekte_17;TotaalNietRisicogroepen_18;Mannen_19;Vrouwen_20;k_16Tot45Jaar_21;k_45Tot65Jaar_22
0;1991;6.5;6.3;6.7;1.6;5.7;25.3;31.9;23.8;22.8;24.7;10.4;22.7;25.3;31.9;31.0;25.1;47.4;1.7;1.8;1.5;0.9;3.4
1;1995;11.1;11.0;11.2;3.3;10.9;38.8;47.7;39.2;41.8;37.2;24.2;44.7;38.8;47.7;59.9;40.3;54.3;2.9;2.8;3.0;1.6;5.6
2;1997;16.9;17.4;16.3;4.7;15.0;65.0;69.8;59.2;61.9;56.7;32.0;61.1;65.0;69.8;74.7;51.3;78.2;4.2;4.2;4.2;2.4;7.6
3;1998;18.1;17.7;18.4;5.3;15.4;70.0;77.1;61.9;62.8;61.1;37.3;55.6;70.0;77.1;68.1;50.8;77.5;4.4;4.3;4.5;2.1;8.4
4;1999;17.0;18.0;16.2;4.2;13.6;69.6;77.9;60.7;62.7;58.7;28.8;54.8;69.6;77.9;71.3;48.6;71.5;3.9;4.0;3.9;2.0;7.0
5;2000;18.6;19.7;17.6;4.1;15.0;73.6;80.1;65.6;69.9;64.4;33.8;57.5;73.6;80.1;76.9;54.4;78.5;4.4;4.6;4.2;1.8;8.6
6;2001;20.1;20.7;19.6;5.1;15.5;71.9;84.2;69.2;70.3;68.1;41.2;63.8;71.9;84.2;80.9;57.6;76.8;5.4;5.5;5.3;2.5;9.6
7;2002;20.8;20.7;20.8;5.0;16.2;72.9;87.5;70.0;68.8;71.2;41.0;62.9;72.9;87.5;80.1;57.1;79.7;5.2;5.4;5.0;2.0;9.8
8;2003;21.4;21.2;21.5;5.5;16.2;64.3;81.5;69.1;68.7;69.5;40.8;61.6;74.3;81.5;76.2;55.8;79.4;5.7;5.2;6.0;2.8;9.6
9;2004;21.5;20.9;22.0;5.3;17.1;68.3;81.3;66.6;66.1;67.1;38.0;63.9;68.3;81.3;83.8;56.2;78.1;5.8;5.3;6.2;2.6;10.3
10;2005;22.3;22.3;22.3;6.7;17.2;72.9;82.6;69.1;66.9;71.4;40.8;62.1;72.9;82.6;73.4;59.6;77.3;6.6;6.3;6.8;4.2;9.7
11;2006;23.4;22.8;23.9;6.3;19.2;69.0;84.7;69.9;70.4;69.6;39.2;67.6;69.0;84.7;77.2;60.8;79.2;7.1;6.6;7.5;4.3;10.9
12;2007;24.3;23.5;25.0;6.9;18.3;72.2;85.4;71.3;71.0;71.6;38.2;70.0;72.2;85.4;76.2;62.4;83.7;7.1;6.4;7.8;4.3;10.5
13;2008;26.8;26.0;27.6;5.8;23.3;72.6;85.1;72.3;72.5;72.1;37.9;70.4;72.6;85.1;83.7;63.3;81.5;9.5;8.5;10.4;3.6;16.2
14;2009;28.7;29.4;28.2;7.7;27.4;70.1;80.4;70.6;72.8;68.4;50.3;68.9;70.1;80.4;79.5;68.7;78.5;12.2;11.0;13.3;4.6;20.6
15;Standaardfout;0.5;0.7;0.7;0.5;0.8;1.7;1.9;1.2;1.7;1.6;2.6;1.7;1.9;1.9;3.3;2.2;2.6;0.4;0.5;0.5;0.4;0.7
