ID;OwnerTenant;HouseholdCharacteristics;Margins;Regions;Periods;SatisfactionWithCurrentDwelling_1;SatisfactionWithLivingEnvironment_2
0;Total;Private households;Value;The Netherlands;2002;89.2;84.3
1;Total;Private households;Value;The Netherlands;2006;89.7;85.0
2;Total;Private households;Value;The Netherlands;2009;90.0;83.4
3;Total;Private households;Value;The Netherlands;2012;89.0;84.1
4;Total;Private households;Value;The Netherlands;2015;86.9;82.0
5;Total;Private households;Value;The Netherlands;2018;84.6;83.3
6;Total;Private households;Value;The Netherlands;2021;85.6;83.8
7;Total;Private households;Value;The Netherlands;2024;82.5;82.6
8;Total;Private households;Value;Noord-Nederland (LD);2002;90.4;88.5
9;Total;Private households;Value;Noord-Nederland (LD);2006;92.1;88.4
10;Total;Private households;Value;Noord-Nederland (LD);2009;91.4;86.6
11;Total;Private households;Value;Noord-Nederland (LD);2012;90.5;87.2
12;Total;Private households;Value;Noord-Nederland (LD);2015;88.0;83.5
13;Total;Private households;Value;Noord-Nederland (LD);2018;86.2;85.5
14;Total;Private households;Value;Noord-Nederland (LD);2021;87.2;85.6
15;Total;Private households;Value;Noord-Nederland (LD);2024;83.1;84.5
16;Total;Private households;Value;Oost-Nederland (LD);2002;90.7;86.1
17;Total;Private households;Value;Oost-Nederland (LD);2006;91.0;86.9
18;Total;Private households;Value;Oost-Nederland (LD);2009;91.3;85.2
19;Total;Private households;Value;Oost-Nederland (LD);2012;90.5;86.1
20;Total;Private households;Value;Oost-Nederland (LD);2015;88.3;82.9
21;Total;Private households;Value;Oost-Nederland (LD);2018;86.2;84.6
22;Total;Private households;Value;Oost-Nederland (LD);2021;88.8;85.8
23;Total;Private households;Value;Oost-Nederland (LD);2024;85.8;85.4
24;Total;Private households;Value;West-Nederland (LD);2002;87.5;81.9
25;Total;Private households;Value;West-Nederland (LD);2006;87.8;82.7
26;Total;Private households;Value;West-Nederland (LD);2009;88.5;81.5
27;Total;Private households;Value;West-Nederland (LD);2012;87.5;82.3
28;Total;Private households;Value;West-Nederland (LD);2015;85.3;80.6
29;Total;Private households;Value;West-Nederland (LD);2018;82.9;81.8
30;Total;Private households;Value;West-Nederland (LD);2021;83.1;82.1
31;Total;Private households;Value;West-Nederland (LD);2024;80.2;80.7
32;Total;Private households;Value;Zuid-Nederland (LD);2002;90.9;86.0
33;Total;Private households;Value;Zuid-Nederland (LD);2006;91.7;86.5
34;Total;Private households;Value;Zuid-Nederland (LD);2009;91.2;84.3
35;Total;Private households;Value;Zuid-Nederland (LD);2012;90.2;84.6
36;Total;Private households;Value;Zuid-Nederland (LD);2015;88.8;83.4
37;Total;Private households;Value;Zuid-Nederland (LD);2018;86.1;84.5
38;Total;Private households;Value;Zuid-Nederland (LD);2021;87.2;84.7
39;Total;Private households;Value;Zuid-Nederland (LD);2024;83.9;83.3
40;Total;Private households;Value;Groningen (PV);2002;88.9;86.6
41;Total;Private households;Value;Groningen (PV);2006;91.1;88.3
42;Total;Private households;Value;Groningen (PV);2009;90.3;85.5
43;Total;Private households;Value;Groningen (PV);2012;88.7;85.8
44;Total;Private households;Value;Groningen (PV);2015;86.7;79.9
45;Total;Private households;Value;Groningen (PV);2018;84.8;83.9
46;Total;Private households;Value;Groningen (PV);2021;85.3;82.7
47;Total;Private households;Value;Groningen (PV);2024;80.8;80.7
48;Total;Private households;Value;Friesland (PV);2002;91.0;90.4
49;Total;Private households;Value;Friesland (PV);2006;91.8;87.5
50;Total;Private households;Value;Friesland (PV);2009;92.0;86.6
51;Total;Private households;Value;Friesland (PV);2012;90.6;87.6
52;Total;Private households;Value;Friesland (PV);2015;87.5;85.8
53;Total;Private households;Value;Friesland (PV);2018;87.4;85.8
54;Total;Private households;Value;Friesland (PV);2021;88.9;87.3
55;Total;Private households;Value;Friesland (PV);2024;83.1;85.8
56;Total;Private households;Value;Drenthe (PV);2002;91.6;88.2
57;Total;Private households;Value;Drenthe (PV);2006;93.7;89.6
58;Total;Private households;Value;Drenthe (PV);2009;92.0;87.8
59;Total;Private households;Value;Drenthe (PV);2012;92.4;88.4
60;Total;Private households;Value;Drenthe (PV);2015;90.3;84.9
61;Total;Private households;Value;Drenthe (PV);2018;86.4;87.1
62;Total;Private households;Value;Drenthe (PV);2021;87.4;86.9
63;Total;Private households;Value;Drenthe (PV);2024;86.2;87.6
64;Total;Private households;Value;Overijssel (PV);2002;91.8;86.3
65;Total;Private households;Value;Overijssel (PV);2006;90.9;87.2
66;Total;Private households;Value;Overijssel (PV);2009;90.9;86.1
67;Total;Private households;Value;Overijssel (PV);2012;89.8;86.7
68;Total;Private households;Value;Overijssel (PV);2015;88.5;83.8
69;Total;Private households;Value;Overijssel (PV);2018;86.6;84.7
70;Total;Private households;Value;Overijssel (PV);2021;90.3;87.3
71;Total;Private households;Value;Overijssel (PV);2024;87.2;87.2
72;Total;Private households;Value;Flevoland (PV);2002;91.8;82.6
73;Total;Private households;Value;Flevoland (PV);2006;89.4;84.0
74;Total;Private households;Value;Flevoland (PV);2009;91.0;83.1
75;Total;Private households;Value;Flevoland (PV);2012;89.6;82.8
76;Total;Private households;Value;Flevoland (PV);2015;88.6;78.4
77;Total;Private households;Value;Flevoland (PV);2018;85.0;81.2
78;Total;Private households;Value;Flevoland (PV);2021;88.5;83.0
79;Total;Private households;Value;Flevoland (PV);2024;84.7;77.7
80;Total;Private households;Value;Gelderland (PV);2002;89.9;86.5
81;Total;Private households;Value;Gelderland (PV);2006;91.4;87.2
82;Total;Private households;Value;Gelderland (PV);2009;91.5;85.1
83;Total;Private households;Value;Gelderland (PV);2012;91.0;86.5
84;Total;Private households;Value;Gelderland (PV);2015;88.2;83.3
85;Total;Private households;Value;Gelderland (PV);2018;86.2;85.2
86;Total;Private households;Value;Gelderland (PV);2021;88.1;85.6
87;Total;Private households;Value;Gelderland (PV);2024;85.3;86.0
88;Total;Private households;Value;Utrecht (PV);2002;90.6;84.3
89;Total;Private households;Value;Utrecht (PV);2006;89.3;84.1
90;Total;Private households;Value;Utrecht (PV);2009;90.5;82.9
91;Total;Private households;Value;Utrecht (PV);2012;89.7;83.8
92;Total;Private households;Value;Utrecht (PV);2015;87.5;81.4
93;Total;Private households;Value;Utrecht (PV);2018;86.9;83.3
94;Total;Private households;Value;Utrecht (PV);2021;86.4;85.5
95;Total;Private households;Value;Utrecht (PV);2024;82.7;82.4
96;Total;Private households;Value;Noord-Holland (PV);2002;85.5;82.6
97;Total;Private households;Value;Noord-Holland (PV);2006;86.6;83.6
98;Total;Private households;Value;Noord-Holland (PV);2009;87.4;82.1
99;Total;Private households;Value;Noord-Holland (PV);2012;87.0;83.1
100;Total;Private households;Value;Noord-Holland (PV);2015;85.3;82.3
101;Total;Private households;Value;Noord-Holland (PV);2018;82.3;83.2
102;Total;Private households;Value;Noord-Holland (PV);2021;83.2;82.5
103;Total;Private households;Value;Noord-Holland (PV);2024;80.1;82.1
104;Total;Private households;Value;Zuid-Holland (PV);2002;87.4;79.9
105;Total;Private households;Value;Zuid-Holland (PV);2006;87.7;80.9
106;Total;Private households;Value;Zuid-Holland (PV);2009;88.4;79.9
107;Total;Private households;Value;Zuid-Holland (PV);2012;86.7;80.6
108;Total;Private households;Value;Zuid-Holland (PV);2015;84.1;78.5
109;Total;Private households;Value;Zuid-Holland (PV);2018;81.6;80.0
110;Total;Private households;Value;Zuid-Holland (PV);2021;81.3;80.1
111;Total;Private households;Value;Zuid-Holland (PV);2024;79.4;78.9
112;Total;Private households;Value;Zeeland (PV);2002;92.7;89.4
113;Total;Private households;Value;Zeeland (PV);2006;92.6;89.7
114;Total;Private households;Value;Zeeland (PV);2009;92.0;86.7
115;Total;Private households;Value;Zeeland (PV);2012;91.2;87.1
116;Total;Private households;Value;Zeeland (PV);2015;89.4;86.0
117;Total;Private households;Value;Zeeland (PV);2018;86.9;84.9
118;Total;Private households;Value;Zeeland (PV);2021;89.4;87.4
119;Total;Private households;Value;Zeeland (PV);2024;86.5;86.4
120;Total;Private households;Value;Noord-Brabant (PV);2002;91.3;86.6
121;Total;Private households;Value;Noord-Brabant (PV);2006;92.0;86.8
122;Total;Private households;Value;Noord-Brabant (PV);2009;91.9;85.1
123;Total;Private households;Value;Noord-Brabant (PV);2012;90.5;85.8
124;Total;Private households;Value;Noord-Brabant (PV);2015;89.2;84.4
125;Total;Private households;Value;Noord-Brabant (PV);2018;86.2;84.8
126;Total;Private households;Value;Noord-Brabant (PV);2021;87.7;85.2
127;Total;Private households;Value;Noord-Brabant (PV);2024;83.9;82.7
128;Total;Private households;Value;Limburg (PV);2002;90.0;84.7
129;Total;Private households;Value;Limburg (PV);2006;91.1;86.0
130;Total;Private households;Value;Limburg (PV);2009;89.9;82.6
131;Total;Private households;Value;Limburg (PV);2012;89.4;82.1
132;Total;Private households;Value;Limburg (PV);2015;87.9;81.4
133;Total;Private households;Value;Limburg (PV);2018;85.8;83.9
134;Total;Private households;Value;Limburg (PV);2021;86.1;83.7
135;Total;Private households;Value;Limburg (PV);2024;82.9;83.5
136;Total;Private households;Value;Oost-Groningen (CR);2002;89.7;87.4
137;Total;Private households;Value;Oost-Groningen (CR);2006;90.7;87.3
138;Total;Private households;Value;Oost-Groningen (CR);2009;91.3;85.2
139;Total;Private households;Value;Oost-Groningen (CR);2012;88.9;84.3
140;Total;Private households;Value;Oost-Groningen (CR);2015;89.3;82.6
141;Total;Private households;Value;Oost-Groningen (CR);2018;86.5;85.8
