ID;RegioS;BewoningWoonruimte;Woningkenmerken;Huishoudenskenmerken;Perioden;Nieuwbouw_1;Woningtransformatie_2;Totaal_3
0;Nederland;Totaal;Woningtype: eengezinswoningen;Totaal;2018;39745.0;610.0;40355.0
1;Nederland;Totaal;Woningtype: eengezinswoningen;Totaal;2019;43445.0;600.0;44045.0
2;Nederland;Totaal;Woningtype: eengezinswoningen;Totaal;2020;40145.0;490.0;40635.0
3;Nederland;Totaal;Woningtype: eengezinswoningen;Totaal;2021;38600.0;490.0;39090.0
4;Nederland;Totaal;Woningtype: eengezinswoningen;Jonger dan 35 jaar;2018;;;
5;Nederland;Totaal;Woningtype: eengezinswoningen;Jonger dan 35 jaar;2019;;;
6;Nederland;Totaal;Woningtype: eengezinswoningen;Jonger dan 35 jaar;2020;;;
7;Nederland;Totaal;Woningtype: eengezinswoningen;Jonger dan 35 jaar;2021;;;
8;Nederland;Totaal;Woningtype: eengezinswoningen;Leeftijd: 35 tot 55 jaar;2018;;;
9;Nederland;Totaal;Woningtype: eengezinswoningen;Leeftijd: 35 tot 55 jaar;2019;;;
10;Nederland;Totaal;Woningtype: eengezinswoningen;Leeftijd: 35 tot 55 jaar;2020;;;
11;Nederland;Totaal;Woningtype: eengezinswoningen;Leeftijd: 35 tot 55 jaar;2021;;;
12;Nederland;Totaal;Woningtype: eengezinswoningen;55 tot 75 jaar;2018;;;
13;Nederland;Totaal;Woningtype: eengezinswoningen;55 tot 75 jaar;2019;;;
14;Nederland;Totaal;Woningtype: eengezinswoningen;55 tot 75 jaar;2020;;;
15;Nederland;Totaal;Woningtype: eengezinswoningen;55 tot 75 jaar;2021;;;
16;Nederland;Totaal;Woningtype: eengezinswoningen;Leeftijd: 75 jaar of ouder;2018;;;
17;Nederland;Totaal;Woningtype: eengezinswoningen;Leeftijd: 75 jaar of ouder;2019;;;
18;Nederland;Totaal;Woningtype: eengezinswoningen;Leeftijd: 75 jaar of ouder;2020;;;
19;Nederland;Totaal;Woningtype: eengezinswoningen;Leeftijd: 75 jaar of ouder;2021;;;
20;Nederland;Totaal;Woningtype: eengezinswoningen;Type: Eenpersoonshuishouden;2018;;;
21;Nederland;Totaal;Woningtype: eengezinswoningen;Type: Eenpersoonshuishouden;2019;;;
22;Nederland;Totaal;Woningtype: eengezinswoningen;Type: Eenpersoonshuishouden;2020;;;
23;Nederland;Totaal;Woningtype: eengezinswoningen;Type: Eenpersoonshuishouden;2021;;;
24;Nederland;Totaal;Woningtype: eengezinswoningen;Type: Eenoudergezin;2018;;;
25;Nederland;Totaal;Woningtype: eengezinswoningen;Type: Eenoudergezin;2019;;;
26;Nederland;Totaal;Woningtype: eengezinswoningen;Type: Eenoudergezin;2020;;;
27;Nederland;Totaal;Woningtype: eengezinswoningen;Type: Eenoudergezin;2021;;;
