ID;KenmerkenWerknemers;Marges;Perioden;ErgSnelWerken_1;HeelVeelWerkDoen_2;ExtraHardWerken_3;ZelfBeslissen_4;VolgordeWerkzaamhedenBepalen_5;WerktempoBepalen_6;OplossingenBedenken_7;VerlofNemen_8;WerktijdenBepalen_9;WerkplekBepalen_10;EmotioneelMoeilijkeWerksituaties_11;EmotioneelVeeleisendWerk_12;EmotioneelBetrokkenBijWerk_13;VanKlantenTot2022_14;VanLeidinggevendenOfCollegaS_15;DoorKlantenTot2022_16;DoorLeidinggevendenOfCollegaS_17;DoorKlantenTot2022_18;DoorLeidinggevendenOfCollegaS_19;DoorKlantenTot2022_20;DoorLeidinggevendenOfCollegaS_21;VanKlantLeidinggevendeOfCollega_22;VanKlantenVanaf2022_23;VanLeidinggevenden_24;VanCollegaS_25;DoorKlantLeidinggevendeOfCollega_26;DoorKlantenVanaf2022_27;DoorLeidinggevenden_28;DoorCollegaS_29;DoorKlantLeidinggevendeOfCollega_30;DoorKlantenVanaf2022_31;DoorLeidinggevenden_32;DoorCollegaS_33;DoorKlantLeidinggevendeOfCollega_34;DoorKlantenVanaf2022_35;DoorLeidinggevenden_36;DoorCollegaS_37;GediscrimineerdGevoeld_38;OmGeslacht_39;OmAfkomstHuidskleurNationaliteit_40;OmGodsdienstOfLevensovertuiging_41;OmSeksueleGeaardheidVoorkeur_42;OmLeeftijd_43;OmLangdurigeZiekteAandoeningHandicap_44;OmWerktijdenOfContractvorm_45;OmPolitiekeVoorkeur_46;OmAndereReden_47;PsychischeVermoeidheidDoorHetWerk_48;EmotioneelUitgeput_49;LeegVoelen_50;SOchtendsMoeVoelen_51;VergtVeelOmMetMensenTeWerken_52;UitgeputDoorWerk_53
10;Totaal;Waarde;2024;30.1;40.4;25.5;61.9;61.8;57.5;65.2;56.7;29.2;26.7;7.0;11.5;13.0;;;;;;;;;4.5;3.1;0.3;1.1;11.9;8.8;1.4;1.6;2.8;2.4;0.1;0.2;5.5;1.2;1.3;3.0;11.4;2.1;3.4;1.0;0.5;2.9;1.5;1.3;0.5;2.7;20.1;20.1;33.6;23.1;18.0;16.3
11;Totaal;Ondergrens 95%-interval;2014;36.0;44.7;30.2;60.0;61.8;55.5;67.5;47.5;22.6;;7.4;11.7;13.0;5.1;1.7;18.4;11.4;5.6;0.4;5.3;7.5;;;;;;;;;;;;;;;;;;;;;;;;;;;14.0;13.4;30.1;17.9;9.9;12.6
12;Totaal;Ondergrens 95%-interval;2015;35.8;44.9;30.2;59.4;61.6;56.1;67.2;48.2;22.9;;7.1;11.4;12.6;4.9;1.7;18.1;10.8;5.5;0.3;4.8;7.8;;;;;;;;;;;;;;;;;;;;;;;;;;;13.1;12.0;27.4;16.9;9.5;12.4
13;Totaal;Ondergrens 95%-interval;2016;35.6;44.6;30.1;59.3;60.9;55.3;67.3;47.7;23.5;;7.7;11.8;12.7;5.2;1.9;18.8;10.8;5.6;0.4;5.3;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;14.3;13.2;29.5;18.5;10.4;13.0
14;Totaal;Ondergrens 95%-interval;2017;36.2;45.7;31.7;59.1;60.2;54.6;67.3;48.2;24.1;;8.4;12.6;13.8;5.8;2.0;18.8;11.0;5.6;0.4;5.2;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;15.6;14.2;29.8;19.1;11.7;14.1
15;Totaal;Ondergrens 95%-interval;2018;35.9;45.9;30.2;59.7;60.8;55.7;67.1;50.0;25.6;;8.4;12.6;14.4;5.1;2.1;18.4;10.4;5.6;0.5;5.6;7.8;;;;;;;;;;;;;;;;;;;;;;;;;;;16.9;17.3;31.5;20.1;13.2;14.9
16;Totaal;Ondergrens 95%-interval;2019;35.0;45.2;29.8;60.3;61.2;56.4;67.3;51.4;26.6;;8.6;13.1;14.8;8.2;3.0;23.2;12.9;7.1;0.7;7.7;9.9;;;;;;;;;;;;;;;;;;;;;;;;;;;16.7;15.8;30.6;20.2;13.6;15.1
17;Totaal;Ondergrens 95%-interval;2020;31.8;42.0;26.8;61.3;62.5;59.0;67.2;52.9;28.1;;7.7;11.8;14.9;4.4;1.7;17.2;8.2;4.8;0.4;5.1;6.4;;;;;;;;;;;;;;;;;;;;;;;;;;;15.4;15.6;29.7;18.9;12.6;13.3
18;Totaal;Ondergrens 95%-interval;2021;33.1;44.4;29.3;60.2;61.6;56.9;66.5;52.1;28.0;;8.8;12.9;15.6;5.8;2.0;18.0;8.5;5.3;0.5;5.7;6.7;;;;;;;;;;;;;;;;;;;;;;;;;;;16.9;16.2;30.5;21.0;14.1;15.1
19;Totaal;Ondergrens 95%-interval;2022;30.9;41.9;26.8;61.9;61.6;57.4;65.1;54.3;28.5;27.1;6.2;10.6;12.1;;;;;;;;;4.2;2.8;0.3;0.9;10.9;7.9;1.4;1.3;2.8;2.4;0.0;0.1;4.6;1.0;1.1;2.4;9.9;2.0;2.6;0.7;0.3;2.2;1.2;1.2;0.2;2.4;19.7;19.9;33.9;22.7;16.6;16.0
20;Totaal;Ondergrens 95%-interval;2023;29.6;40.0;24.9;62.6;62.2;57.9;65.2;55.9;28.9;27.0;6.7;10.9;12.5;;;;;;;;;4.2;2.9;0.2;0.9;11.2;8.0;1.5;1.4;2.7;2.3;0.0;0.1;5.0;1.1;1.2;2.6;10.3;2.0;2.7;0.7;0.4;2.4;1.1;1.2;0.3;2.4;18.7;19.2;32.4;21.6;15.9;15.1
21;Totaal;Ondergrens 95%-interval;2024;29.7;40.0;25.2;61.5;61.4;57.1;64.8;56.3;28.8;26.3;6.7;11.2;12.6;;;;;;;;;4.2;2.9;0.2;1.0;11.6;8.5;1.3;1.4;2.6;2.2;0.1;0.1;5.2;1.1;1.2;2.8;11.0;2.0;3.2;0.8;0.4;2.7;1.3;1.2;0.4;2.5;19.8;19.7;33.2;22.7;17.6;15.9
22;Totaal;Bovengrens 95%-interval;2014;37.1;45.8;31.2;61.0;62.9;56.5;68.5;48.5;23.5;;8.0;12.4;13.8;5.6;2.0;19.3;12.0;6.1;0.6;5.8;8.1;;;;;;;;;;;;;;;;;;;;;;;;;;;14.8;14.2;31.1;18.8;10.6;13.4
23;Totaal;Bovengrens 95%-interval;2015;36.7;45.9;31.1;60.4;62.6;57.1;68.1;49.1;23.7;;7.7;12.0;13.2;5.3;1.9;18.8;11.4;5.9;0.5;5.3;8.3;;;;;;;;;;;;;;;;;;;;;;;;;;;13.8;12.7;28.3;17.7;10.1;13.0
24;Totaal;Bovengrens 95%-interval;2016;36.5;45.5;31.0;60.3;61.9;56.2;68.2;48.6;24.4;;8.2;12.5;13.4;5.7;2.2;19.6;11.4;6.1;0.5;5.8;8.6;;;;;;;;;;;;;;;;;;;;;;;;;;;15.0;13.9;30.4;19.3;11.0;13.7
25;Totaal;Bovengrens 95%-interval;2017;37.2;46.7;32.6;60.0;61.1;55.6;68.3;49.2;25.0;;8.9;13.3;14.5;6.3;2.3;19.5;11.7;6.0;0.5;5.7;8.5;;;;;;;;;;;;;;;;;;;;;;;;;;;16.3;14.9;30.7;19.9;12.4;14.8
26;Totaal;Bovengrens 95%-interval;2018;36.8;46.8;30.9;60.6;61.6;56.5;67.9;50.8;26.4;;8.9;13.2;15.0;5.5;2.4;19.0;10.9;6.0;0.7;6.0;8.2;;;;;;;;;;;;;;;;;;;;;;;;;;;17.6;18.0;32.3;20.8;13.8;15.6
27;Totaal;Bovengrens 95%-interval;2019;35.8;46.1;30.6;61.1;62.0;57.2;68.1;52.2;27.4;;9.1;13.6;15.4;8.7;3.3;24.0;13.5;7.5;0.9;8.2;10.4;;;;;;;;;;;;;;;;;;;;;;;;;;;17.4;16.5;31.4;20.9;14.2;15.8
28;Totaal;Bovengrens 95%-interval;2020;32.7;42.9;27.6;62.1;63.4;59.8;68.0;53.8;28.8;;8.2;12.4;15.5;4.8;1.9;17.9;8.7;5.2;0.6;5.5;6.9;;;;;;;;;;;;;;;;;;;;;;;;;;;16.1;16.3;30.5;19.6;13.2;13.9
29;Totaal;Bovengrens 95%-interval;2021;34.0;45.4;30.2;61.2;62.5;57.8;67.4;53.0;28.9;;9.4;13.5;16.3;6.3;2.3;18.7;9.1;5.7;0.6;6.2;7.2;;;;;;;;;;;;;;;;;;;;;;;;;;;17.6;16.9;31.4;21.8;14.7;15.8
30;Totaal;Bovengrens 95%-interval;2022;31.7;42.8;27.6;62.7;62.5;58.3;65.9;55.1;29.3;27.8;6.9;11.4;12.9;;;;;;;;;4.7;3.2;0.5;1.2;11.7;8.6;1.7;1.6;3.2;2.8;0.1;0.3;5.2;1.3;1.4;2.8;10.7;2.3;3.1;1.0;0.4;2.6;1.5;1.5;0.3;2.8;20.4;20.6;34.8;23.5;17.3;16.7
31;Totaal;Bovengrens 95%-interval;2023;30.4;40.9;25.7;63.4;63.0;58.7;66.1;56.7;29.7;27.8;7.3;11.7;13.3;;;;;;;;;4.8;3.3;0.3;1.2;12.0;8.7;1.8;1.7;3.1;2.7;0.1;0.3;5.6;1.3;1.5;3.1;11.1;2.3;3.2;0.9;0.6;2.8;1.4;1.5;0.5;2.8;19.4;19.9;33.2;22.3;16.6;15.7
32;Totaal;Bovengrens 95%-interval;2024;30.5;40.8;25.9;62.3;62.2;57.9;65.6;57.2;29.6;27.0;7.3;11.9;13.4;;;;;;;;;4.7;3.4;0.3;1.2;12.3;9.1;1.6;1.8;3.0;2.6;0.1;0.2;5.8;1.4;1.5;3.2;11.8;2.3;3.7;1.1;0.5;3.1;1.6;1.5;0.5;2.9;20.5;20.4;34.1;23.5;18.3;16.6
33;Herkomst: geboren in Nederland;Waarde;2014;36.3;45.1;30.3;61.5;63.4;56.4;69.2;49.2;23.7;;7.4;12.0;13.3;5.4;1.8;19.6;11.8;6.0;0.4;5.3;7.4;;;;;;;;;;;;;;;;;;;;;;;;;;;13.4;13.0;29.7;17.3;9.5;12.0
34;Herkomst: geboren in Nederland;Waarde;2015;36.3;45.5;30.5;60.8;63.0;56.6;68.9;49.5;23.8;;7.0;11.6;12.9;5.3;1.7;19.3;11.3;5.9;0.3;4.9;7.6;;;;;;;;;;;;;;;;;;;;;;;;;;;12.6;11.7;27.2;16.4;9.3;11.8
35;Herkomst: geboren in Nederland;Waarde;2016;36.1;45.0;30.4;60.8;62.4;56.0;68.8;49.4;24.4;;7.5;12.1;13.1;5.6;2.0;20.1;11.1;6.1;0.4;5.4;7.7;;;;;;;;;;;;;;;;;;;;;;;;;;;13.8;12.9;29.4;18.0;10.2;12.6
36;Herkomst: geboren in Nederland;Waarde;2017;36.7;46.1;32.0;60.5;61.8;55.5;69.1;49.8;25.2;;8.1;12.8;13.8;6.2;2.0;20.1;11.4;6.0;0.4;5.4;7.7;;;;;;;;;;;;;;;;;;;;;;;;;;;14.8;13.5;29.4;18.5;11.3;13.4
37;Herkomst: geboren in Nederland;Waarde;2018;36.3;46.3;30.3;61.4;62.5;56.6;68.7;51.6;26.8;;8.0;12.7;14.3;5.3;2.1;19.6;10.7;6.1;0.5;5.6;7.4;;;;;;;;;;;;;;;;;;;;;;;;;;;16.0;16.5;30.9;19.2;12.5;14.1
38;Herkomst: geboren in Nederland;Waarde;2019;35.4;45.5;29.9;61.9;62.9;57.3;69.1;52.8;27.6;;8.2;13.1;14.7;8.6;2.9;24.7;13.1;7.6;0.6;7.6;9.5;;;;;;;;;;;;;;;;;;;;;;;;;;;15.8;15.2;30.1;19.4;13.1;14.2
39;Herkomst: geboren in Nederland;Waarde;2020;32.2;42.2;26.8;63.1;64.4;60.1;68.9;54.7;29.3;;7.4;11.9;14.9;4.7;1.7;18.6;8.4;5.2;0.4;5.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;14.7;15.0;29.3;18.1;12.1;12.4
40;Herkomst: geboren in Nederland;Waarde;2021;33.3;44.4;29.0;62.2;63.6;57.9;68.4;53.8;29.3;;8.3;12.9;15.4;6.3;2.0;19.4;8.5;5.7;0.4;5.7;6.2;;;;;;;;;;;;;;;;;;;;;;;;;;;15.9;15.4;29.8;19.9;13.4;14.0
41;Herkomst: geboren in Nederland;Waarde;2022;31.0;42.0;26.6;63.1;63.1;58.1;66.8;55.9;29.4;27.3;5.8;10.5;12.0;;;;;;;;;4.5;3.3;0.3;1.0;11.5;8.8;1.4;1.3;3.0;2.7;0.0;0.1;4.4;1.1;1.1;2.3;8.5;2.0;1.1;0.6;0.3;2.4;1.4;1.2;0.2;2.3;18.5;19.1;33.1;21.7;15.9;14.8
42;Herkomst: geboren in Nederland;Waarde;2023;29.7;40.3;24.8;63.9;63.6;58.5;67.3;57.8;30.1;27.6;6.2;10.9;12.3;;;;;;;;;4.6;3.3;0.3;1.0;12.0;9.1;1.5;1.4;3.0;2.7;0.0;0.1;4.8;1.1;1.1;2.6;8.8;1.9;1.1;0.7;0.5;2.5;1.3;1.2;0.4;2.3;17.1;17.9;31.1;20.0;14.9;13.7
43;Herkomst: geboren in Nederland;Waarde;2024;29.8;40.3;24.8;62.8;62.9;57.7;66.9;58.2;30.0;27.0;6.3;11.3;12.4;;;;;;;;;4.5;3.3;0.3;1.0;12.5;9.7;1.3;1.4;3.0;2.6;0.1;0.1;4.9;1.2;1.1;2.7;9.1;1.9;1.3;0.7;0.4;2.7;1.4;1.2;0.4;2.2;18.2;18.4;32.0;21.3;16.5;14.5
44;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2014;35.8;44.5;29.8;60.9;62.9;55.8;68.7;48.6;23.2;;7.1;11.7;12.9;5.1;1.6;19.1;11.5;5.8;0.4;5.0;7.1;;;;;;;;;;;;;;;;;;;;;;;;;;;13.0;12.6;29.2;16.9;9.1;11.7
45;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2015;35.8;45.0;30.0;60.3;62.5;56.1;68.4;49.0;23.4;;6.8;11.3;12.5;5.1;1.6;18.9;11.0;5.7;0.3;4.7;7.3;;;;;;;;;;;;;;;;;;;;;;;;;;;12.3;11.4;26.8;16.0;9.0;11.5
46;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2016;35.6;44.5;30.0;60.3;62.0;55.4;68.3;48.8;23.9;;7.2;11.8;12.7;5.4;1.9;19.7;10.8;5.9;0.3;5.1;7.4;;;;;;;;;;;;;;;;;;;;;;;;;;;13.5;12.6;29.0;17.6;9.9;12.2
47;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2017;36.2;45.6;31.5;60.0;61.3;54.9;68.6;49.3;24.8;;7.9;12.4;13.5;6.0;1.9;19.7;11.1;5.8;0.3;5.1;7.4;;;;;;;;;;;;;;;;;;;;;;;;;;;14.5;13.2;29.0;18.1;10.9;13.0
48;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2018;35.8;45.9;29.9;60.9;62.1;56.1;68.3;51.2;26.5;;7.7;12.4;14.0;5.1;2.0;19.2;10.4;5.9;0.4;5.4;7.2;;;;;;;;;;;;;;;;;;;;;;;;;;;15.6;16.2;30.5;18.8;12.2;13.8
49;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2019;34.9;45.0;29.4;61.5;62.5;56.8;68.6;52.4;27.2;;8.0;12.8;14.4;8.3;2.8;24.4;12.8;7.4;0.5;7.4;9.2;;;;;;;;;;;;;;;;;;;;;;;;;;;15.5;14.8;29.7;19.0;12.8;13.9
50;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2020;31.8;41.7;26.4;62.6;63.9;59.6;68.5;54.3;28.9;;7.1;11.6;14.6;4.5;1.6;18.3;8.1;5.0;0.3;4.8;5.8;;;;;;;;;;;;;;;;;;;;;;;;;;;14.3;14.7;28.9;17.7;11.8;12.1
51;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2021;32.8;43.9;28.6;61.7;63.1;57.4;68.0;53.3;28.9;;8.0;12.5;15.1;6.0;1.9;19.0;8.2;5.5;0.3;5.5;5.9;;;;;;;;;;;;;;;;;;;;;;;;;;;15.5;15.1;29.3;19.5;13.0;13.6
52;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2022;30.5;41.6;26.2;62.7;62.7;57.6;66.3;55.5;29.0;26.9;5.5;10.1;11.6;;;;;;;;;4.2;3.0;0.3;0.8;11.1;8.4;1.3;1.1;2.8;2.5;0.0;0.1;4.1;1.0;1.0;2.1;8.1;1.8;0.9;0.5;0.2;2.2;1.2;1.1;0.2;2.1;18.2;18.7;32.7;21.3;15.5;14.5
53;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2023;29.3;39.9;24.4;63.5;63.2;58.1;66.8;57.3;29.7;27.2;5.9;10.5;11.9;;;;;;;;;4.3;3.0;0.2;0.9;11.6;8.7;1.4;1.3;2.8;2.5;0.0;0.1;4.5;1.0;1.0;2.4;8.4;1.8;1.0;0.5;0.4;2.3;1.2;1.1;0.3;2.1;16.8;17.5;30.7;19.7;14.6;13.4
54;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2024;29.4;39.8;24.4;62.3;62.5;57.3;66.5;57.7;29.6;26.7;6.0;10.9;12.0;;;;;;;;;4.2;3.0;0.2;0.9;12.1;9.3;1.1;1.3;2.8;2.4;0.0;0.1;4.6;1.1;1.0;2.5;8.7;1.7;1.1;0.6;0.4;2.5;1.2;1.1;0.3;2.1;17.9;18.1;31.6;20.9;16.2;14.2
55;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2014;36.9;45.7;30.8;62.1;64.0;56.9;69.7;49.7;24.2;;7.7;12.4;13.7;5.7;1.9;20.0;12.2;6.3;0.5;5.6;7.7;;;;;;;;;;;;;;;;;;;;;;;;;;;13.8;13.4;30.3;17.7;9.8;12.4
56;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2015;36.8;46.0;30.9;61.3;63.5;57.2;69.3;50.0;24.2;;7.3;12.0;13.2;5.5;1.9;19.7;11.6;6.1;0.4;5.1;7.8;;;;;;;;;;;;;;;;;;;;;;;;;;;12.9;12.0;27.7;16.8;9.6;12.2
57;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2016;36.6;45.5;30.9;61.3;62.9;56.5;69.3;49.9;24.8;;7.8;12.5;13.4;5.8;2.2;20.5;11.5;6.4;0.5;5.7;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;14.2;13.2;29.9;18.4;10.5;12.9
58;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2017;37.2;46.7;32.5;61.0;62.3;56.0;69.5;50.4;25.7;;8.4;13.1;14.2;6.5;2.2;20.5;11.7;6.3;0.4;5.6;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;15.2;13.9;29.9;18.9;11.6;13.8
59;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2018;36.7;46.8;30.7;61.8;62.9;57.0;69.1;52.0;27.2;;8.2;13.0;14.6;5.5;2.2;19.9;10.9;6.3;0.6;5.8;7.6;;;;;;;;;;;;;;;;;;;;;;;;;;;16.3;16.9;31.3;19.5;12.8;14.4
60;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2019;35.8;45.9;30.3;62.4;63.4;57.7;69.5;53.3;28.0;;8.4;13.4;15.0;8.8;3.1;25.1;13.4;7.8;0.7;7.9;9.7;;;;;;;;;;;;;;;;;;;;;;;;;;;16.2;15.5;30.5;19.7;13.5;14.5
61;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2020;32.7;42.7;27.3;63.5;64.8;60.5;69.4;55.2;29.8;;7.6;12.2;15.3;4.9;1.8;19.0;8.7;5.4;0.5;5.2;6.2;;;;;;;;;;;;;;;;;;;;;;;;;;;15.0;15.4;29.8;18.4;12.4;12.7
62;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2021;33.8;44.9;29.5;62.6;64.1;58.4;68.9;54.3;29.8;;8.6;13.2;15.8;6.5;2.2;19.8;8.8;6.0;0.5;6.0;6.4;;;;;;;;;;;;;;;;;;;;;;;;;;;16.3;15.8;30.2;20.3;13.7;14.3
63;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2022;31.4;42.5;27.0;63.6;63.5;58.5;67.2;56.3;29.8;27.7;6.1;10.9;12.4;;;;;;;;;4.8;3.5;0.4;1.1;11.9;9.2;1.6;1.4;3.3;3.0;0.1;0.2;4.7;1.2;1.2;2.6;8.9;2.2;1.3;0.8;0.4;2.6;1.5;1.4;0.3;2.5;18.9;19.5;33.5;22.1;16.2;15.2
64;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2023;30.1;40.8;25.2;64.4;64.0;59.0;67.7;58.2;30.5;28.0;6.6;11.3;12.7;;;;;;;;;4.9;3.5;0.3;1.2;12.4;9.5;1.7;1.6;3.2;2.9;0.1;0.2;5.0;1.3;1.3;2.8;9.2;2.1;1.3;0.8;0.6;2.7;1.5;1.3;0.4;2.5;17.5;18.2;31.5;20.4;15.3;14.0
65;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2024;30.2;40.7;25.2;63.2;63.3;58.2;67.3;58.6;30.4;27.4;6.6;11.7;12.8;;;;;;;;;4.8;3.5;0.3;1.2;13.0;10.1;1.4;1.6;3.2;2.8;0.1;0.2;5.2;1.4;1.2;2.9;9.5;2.1;1.5;0.8;0.5;3.0;1.6;1.4;0.5;2.4;18.6;18.8;32.5;21.6;16.9;14.8
66;Herkomst: geboren buiten Nederland;Waarde;2014;38.1;46.5;33.7;52.2;53.3;53.0;57.7;38.1;17.8;;10.5;12.4;14.3;4.5;2.5;12.7;10.4;4.2;1.0;7.2;11.3;;;;;;;;;;;;;;;;;;;;;;;;;;;22.6;20.6;37.8;27.1;16.8;21.2
67;Herkomst: geboren buiten Nederland;Waarde;2015;35.5;45.0;32.1;52.4;54.7;56.4;57.8;41.8;18.9;;10.4;12.2;13.2;3.7;2.1;11.3;9.6;3.9;0.9;6.0;12.1;;;;;;;;;;;;;;;;;;;;;;;;;;;20.2;17.3;32.8;24.4;13.9;19.9
68;Herkomst: geboren buiten Nederland;Waarde;2016;36.1;45.5;31.3;51.8;52.9;54.1;58.9;38.5;20.4;;11.8;12.4;13.0;4.3;2.4;12.4;10.8;3.7;0.9;6.6;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;;21.0;18.8;34.4;26.1;14.5;19.9
69;Herkomst: geboren buiten Nederland;Waarde;2017;36.9;46.9;33.6;52.2;51.3;52.7;58.0;40.0;19.2;;12.6;14.6;16.3;4.4;3.0;11.8;11.1;4.1;0.9;6.3;12.6;;;;;;;;;;;;;;;;;;;;;;;;;;;24.6;22.3;36.8;27.2;18.3;22.4
70;Herkomst: geboren buiten Nederland;Waarde;2018;37.0;46.4;32.6;51.2;51.8;53.0;58.5;41.8;20.0;;13.4;14.6;17.5;4.9;3.3;12.2;10.9;4.0;1.4;6.9;12.4;;;;;;;;;;;;;;;;;;;;;;;;;;;26.6;25.6;39.3;29.5;20.7;23.7
