ID;Marges;Geslacht;Leeftijd;Perioden;RegelmatigVeelKrachtZetten_1;RegelmatigHardPraten_2;RegelmatigTeMakenMetTrillingen_3;GevaarlijkWerkTot2019_4;GevaarlijkWerkVanaf2019_5;Vallen_6;Struikelen_7;Bekneld_8;Snijden_9;Botsen_10;GevaarlijkeStoffen_11;Geweld_12;Verbranden_13;Verstikking_14;Anders_15;WaterigeOplossingen_16;StoffenOpHuid_17;AdemtStoffenIn_18;BesmettePersonen_19;WerktMetOfDichtbijOngezondeStoffen_20;Besmettingskans_21;BesmettingskansViaPatienten_22;BesmettingskansViaAndereMensen_23;BesmettingskansViaDieren_24;BesmettingskansViaWater_25;BesmettingskansViaOnderzoeksmateriaal_26;BesmettingskansViaAnderMateriaal_27;InOngemakkelijkeWerkhoudingWerken_28;TijdensWerkRepeterendeBewegingMaken_29;UurPerDagAanBeeldschermVoorWerk_30
0;Waarde;Totaal mannen en vrouwen;Totaal;2015;21.1;5.9;13.6;2.3;;;;;;;;;;;;17.4;8.9;8.3;4.4;;;;;;;;;11.0;31.0;3.3
1;Waarde;Totaal mannen en vrouwen;Totaal;2017;22.7;6.0;13.1;2.7;;;;;;;;;;;;18.3;9.3;8.7;3.4;;;;;;;;;12.0;33.4;3.4
2;Waarde;Totaal mannen en vrouwen;Totaal;2019;22.1;6.3;13.2;;12.8;2.3;4.6;1.3;4.7;3.0;1.0;0.6;1.5;0.2;2.2;17.7;9.6;9.1;4.4;;;;;;;;;12.1;30.6;3.4
3;Waarde;Totaal mannen en vrouwen;Totaal;2021;21.8;6.2;12.8;;13.3;2.7;4.9;1.4;5.8;2.8;1.1;0.6;1.5;0.2;2.1;17.5;9.2;7.7;6.7;;;;;;;;;12.8;31.5;3.7
4;Waarde;Totaal mannen en vrouwen;Totaal;2023;22.4;6.5;12.4;;13.1;2.9;4.5;1.3;5.2;2.4;0.9;0.8;1.3;0.2;1.8;;;;;5.3;44.2;10.8;31.7;4.6;0.8;0.3;2.0;12.6;28.2;3.6
5;Waarde;Totaal mannen en vrouwen;15 tot 25 jaar;2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Waarde;Totaal mannen en vrouwen;15 tot 25 jaar;2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Waarde;Totaal mannen en vrouwen;15 tot 25 jaar;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Waarde;Totaal mannen en vrouwen;15 tot 25 jaar;2021;29.9;12.8;18.5;;18.3;2.9;9.4;3.8;8.6;5.4;2.4;1.9;2.5;1.3;2.5;14.8;12.6;10.8;10.1;;;;;;;;;15.2;33.3;3.4
9;Waarde;Totaal mannen en vrouwen;15 tot 25 jaar;2023;28.8;13.9;21.1;;23.7;6.9;8.9;3.6;8.3;5.9;1.7;1.7;3.2;0.0;3.7;;;;;3.5;27.6;5.3;19.8;5.1;0.0;0.0;1.6;16.9;33.4;3.4
10;Waarde;Totaal mannen en vrouwen;25 tot 35 jaar;2015;23.9;8.2;15.5;3.3;;;;;;;;;;;;14.5;10.1;9.4;3.1;;;;;;;;;14.8;35.3;3.6
11;Waarde;Totaal mannen en vrouwen;25 tot 35 jaar;2017;24.4;9.5;13.6;2.4;;;;;;;;;;;;17.3;11.5;9.2;3.6;;;;;;;;;12.7;36.9;3.9
12;Waarde;Totaal mannen en vrouwen;25 tot 35 jaar;2019;23.5;9.0;17.1;;16.8;2.6;6.2;1.6;7.4;3.8;1.2;1.1;2.3;0.2;3.1;19.4;12.6;12.6;4.8;;;;;;;;;15.1;35.6;3.8
13;Waarde;Totaal mannen en vrouwen;25 tot 35 jaar;2021;25.9;9.4;15.9;;16.9;3.9;6.4;2.1;7.7;3.5;1.2;0.9;2.2;0.7;2.5;19.0;12.6;11.0;8.6;;;;;;;;;18.2;35.3;4.1
14;Waarde;Totaal mannen en vrouwen;25 tot 35 jaar;2023;24.4;6.7;14.3;;15.3;2.6;5.5;1.6;5.8;1.9;0.8;1.2;1.7;0.2;2.6;;;;;7.5;43.0;13.5;29.2;3.8;1.2;0.0;1.0;14.7;27.8;4.1
15;Waarde;Totaal mannen en vrouwen;35 tot 45 jaar;2015;23.0;7.2;15.9;2.5;;;;;;;;;;;;19.4;11.4;8.3;3.4;;;;;;;;;11.2;32.4;3.6
16;Waarde;Totaal mannen en vrouwen;35 tot 45 jaar;2017;25.8;6.9;13.5;3.8;;;;;;;;;;;;18.6;10.5;9.7;3.5;;;;;;;;;14.0;36.2;3.8
17;Waarde;Totaal mannen en vrouwen;35 tot 45 jaar;2019;23.1;7.3;14.8;;14.2;2.6;4.9;1.0;4.5;3.7;0.4;0.7;1.3;0.2;3.2;16.7;9.8;9.5;5.3;;;;;;;;;12.0;29.4;3.7
18;Waarde;Totaal mannen en vrouwen;35 tot 45 jaar;2021;21.8;6.1;13.8;;15.7;3.7;6.0;1.2;7.5;3.4;1.9;0.6;2.0;0.2;1.9;17.7;9.4;7.3;7.5;;;;;;;;;13.3;30.6;4.0
19;Waarde;Totaal mannen en vrouwen;35 tot 45 jaar;2023;23.2;7.7;12.1;;14.8;3.5;4.6;1.6;6.4;2.6;1.5;1.3;1.6;0.2;1.6;;;;;6.2;43.2;11.8;31.7;3.1;1.0;0.4;2.2;15.1;30.2;4.0
20;Waarde;Totaal mannen en vrouwen;45 tot 55 jaar;2015;20.8;5.5;13.5;1.7;;;;;;;;;;;;18.1;8.3;9.2;5.1;;;;;;;;;11.4;31.0;3.2
21;Waarde;Totaal mannen en vrouwen;45 tot 55 jaar;2017;23.1;5.6;14.3;2.8;;;;;;;;;;;;19.9;9.5;9.4;2.9;;;;;;;;;11.6;32.6;3.3
22;Waarde;Totaal mannen en vrouwen;45 tot 55 jaar;2019;23.6;5.9;12.3;;12.6;2.0;4.7;1.4;5.1;2.5;1.7;0.5;1.6;0.2;1.5;18.2;9.7;8.8;4.3;;;;;;;;;12.6;31.7;3.5
23;Waarde;Totaal mannen en vrouwen;45 tot 55 jaar;2021;22.1;6.1;11.7;;14.0;2.5;4.9;1.6;6.1;2.9;1.0;0.6;2.1;0.1;2.8;18.8;10.0;8.1;6.2;;;;;;;;;12.1;33.0;3.8
24;Waarde;Totaal mannen en vrouwen;45 tot 55 jaar;2023;22.1;7.2;12.1;;12.0;3.0;4.1;1.4;5.2;1.9;0.9;0.5;1.3;0.2;2.2;;;;;5.2;47.3;10.2;34.4;5.2;0.8;0.4;3.1;10.9;28.3;3.8
25;Waarde;Totaal mannen en vrouwen;55 tot 65 jaar;2015;19.5;4.3;11.0;2.2;;;;;;;;;;;;18.5;7.8;7.0;5.2;;;;;;;;;9.4;29.7;3.0
26;Waarde;Totaal mannen en vrouwen;55 tot 65 jaar;2017;22.1;5.2;12.0;2.4;;;;;;;;;;;;19.0;8.1;7.9;4.1;;;;;;;;;12.9;33.6;3.0
27;Waarde;Totaal mannen en vrouwen;55 tot 65 jaar;2019;22.2;5.0;12.4;;11.7;2.1;4.0;1.1;4.0;3.2;0.6;0.5;1.1;0.2;1.6;19.1;8.3;8.6;3.8;;;;;;;;;12.1;30.4;3.0
