ID;Nationaliteit;Perioden;DerdelandersGeweigerdAanDeGrens_1
0;Totaal;2008;3155.0
1;Totaal;2009;2515.0
2;Totaal;2010;2935.0
3;Totaal;2011;3500.0
4;Totaal;2012;2515.0
5;Totaal;2013;1990.0
6;Totaal;2014;2455.0
7;Totaal;2015;2295.0
8;Totaal;2016;2705.0
9;Totaal;2017;2410.0
10;Totaal;2018;2555.0
11;Totaal;2019;2900.0
12;Totaal;2020;1980.0
13;Totaal;2021;3745.0
14;Totaal;2022;3070.0
15;Totaal;2023;2475.0
16;Albanees ;2008;10.0
17;Albanees ;2009;20.0
18;Albanees ;2010;15.0
19;Albanees ;2011;25.0
20;Albanees ;2012;50.0
21;Albanees ;2013;40.0
22;Albanees ;2014;120.0
23;Albanees ;2015;185.0
24;Albanees ;2016;200.0
25;Albanees ;2017;315.0
26;Albanees ;2018;245.0
27;Albanees ;2019;125.0
28;Albanees ;2020;65.0
29;Albanees ;2021;150.0
30;Albanees ;2022;70.0
31;Albanees ;2023;95.0
32;Amerikaans ;2008;25.0
33;Amerikaans ;2009;50.0
34;Amerikaans ;2010;60.0
35;Amerikaans ;2011;70.0
36;Amerikaans ;2012;75.0
37;Amerikaans ;2013;40.0
38;Amerikaans ;2014;45.0
39;Amerikaans ;2015;75.0
40;Amerikaans ;2016;60.0
41;Amerikaans ;2017;40.0
42;Amerikaans ;2018;30.0
43;Amerikaans ;2019;25.0
44;Amerikaans ;2020;290.0
45;Amerikaans ;2021;285.0
46;Amerikaans ;2022;95.0
47;Amerikaans ;2023;105.0
48;Angolees ;2008;0.0
49;Angolees ;2009;5.0
50;Angolees ;2010;5.0
51;Angolees ;2011;5.0
52;Angolees ;2012;25.0
53;Angolees ;2013;15.0
54;Angolees ;2014;35.0
55;Angolees ;2015;20.0
56;Angolees ;2016;65.0
57;Angolees ;2017;30.0
58;Angolees ;2018;25.0
59;Angolees ;2019;45.0
60;Angolees ;2020;5.0
61;Angolees ;2021;0.0
62;Angolees ;2022;0.0
63;Angolees ;2023;0.0
64;Braziliaans ;2008;140.0
65;Braziliaans ;2009;180.0
66;Braziliaans ;2010;155.0
67;Braziliaans ;2011;160.0
68;Braziliaans ;2012;155.0
69;Braziliaans ;2013;80.0
70;Braziliaans ;2014;70.0
71;Braziliaans ;2015;95.0
72;Braziliaans ;2016;170.0
73;Braziliaans ;2017;145.0
74;Braziliaans ;2018;175.0
75;Braziliaans ;2019;255.0
76;Braziliaans ;2020;245.0
77;Braziliaans ;2021;240.0
78;Braziliaans ;2022;300.0
79;Braziliaans ;2023;150.0
80;Brits ;2008;
81;Brits ;2009;
82;Brits ;2010;
83;Brits ;2011;
84;Brits ;2012;
85;Brits ;2013;
86;Brits ;2014;
87;Brits ;2015;
88;Brits ;2016;
89;Brits ;2017;
90;Brits ;2018;
91;Brits ;2019;
92;Brits ;2020;
93;Brits ;2021;1000.0
94;Brits ;2022;140.0
95;Brits ;2023;115.0
96;Chinees ;2008;325.0
97;Chinees ;2009;155.0
98;Chinees ;2010;125.0
99;Chinees ;2011;180.0
100;Chinees ;2012;110.0
101;Chinees ;2013;95.0
102;Chinees ;2014;150.0
103;Chinees ;2015;135.0
104;Chinees ;2016;125.0
105;Chinees ;2017;65.0
