ID;RegioS;Inkomensbron;AantalHuishoudens_1;GemiddBesteedbInkomenPerHuishouden_2
0;Nederland;Totaal particulier huishouden;6725.6;29.0
1;Nederland;Loon;3730.1;33.3
2;Nederland;Winst;597.3;31.4
3;Nederland;Werkloosheid,bijstand,arbeidsongeschikt;641.4;16.9
4;Nederland;Pensioen;1669.8;23.3
5;Noord-Nederland (LD);Totaal particulier huishouden;700.7;26.7
6;Noord-Nederland (LD);Loon;364.6;30.7
7;Noord-Nederland (LD);Winst;67.1;28.7
8;Noord-Nederland (LD);Werkloosheid,bijstand,arbeidsongeschikt;70.6;16.7
9;Noord-Nederland (LD);Pensioen;188.0;22.1
10;Oost-Nederland (LD);Totaal particulier huishouden;1354.8;29.0
11;Oost-Nederland (LD);Loon;763.5;33.0
12;Oost-Nederland (LD);Winst;123.8;31.8
13;Oost-Nederland (LD);Werkloosheid,bijstand,arbeidsongeschikt;117.1;17.5
14;Oost-Nederland (LD);Pensioen;332.5;23.2
15;West-Nederland (LD);Totaal particulier huishouden;3225.7;29.4
16;West-Nederland (LD);Loon;1806.6;33.8
17;West-Nederland (LD);Winst;281.9;31.8
18;West-Nederland (LD);Werkloosheid,bijstand,arbeidsongeschikt;317.3;16.3
19;West-Nederland (LD);Pensioen;778.2;23.8
20;Zuid-Nederland (LD);Totaal particulier huishouden;1444.4;29.2
21;Zuid-Nederland (LD);Loon;795.3;33.7
22;Zuid-Nederland (LD);Winst;124.5;31.6
23;Zuid-Nederland (LD);Werkloosheid,bijstand,arbeidsongeschikt;136.4;17.6
24;Zuid-Nederland (LD);Pensioen;371.1;23.1
25;Groningen (PV);Totaal particulier huishouden;239.9;25.9
26;Groningen (PV);Loon;126.5;30.1
27;Groningen (PV);Winst;20.1;28.4
28;Groningen (PV);Werkloosheid,bijstand,arbeidsongeschikt;28.2;15.9
29;Groningen (PV);Pensioen;61.1;21.5
30;Friesland (PV);Totaal particulier huishouden;263.2;26.5
31;Friesland (PV);Loon;135.5;30.2
32;Friesland (PV);Winst;28.8;28.6
33;Friesland (PV);Werkloosheid,bijstand,arbeidsongeschikt;24.6;16.8
34;Friesland (PV);Pensioen;70.5;22.0
35;Drenthe (PV);Totaal particulier huishouden;197.6;27.9
36;Drenthe (PV);Loon;102.7;32.2
37;Drenthe (PV);Winst;18.3;29.4
38;Drenthe (PV);Werkloosheid,bijstand,arbeidsongeschikt;17.8;17.9
39;Drenthe (PV);Pensioen;56.4;23.0
40;Overijssel (PV);Totaal particulier huishouden;435.2;28.3
41;Overijssel (PV);Loon;240.9;32.3
42;Overijssel (PV);Winst;38.5;31.7
43;Overijssel (PV);Werkloosheid,bijstand,arbeidsongeschikt;39.2;17.5
44;Overijssel (PV);Pensioen;110.8;22.5
45;Flevoland (PV);Totaal particulier huishouden;140.1;28.8
46;Flevoland (PV);Loon;87.6;32.4
47;Flevoland (PV);Winst;13.0;29.0
48;Flevoland (PV);Werkloosheid,bijstand,arbeidsongeschikt;13.4;17.5
49;Flevoland (PV);Pensioen;24.5;22.8
50;Gelderland (PV);Totaal particulier huishouden;779.5;29.5
51;Gelderland (PV);Loon;435.0;33.5
52;Gelderland (PV);Winst;72.3;32.3
53;Gelderland (PV);Werkloosheid,bijstand,arbeidsongeschikt;64.5;17.6
54;Gelderland (PV);Pensioen;197.2;23.6
55;Utrecht (PV);Totaal particulier huishouden;475.1;31.5
56;Utrecht (PV);Loon;281.0;35.4
57;Utrecht (PV);Winst;41.5;34.7
58;Utrecht (PV);Werkloosheid,bijstand,arbeidsongeschikt;38.1;17.3
59;Utrecht (PV);Pensioen;108.0;25.2
60;Noord-Holland (PV);Totaal particulier huishouden;1135.4;29.1
61;Noord-Holland (PV);Loon;623.1;33.6
62;Noord-Holland (PV);Winst;110.7;30.4
63;Noord-Holland (PV);Werkloosheid,bijstand,arbeidsongeschikt;121.4;16.3
64;Noord-Holland (PV);Pensioen;264.2;23.9
65;Zuid-Holland (PV);Totaal particulier huishouden;1456.5;29.1
66;Zuid-Holland (PV);Loon;820.2;33.5
67;Zuid-Holland (PV);Winst;113.5;32.0
68;Zuid-Holland (PV);Werkloosheid,bijstand,arbeidsongeschikt;146.5;16.1
69;Zuid-Holland (PV);Pensioen;359.3;23.4
70;Zeeland (PV);Totaal particulier huishouden;158.7;28.5
71;Zeeland (PV);Loon;82.3;32.6
72;Zeeland (PV);Winst;16.1;31.8
73;Zeeland (PV);Werkloosheid,bijstand,arbeidsongeschikt;11.2;16.8
74;Zeeland (PV);Pensioen;46.7;22.8
75;Noord-Brabant (PV);Totaal particulier huishouden;970.9;29.8
76;Noord-Brabant (PV);Loon;545.4;34.1
77;Noord-Brabant (PV);Winst;88.7;32.1
78;Noord-Brabant (PV);Werkloosheid,bijstand,arbeidsongeschikt;84.1;17.8
79;Noord-Brabant (PV);Pensioen;241.7;23.4
80;Limburg (PV);Totaal particulier huishouden;473.5;28.0
81;Limburg (PV);Loon;250.0;32.8
82;Limburg (PV);Winst;35.7;30.2
83;Limburg (PV);Werkloosheid,bijstand,arbeidsongeschikt;52.3;17.3
84;Limburg (PV);Pensioen;129.4;22.7
85;Oost-Groningen (CR);Totaal particulier huishouden;65.2;25.3
86;Oost-Groningen (CR);Loon;32.1;30.2
87;Oost-Groningen (CR);Winst;5.0;27.1
88;Oost-Groningen (CR);Werkloosheid,bijstand,arbeidsongeschikt;8.1;17.1
89;Oost-Groningen (CR);Pensioen;19.0;20.2
90;Delfzijl en omgeving (CR);Totaal particulier huishouden;21.8;26.0
91;Delfzijl en omgeving (CR);Loon;10.8;30.7
92;Delfzijl en omgeving (CR);Winst;1.9;28.2
93;Delfzijl en omgeving (CR);Werkloosheid,bijstand,arbeidsongeschikt;2.4;16.5
94;Delfzijl en omgeving (CR);Pensioen;6.5;21.2
95;Overig Groningen (CR);Totaal particulier huishouden;152.9;26.2
96;Overig Groningen (CR);Loon;83.6;30.0
97;Overig Groningen (CR);Winst;13.2;29.0
98;Overig Groningen (CR);Werkloosheid,bijstand,arbeidsongeschikt;17.7;15.3
99;Overig Groningen (CR);Pensioen;35.6;22.2
100;Noord-Friesland (CR);Totaal particulier huishouden;135.7;26.1
101;Noord-Friesland (CR);Loon;70.9;29.8
102;Noord-Friesland (CR);Winst;14.4;28.3
103;Noord-Friesland (CR);Werkloosheid,bijstand,arbeidsongeschikt;13.6;16.1
104;Noord-Friesland (CR);Pensioen;34.9;21.8
105;Zuidwest-Friesland (CR);Totaal particulier huishouden;42.8;26.7
106;Zuidwest-Friesland (CR);Loon;21.5;30.4
107;Zuidwest-Friesland (CR);Winst;5.7;28.1
108;Zuidwest-Friesland (CR);Werkloosheid,bijstand,arbeidsongeschikt;3.5;17.1
109;Zuidwest-Friesland (CR);Pensioen;11.6;22.2
110;Zuidoost-Friesland (CR);Totaal particulier huishouden;84.6;27.0
111;Zuidoost-Friesland (CR);Loon;43.1;30.9
112;Zuidoost-Friesland (CR);Winst;8.7;29.3
113;Zuidoost-Friesland (CR);Werkloosheid,bijstand,arbeidsongeschikt;7.6;17.9
114;Zuidoost-Friesland (CR);Pensioen;24.0;22.4
115;Noord-Drenthe (CR);Totaal particulier huishouden;75.6;29.0
116;Noord-Drenthe (CR);Loon;40.6;33.1
117;Noord-Drenthe (CR);Winst;6.8;30.2
118;Noord-Drenthe (CR);Werkloosheid,bijstand,arbeidsongeschikt;5.7;18.1
119;Noord-Drenthe (CR);Pensioen;21.3;24.0
120;Zuidoost-Drenthe (CR);Totaal particulier huishouden;70.3;26.6
121;Zuidoost-Drenthe (CR);Loon;35.6;31.2
122;Zuidoost-Drenthe (CR);Winst;6.2;26.4
123;Zuidoost-Drenthe (CR);Werkloosheid,bijstand,arbeidsongeschikt;7.6;17.7
124;Zuidoost-Drenthe (CR);Pensioen;20.2;21.8
125;Zuidwest-Drenthe (CR);Totaal particulier huishouden;51.7;28.1
126;Zuidwest-Drenthe (CR);Loon;26.5;32.1
127;Zuidwest-Drenthe (CR);Winst;5.2;31.8
128;Zuidwest-Drenthe (CR);Werkloosheid,bijstand,arbeidsongeschikt;4.5;18.0
129;Zuidwest-Drenthe (CR);Pensioen;14.8;23.2
130;Noord-Overijssel (CR);Totaal particulier huishouden;132.7;28.8
131;Noord-Overijssel (CR);Loon;74.9;32.5
132;Noord-Overijssel (CR);Winst;13.2;32.3
133;Noord-Overijssel (CR);Werkloosheid,bijstand,arbeidsongeschikt;10.4;17.2
134;Noord-Overijssel (CR);Pensioen;32.6;22.8
135;Zuidwest-Overijssel (CR);Totaal particulier huishouden;60.0;28.2
136;Zuidwest-Overijssel (CR);Loon;34.4;31.8
137;Zuidwest-Overijssel (CR);Winst;4.9;31.5
138;Zuidwest-Overijssel (CR);Werkloosheid,bijstand,arbeidsongeschikt;5.0;17.1
139;Zuidwest-Overijssel (CR);Pensioen;14.7;22.8
140;Twente (CR);Totaal particulier huishouden;242.4;28.1
141;Twente (CR);Loon;131.6;32.4
142;Twente (CR);Winst;20.3;31.4
143;Twente (CR);Werkloosheid,bijstand,arbeidsongeschikt;23.9;17.6
144;Twente (CR);Pensioen;63.4;22.2
145;Veluwe (CR);Totaal particulier huishouden;246.4;30.4
146;Veluwe (CR);Loon;138.6;34.0
147;Veluwe (CR);Winst;22.3;34.5
148;Veluwe (CR);Werkloosheid,bijstand,arbeidsongeschikt;17.3;18.2
149;Veluwe (CR);Pensioen;64.9;24.6
150;Achterhoek (CR);Totaal particulier huishouden;158.1;29.4
151;Achterhoek (CR);Loon;85.1;33.5
152;Achterhoek (CR);Winst;16.5;31.9
153;Achterhoek (CR);Werkloosheid,bijstand,arbeidsongeschikt;11.6;18.6
154;Achterhoek (CR);Pensioen;43.1;23.1
155;Arnhem/Nijmegen (CR);Totaal particulier huishouden;287.3;28.4
156;Arnhem/Nijmegen (CR);Loon;160.9;32.5
157;Arnhem/Nijmegen (CR);Winst;22.8;30.5
158;Arnhem/Nijmegen (CR);Werkloosheid,bijstand,arbeidsongeschikt;30.2;16.7
159;Arnhem/Nijmegen (CR);Pensioen;69.2;23.5
160;Zuidwest-Gelderland (CR);Totaal particulier huishouden;87.7;30.9
161;Zuidwest-Gelderland (CR);Loon;50.3;35.5
162;Zuidwest-Gelderland (CR);Winst;10.7;32.4
163;Zuidwest-Gelderland (CR);Werkloosheid,bijstand,arbeidsongeschikt;5.5;18.7
164;Zuidwest-Gelderland (CR);Pensioen;20.0;22.1
165;Utrecht (CR);Totaal particulier huishouden;475.1;31.5
166;Utrecht (CR);Loon;281.0;35.4
167;Utrecht (CR);Winst;41.5;34.7
168;Utrecht (CR);Werkloosheid,bijstand,arbeidsongeschikt;38.1;17.3
169;Utrecht (CR);Pensioen;108.0;25.2
170;Kop van Noord-Holland (CR);Totaal particulier huishouden;148.4;28.8
171;Kop van Noord-Holland (CR);Loon;80.7;32.7
172;Kop van Noord-Holland (CR);Winst;17.5;30.4
173;Kop van Noord-Holland (CR);Werkloosheid,bijstand,arbeidsongeschikt;12.2;18.2
174;Kop van Noord-Holland (CR);Pensioen;36.2;22.7
175;Alkmaar en omgeving (CR);Totaal particulier huishouden;94.0;30.1
176;Alkmaar en omgeving (CR);Loon;52.9;33.9
177;Alkmaar en omgeving (CR);Winst;8.7;31.7
178;Alkmaar en omgeving (CR);Werkloosheid,bijstand,arbeidsongeschikt;7.9;17.5
179;Alkmaar en omgeving (CR);Pensioen;23.0;24.8
180;IJmond (CR);Totaal particulier huishouden;78.5;30.5
181;IJmond (CR);Loon;42.8;34.7
182;IJmond (CR);Winst;6.2;33.5
183;IJmond (CR);Werkloosheid,bijstand,arbeidsongeschikt;6.0;17.7
184;IJmond (CR);Pensioen;22.5;25.1
185;Agglomeratie Haarlem (CR);Totaal particulier huishouden;96.4;30.8
186;Agglomeratie Haarlem (CR);Loon;51.5;35.2
187;Agglomeratie Haarlem (CR);Winst;8.7;32.9
188;Agglomeratie Haarlem (CR);Werkloosheid,bijstand,arbeidsongeschikt;8.6;16.6
189;Agglomeratie Haarlem (CR);Pensioen;26.1;25.7
190;Zaanstreek (CR);Totaal particulier huishouden;65.6;28.7
191;Zaanstreek (CR);Loon;37.0;33.0
192;Zaanstreek (CR);Winst;4.9;30.8
193;Zaanstreek (CR);Werkloosheid,bijstand,arbeidsongeschikt;6.5;17.5
194;Zaanstreek (CR);Pensioen;16.5;23.1
195;Groot-Amsterdam (CR);Totaal particulier huishouden;548.1;27.8
196;Groot-Amsterdam (CR);Loon;303.7;32.6
197;Groot-Amsterdam (CR);Winst;53.6;28.4
