ID;Leeftijd;Geslacht;Diagnoseindeling;Marges;Perioden;PersonenMetDiagnose_1
0;10000;Totaal mannen en vrouwen;A. Algemeen en niet gespecificeerd;Waarde;2022;276.0
1;10000;Totaal mannen en vrouwen;A. Algemeen en niet gespecificeerd;Waarde;2023;278.0
2;10000;Totaal mannen en vrouwen;A. Algemeen en niet gespecificeerd;Ondergrens 95%-interval;2022;275.0
3;10000;Totaal mannen en vrouwen;A. Algemeen en niet gespecificeerd;Ondergrens 95%-interval;2023;278.0
4;10000;Totaal mannen en vrouwen;A. Algemeen en niet gespecificeerd;Bovengrens 95%-interval;2022;276.0
5;10000;Totaal mannen en vrouwen;A. Algemeen en niet gespecificeerd;Bovengrens 95%-interval;2023;279.0
6;10000;Totaal mannen en vrouwen;A03 Koorts;Waarde;2022;20.0
7;10000;Totaal mannen en vrouwen;A03 Koorts;Waarde;2023;17.0
8;10000;Totaal mannen en vrouwen;A03 Koorts;Ondergrens 95%-interval;2022;20.0
9;10000;Totaal mannen en vrouwen;A03 Koorts;Ondergrens 95%-interval;2023;17.0
10;10000;Totaal mannen en vrouwen;A03 Koorts;Bovengrens 95%-interval;2022;20.0
11;10000;Totaal mannen en vrouwen;A03 Koorts;Bovengrens 95%-interval;2023;17.0
12;10000;Totaal mannen en vrouwen;A04 Moeheid / zwakte;Waarde;2022;42.0
13;10000;Totaal mannen en vrouwen;A04 Moeheid / zwakte;Waarde;2023;44.0
14;10000;Totaal mannen en vrouwen;A04 Moeheid / zwakte;Ondergrens 95%-interval;2022;42.0
15;10000;Totaal mannen en vrouwen;A04 Moeheid / zwakte;Ondergrens 95%-interval;2023;44.0
16;10000;Totaal mannen en vrouwen;A04 Moeheid / zwakte;Bovengrens 95%-interval;2022;42.0
17;10000;Totaal mannen en vrouwen;A04 Moeheid / zwakte;Bovengrens 95%-interval;2023;44.0
18;10000;Totaal mannen en vrouwen;A05 Algehele achteruitgang;Waarde;2022;15.0
19;10000;Totaal mannen en vrouwen;A05 Algehele achteruitgang;Waarde;2023;16.0
20;10000;Totaal mannen en vrouwen;A05 Algehele achteruitgang;Ondergrens 95%-interval;2022;14.0
21;10000;Totaal mannen en vrouwen;A05 Algehele achteruitgang;Ondergrens 95%-interval;2023;16.0
22;10000;Totaal mannen en vrouwen;A05 Algehele achteruitgang;Bovengrens 95%-interval;2022;15.0
23;10000;Totaal mannen en vrouwen;A05 Algehele achteruitgang;Bovengrens 95%-interval;2023;16.0
24;10000;Totaal mannen en vrouwen;A06 Flauwvallen/syncope;Waarde;2022;9.0
25;10000;Totaal mannen en vrouwen;A06 Flauwvallen/syncope;Waarde;2023;9.0
26;10000;Totaal mannen en vrouwen;A06 Flauwvallen/syncope;Ondergrens 95%-interval;2022;9.0
27;10000;Totaal mannen en vrouwen;A06 Flauwvallen/syncope;Ondergrens 95%-interval;2023;9.0
28;10000;Totaal mannen en vrouwen;A06 Flauwvallen/syncope;Bovengrens 95%-interval;2022;9.0
29;10000;Totaal mannen en vrouwen;A06 Flauwvallen/syncope;Bovengrens 95%-interval;2023;10.0
30;10000;Totaal mannen en vrouwen;A12 Allergie / allergische reactie;Waarde;2022;19.0
31;10000;Totaal mannen en vrouwen;A12 Allergie / allergische reactie;Waarde;2023;18.0
32;10000;Totaal mannen en vrouwen;A12 Allergie / allergische reactie;Ondergrens 95%-interval;2022;18.0
33;10000;Totaal mannen en vrouwen;A12 Allergie / allergische reactie;Ondergrens 95%-interval;2023;18.0
34;10000;Totaal mannen en vrouwen;A12 Allergie / allergische reactie;Bovengrens 95%-interval;2022;19.0
35;10000;Totaal mannen en vrouwen;A12 Allergie / allergische reactie;Bovengrens 95%-interval;2023;19.0
36;10000;Totaal mannen en vrouwen;A13 Bezorgdheid (bij)werking geneesmidd.;Waarde;2022;6.0
37;10000;Totaal mannen en vrouwen;A13 Bezorgdheid (bij)werking geneesmidd.;Waarde;2023;6.0
38;10000;Totaal mannen en vrouwen;A13 Bezorgdheid (bij)werking geneesmidd.;Ondergrens 95%-interval;2022;6.0
39;10000;Totaal mannen en vrouwen;A13 Bezorgdheid (bij)werking geneesmidd.;Ondergrens 95%-interval;2023;6.0
40;10000;Totaal mannen en vrouwen;A13 Bezorgdheid (bij)werking geneesmidd.;Bovengrens 95%-interval;2022;6.0
41;10000;Totaal mannen en vrouwen;A13 Bezorgdheid (bij)werking geneesmidd.;Bovengrens 95%-interval;2023;6.0
42;10000;Totaal mannen en vrouwen;A20 Gesprek levenseinde/behandelwensen;Waarde;2022;14.0
43;10000;Totaal mannen en vrouwen;A20 Gesprek levenseinde/behandelwensen;Waarde;2023;17.0
44;10000;Totaal mannen en vrouwen;A20 Gesprek levenseinde/behandelwensen;Ondergrens 95%-interval;2022;14.0
45;10000;Totaal mannen en vrouwen;A20 Gesprek levenseinde/behandelwensen;Ondergrens 95%-interval;2023;16.0
46;10000;Totaal mannen en vrouwen;A20 Gesprek levenseinde/behandelwensen;Bovengrens 95%-interval;2022;14.0
47;10000;Totaal mannen en vrouwen;A20 Gesprek levenseinde/behandelwensen;Bovengrens 95%-interval;2023;17.0
48;10000;Totaal mannen en vrouwen;A72 Waterpokken;Waarde;2022;4.0
49;10000;Totaal mannen en vrouwen;A72 Waterpokken;Waarde;2023;2.0
50;10000;Totaal mannen en vrouwen;A72 Waterpokken;Ondergrens 95%-interval;2022;3.0
51;10000;Totaal mannen en vrouwen;A72 Waterpokken;Ondergrens 95%-interval;2023;1.0
52;10000;Totaal mannen en vrouwen;A72 Waterpokken;Bovengrens 95%-interval;2022;4.0
53;10000;Totaal mannen en vrouwen;A72 Waterpokken;Bovengrens 95%-interval;2023;2.0
54;10000;Totaal mannen en vrouwen;A80 Trauma/letsel;Waarde;2022;24.0
55;10000;Totaal mannen en vrouwen;A80 Trauma/letsel;Waarde;2023;25.0
56;10000;Totaal mannen en vrouwen;A80 Trauma/letsel;Ondergrens 95%-interval;2022;24.0
