ID;Geslacht;Onderwijssoort;Opleidingsvorm;Studierichting;Herkomstgroepering;Perioden;Ingeschrevenen_1
0;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;0;1995/'96;445863
1;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;0;1996/'97;438736
2;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;0;1997/'98;438020
3;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;0;1998/'99;446582
4;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;0;1999/'00;463589
5;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;0;2000/'01;476703
6;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;0;2001/'02;492156
7;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;0;2002/'03;500712
8;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;0;2003/'04;522938
9;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;0;2004/'05;543881
10;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;0;2005/'06;560348
11;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;0;2006/'07;572939
12;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;0;2007/'08;585412
13;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;0;2008/'09;602048
14;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;0;2009/'10;634087
15;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;0;2010/'11;656655
16;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;0;2011/'12;667194
17;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;0;2012/'13;661122
18;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;0;2013/'14;688191
19;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;0;2014/'15;699572
20;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;0;2015/'16;701086
21;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;Autochtoon;1995/'96;372115
22;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;Autochtoon;1996/'97;361535
23;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;Autochtoon;1997/'98;356639
24;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;Autochtoon;1998/'99;358585
25;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;Autochtoon;1999/'00;367388
26;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;Autochtoon;2000/'01;373590
27;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;Autochtoon;2001/'02;382061
28;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;Autochtoon;2002/'03;387630
29;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;Autochtoon;2003/'04;403505
30;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;Autochtoon;2004/'05;416419
31;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;Autochtoon;2005/'06;426680
32;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;Autochtoon;2006/'07;433061
33;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;Autochtoon;2007/'08;438182
34;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;Autochtoon;2008/'09;446005
35;Totaal mannen en vrouwen;Hoger onderwijs;Totaal opleidingsvormen;0;Autochtoon;2009/'10;465711
