ID;Perioden;TotaalExploitatieopbrengsten_1;TotaalOntvangstenTandheelkundigeHulp_2;VanZiekenfondsen_3;VanAWBZ_4;VanNietZiekenfondsverzekerden_5;OntvangenRenteOverPraktijkkapitaal_6;OverigeExploitatieopbrengsten_7;TotaalExploitatiekosten_8;Personeelskosten_9;TotaalOverigeKosten_10;Materialen_11;TandtechnischWerkDoorDerden_12;Huisvesting_13;AfschrijvingImMaterieleActiva_14;BetaaldeRenteVoorPraktijkleningen_15;OverigeExploitatiekosten_16;Exploitatiesaldo_17
0;1990;;903.2;362.0;6.5;534.7;;;513.1;140.9;372.3;;;;;;;
1;1991;;980.2;392.1;7.4;580.7;;;557.1;156.5;400.6;;;;;;;
2;1992;;1044.3;425.4;6.7;612.2;;;600.4;182.6;417.8;;;;;;;
3;1993;1041.7;1030.1;427.7;3.0;599.4;;11.6;661.1;193.0;468.1;;;;;;;380.6
4;1994;1075.4;1066.3;439.6;4.2;622.5;4.2;4.9;670.7;186.8;484.0;69.8;184.8;38.4;67.6;29.0;94.3;404.7
5;1995;1036.6;1026.6;264.6;4.4;757.6;5.1;4.9;657.2;193.4;463.8;69.1;162.5;39.3;68.1;28.9;95.9;379.4
6;1996;1005.4;992.5;240.6;4.3;747.6;3.3;9.7;621.3;171.4;449.8;71.0;159.5;42.9;61.9;23.5;91.1;384.2
7;1997;1093.8;1081.0;281.8;4.3;795.0;3.1;9.8;678.0;190.2;487.8;74.5;179.4;44.7;66.5;23.8;98.9;415.8
8;1998;1189.8;1174.6;313.5;3.5;857.6;4.6;10.7;741.2;214.4;526.9;83.6;191.8;46.3;76.8;23.9;104.4;448.6
9;1999;1244.3;1229.7;330.8;3.2;895.6;3.7;10.9;769.9;223.3;546.5;86.6;197.2;47.2;79.0;25.0;111.6;474.4
10;2000;1323.7;1301.8;355.2;9.1;937.4;5.4;16.5;847.3;261.1;586.3;101.4;206.7;55.6;81.4;29.7;111.5;476.4
11;2001;1458.0;1434.3;381.0;8.6;1044.7;6.6;17.1;934.4;291.0;643.4;117.9;229.3;56.9;89.2;34.2;115.9;523.6
12;2002;1683.2;1649.8;;;;9.6;23.7;1053.2;366.5;686.7;118.5;231.5;62.4;94.4;34.7;145.2;630.0
13;2003;1849.0;1790.8;;;;35.2;23.0;1160.6;387.0;773.6;132.0;250.4;67.9;105.2;51.6;166.5;688.4
14;2004;1857.2;1817.0;;;;15.6;24.6;1190.8;418.5;772.3;141.5;262.7;67.2;101.2;44.8;154.8;666.4
15;2005;1852.2;1806.0;;;;28.2;18.0;1235.7;428.0;807.7;138.0;256.2;74.8;115.9;52.4;170.5;616.5
16;2006;1886.2;1849.9;;;;16.9;19.5;1260.0;473.1;787.0;140.4;260.8;82.3;101.2;36.3;165.9;626.2
