ID;BedrijfstakkenBranches;Perioden;ProducentenprijzenAfzetBinnenland_1;IngevoerdeGrondstoffenHalffabrikaten_2
0;15-36 Totaal industrie;1935;6.9;4.8
1;15-36 Totaal industrie;1936;6.9;4.8
2;15-36 Totaal industrie;1937;8.6;6.4
3;15-36 Totaal industrie;1938;8.6;4.8
4;15-36 Totaal industrie;1939;8.6;6.4
5;15-36 Totaal industrie;1940;10.3;8.8
6;15-36 Totaal industrie;1941;12.1;8.8
7;15-36 Totaal industrie;1942;12.1;8.8
8;15-36 Totaal industrie;1943;12.1;8.8
9;15-36 Totaal industrie;1944;12.9;8.8
10;15-36 Totaal industrie;1945;14.7;11.2
11;15-36 Totaal industrie;1946;20.7;15.2
12;15-36 Totaal industrie;1947;21.6;18.4
13;15-36 Totaal industrie;1948;22.4;19.2
14;15-36 Totaal industrie;1949;23.3;20.0
15;15-36 Totaal industrie;1950;25.9;24.0
16;15-36 Totaal industrie;1951;32.8;32.0
17;15-36 Totaal industrie;1952;31.0;31.2
18;15-36 Totaal industrie;1953;30.2;29.6
19;15-36 Totaal industrie;1954;30.2;29.6
20;15-36 Totaal industrie;1955;31.0;30.4
21;15-36 Totaal industrie;1956;31.0;32.0
22;15-36 Totaal industrie;1957;31.9;32.8
23;15-36 Totaal industrie;1958;31.0;32.8
24;15-36 Totaal industrie;1959;31.0;32.0
25;15-36 Totaal industrie;1960;31.0;31.2
26;15-36 Totaal industrie;1961;31.0;31.2
27;15-36 Totaal industrie;1962;31.9;30.4
28;15-36 Totaal industrie;1963;32.8;31.2
29;15-36 Totaal industrie;1964;34.5;32.0
30;15-36 Totaal industrie;1965;35.3;32.8
31;15-36 Totaal industrie;1966;37.1;34.4
32;15-36 Totaal industrie;1967;37.1;32.8
33;15-36 Totaal industrie;1968;37.9;32.8
34;15-36 Totaal industrie;1969;40.5;35.2
35;15-36 Totaal industrie;1970;41.4;36.8
36;15-36 Totaal industrie;1971;43.1;37.6
37;15-36 Totaal industrie;1972;45.7;37.6
38;15-36 Totaal industrie;1973;48.3;43.2
39;15-36 Totaal industrie;1974;53.4;57.6
40;15-36 Totaal industrie;1975;56.9;58.4
41;15-36 Totaal industrie;1976;61.2;63.2
42;15-36 Totaal industrie;1977;64.7;64.8
43;15-36 Totaal industrie;1978;66.4;62.4
44;15-36 Totaal industrie;1979;68.1;70.4
45;15-36 Totaal industrie;1980;73.3;83.2
46;15-36 Totaal industrie;1981;78.4;100.0
47;15-36 Totaal industrie;1982;82.8;101.6
48;15-36 Totaal industrie;1983;83.6;101.6
49;15-36 Totaal industrie;1984;87.9;109.6
50;15-36 Totaal industrie;1985;87.9;109.6
51;15-36 Totaal industrie;1986;82.8;80.8
52;15-36 Totaal industrie;1987;81.9;76.8
53;15-36 Totaal industrie;1988;82.8;75.2
54;15-36 Totaal industrie;1989;84.5;81.6
55;15-36 Totaal industrie;1990;86.2;80.0
56;15-36 Totaal industrie;1991;87.9;78.4
57;15-36 Totaal industrie;1992;87.9;75.2
58;15-36 Totaal industrie;1993;87.1;72.8
59;15-36 Totaal industrie;1994;87.9;73.6
60;15-36 Totaal industrie;1995;89.7;75.2
61;15-36 Totaal industrie;1996;91.4;78.4
62;15-36 Totaal industrie;1997;93.1;81.6
63;15-36 Totaal industrie;1998;92.2;76.8
64;15-36 Totaal industrie;1999;92.2;88.0
65;15-36 Totaal industrie;2000;100.0;100.0
66;15-36 Totaal industrie;2001;102.0;95.1
67;15-36 Totaal industrie;2002;101.4;92.9
68;15-36 Totaal industrie;2003;102.6;93.8
69;15-36 Totaal industrie;2004;106.3;106.0
70;15-36 Totaal industrie;2005;111.3;126.8
71;15-36 Totaal industrie;2006;115.9;143.5
72;15-36 Totaal industrie;2007;121.9;149.5
73;15-36 Totaal industrie;2008;130.8;173.6
74;15-36 Totaal industrie;2009;120.2;141.4
75;15-36 Totaal industrie;2010;127.9;173.0
76;15-36 Totaal industrie;2011;139.7;209.8
77;15-16 Voedings- en genotmiddelen ind.;1935;10.9;
78;15-16 Voedings- en genotmiddelen ind.;1936;11.8;
79;15-16 Voedings- en genotmiddelen ind.;1937;11.8;
80;15-16 Voedings- en genotmiddelen ind.;1938;11.8;
81;15-16 Voedings- en genotmiddelen ind.;1939;11.8;
82;15-16 Voedings- en genotmiddelen ind.;1940;12.7;
83;15-16 Voedings- en genotmiddelen ind.;1941;14.5;
84;15-16 Voedings- en genotmiddelen ind.;1942;15.5;
85;15-16 Voedings- en genotmiddelen ind.;1943;15.5;
86;15-16 Voedings- en genotmiddelen ind.;1944;16.4;
87;15-16 Voedings- en genotmiddelen ind.;1945;19.1;
88;15-16 Voedings- en genotmiddelen ind.;1946;24.5;
89;15-16 Voedings- en genotmiddelen ind.;1947;25.5;
90;15-16 Voedings- en genotmiddelen ind.;1948;25.5;
91;15-16 Voedings- en genotmiddelen ind.;1949;26.4;
92;15-16 Voedings- en genotmiddelen ind.;1950;29.1;
93;15-16 Voedings- en genotmiddelen ind.;1951;34.5;
94;15-16 Voedings- en genotmiddelen ind.;1952;35.5;
95;15-16 Voedings- en genotmiddelen ind.;1953;34.5;
96;15-16 Voedings- en genotmiddelen ind.;1954;35.5;
97;15-16 Voedings- en genotmiddelen ind.;1955;34.5;
98;15-16 Voedings- en genotmiddelen ind.;1956;35.5;
99;15-16 Voedings- en genotmiddelen ind.;1957;36.4;
100;15-16 Voedings- en genotmiddelen ind.;1958;37.3;
101;15-16 Voedings- en genotmiddelen ind.;1959;37.3;
102;15-16 Voedings- en genotmiddelen ind.;1960;36.4;
103;15-16 Voedings- en genotmiddelen ind.;1961;36.4;
104;15-16 Voedings- en genotmiddelen ind.;1962;37.3;
105;15-16 Voedings- en genotmiddelen ind.;1963;38.2;
106;15-16 Voedings- en genotmiddelen ind.;1964;41.8;
107;15-16 Voedings- en genotmiddelen ind.;1965;42.7;
108;15-16 Voedings- en genotmiddelen ind.;1966;46.4;
109;15-16 Voedings- en genotmiddelen ind.;1967;46.4;
110;15-16 Voedings- en genotmiddelen ind.;1968;48.2;
111;15-16 Voedings- en genotmiddelen ind.;1969;50.9;
112;15-16 Voedings- en genotmiddelen ind.;1970;52.7;73.9
113;15-16 Voedings- en genotmiddelen ind.;1971;53.6;72.1
114;15-16 Voedings- en genotmiddelen ind.;1972;56.4;74.8
115;15-16 Voedings- en genotmiddelen ind.;1973;60.9;88.3
116;15-16 Voedings- en genotmiddelen ind.;1974;64.5;91.0
117;15-16 Voedings- en genotmiddelen ind.;1975;68.2;90.1
118;15-16 Voedings- en genotmiddelen ind.;1976;73.6;96.4
119;15-16 Voedings- en genotmiddelen ind.;1977;80.9;101.8
120;15-16 Voedings- en genotmiddelen ind.;1978;80.9;98.2
121;15-16 Voedings- en genotmiddelen ind.;1979;80.9;100.0
122;15-16 Voedings- en genotmiddelen ind.;1980;85.5;103.6
123;15-16 Voedings- en genotmiddelen ind.;1981;92.7;116.2
124;15-16 Voedings- en genotmiddelen ind.;1982;97.3;116.2
125;15-16 Voedings- en genotmiddelen ind.;1983;98.2;120.7
126;15-16 Voedings- en genotmiddelen ind.;1984;104.5;138.7
127;15-16 Voedings- en genotmiddelen ind.;1985;101.8;130.6
128;15-16 Voedings- en genotmiddelen ind.;1986;95.5;110.8
