ID;Perioden;TotaalSocialeBeschermingsuitkeringen_1;ZiekteGezondheidszorg_2;Invaliditeit_3;Ouderdom_4;Nabestaanden_5;Gezin_6;Werkloosheid_7;Huisvesting_8;Onderwijs_9;SocialeUitsluitingNietEerderGenoemd_10;BesluitvormingPubliekeRegelingen_11;BesluitvormingParticuliereRegelingen_12;VerplichteRegelingen_13;VrijwilligeRegelingen_14;ContributieveRegelingen_15;BijdragevrijeRegelingen_16;UniverseleRegelingen_17;AlgemeneRegelingen_18;SpecialeRegelingen_19;Basisregelingen_20;AanvullendeRegelingen_21;RechtstreeksDoorWerkgevers_22;SectorPensioenfondsenVerzekeringswezen_23;SocVoorzIndivNietMarktproducenten_24;SectorOverheid_25
0;1994;90709;24436;11804;27067;4575;3939;8687;1215;5019;3967;75732;14977;90428;280;37648;53060;38175;21206;31328;69503;21205;6815;13793;2010;68091
1;1995;92888;25129;11110;28581;4933;4040;8756;1215;4633;4492;76381;16507;91677;1211;38916;53972;38869;20705;33314;73058;19830;7627;14829;2613;67819
2;1996;93650;24715;10932;30159;5211;3970;8970;1271;4067;4355;76138;17513;92677;973;42546;51104;36561;20441;36649;73325;20326;8115;15856;2560;67118
3;1997;96179;25229;11112;32203;5279;4266;8260;1394;3938;4498;78098;18081;95469;710;43343;52836;42752;16608;36818;76585;19594;8741;16313;2662;68464
4;1998;98281;26618;11194;33706;5017;4219;6869;1507;3744;5406;80148;18133;98020;261;49023;49259;37723;22046;38512;77276;21006;8808;16926;2897;69650
5;1999;100046;28660;11637;35786;5254;4222;5903;1569;1775;5241;80155;19891;99776;270;51864;48182;38725;20257;41064;79523;20522;9466;18640;2890;69049
6;2000;105071;30311;12150;38279;5575;4716;5310;1545;1746;5439;81039;24032;104813;258;54581;50490;40606;20410;44055;82641;22430;9347;20576;3113;72035
7;2001;112468;33672;12760;40327;6209;4875;5533;1566;1529;5997;86319;26149;112170;298;58823;53645;43320;21160;47988;88625;23843;9908;22278;3584;76698
8;2002;121817;36906;13461;43248;6736;5684;6282;1768;1629;6103;93372;28445;121531;286;63450;58367;46837;22382;52598;95003;26814;10154;24323;3915;83425
9;2003;128022;39313;13887;44756;6648;6168;7776;1644;1648;6182;99066;28956;127735;287;66512;61510;49708;23712;54602;100313;27709;9716;25143;3909;89254
10;2004;131608;39606;13722;47474;7025;6304;8076;1685;1695;6021;101364;30244;131323;285;69012;62596;51081;23959;56568;102587;29021;10080;26717;3584;91227
11;2005;135103;40931;13002;49864;7018;6490;8150;1712;1653;6283;103485;31618;134039;1064;70712;64391;52202;24650;58251;104743;30360;10492;28018;3735;92858
12;2006;147688;47664;12751;51343;7747;7941;7335;2048;1811;9048;114153;33535;146434;1254;78072;69616;54004;52121;41563;112154;35534;9337;28766;3776;105809
13;2007;154213;49395;13759;55119;7129;8921;6510;2164;1623;9593;119226;34987;149897;4316;80528;73685;55083;55937;43193;114934;39279;9536;30159;3865;110653
14;2008;161953;55841;14091;57373;7169;7026;6159;2164;1769;10361;125981;35972;156887;5066;85099;76854;55340;62300;44313;120140;41813;9849;31097;4100;116907
15;2009;171930;59648;14305;59614;7083;7413;8259;2151;1756;11701;134976;36954;166458;5472;89989;81941;57944;68444;45542;127819;44111;9931;31869;4458;125672
16;2010;179230;62582;14445;62572;7250;7286;9177;2241;1669;12008;140715;38515;173554;5676;94596;84634;60092;72190;46948;133218;46012;9943;33538;4456;131293
17;2011;184082;65059;14158;64558;7309;7235;8755;2319;1659;13030;144613;39469;178640;5442;96199;87883;62249;74048;47785;136366;47716;9670;34471;4642;135299
18;2012;189856;67739;13974;67388;7409;6591;10107;2326;1671;12651;149235;40621;184998;4858;98255;91601;63559;77132;49165;141076;48780;9344;35744;4630;140138
