ID;KenmerkenVanHuishoudens;InkomensgrensHuishouden;DuurInkomenspositie;Perioden;Huishoudens_1;HuishoudensRelatief_2
0;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2011;481.8;6.9
1;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2012;562.3;8.0
2;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2013;630.4;8.9
3;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2014;607.9;8.5
4;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2015;589.9;8.2
5;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2016;572.2;7.9
6;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2017;581.1;7.9
7;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2018;580.7;7.9
8;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2019;556.2;7.5
9;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2020;509.4;6.8
10;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2021;478.4;6.3
11;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2022;320.6;4.2
12;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2023;296.3;3.8
13;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2011;144.3;2.2
14;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2012;160.5;2.4
15;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2013;179.8;2.7
16;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2014;185.1;2.7
17;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2015;209.5;3.1
18;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2016;220.6;3.2
