ID;Geslacht;Leeftijd;WoonregioS;WerkregioS;Perioden;BanenVanWerknemers_1;AfstandTussenWoonEnWerkgemeente_2
0;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Nederland;2006 december;7581.5;13.8
1;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Nederland;2007 december;7794.4;13.9
2;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Nederland;2008 december;7797.0;13.9
3;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Nederland;2009 december;7624.5;13.9
4;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Nederland;2010 december;7723.3;13.8
5;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Nederland;2011 december;7896.8;13.7
6;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Nederland;2012 december;7642.5;14.2
7;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Nederland;2013 december;7499.8;14.3
8;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Nederland;2014 december;7551.7;14.6
9;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Nederland inclusief niet in te delen;2006 december;7630.6;
10;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Nederland inclusief niet in te delen;2007 december;7809.2;
11;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Nederland inclusief niet in te delen;2008 december;7838.8;
12;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Nederland inclusief niet in te delen;2009 december;7681.8;
13;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Nederland inclusief niet in te delen;2010 december;7761.4;
14;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Nederland inclusief niet in te delen;2011 december;7897.9;
15;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Nederland inclusief niet in te delen;2012 december;7649.8;
16;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Nederland inclusief niet in te delen;2013 december;7535.1;
17;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Nederland inclusief niet in te delen;2014 december;7563.2;
18;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Werklokatie onbekend;2006 december;49.1;
19;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Werklokatie onbekend;2007 december;14.8;
20;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Werklokatie onbekend;2008 december;41.8;
21;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Werklokatie onbekend;2009 december;57.3;
22;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Werklokatie onbekend;2010 december;38.1;
23;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Werklokatie onbekend;2011 december;1.1;
24;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Werklokatie onbekend;2012 december;7.3;
25;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Werklokatie onbekend;2013 december;35.4;
26;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Werklokatie onbekend;2014 december;11.5;
27;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Groningen (PV);2006 december;247.1;14.2
28;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Groningen (PV);2007 december;252.5;14.5
