ID;Geslacht;Leeftijd;Herkomstgroepering;Perioden;TotaleBevolking_1;PersonenMetArbeidTotaal_2;Werknemers_3;ZelfstandigenWinstUitOnderneming_4;ZelfstandigenOverigeArbeid_5;PersonenMetArbeidInBuitenland_6;PersonenMetEenUitkeringTotaal_7;PersonenMetEenAOUitkering_8;PersonenMetEenWWUitkering_9;PersonenMetEenBijstandsuitkering_10;PersonenMetEenAndereUitkering_11;PersonenMetPensioenTotaal_12;PersonenMetEenAOWUitkering_13;PersonenMetEenOverigPensioen_14
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;2001, vrijdag 28 september;16077.5;7848.8;7053.0;834.7;234.6;30.6;1678.7;895.7;130.3;446.1;303.6;2609.3;2187.1;1878.8
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;2002, vrijdag 27 september;16174.2;7897.1;7104.9;827.1;235.9;28.2;1686.9;912.1;150.3;442.3;286.8;2660.4;2211.1;1935.9
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;2003, vrijdag 26 september;16245.1;7870.6;7064.1;825.2;257.5;27.8;1752.5;906.5;213.1;455.4;292.0;2718.7;2240.7;1998.5
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;2004, vrijdag 24 september;16292.6;7792.0;6979.4;800.4;275.1;30.2;1782.1;893.3;253.5;458.0;297.6;2784.2;2276.4;2065.1
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;2005, vrijdag 30 september;16328.8;7834.5;6997.9;819.7;303.5;31.2;1753.2;849.5;251.3;455.8;315.6;2851.8;2314.6;2136.0
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;2006, vrijdag 29 september;16352.0;7921.7;7029.2;875.8;327.4;32.2;1631.3;805.2;214.6;423.9;286.5;2918.4;2356.4;2197.2
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;2007, vrijdag 28 september;16396.3;8129.7;7221.7;844.9;360.6;32.2;1557.3;796.6;181.7;396.6;279.2;2974.3;2401.1;2255.9
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;2008, vrijdag 26 september;16466.9;8277.6;7313.5;884.2;399.7;30.7;1499.1;784.2;149.5;374.8;267.9;3022.4;2452.6;2299.0
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;2009, vrijdag 25 september;16555.0;8247.3;7232.8;926.4;412.2;31.2;1611.9;783.8;236.0;399.4;268.8;3093.7;2519.1;2362.6
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;2010, vrijdag 24 september;16635.6;8249.0;7245.2;951.5;377.4;31.6;1652.4;775.7;244.1;433.1;284.0;3161.2;2584.1;2424.0
