ID;TypeHuishouden;Leeftijd;Herkomst;Generatie;OoitOfNooitGescheiden;Perioden;AantalPersonen_1;OpgebouwdeJaarlijkseAanspraken_2;TeBereikenJaarlijkseAanspraken_3;Vervangingspercentage_4;OpgebouwdeJaarlijkseAanspraken_5;TeBereikenJaarlijkseAanspraken_6;Vervangingspercentage_7;Vermogen_8;OpgebouwdeJaarlijkseAanspraken_9;TeBereikenJaarlijkseAanspraken_10;Vervangingspercentage_11
0;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Totaal ooit of nooit gescheiden;2005;2143500.0;5200.0;10900.0;48.0;2600.0;7200.0;32.0;31.0;7800.0;18100.0;80.0
1;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Totaal ooit of nooit gescheiden;2006;2177100.0;5300.0;11000.0;46.0;2600.0;8100.0;34.0;31.0;7900.0;19100.0;80.0
2;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Totaal ooit of nooit gescheiden;2007;2220100.0;5500.0;11400.0;45.0;3000.0;9100.0;36.0;33.0;8500.0;20500.0;81.0
3;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Totaal ooit of nooit gescheiden;2008;2262800.0;5700.0;11700.0;45.0;3200.0;9400.0;36.0;37.0;8900.0;21100.0;81.0
4;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Totaal ooit of nooit gescheiden;2009;2279200.0;5900.0;12300.0;47.0;3000.0;8200.0;32.0;31.0;8900.0;20500.0;79.0
5;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Totaal ooit of nooit gescheiden;2010;2331900.0;6000.0;12400.0;47.0;2900.0;7800.0;30.0;31.0;8900.0;20200.0;77.0
6;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Totaal ooit of nooit gescheiden;2011;2372850.0;6100.0;12600.0;47.0;2800.0;7700.0;29.0;30.0;8900.0;20300.0;76.0
7;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Totaal ooit of nooit gescheiden;2012;2396650.0;6200.0;12700.0;47.0;2500.0;7300.0;27.0;27.0;8700.0;20000.0;74.0
8;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Nooit gescheiden;2005;1527750.0;4400.0;10900.0;50.0;2200.0;7200.0;33.0;29.0;6600.0;18100.0;83.0
9;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Nooit gescheiden;2006;1553350.0;4500.0;11100.0;48.0;2200.0;8200.0;35.0;30.0;6700.0;19300.0;83.0
10;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Nooit gescheiden;2007;1582950.0;4700.0;11400.0;47.0;2600.0;9200.0;38.0;31.0;7300.0;20600.0;85.0
11;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Nooit gescheiden;2008;1659500.0;4900.0;11700.0;47.0;2700.0;9600.0;38.0;35.0;7600.0;21300.0;85.0
12;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Nooit gescheiden;2009;1639550.0;5100.0;12300.0;50.0;2400.0;8100.0;33.0;29.0;7500.0;20400.0;83.0
13;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Nooit gescheiden;2010;1720250.0;5200.0;12400.0;50.0;2400.0;7800.0;31.0;29.0;7600.0;20200.0;81.0
14;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Nooit gescheiden;2011;1737150.0;5200.0;12600.0;50.0;2300.0;7500.0;30.0;27.0;7500.0;20100.0;80.0
15;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Nooit gescheiden;2012;1756850.0;5300.0;12700.0;50.0;2100.0;7100.0;28.0;25.0;7400.0;19800.0;78.0
16;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Ooit gescheiden;2005;615750.0;7000.0;10700.0;44.0;3600.0;7000.0;29.0;35.0;10600.0;17700.0;73.0
17;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Ooit gescheiden;2006;623750.0;7100.0;10800.0;42.0;3700.0;7800.0;30.0;36.0;10800.0;18600.0;72.0
18;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Ooit gescheiden;2007;637150.0;7400.0;11200.0;41.0;4200.0;8800.0;32.0;37.0;11600.0;20000.0;73.0
19;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Ooit gescheiden;2008;603300.0;7900.0;11600.0;41.0;4500.0;9000.0;32.0;40.0;12400.0;20600.0;73.0
