ID;Geslacht;Persoonskenmerken;Arbeidsmarktpositie;StartkwalificatieOpPeilmoment;Peilmoment;Perioden;TotaalSchoolverlaters_1;TotaalVo_2;TotaalMbo_3;BeroepsopleidendeLeerwegBol_4;BeroepbegeleidendeLeerwegBbl_5;Extranei_6;VoortijdigSchoolverlaters_7;TotaalVo_8;TotaalMbo_9;BeroepsopleidendeLeerwegBol_10;BeroepbegeleidendeLeerwegBbl_11;Extranei_12;SchoolverlatersMetStartkwalificatie_13;TotaalVo_14;TotaalMbo_15;BeroepsopleidendeLeerwegBol_16;BeroepbegeleidendeLeerwegBbl_17;Extranei_18
0;Totaal mannen en vrouwen;10000;Totaal schoolverlaters ;Totaal schoolverlaters;Direct na schoolverlaten;2007/'08;172800.0;27100.0;145700.0;73880.0;64470.0;7350.0;71480.0;15140.0;56350.0;29170.0;24730.0;2450.0;101320.0;11970.0;89350.0;44710.0;39740.0;4900.0
1;Totaal mannen en vrouwen;10000;Totaal schoolverlaters ;Totaal schoolverlaters;Direct na schoolverlaten;2008/'09;167680.0;24970.0;142710.0;66720.0;68530.0;7460.0;64270.0;13170.0;51090.0;24450.0;24660.0;1980.0;103410.0;11800.0;91620.0;42270.0;43860.0;5480.0
2;Totaal mannen en vrouwen;10000;Totaal schoolverlaters ;Totaal schoolverlaters;Direct na schoolverlaten;2009/'10;176930.0;25830.0;151100.0;70020.0;72760.0;8310.0;65350.0;13450.0;51900.0;25210.0;24410.0;2280.0;111580.0;12390.0;99190.0;44810.0;48350.0;6040.0
3;Totaal mannen en vrouwen;10000;Totaal schoolverlaters ;Totaal schoolverlaters;Direct na schoolverlaten;2010/'11;187350.0;26020.0;161330.0;74060.0;74490.0;12790.0;66640.0;12760.0;53880.0;25860.0;24680.0;3350.0;120710.0;13260.0;107450.0;48190.0;49810.0;9440.0
4;Totaal mannen en vrouwen;10000;Totaal schoolverlaters ;Totaal schoolverlaters;Direct na schoolverlaten;2011/'12;184910.0;27280.0;157630.0;74740.0;72790.0;10100.0;60360.0;12960.0;47400.0;23850.0;21490.0;2070.0;124550.0;14320.0;110230.0;50890.0;51300.0;8030.0
5;Totaal mannen en vrouwen;10000;Totaal schoolverlaters ;Totaal schoolverlaters;Direct na schoolverlaten;2012/'13;165560.0;16900.0;148660.0;71870.0;67320.0;9470.0;48200.0;7240.0;40960.0;21430.0;17660.0;1860.0;117360.0;9660.0;107700.0;50430.0;49660.0;7610.0
6;Totaal mannen en vrouwen;10000;Totaal schoolverlaters ;Totaal schoolverlaters;Direct na schoolverlaten;2013/'14;158270.0;15200.0;143060.0;73600.0;59480.0;9980.0;43880.0;7160.0;36730.0;20840.0;13870.0;2020.0;114380.0;8050.0;106340.0;52760.0;45610.0;7970.0
7;Totaal mannen en vrouwen;10000;Totaal schoolverlaters ;Totaal schoolverlaters;Direct na schoolverlaten;2014/'15;154510.0;20220.0;134290.0;80220.0;46910.0;7160.0;36590.0;7250.0;29340.0;20150.0;7810.0;1380.0;117920.0;12970.0;104950.0;60070.0;39100.0;5780.0
8;Totaal mannen en vrouwen;10000;Totaal schoolverlaters ;Totaal schoolverlaters;Direct na schoolverlaten;2015/'16;144570.0;22010.0;122560.0;77300.0;40120.0;5140.0;34760.0;7710.0;27050.0;18910.0;7060.0;1080.0;109810.0;14300.0;95510.0;58400.0;33060.0;4060.0
9;Totaal mannen en vrouwen;10000;Totaal schoolverlaters ;Totaal schoolverlaters;Een jaar na schoolverlaten;2007/'08;172800.0;27100.0;145700.0;73880.0;64470.0;7350.0;71480.0;15140.0;56350.0;29170.0;24730.0;2450.0;101320.0;11970.0;89350.0;44710.0;39740.0;4900.0
10;Totaal mannen en vrouwen;10000;Totaal schoolverlaters ;Totaal schoolverlaters;Een jaar na schoolverlaten;2008/'09;167680.0;24970.0;142710.0;66720.0;68530.0;7460.0;64270.0;13170.0;51090.0;24450.0;24660.0;1980.0;103410.0;11800.0;91620.0;42270.0;43860.0;5480.0
11;Totaal mannen en vrouwen;10000;Totaal schoolverlaters ;Totaal schoolverlaters;Een jaar na schoolverlaten;2009/'10;176930.0;25830.0;151100.0;70020.0;72760.0;8310.0;65350.0;13450.0;51900.0;25210.0;24410.0;2280.0;111580.0;12390.0;99190.0;44810.0;48350.0;6040.0
12;Totaal mannen en vrouwen;10000;Totaal schoolverlaters ;Totaal schoolverlaters;Een jaar na schoolverlaten;2010/'11;187350.0;26020.0;161330.0;74060.0;74490.0;12790.0;66640.0;12760.0;53880.0;25860.0;24680.0;3350.0;120710.0;13260.0;107450.0;48190.0;49810.0;9440.0
13;Totaal mannen en vrouwen;10000;Totaal schoolverlaters ;Totaal schoolverlaters;Een jaar na schoolverlaten;2011/'12;184910.0;27280.0;157630.0;74740.0;72790.0;10100.0;60360.0;12960.0;47400.0;23850.0;21490.0;2070.0;124550.0;14320.0;110230.0;50890.0;51300.0;8030.0
14;Totaal mannen en vrouwen;10000;Totaal schoolverlaters ;Totaal schoolverlaters;Een jaar na schoolverlaten;2012/'13;165560.0;16900.0;148660.0;71870.0;67320.0;9470.0;48200.0;7240.0;40960.0;21430.0;17660.0;1860.0;117360.0;9660.0;107700.0;50430.0;49660.0;7610.0
15;Totaal mannen en vrouwen;10000;Totaal schoolverlaters ;Totaal schoolverlaters;Een jaar na schoolverlaten;2013/'14;158270.0;15200.0;143060.0;73600.0;59480.0;9980.0;43880.0;7160.0;36730.0;20840.0;13870.0;2020.0;114380.0;8050.0;106340.0;52760.0;45610.0;7970.0
16;Totaal mannen en vrouwen;10000;Totaal schoolverlaters ;Totaal schoolverlaters;Een jaar na schoolverlaten;2014/'15;154510.0;20220.0;134290.0;80220.0;46910.0;7160.0;36590.0;7250.0;29340.0;20150.0;7810.0;1380.0;117920.0;12970.0;104950.0;60070.0;39100.0;5780.0
17;Totaal mannen en vrouwen;10000;Totaal schoolverlaters ;Totaal schoolverlaters;Een jaar na schoolverlaten;2015/'16;;;;;;;;;;;;;;;;;;
18;Totaal mannen en vrouwen;10000;Totaal schoolverlaters ;Totaal schoolverlaters;Twee jaar na schoolverlaten;2007/'08;172800.0;27100.0;145700.0;73880.0;64470.0;7350.0;71480.0;15140.0;56350.0;29170.0;24730.0;2450.0;101320.0;11970.0;89350.0;44710.0;39740.0;4900.0
19;Totaal mannen en vrouwen;10000;Totaal schoolverlaters ;Totaal schoolverlaters;Twee jaar na schoolverlaten;2008/'09;167680.0;24970.0;142710.0;66720.0;68530.0;7460.0;64270.0;13170.0;51090.0;24450.0;24660.0;1980.0;103410.0;11800.0;91620.0;42270.0;43860.0;5480.0
20;Totaal mannen en vrouwen;10000;Totaal schoolverlaters ;Totaal schoolverlaters;Twee jaar na schoolverlaten;2009/'10;176930.0;25830.0;151100.0;70020.0;72760.0;8310.0;65350.0;13450.0;51900.0;25210.0;24410.0;2280.0;111580.0;12390.0;99190.0;44810.0;48350.0;6040.0
21;Totaal mannen en vrouwen;10000;Totaal schoolverlaters ;Totaal schoolverlaters;Twee jaar na schoolverlaten;2010/'11;187350.0;26020.0;161330.0;74060.0;74490.0;12790.0;66640.0;12760.0;53880.0;25860.0;24680.0;3350.0;120710.0;13260.0;107450.0;48190.0;49810.0;9440.0
22;Totaal mannen en vrouwen;10000;Totaal schoolverlaters ;Totaal schoolverlaters;Twee jaar na schoolverlaten;2011/'12;184910.0;27280.0;157630.0;74740.0;72790.0;10100.0;60360.0;12960.0;47400.0;23850.0;21490.0;2070.0;124550.0;14320.0;110230.0;50890.0;51300.0;8030.0
23;Totaal mannen en vrouwen;10000;Totaal schoolverlaters ;Totaal schoolverlaters;Twee jaar na schoolverlaten;2012/'13;165560.0;16900.0;148660.0;71870.0;67320.0;9470.0;48200.0;7240.0;40960.0;21430.0;17660.0;1860.0;117360.0;9660.0;107700.0;50430.0;49660.0;7610.0
24;Totaal mannen en vrouwen;10000;Totaal schoolverlaters ;Totaal schoolverlaters;Twee jaar na schoolverlaten;2013/'14;158270.0;15200.0;143060.0;73600.0;59480.0;9980.0;43880.0;7160.0;36730.0;20840.0;13870.0;2020.0;114380.0;8050.0;106340.0;52760.0;45610.0;7970.0
25;Totaal mannen en vrouwen;10000;Totaal schoolverlaters ;Totaal schoolverlaters;Twee jaar na schoolverlaten;2014/'15;;;;;;;;;;;;;;;;;;
26;Totaal mannen en vrouwen;10000;Totaal schoolverlaters ;Totaal schoolverlaters;Twee jaar na schoolverlaten;2015/'16;;;;;;;;;;;;;;;;;;
27;Totaal mannen en vrouwen;10000;Totaal schoolverlaters ;Totaal schoolverlaters;Drie jaar na schoolverlaten;2007/'08;172800.0;27100.0;145700.0;73880.0;64470.0;7350.0;71480.0;15140.0;56350.0;29170.0;24730.0;2450.0;101320.0;11970.0;89350.0;44710.0;39740.0;4900.0
28;Totaal mannen en vrouwen;10000;Totaal schoolverlaters ;Totaal schoolverlaters;Drie jaar na schoolverlaten;2008/'09;167680.0;24970.0;142710.0;66720.0;68530.0;7460.0;64270.0;13170.0;51090.0;24450.0;24660.0;1980.0;103410.0;11800.0;91620.0;42270.0;43860.0;5480.0
