ID;IndicatieGrondslag;LeveringsvormZorg;Zorgzwaartepakket;Perioden;PersonenMetIndicatieOpPeildatum_1;PersonenMetIndicatieOpPeildatum_2
0;Totaal personen;Totaal leveringsvorm zorg;Totaal Wlz/ZMV-AWBZ;2015;291655.0;1.72
1;Totaal personen;Totaal leveringsvorm zorg;Totaal Wlz/ZMV-AWBZ;2016;295300.0;1.73
2;Totaal personen;Totaal leveringsvorm zorg;Totaal Wlz/ZMV-AWBZ;2017;294235.0;1.71
3;Totaal personen;Totaal leveringsvorm zorg;Totaal Wlz/ZMV-AWBZ;2018;299000.0;1.73
4;Totaal personen;Totaal leveringsvorm zorg;Totaal Wlz/ZMV-AWBZ;2019;309280.0;1.78
5;Totaal personen;Totaal leveringsvorm zorg;Totaal Wlz/ZMV-AWBZ;2020;314400.0;1.8
6;Totaal personen;Totaal leveringsvorm zorg;Totaal Wlz/ZMV-AWBZ;2021;342095.0;1.95
7;Totaal personen;Totaal leveringsvorm zorg;Totaal Wlz/ZMV-AWBZ;2022;358490.0;2.01
8;Totaal personen;Totaal leveringsvorm zorg;Totaal Wlz/ZMV-AWBZ;2023;370695.0;2.07
9;Totaal personen;Totaal leveringsvorm zorg;Geen zorgzwaartepakket (zzp);2015;12060.0;0.07
10;Totaal personen;Totaal leveringsvorm zorg;Geen zorgzwaartepakket (zzp);2016;10350.0;0.06
11;Totaal personen;Totaal leveringsvorm zorg;Geen zorgzwaartepakket (zzp);2017;70.0;0.0
12;Totaal personen;Totaal leveringsvorm zorg;Geen zorgzwaartepakket (zzp);2018;5.0;0.0
13;Totaal personen;Totaal leveringsvorm zorg;Geen zorgzwaartepakket (zzp);2019;5.0;0.0
14;Totaal personen;Totaal leveringsvorm zorg;Geen zorgzwaartepakket (zzp);2020;60.0;0.0
15;Totaal personen;Totaal leveringsvorm zorg;Geen zorgzwaartepakket (zzp);2021;15.0;0.0
16;Totaal personen;Totaal leveringsvorm zorg;Geen zorgzwaartepakket (zzp);2022;15.0;0.0
17;Totaal personen;Totaal leveringsvorm zorg;Geen zorgzwaartepakket (zzp);2023;10.0;0.0
18;Totaal personen;Totaal leveringsvorm zorg;Totaal zzp Verpleging en verzorging (VV);2015;156435.0;0.92
19;Totaal personen;Totaal leveringsvorm zorg;Totaal zzp Verpleging en verzorging (VV);2016;155760.0;0.91
20;Totaal personen;Totaal leveringsvorm zorg;Totaal zzp Verpleging en verzorging (VV);2017;156115.0;0.91
21;Totaal personen;Totaal leveringsvorm zorg;Totaal zzp Verpleging en verzorging (VV);2018;161310.0;0.93
22;Totaal personen;Totaal leveringsvorm zorg;Totaal zzp Verpleging en verzorging (VV);2019;169355.0;0.97
23;Totaal personen;Totaal leveringsvorm zorg;Totaal zzp Verpleging en verzorging (VV);2020;172095.0;0.98
24;Totaal personen;Totaal leveringsvorm zorg;Totaal zzp Verpleging en verzorging (VV);2021;178180.0;1.01
25;Totaal personen;Totaal leveringsvorm zorg;Totaal zzp Verpleging en verzorging (VV);2022;187330.0;1.05
26;Totaal personen;Totaal leveringsvorm zorg;Totaal zzp Verpleging en verzorging (VV);2023;194420.0;1.08
27;Totaal personen;Totaal leveringsvorm zorg;zzp 1 VV Beschut wonen met enige bege..;2015;1690.0;0.01
28;Totaal personen;Totaal leveringsvorm zorg;zzp 1 VV Beschut wonen met enige bege..;2016;1270.0;0.01
29;Totaal personen;Totaal leveringsvorm zorg;zzp 1 VV Beschut wonen met enige bege..;2017;950.0;0.01
30;Totaal personen;Totaal leveringsvorm zorg;zzp 1 VV Beschut wonen met enige bege..;2018;680.0;0.0
31;Totaal personen;Totaal leveringsvorm zorg;zzp 1 VV Beschut wonen met enige bege..;2019;450.0;0.0
32;Totaal personen;Totaal leveringsvorm zorg;zzp 1 VV Beschut wonen met enige bege..;2020;300.0;0.0
33;Totaal personen;Totaal leveringsvorm zorg;zzp 1 VV Beschut wonen met enige bege..;2021;195.0;0.0
34;Totaal personen;Totaal leveringsvorm zorg;zzp 1 VV Beschut wonen met enige bege..;2022;130.0;0.0
35;Totaal personen;Totaal leveringsvorm zorg;zzp 1 VV Beschut wonen met enige bege..;2023;90.0;0.0
36;Totaal personen;Totaal leveringsvorm zorg;zzp 2 VV Beschut wonen met begeleidin..;2015;5590.0;0.03
37;Totaal personen;Totaal leveringsvorm zorg;zzp 2 VV Beschut wonen met begeleidin..;2016;3920.0;0.02
38;Totaal personen;Totaal leveringsvorm zorg;zzp 2 VV Beschut wonen met begeleidin..;2017;2665.0;0.02
39;Totaal personen;Totaal leveringsvorm zorg;zzp 2 VV Beschut wonen met begeleidin..;2018;1735.0;0.01
40;Totaal personen;Totaal leveringsvorm zorg;zzp 2 VV Beschut wonen met begeleidin..;2019;1140.0;0.01
41;Totaal personen;Totaal leveringsvorm zorg;zzp 2 VV Beschut wonen met begeleidin..;2020;700.0;0.0
42;Totaal personen;Totaal leveringsvorm zorg;zzp 2 VV Beschut wonen met begeleidin..;2021;455.0;0.0
43;Totaal personen;Totaal leveringsvorm zorg;zzp 2 VV Beschut wonen met begeleidin..;2022;265.0;0.0
44;Totaal personen;Totaal leveringsvorm zorg;zzp 2 VV Beschut wonen met begeleidin..;2023;170.0;0.0
