ID;Populatie;RegioS;Motieven;Geslacht;Persoonskenmerken;Perioden;VerplaatsingenPerPersoonPerDag_1;AfstandPerPersoonPerDag_2;ReisduurPerPersoonPerDag_3
0;Hele bevolking;Nederland;1;1;Totaal persoonskenmerken;1985;;;
1;Hele bevolking;Nederland;1;1;Totaal persoonskenmerken;1986;;;
2;Hele bevolking;Nederland;1;1;Totaal persoonskenmerken;1987;;;
3;Hele bevolking;Nederland;1;1;Totaal persoonskenmerken;1988;;;
4;Hele bevolking;Nederland;1;1;Totaal persoonskenmerken;1989;;;
5;Hele bevolking;Nederland;1;1;Totaal persoonskenmerken;1990;;;
6;Hele bevolking;Nederland;1;1;Totaal persoonskenmerken;1991;;;
7;Hele bevolking;Nederland;1;1;Totaal persoonskenmerken;1992;;;
8;Hele bevolking;Nederland;1;1;Totaal persoonskenmerken;1993;;;
9;Hele bevolking;Nederland;1;1;Totaal persoonskenmerken;1994;3.21;30.79;61.49
10;Hele bevolking;Nederland;1;1;Totaal persoonskenmerken;1995;3.17;31.43;61.84
11;Hele bevolking;Nederland;1;1;Totaal persoonskenmerken;1996;3.15;31.29;60.99
12;Hele bevolking;Nederland;1;1;Totaal persoonskenmerken;1997;3.17;32.39;62.96
13;Hele bevolking;Nederland;1;1;Totaal persoonskenmerken;1998;3.14;32.08;61.84
14;Hele bevolking;Nederland;1;1;Totaal persoonskenmerken;1999;3.15;32.44;61.79
15;Hele bevolking;Nederland;1;1;Totaal persoonskenmerken;2000;3.11;32.01;60.76
16;Hele bevolking;Nederland;1;1;Totaal persoonskenmerken;2001;3.07;31.75;59.98
17;Hele bevolking;Nederland;1;1;Totaal persoonskenmerken;2002;3.07;31.82;59.36
18;Hele bevolking;Nederland;1;1;Totaal persoonskenmerken;2003;3.09;31.92;59.91
19;Hele bevolking;Nederland;1;1;Totaal persoonskenmerken;2004;3.06;32.71;61.36
20;Hele bevolking;Nederland;1;1;Totaal persoonskenmerken;2005;3.0;32.22;60.24
21;Hele bevolking;Nederland;1;1;Totaal persoonskenmerken;2006;3.03;32.31;60.87
22;Hele bevolking;Nederland;1;1;Totaal persoonskenmerken;2007;2.99;32.58;60.72
23;Hele bevolking;Nederland;1;1;Jonger dan 12 jaar - geen eigen inkomen;1985;;;
24;Hele bevolking;Nederland;1;1;Jonger dan 12 jaar - geen eigen inkomen;1986;;;
25;Hele bevolking;Nederland;1;1;Jonger dan 12 jaar - geen eigen inkomen;1987;;;
26;Hele bevolking;Nederland;1;1;Jonger dan 12 jaar - geen eigen inkomen;1988;;;
27;Hele bevolking;Nederland;1;1;Jonger dan 12 jaar - geen eigen inkomen;1989;;;
28;Hele bevolking;Nederland;1;1;Jonger dan 12 jaar - geen eigen inkomen;1990;;;
29;Hele bevolking;Nederland;1;1;Jonger dan 12 jaar - geen eigen inkomen;1991;;;
30;Hele bevolking;Nederland;1;1;Jonger dan 12 jaar - geen eigen inkomen;1992;;;
31;Hele bevolking;Nederland;1;1;Jonger dan 12 jaar - geen eigen inkomen;1993;;;
32;Hele bevolking;Nederland;1;1;Jonger dan 12 jaar - geen eigen inkomen;1994;3.29;16.9;43.02
33;Hele bevolking;Nederland;1;1;Jonger dan 12 jaar - geen eigen inkomen;1995;3.25;16.0;41.95
34;Hele bevolking;Nederland;1;1;Jonger dan 12 jaar - geen eigen inkomen;1996;3.25;16.26;41.01
35;Hele bevolking;Nederland;1;1;Jonger dan 12 jaar - geen eigen inkomen;1997;3.24;17.68;43.2
36;Hele bevolking;Nederland;1;1;Jonger dan 12 jaar - geen eigen inkomen;1998;3.22;17.29;42.0
37;Hele bevolking;Nederland;1;1;Jonger dan 12 jaar - geen eigen inkomen;1999;3.13;17.09;42.37
38;Hele bevolking;Nederland;1;1;Jonger dan 12 jaar - geen eigen inkomen;2000;3.08;16.29;40.73
39;Hele bevolking;Nederland;1;1;Jonger dan 12 jaar - geen eigen inkomen;2001;3.02;16.39;39.4
40;Hele bevolking;Nederland;1;1;Jonger dan 12 jaar - geen eigen inkomen;2002;3.02;16.61;39.87
41;Hele bevolking;Nederland;1;1;Jonger dan 12 jaar - geen eigen inkomen;2003;3.04;16.78;39.62
42;Hele bevolking;Nederland;1;1;Jonger dan 12 jaar - geen eigen inkomen;2004;2.98;17.63;40.01
43;Hele bevolking;Nederland;1;1;Jonger dan 12 jaar - geen eigen inkomen;2005;2.87;16.85;38.05
44;Hele bevolking;Nederland;1;1;Jonger dan 12 jaar - geen eigen inkomen;2006;2.93;16.37;38.51
45;Hele bevolking;Nederland;1;1;Jonger dan 12 jaar - geen eigen inkomen;2007;2.9;17.17;38.08
46;Hele bevolking;Nederland;1;1;Jaarinkomen: geen;1985;3.01;20.27;52.44
47;Hele bevolking;Nederland;1;1;Jaarinkomen: geen;1986;3.02;21.63;54.17
48;Hele bevolking;Nederland;1;1;Jaarinkomen: geen;1987;3.02;20.66;52.41
49;Hele bevolking;Nederland;1;1;Jaarinkomen: geen;1988;3.01;21.02;53.38
50;Hele bevolking;Nederland;1;1;Jaarinkomen: geen;1989;3.21;21.76;56.27
51;Hele bevolking;Nederland;1;1;Jaarinkomen: geen;1990;3.24;22.13;55.33
52;Hele bevolking;Nederland;1;1;Jaarinkomen: geen;1991;3.13;22.6;56.45
53;Hele bevolking;Nederland;1;1;Jaarinkomen: geen;1992;3.11;22.62;54.73
54;Hele bevolking;Nederland;1;1;Jaarinkomen: geen;1993;3.1;22.51;55.05
55;Hele bevolking;Nederland;1;1;Jaarinkomen: geen;1994;3.18;22.58;55.61
56;Hele bevolking;Nederland;1;1;Jaarinkomen: geen;1995;3.11;22.69;55.15
57;Hele bevolking;Nederland;1;1;Jaarinkomen: geen;1996;3.11;22.63;54.4
58;Hele bevolking;Nederland;1;1;Jaarinkomen: geen;1997;3.11;23.22;56.4
59;Hele bevolking;Nederland;1;1;Jaarinkomen: geen;1998;3.08;23.12;55.28
60;Hele bevolking;Nederland;1;1;Jaarinkomen: geen;1999;3.14;24.79;57.91
61;Hele bevolking;Nederland;1;1;Jaarinkomen: geen;2000;3.11;24.74;57.32
62;Hele bevolking;Nederland;1;1;Jaarinkomen: geen;2001;3.04;24.07;55.68
63;Hele bevolking;Nederland;1;1;Jaarinkomen: geen;2002;2.99;23.2;53.85
64;Hele bevolking;Nederland;1;1;Jaarinkomen: geen;2003;3.06;26.86;57.26
65;Hele bevolking;Nederland;1;1;Jaarinkomen: geen;2004;2.94;25.16;57.41
66;Hele bevolking;Nederland;1;1;Jaarinkomen: geen;2005;2.81;24.84;56.79
67;Hele bevolking;Nederland;1;1;Jaarinkomen: geen;2006;2.8;23.09;54.76
68;Hele bevolking;Nederland;1;1;Jaarinkomen: geen;2007;2.76;23.91;55.79
69;Hele bevolking;Nederland;1;1;Jaarinkomen: minder dan 7 500 euro;1985;3.28;25.52;59.6
70;Hele bevolking;Nederland;1;1;Jaarinkomen: minder dan 7 500 euro;1986;3.31;26.03;60.8
71;Hele bevolking;Nederland;1;1;Jaarinkomen: minder dan 7 500 euro;1987;3.45;25.53;61.66
72;Hele bevolking;Nederland;1;1;Jaarinkomen: minder dan 7 500 euro;1988;3.3;27.23;64.66
73;Hele bevolking;Nederland;1;1;Jaarinkomen: minder dan 7 500 euro;1989;3.39;25.45;62.21
74;Hele bevolking;Nederland;1;1;Jaarinkomen: minder dan 7 500 euro;1990;3.24;26.42;60.92
75;Hele bevolking;Nederland;1;1;Jaarinkomen: minder dan 7 500 euro;1991;3.24;29.54;64.01
76;Hele bevolking;Nederland;1;1;Jaarinkomen: minder dan 7 500 euro;1992;3.13;27.78;62.42
77;Hele bevolking;Nederland;1;1;Jaarinkomen: minder dan 7 500 euro;1993;3.07;27.21;61.56
78;Hele bevolking;Nederland;1;1;Jaarinkomen: minder dan 7 500 euro;1994;3.12;27.78;61.52
79;Hele bevolking;Nederland;1;1;Jaarinkomen: minder dan 7 500 euro;1995;3.11;27.55;60.66
80;Hele bevolking;Nederland;1;1;Jaarinkomen: minder dan 7 500 euro;1996;3.07;26.77;59.81
81;Hele bevolking;Nederland;1;1;Jaarinkomen: minder dan 7 500 euro;1997;3.12;28.09;61.37
82;Hele bevolking;Nederland;1;1;Jaarinkomen: minder dan 7 500 euro;1998;3.06;26.19;58.52
83;Hele bevolking;Nederland;1;1;Jaarinkomen: minder dan 7 500 euro;1999;3.19;28.39;61.43
