ID;Providers;Financing;Periods;ExpenditureOnHealthAndSocialCare_1
0;Total health and social care providers;Total financing of health & social care;2005;67614.0
1;Total health and social care providers;Total financing of health & social care;2006;70722.0
2;Total health and social care providers;Total financing of health & social care;2007;74643.0
3;Total health and social care providers;Total financing of health & social care;2008;79755.0
4;Total health and social care providers;Total financing of health & social care;2009;83884.0
5;Total health and social care providers;Total financing of health & social care;2010;87342.0
6;Total health and social care providers;Total financing of health & social care;2011;89330.0
7;Total health and social care providers;Total financing of health & social care;2012;92767.0
8;Total health and social care providers;Total financing of health & social care;2013;93901.0
9;Total health and social care providers;Total financing of residents;2005;67509.0
10;Total health and social care providers;Total financing of residents;2006;70627.0
11;Total health and social care providers;Total financing of residents;2007;74556.0
12;Total health and social care providers;Total financing of residents;2008;79665.0
13;Total health and social care providers;Total financing of residents;2009;83800.0
14;Total health and social care providers;Total financing of residents;2010;87234.0
15;Total health and social care providers;Total financing of residents;2011;89226.0
16;Total health and social care providers;Total financing of residents;2012;92664.0
17;Total health and social care providers;Total financing of residents;2013;93797.0
18;Total health and social care providers;HF1: General government;2005;47725.0
19;Total health and social care providers;HF1: General government;2006;58110.0
20;Total health and social care providers;HF1: General government;2007;61423.0
21;Total health and social care providers;HF1: General government;2008;65822.0
22;Total health and social care providers;HF1: General government;2009;69734.0
23;Total health and social care providers;HF1: General government;2010;72734.0
24;Total health and social care providers;HF1: General government;2011;74147.0
25;Total health and social care providers;HF1: General government;2012;77271.0
26;Total health and social care providers;HF1: General government;2013;78806.0
27;Total health and social care providers;HF11: Government excl. social security;2005;8119.0
28;Total health and social care providers;HF11: Government excl. social security;2006;8206.0
29;Total health and social care providers;HF11: Government excl. social security;2007;10724.0
30;Total health and social care providers;HF11: Government excl. social security;2008;11328.0
31;Total health and social care providers;HF11: Government excl. social security;2009;12390.0
32;Total health and social care providers;HF11: Government excl. social security;2010;12712.0
33;Total health and social care providers;HF11: Government excl. social security;2011;12909.0
34;Total health and social care providers;HF11: Government excl. social security;2012;12306.0
35;Total health and social care providers;HF11: Government excl. social security;2013;11374.0
36;Total health and social care providers;HF12: Social security funds;2005;39606.0
37;Total health and social care providers;HF12: Social security funds;2006;49904.0
38;Total health and social care providers;HF12: Social security funds;2007;50699.0
39;Total health and social care providers;HF12: Social security funds;2008;54494.0
40;Total health and social care providers;HF12: Social security funds;2009;57345.0
41;Total health and social care providers;HF12: Social security funds;2010;60022.0
42;Total health and social care providers;HF12: Social security funds;2011;61238.0
43;Total health and social care providers;HF12: Social security funds;2012;64965.0
44;Total health and social care providers;HF12: Social security funds;2013;67432.0
45;Total health and social care providers;HF121a: Exceptional Medical Expenses Act;2005;22052.0
46;Total health and social care providers;HF121a: Exceptional Medical Expenses Act;2006;23177.0
47;Total health and social care providers;HF121a: Exceptional Medical Expenses Act;2007;23007.0
48;Total health and social care providers;HF121a: Exceptional Medical Expenses Act;2008;22169.0
49;Total health and social care providers;HF121a: Exceptional Medical Expenses Act;2009;23201.0
50;Total health and social care providers;HF121a: Exceptional Medical Expenses Act;2010;24469.0
51;Total health and social care providers;HF121a: Exceptional Medical Expenses Act;2011;25368.0
52;Total health and social care providers;HF121a: Exceptional Medical Expenses Act;2012;28070.0
53;Total health and social care providers;HF121a: Exceptional Medical Expenses Act;2013;27444.0
54;Total health and social care providers;HF121b: Health Insurance Fund;2005;17554.0
55;Total health and social care providers;HF121b: Health Insurance Fund;2006;
56;Total health and social care providers;HF121b: Health Insurance Fund;2007;
57;Total health and social care providers;HF121b: Health Insurance Fund;2008;
58;Total health and social care providers;HF121b: Health Insurance Fund;2009;
59;Total health and social care providers;HF121b: Health Insurance Fund;2010;
60;Total health and social care providers;HF121b: Health Insurance Fund;2011;
61;Total health and social care providers;HF121b: Health Insurance Fund;2012;
62;Total health and social care providers;HF121b: Health Insurance Fund;2013;
63;Total health and social care providers;HF122: Health care insurance act;2005;
64;Total health and social care providers;HF122: Health care insurance act;2006;26727.0
65;Total health and social care providers;HF122: Health care insurance act;2007;27693.0
66;Total health and social care providers;HF122: Health care insurance act;2008;32325.0
67;Total health and social care providers;HF122: Health care insurance act;2009;34143.0
68;Total health and social care providers;HF122: Health care insurance act;2010;35553.0
69;Total health and social care providers;HF122: Health care insurance act;2011;35871.0
70;Total health and social care providers;HF122: Health care insurance act;2012;36895.0
71;Total health and social care providers;HF122: Health care insurance act;2013;39989.0
72;Total health and social care providers;HF2: Private sector;2005;19785.0
73;Total health and social care providers;HF2: Private sector;2006;12517.0
74;Total health and social care providers;HF2: Private sector;2007;13133.0
75;Total health and social care providers;HF2: Private sector;2008;13843.0
76;Total health and social care providers;HF2: Private sector;2009;14066.0
77;Total health and social care providers;HF2: Private sector;2010;14500.0
78;Total health and social care providers;HF2: Private sector;2011;15079.0
79;Total health and social care providers;HF2: Private sector;2012;15392.0
80;Total health and social care providers;HF2: Private sector;2013;14991.0
81;Total health and social care providers;HF21: Private social insurance;2005;3300.0
82;Total health and social care providers;HF21: Private social insurance;2006;
83;Total health and social care providers;HF21: Private social insurance;2007;
84;Total health and social care providers;HF21: Private social insurance;2008;
85;Total health and social care providers;HF21: Private social insurance;2009;
86;Total health and social care providers;HF21: Private social insurance;2010;
87;Total health and social care providers;HF21: Private social insurance;2011;
88;Total health and social care providers;HF21: Private social insurance;2012;
89;Total health and social care providers;HF21: Private social insurance;2013;
90;Total health and social care providers;HF22: Private insurance;2005;5776.0
91;Total health and social care providers;HF22: Private insurance;2006;2904.0
92;Total health and social care providers;HF22: Private insurance;2007;3146.0
93;Total health and social care providers;HF22: Private insurance;2008;3154.0
94;Total health and social care providers;HF22: Private insurance;2009;3384.0
95;Total health and social care providers;HF22: Private insurance;2010;3407.0
96;Total health and social care providers;HF22: Private insurance;2011;3736.0
97;Total health and social care providers;HF22: Private insurance;2012;3854.0
98;Total health and social care providers;HF22: Private insurance;2013;3648.0
99;Total health and social care providers;HF23: Out-of-pocket expenditure;2005;7241.0
100;Total health and social care providers;HF23: Out-of-pocket expenditure;2006;6896.0
101;Total health and social care providers;HF23: Out-of-pocket expenditure;2007;7237.0
102;Total health and social care providers;HF23: Out-of-pocket expenditure;2008;7913.0
103;Total health and social care providers;HF23: Out-of-pocket expenditure;2009;7870.0
104;Total health and social care providers;HF23: Out-of-pocket expenditure;2010;8191.0
105;Total health and social care providers;HF23: Out-of-pocket expenditure;2011;8544.0
106;Total health and social care providers;HF23: Out-of-pocket expenditure;2012;8728.0
107;Total health and social care providers;HF23: Out-of-pocket expenditure;2013;8536.0
108;Total health and social care providers;HF24: Non-profit institutions;2005;1202.0
109;Total health and social care providers;HF24: Non-profit institutions;2006;1336.0
110;Total health and social care providers;HF24: Non-profit institutions;2007;1344.0
111;Total health and social care providers;HF24: Non-profit institutions;2008;1373.0
112;Total health and social care providers;HF24: Non-profit institutions;2009;1317.0
113;Total health and social care providers;HF24: Non-profit institutions;2010;1364.0
114;Total health and social care providers;HF24: Non-profit institutions;2011;1295.0
115;Total health and social care providers;HF24: Non-profit institutions;2012;1366.0
116;Total health and social care providers;HF24: Non-profit institutions;2013;1404.0
117;Total health and social care providers;HF25: Enterprises;2005;2265.0
118;Total health and social care providers;HF25: Enterprises;2006;1381.0
119;Total health and social care providers;HF25: Enterprises;2007;1406.0
120;Total health and social care providers;HF25: Enterprises;2008;1403.0
121;Total health and social care providers;HF25: Enterprises;2009;1495.0
122;Total health and social care providers;HF25: Enterprises;2010;1539.0
123;Total health and social care providers;HF25: Enterprises;2011;1505.0
124;Total health and social care providers;HF25: Enterprises;2012;1445.0
125;Total health and social care providers;HF25: Enterprises;2013;1403.0
126;Total health and social care providers;"Rest of the world; exports";2005;105.0
127;Total health and social care providers;"Rest of the world; exports";2006;95.0
128;Total health and social care providers;"Rest of the world; exports";2007;87.0
129;Total health and social care providers;"Rest of the world; exports";2008;90.0
130;Total health and social care providers;"Rest of the world; exports";2009;84.0
131;Total health and social care providers;"Rest of the world; exports";2010;107.0
132;Total health and social care providers;"Rest of the world; exports";2011;103.0
133;Total health and social care providers;"Rest of the world; exports";2012;103.0
134;Total health and social care providers;"Rest of the world; exports";2013;104.0
135;Total health care providers;Total financing of health & social care;2005;51913.0
136;Total health care providers;Total financing of health & social care;2006;53954.0
137;Total health care providers;Total financing of health & social care;2007;57050.0
138;Total health care providers;Total financing of health & social care;2008;60754.0
139;Total health care providers;Total financing of health & social care;2009;63187.0
140;Total health care providers;Total financing of health & social care;2010;65818.0
141;Total health care providers;Total financing of health & social care;2011;67338.0
142;Total health care providers;Total financing of health & social care;2012;70727.0
143;Total health care providers;Total financing of health & social care;2013;72042.0
144;Total health care providers;Total financing of residents;2005;51810.0
145;Total health care providers;Total financing of residents;2006;53863.0
146;Total health care providers;Total financing of residents;2007;56966.0
147;Total health care providers;Total financing of residents;2008;60667.0
148;Total health care providers;Total financing of residents;2009;63106.0
149;Total health care providers;Total financing of residents;2010;65714.0
150;Total health care providers;Total financing of residents;2011;67238.0
151;Total health care providers;Total financing of residents;2012;70627.0
152;Total health care providers;Total financing of residents;2013;71941.0
153;Total health care providers;HF1: General government;2005;36126.0
154;Total health care providers;HF1: General government;2006;45439.0
155;Total health care providers;HF1: General government;2007;48155.0
156;Total health care providers;HF1: General government;2008;51548.0
157;Total health care providers;HF1: General government;2009;54198.0
158;Total health care providers;HF1: General government;2010;56573.0
159;Total health care providers;HF1: General government;2011;57615.0
160;Total health care providers;HF1: General government;2012;60607.0
161;Total health care providers;HF1: General government;2013;62134.0
162;Total health care providers;HF11: Government excl. social security;2005;2654.0
163;Total health care providers;HF11: Government excl. social security;2006;2808.0
164;Total health care providers;HF11: Government excl. social security;2007;4539.0
165;Total health care providers;HF11: Government excl. social security;2008;4874.0
166;Total health care providers;HF11: Government excl. social security;2009;5192.0
