ID;ProvinciaalGefinancierdeZorg;ZvwGefinancierdeGGZ;IndicatieAWBZGefinancierdeZorg;RegioS;Perioden;JongerenInJeugdzorg_1
0;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Nederland;2011;382440.0
1;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Nederland;2012;381530.0
2;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Nederland;2013;378105.0
3;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Nederland;2014;330835.0
4;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Noord-Nederland (LD);2011;42365.0
5;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Noord-Nederland (LD);2012;42745.0
6;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Noord-Nederland (LD);2013;42460.0
7;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Noord-Nederland (LD);2014;38480.0
8;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Oost-Nederland (LD);2011;84570.0
9;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Oost-Nederland (LD);2012;84700.0
10;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Oost-Nederland (LD);2013;83745.0
11;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Oost-Nederland (LD);2014;73125.0
12;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;West-Nederland (LD);2011;172580.0
13;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;West-Nederland (LD);2012;172875.0
14;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;West-Nederland (LD);2013;172825.0
15;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;West-Nederland (LD);2014;150885.0
