ID;Zorgaanbieders;Zorgfinanciering;Perioden;UitgavenAanGezondheidszorgIngezetenen_1
0;Totaal aanbieders gezondheidszorg;Totaal financiering van ingezetenen;1998;30737.0
1;Totaal aanbieders gezondheidszorg;Totaal financiering van ingezetenen;1999;32822.0
2;Totaal aanbieders gezondheidszorg;Totaal financiering van ingezetenen;2000;34836.0
3;Totaal aanbieders gezondheidszorg;Totaal financiering van ingezetenen;2001;38837.0
4;Totaal aanbieders gezondheidszorg;Totaal financiering van ingezetenen;2002;43344.0
5;Totaal aanbieders gezondheidszorg;Totaal financiering van ingezetenen;2003;46443.0
6;Totaal aanbieders gezondheidszorg;Totaal financiering van ingezetenen;2004;48222.0
7;Totaal aanbieders gezondheidszorg;Totaal financiering van ingezetenen;2005;50112.0
8;Totaal aanbieders gezondheidszorg;Totaal financiering van ingezetenen;2006;53080.0
9;Totaal aanbieders gezondheidszorg;Totaal financiering van ingezetenen;2007;56053.0
10;Totaal aanbieders gezondheidszorg;Totaal financiering van ingezetenen;2008;60038.0
11;Totaal aanbieders gezondheidszorg;Totaal financiering van ingezetenen;2009;62440.0
12;Totaal aanbieders gezondheidszorg;Totaal financiering van ingezetenen;2010;64910.0
13;Totaal aanbieders gezondheidszorg;Totaal financiering van ingezetenen;2011;66555.0
14;Totaal aanbieders gezondheidszorg;Totaal financiering van ingezetenen;2012;68816.0
15;Totaal aanbieders gezondheidszorg;Totaal financiering van ingezetenen;2013;69901.0
16;Totaal aanbieders gezondheidszorg;Totaal financiering van ingezetenen;2014;70964.0
17;Totaal aanbieders gezondheidszorg;Totaal financiering van ingezetenen;2015;71236.0
18;Totaal aanbieders gezondheidszorg;Totaal financiering van ingezetenen;2016;72918.0
19;Totaal aanbieders gezondheidszorg;Totaal financiering van ingezetenen;2017;74614.0
20;Totaal aanbieders gezondheidszorg;Totaal financiering van ingezetenen;2018;77553.0
21;Totaal aanbieders gezondheidszorg;Totaal financiering van ingezetenen;2019;82447.0
22;Totaal aanbieders gezondheidszorg;Totaal financiering van ingezetenen;2020;89402.0
23;Totaal aanbieders gezondheidszorg;Totaal financiering van ingezetenen;2021;96852.0
24;Totaal aanbieders gezondheidszorg;Totaal financiering van ingezetenen;2022;96820.0
25;Totaal aanbieders gezondheidszorg;HF1: Overheid en soc. verzekering;1998;21286.0
26;Totaal aanbieders gezondheidszorg;HF1: Overheid en soc. verzekering;1999;22501.0
27;Totaal aanbieders gezondheidszorg;HF1: Overheid en soc. verzekering;2000;24050.0
28;Totaal aanbieders gezondheidszorg;HF1: Overheid en soc. verzekering;2001;27043.0
29;Totaal aanbieders gezondheidszorg;HF1: Overheid en soc. verzekering;2002;30332.0
30;Totaal aanbieders gezondheidszorg;HF1: Overheid en soc. verzekering;2003;32586.0
31;Totaal aanbieders gezondheidszorg;HF1: Overheid en soc. verzekering;2004;33079.0
32;Totaal aanbieders gezondheidszorg;HF1: Overheid en soc. verzekering;2005;34288.0
33;Totaal aanbieders gezondheidszorg;HF1: Overheid en soc. verzekering;2006;44454.0
34;Totaal aanbieders gezondheidszorg;HF1: Overheid en soc. verzekering;2007;47126.0
35;Totaal aanbieders gezondheidszorg;HF1: Overheid en soc. verzekering;2008;49637.0
36;Totaal aanbieders gezondheidszorg;HF1: Overheid en soc. verzekering;2009;51937.0
37;Totaal aanbieders gezondheidszorg;HF1: Overheid en soc. verzekering;2010;54120.0
38;Totaal aanbieders gezondheidszorg;HF1: Overheid en soc. verzekering;2011;55016.0
39;Totaal aanbieders gezondheidszorg;HF1: Overheid en soc. verzekering;2012;56506.0
40;Totaal aanbieders gezondheidszorg;HF1: Overheid en soc. verzekering;2013;56722.0
41;Totaal aanbieders gezondheidszorg;HF1: Overheid en soc. verzekering;2014;57538.0
42;Totaal aanbieders gezondheidszorg;HF1: Overheid en soc. verzekering;2015;57972.0
43;Totaal aanbieders gezondheidszorg;HF1: Overheid en soc. verzekering;2016;59201.0
44;Totaal aanbieders gezondheidszorg;HF1: Overheid en soc. verzekering;2017;60951.0
45;Totaal aanbieders gezondheidszorg;HF1: Overheid en soc. verzekering;2018;63675.0
46;Totaal aanbieders gezondheidszorg;HF1: Overheid en soc. verzekering;2019;68267.0
47;Totaal aanbieders gezondheidszorg;HF1: Overheid en soc. verzekering;2020;75960.0
48;Totaal aanbieders gezondheidszorg;HF1: Overheid en soc. verzekering;2021;82251.0
49;Totaal aanbieders gezondheidszorg;HF1: Overheid en soc. verzekering;2022;81551.0
50;Totaal aanbieders gezondheidszorg;HF11: Overheid;1998;1450.0
51;Totaal aanbieders gezondheidszorg;HF11: Overheid;1999;1565.0
52;Totaal aanbieders gezondheidszorg;HF11: Overheid;2000;1656.0
53;Totaal aanbieders gezondheidszorg;HF11: Overheid;2001;1852.0
54;Totaal aanbieders gezondheidszorg;HF11: Overheid;2002;2133.0
55;Totaal aanbieders gezondheidszorg;HF11: Overheid;2003;2215.0
56;Totaal aanbieders gezondheidszorg;HF11: Overheid;2004;2212.0
57;Totaal aanbieders gezondheidszorg;HF11: Overheid;2005;2507.0
58;Totaal aanbieders gezondheidszorg;HF11: Overheid;2006;2747.0
59;Totaal aanbieders gezondheidszorg;HF11: Overheid;2007;3055.0
60;Totaal aanbieders gezondheidszorg;HF11: Overheid;2008;3170.0
61;Totaal aanbieders gezondheidszorg;HF11: Overheid;2009;3347.0
62;Totaal aanbieders gezondheidszorg;HF11: Overheid;2010;3337.0
63;Totaal aanbieders gezondheidszorg;HF11: Overheid;2011;3377.0
64;Totaal aanbieders gezondheidszorg;HF11: Overheid;2012;3482.0
65;Totaal aanbieders gezondheidszorg;HF11: Overheid;2013;3479.0
66;Totaal aanbieders gezondheidszorg;HF11: Overheid;2014;3565.0
67;Totaal aanbieders gezondheidszorg;HF11: Overheid;2015;4437.0
68;Totaal aanbieders gezondheidszorg;HF11: Overheid;2016;4599.0
69;Totaal aanbieders gezondheidszorg;HF11: Overheid;2017;4600.0
70;Totaal aanbieders gezondheidszorg;HF11: Overheid;2018;4943.0
71;Totaal aanbieders gezondheidszorg;HF11: Overheid;2019;5393.0
72;Totaal aanbieders gezondheidszorg;HF11: Overheid;2020;9847.0
73;Totaal aanbieders gezondheidszorg;HF11: Overheid;2021;12896.0
74;Totaal aanbieders gezondheidszorg;HF11: Overheid;2022;9221.0
75;Totaal aanbieders gezondheidszorg;HF12: Verplichte premiegeb verzekeringen;1998;19836.0
76;Totaal aanbieders gezondheidszorg;HF12: Verplichte premiegeb verzekeringen;1999;20935.0
77;Totaal aanbieders gezondheidszorg;HF12: Verplichte premiegeb verzekeringen;2000;22394.0
78;Totaal aanbieders gezondheidszorg;HF12: Verplichte premiegeb verzekeringen;2001;25191.0
79;Totaal aanbieders gezondheidszorg;HF12: Verplichte premiegeb verzekeringen;2002;28199.0
80;Totaal aanbieders gezondheidszorg;HF12: Verplichte premiegeb verzekeringen;2003;30372.0
81;Totaal aanbieders gezondheidszorg;HF12: Verplichte premiegeb verzekeringen;2004;30867.0
82;Totaal aanbieders gezondheidszorg;HF12: Verplichte premiegeb verzekeringen;2005;31781.0
83;Totaal aanbieders gezondheidszorg;HF12: Verplichte premiegeb verzekeringen;2006;41708.0
84;Totaal aanbieders gezondheidszorg;HF12: Verplichte premiegeb verzekeringen;2007;44071.0
85;Totaal aanbieders gezondheidszorg;HF12: Verplichte premiegeb verzekeringen;2008;46466.0
86;Totaal aanbieders gezondheidszorg;HF12: Verplichte premiegeb verzekeringen;2009;48590.0
87;Totaal aanbieders gezondheidszorg;HF12: Verplichte premiegeb verzekeringen;2010;50783.0
88;Totaal aanbieders gezondheidszorg;HF12: Verplichte premiegeb verzekeringen;2011;51639.0
89;Totaal aanbieders gezondheidszorg;HF12: Verplichte premiegeb verzekeringen;2012;53024.0
90;Totaal aanbieders gezondheidszorg;HF12: Verplichte premiegeb verzekeringen;2013;53243.0
91;Totaal aanbieders gezondheidszorg;HF12: Verplichte premiegeb verzekeringen;2014;53973.0
92;Totaal aanbieders gezondheidszorg;HF12: Verplichte premiegeb verzekeringen;2015;53535.0
93;Totaal aanbieders gezondheidszorg;HF12: Verplichte premiegeb verzekeringen;2016;54603.0
94;Totaal aanbieders gezondheidszorg;HF12: Verplichte premiegeb verzekeringen;2017;56351.0
95;Totaal aanbieders gezondheidszorg;HF12: Verplichte premiegeb verzekeringen;2018;58731.0
96;Totaal aanbieders gezondheidszorg;HF12: Verplichte premiegeb verzekeringen;2019;62874.0
97;Totaal aanbieders gezondheidszorg;HF12: Verplichte premiegeb verzekeringen;2020;66114.0
98;Totaal aanbieders gezondheidszorg;HF12: Verplichte premiegeb verzekeringen;2021;69356.0
99;Totaal aanbieders gezondheidszorg;HF12: Verplichte premiegeb verzekeringen;2022;72331.0
100;Totaal aanbieders gezondheidszorg;HF121a: Wlz, AWBZ;1998;8548.0
101;Totaal aanbieders gezondheidszorg;HF121a: Wlz, AWBZ;1999;9167.0
102;Totaal aanbieders gezondheidszorg;HF121a: Wlz, AWBZ;2000;9861.0
103;Totaal aanbieders gezondheidszorg;HF121a: Wlz, AWBZ;2001;11100.0
104;Totaal aanbieders gezondheidszorg;HF121a: Wlz, AWBZ;2002;12678.0
105;Totaal aanbieders gezondheidszorg;HF121a: Wlz, AWBZ;2003;13816.0
106;Totaal aanbieders gezondheidszorg;HF121a: Wlz, AWBZ;2004;14222.0
107;Totaal aanbieders gezondheidszorg;HF121a: Wlz, AWBZ;2005;14652.0
108;Totaal aanbieders gezondheidszorg;HF121a: Wlz, AWBZ;2006;15755.0
109;Totaal aanbieders gezondheidszorg;HF121a: Wlz, AWBZ;2007;16466.0
110;Totaal aanbieders gezondheidszorg;HF121a: Wlz, AWBZ;2008;15346.0
111;Totaal aanbieders gezondheidszorg;HF121a: Wlz, AWBZ;2009;15775.0
112;Totaal aanbieders gezondheidszorg;HF121a: Wlz, AWBZ;2010;16443.0
113;Totaal aanbieders gezondheidszorg;HF121a: Wlz, AWBZ;2011;17030.0
114;Totaal aanbieders gezondheidszorg;HF121a: Wlz, AWBZ;2012;18875.0
115;Totaal aanbieders gezondheidszorg;HF121a: Wlz, AWBZ;2013;18534.0
116;Totaal aanbieders gezondheidszorg;HF121a: Wlz, AWBZ;2014;18597.0
117;Totaal aanbieders gezondheidszorg;HF121a: Wlz, AWBZ;2015;14275.0
