ID;Huishoudinkomen;VerdachtenNaarSoortMisdrijf;Perioden;AantalVerdachten_1;VerdachtenPer1000Inwoners_2
0;Laag huishoudinkomen;Totaal verdachten van misdrijven;1999;60950;16
1;Laag huishoudinkomen;Totaal verdachten van misdrijven;2000;60040;16
2;Laag huishoudinkomen;Totaal verdachten van misdrijven;2001;64670;17
3;Laag huishoudinkomen;Totaal verdachten van misdrijven;2002;71340;19
4;Laag huishoudinkomen;Totaal verdachten van misdrijven;2003;80320;21
5;Laag huishoudinkomen;Totaal verdachten van misdrijven;2004;88280;23
6;Laag huishoudinkomen;Totaal verdachten van misdrijven;2005;92630;24
7;Laag huishoudinkomen;Totaal verdachten van misdrijven;2006;91520;23
8;Laag huishoudinkomen;Totaal verdachten van misdrijven;2007;92600;24
9;Laag huishoudinkomen;Totaal verdachten van misdrijven;2008;87370;22
10;Laag huishoudinkomen;Vermogensmisdrijven;1999;19530;5
11;Laag huishoudinkomen;Vermogensmisdrijven;2000;18440;5
12;Laag huishoudinkomen;Vermogensmisdrijven;2001;19410;5
13;Laag huishoudinkomen;Vermogensmisdrijven;2002;20060;5
14;Laag huishoudinkomen;Vermogensmisdrijven;2003;21080;5
15;Laag huishoudinkomen;Vermogensmisdrijven;2004;22760;6
16;Laag huishoudinkomen;Vermogensmisdrijven;2005;23060;6
17;Laag huishoudinkomen;Vermogensmisdrijven;2006;22690;6
18;Laag huishoudinkomen;Vermogensmisdrijven;2007;22170;6
19;Laag huishoudinkomen;Vermogensmisdrijven;2008;21660;6
20;Laag huishoudinkomen;Vernieling en openbare orde;1999;5100;1
21;Laag huishoudinkomen;Vernieling en openbare orde;2000;5200;1
22;Laag huishoudinkomen;Vernieling en openbare orde;2001;5550;1
23;Laag huishoudinkomen;Vernieling en openbare orde;2002;6170;2
24;Laag huishoudinkomen;Vernieling en openbare orde;2003;7110;2
25;Laag huishoudinkomen;Vernieling en openbare orde;2004;8060;2
26;Laag huishoudinkomen;Vernieling en openbare orde;2005;8950;2
27;Laag huishoudinkomen;Vernieling en openbare orde;2006;8740;2
28;Laag huishoudinkomen;Vernieling en openbare orde;2007;9210;2
29;Laag huishoudinkomen;Vernieling en openbare orde;2008;8300;2
30;Laag huishoudinkomen;Geweldsmisdrijven;1999;8020;2
31;Laag huishoudinkomen;Geweldsmisdrijven;2000;8350;2
32;Laag huishoudinkomen;Geweldsmisdrijven;2001;9870;3
33;Laag huishoudinkomen;Geweldsmisdrijven;2002;11240;3
34;Laag huishoudinkomen;Geweldsmisdrijven;2003;13600;4
35;Laag huishoudinkomen;Geweldsmisdrijven;2004;15530;4
36;Laag huishoudinkomen;Geweldsmisdrijven;2005;17400;4
37;Laag huishoudinkomen;Geweldsmisdrijven;2006;17670;5
38;Laag huishoudinkomen;Geweldsmisdrijven;2007;18430;5
39;Laag huishoudinkomen;Geweldsmisdrijven;2008;17680;4
40;Laag huishoudinkomen;Verkeersmisdrijven;1999;12100;3
41;Laag huishoudinkomen;Verkeersmisdrijven;2000;12160;3
42;Laag huishoudinkomen;Verkeersmisdrijven;2001;12730;3
43;Laag huishoudinkomen;Verkeersmisdrijven;2002;13880;4
44;Laag huishoudinkomen;Verkeersmisdrijven;2003;15300;4
45;Laag huishoudinkomen;Verkeersmisdrijven;2004;15540;4
46;Laag huishoudinkomen;Verkeersmisdrijven;2005;15720;4
47;Laag huishoudinkomen;Verkeersmisdrijven;2006;15390;4
48;Laag huishoudinkomen;Verkeersmisdrijven;2007;16030;4
49;Laag huishoudinkomen;Verkeersmisdrijven;2008;15350;4
50;Laag huishoudinkomen;Drugsmisdrijven;1999;2350;1
51;Laag huishoudinkomen;Drugsmisdrijven;2000;2350;1
52;Laag huishoudinkomen;Drugsmisdrijven;2001;2900;1
53;Laag huishoudinkomen;Drugsmisdrijven;2002;3270;1
54;Laag huishoudinkomen;Drugsmisdrijven;2003;3960;1
55;Laag huishoudinkomen;Drugsmisdrijven;2004;4350;1
56;Laag huishoudinkomen;Drugsmisdrijven;2005;4580;1
57;Laag huishoudinkomen;Drugsmisdrijven;2006;4580;1
58;Laag huishoudinkomen;Drugsmisdrijven;2007;4290;1
59;Laag huishoudinkomen;Drugsmisdrijven;2008;3980;1
60;Laag huishoudinkomen;Overige misdrijven;1999;2420;1
