ID;EarningGroups;CharacteristicsEmployee;CaribbeanNetherlands;Periods;JobsOfEmployees_1;AverageAnnualWage_2
53;Total all earninggroups;Total;Unclassificable;2016;;
54;Total all earninggroups;Total;Unclassificable;2017;;
55;Total all earninggroups;Total;Unclassificable;2018;;
56;Total all earninggroups;Total;Unclassificable;2019;;
57;Total all earninggroups;Total;Unclassificable;2020;;
58;Total all earninggroups;Total;Unclassificable;2021;;
59;Total all earninggroups;Total;Unclassificable;2022;;
60;Total all earninggroups;3000;Caribbean Netherlands;2011;3710.0;25290.0
61;Total all earninggroups;3000;Caribbean Netherlands;2012;3880.0;26260.0
62;Total all earninggroups;3000;Caribbean Netherlands;2013;4030.0;26410.0
63;Total all earninggroups;3000;Caribbean Netherlands;2014;4270.0;27350.0
64;Total all earninggroups;3000;Caribbean Netherlands;2015;4850.0;27160.0
65;Total all earninggroups;3000;Caribbean Netherlands;2016;5230.0;26830.0
66;Total all earninggroups;3000;Caribbean Netherlands;2017;5430.0;27690.0
67;Total all earninggroups;3000;Caribbean Netherlands;2018;5660.0;27130.0
68;Total all earninggroups;3000;Caribbean Netherlands;2019;5830.0;28000.0
69;Total all earninggroups;3000;Caribbean Netherlands;2020;6650.0;27760.0
70;Total all earninggroups;3000;Caribbean Netherlands;2021;6930.0;27970.0
71;Total all earninggroups;3000;Caribbean Netherlands;2022;7180.0;29220.0
72;Total all earninggroups;3000;Bonaire;2011;3030.0;23220.0
73;Total all earninggroups;3000;Bonaire;2012;3180.0;23910.0
74;Total all earninggroups;3000;Bonaire;2013;3310.0;24220.0
75;Total all earninggroups;3000;Bonaire;2014;3470.0;25040.0
76;Total all earninggroups;3000;Bonaire;2015;3990.0;24590.0
77;Total all earninggroups;3000;Bonaire;2016;4380.0;24490.0
78;Total all earninggroups;3000;Bonaire;2017;4500.0;24870.0
79;Total all earninggroups;3000;Bonaire;2018;4670.0;25130.0
80;Total all earninggroups;3000;Bonaire;2019;4890.0;25880.0
81;Total all earninggroups;3000;Bonaire;2020;5490.0;26190.0
82;Total all earninggroups;3000;Bonaire;2021;5770.0;26230.0
83;Total all earninggroups;3000;Bonaire;2022;6010.0;27530.0
84;Total all earninggroups;3000;St. Eustatius;2011;420.0;36130.0
85;Total all earninggroups;3000;St. Eustatius;2012;430.0;39820.0
86;Total all earninggroups;3000;St. Eustatius;2013;450.0;39440.0
87;Total all earninggroups;3000;St. Eustatius;2014;480.0;41880.0
88;Total all earninggroups;3000;St. Eustatius;2015;530.0;43630.0
89;Total all earninggroups;3000;St. Eustatius;2016;510.0;43190.0
90;Total all earninggroups;3000;St. Eustatius;2017;580.0;46740.0
91;Total all earninggroups;3000;St. Eustatius;2018;630.0;38920.0
92;Total all earninggroups;3000;St. Eustatius;2019;580.0;42580.0
93;Total all earninggroups;3000;St. Eustatius;2020;730.0;36630.0
94;Total all earninggroups;3000;St. Eustatius;2021;720.0;38770.0
95;Total all earninggroups;3000;St. Eustatius;2022;740.0;38980.0
96;Total all earninggroups;3000;Saba;2011;250.0;32220.0
97;Total all earninggroups;3000;Saba;2012;270.0;32170.0
98;Total all earninggroups;3000;Saba;2013;280.0;31660.0
99;Total all earninggroups;3000;Saba;2014;310.0;30660.0
100;Total all earninggroups;3000;Saba;2015;330.0;31720.0
101;Total all earninggroups;3000;Saba;2016;350.0;32210.0
102;Total all earninggroups;3000;Saba;2017;340.0;32240.0
103;Total all earninggroups;3000;Saba;2018;370.0;32310.0
104;Total all earninggroups;3000;Saba;2019;360.0;33270.0
105;Total all earninggroups;3000;Saba;2020;440.0;32750.0
106;Total all earninggroups;3000;Saba;2021;440.0;33100.0
107;Total all earninggroups;3000;Saba;2022;430.0;36190.0
108;Total all earninggroups;3000;Unclassificable;2011;;
109;Total all earninggroups;3000;Unclassificable;2012;;
110;Total all earninggroups;3000;Unclassificable;2013;;
111;Total all earninggroups;3000;Unclassificable;2014;;
112;Total all earninggroups;3000;Unclassificable;2015;;
113;Total all earninggroups;3000;Unclassificable;2016;;
114;Total all earninggroups;3000;Unclassificable;2017;;
115;Total all earninggroups;3000;Unclassificable;2018;;
116;Total all earninggroups;3000;Unclassificable;2019;;
117;Total all earninggroups;3000;Unclassificable;2020;;
118;Total all earninggroups;3000;Unclassificable;2021;;
119;Total all earninggroups;3000;Unclassificable;2022;;
120;Total all earninggroups;4000;Caribbean Netherlands;2011;3750.0;20030.0
121;Total all earninggroups;4000;Caribbean Netherlands;2012;3990.0;21560.0
122;Total all earninggroups;4000;Caribbean Netherlands;2013;4240.0;22050.0
123;Total all earninggroups;4000;Caribbean Netherlands;2014;4570.0;23370.0
124;Total all earninggroups;4000;Caribbean Netherlands;2015;5080.0;23590.0
125;Total all earninggroups;4000;Caribbean Netherlands;2016;5320.0;23530.0
126;Total all earninggroups;4000;Caribbean Netherlands;2017;5510.0;24390.0
127;Total all earninggroups;4000;Caribbean Netherlands;2018;5640.0;24160.0
128;Total all earninggroups;4000;Caribbean Netherlands;2019;5880.0;25210.0
129;Total all earninggroups;4000;Caribbean Netherlands;2020;6550.0;25610.0
130;Total all earninggroups;4000;Caribbean Netherlands;2021;7070.0;26120.0
131;Total all earninggroups;4000;Caribbean Netherlands;2022;7370.0;27590.0
132;Total all earninggroups;4000;Bonaire;2011;3100.0;19120.0
133;Total all earninggroups;4000;Bonaire;2012;3310.0;20730.0
134;Total all earninggroups;4000;Bonaire;2013;3490.0;21250.0
135;Total all earninggroups;4000;Bonaire;2014;3700.0;22240.0
136;Total all earninggroups;4000;Bonaire;2015;4160.0;22370.0
137;Total all earninggroups;4000;Bonaire;2016;4350.0;22330.0
138;Total all earninggroups;4000;Bonaire;2017;4500.0;23330.0
139;Total all earninggroups;4000;Bonaire;2018;4640.0;23220.0
140;Total all earninggroups;4000;Bonaire;2019;4880.0;24200.0
141;Total all earninggroups;4000;Bonaire;2020;5400.0;24600.0
142;Total all earninggroups;4000;Bonaire;2021;5880.0;25060.0
143;Total all earninggroups;4000;Bonaire;2022;6150.0;26530.0
144;Total all earninggroups;4000;St. Eustatius;2011;390.0;24050.0
145;Total all earninggroups;4000;St. Eustatius;2012;400.0;26230.0
146;Total all earninggroups;4000;St. Eustatius;2013;450.0;26700.0
147;Total all earninggroups;4000;St. Eustatius;2014;550.0;29620.0
148;Total all earninggroups;4000;St. Eustatius;2015;580.0;30630.0
149;Total all earninggroups;4000;St. Eustatius;2016;600.0;30750.0
150;Total all earninggroups;4000;St. Eustatius;2017;610.0;31040.0
151;Total all earninggroups;4000;St. Eustatius;2018;610.0;29510.0
152;Total all earninggroups;4000;St. Eustatius;2019;610.0;31120.0
153;Total all earninggroups;4000;St. Eustatius;2020;700.0;30630.0
154;Total all earninggroups;4000;St. Eustatius;2021;760.0;31420.0
155;Total all earninggroups;4000;St. Eustatius;2022;770.0;31770.0
156;Total all earninggroups;4000;Saba;2011;260.0;24750.0
157;Total all earninggroups;4000;Saba;2012;270.0;24610.0
158;Total all earninggroups;4000;Saba;2013;300.0;24450.0
159;Total all earninggroups;4000;Saba;2014;320.0;25660.0
160;Total all earninggroups;4000;Saba;2015;340.0;26600.0
161;Total all earninggroups;4000;Saba;2016;370.0;25840.0
162;Total all earninggroups;4000;Saba;2017;390.0;26120.0
163;Total all earninggroups;4000;Saba;2018;380.0;26990.0
164;Total all earninggroups;4000;Saba;2019;390.0;28580.0
165;Total all earninggroups;4000;Saba;2020;450.0;29850.0
166;Total all earninggroups;4000;Saba;2021;430.0;31320.0
167;Total all earninggroups;4000;Saba;2022;450.0;34820.0
168;Total all earninggroups;4000;Unclassificable;2011;;
169;Total all earninggroups;4000;Unclassificable;2012;;
170;Total all earninggroups;4000;Unclassificable;2013;;
171;Total all earninggroups;4000;Unclassificable;2014;;
172;Total all earninggroups;4000;Unclassificable;2015;;
173;Total all earninggroups;4000;Unclassificable;2016;;
174;Total all earninggroups;4000;Unclassificable;2017;;
175;Total all earninggroups;4000;Unclassificable;2018;;
176;Total all earninggroups;4000;Unclassificable;2019;;
177;Total all earninggroups;4000;Unclassificable;2020;;
178;Total all earninggroups;4000;Unclassificable;2021;;
179;Total all earninggroups;4000;Unclassificable;2022;;
180;Total all earninggroups;9000;Caribbean Netherlands;2011;1410.0;20640.0
181;Total all earninggroups;9000;Caribbean Netherlands;2012;1290.0;22910.0
182;Total all earninggroups;9000;Caribbean Netherlands;2013;1320.0;24030.0
183;Total all earninggroups;9000;Caribbean Netherlands;2014;1290.0;23700.0
184;Total all earninggroups;9000;Caribbean Netherlands;2015;1020.0;26730.0
185;Total all earninggroups;9000;Caribbean Netherlands;2016;1060.0;26800.0
186;Total all earninggroups;9000;Caribbean Netherlands;2017;1030.0;27010.0
187;Total all earninggroups;9000;Caribbean Netherlands;2018;1280.0;25760.0
188;Total all earninggroups;9000;Caribbean Netherlands;2019;1330.0;26160.0
189;Total all earninggroups;9000;Caribbean Netherlands;2020;;
190;Total all earninggroups;9000;Caribbean Netherlands;2021;;
191;Total all earninggroups;9000;Caribbean Netherlands;2022;;
192;Total all earninggroups;9000;Bonaire;2011;1020.0;19070.0
193;Total all earninggroups;9000;Bonaire;2012;960.0;21170.0
194;Total all earninggroups;9000;Bonaire;2013;930.0;21900.0
195;Total all earninggroups;9000;Bonaire;2014;970.0;22640.0
196;Total all earninggroups;9000;Bonaire;2015;740.0;25730.0
197;Total all earninggroups;9000;Bonaire;2016;790.0;25740.0
198;Total all earninggroups;9000;Bonaire;2017;750.0;26090.0
199;Total all earninggroups;9000;Bonaire;2018;960.0;24750.0
200;Total all earninggroups;9000;Bonaire;2019;1050.0;24880.0
201;Total all earninggroups;9000;Bonaire;2020;;
202;Total all earninggroups;9000;Bonaire;2021;;
203;Total all earninggroups;9000;Bonaire;2022;;
204;Total all earninggroups;9000;St. Eustatius;2011;240.0;27300.0
205;Total all earninggroups;9000;St. Eustatius;2012;220.0;31420.0
206;Total all earninggroups;9000;St. Eustatius;2013;290.0;31970.0
207;Total all earninggroups;9000;St. Eustatius;2014;220.0;29390.0
208;Total all earninggroups;9000;St. Eustatius;2015;180.0;32710.0
209;Total all earninggroups;9000;St. Eustatius;2016;170.0;32460.0
210;Total all earninggroups;9000;St. Eustatius;2017;160.0;33410.0
211;Total all earninggroups;9000;St. Eustatius;2018;180.0;31010.0
212;Total all earninggroups;9000;St. Eustatius;2019;160.0;33570.0
213;Total all earninggroups;9000;St. Eustatius;2020;;
214;Total all earninggroups;9000;St. Eustatius;2021;;
215;Total all earninggroups;9000;St. Eustatius;2022;;
216;Total all earninggroups;9000;Saba;2011;130.0;19370.0
217;Total all earninggroups;9000;Saba;2012;110.0;20670.0
218;Total all earninggroups;9000;Saba;2013;110.0;21240.0
219;Total all earninggroups;9000;Saba;2014;100.0;21430.0
220;Total all earninggroups;9000;Saba;2015;100.0;23330.0
221;Total all earninggroups;9000;Saba;2016;110.0;25720.0
222;Total all earninggroups;9000;Saba;2017;120.0;24120.0
223;Total all earninggroups;9000;Saba;2018;130.0;25820.0
224;Total all earninggroups;9000;Saba;2019;120.0;27390.0
225;Total all earninggroups;9000;Saba;2020;;
226;Total all earninggroups;9000;Saba;2021;;
227;Total all earninggroups;9000;Saba;2022;;
228;Total all earninggroups;9000;Unclassificable;2011;10.0;31610.0
229;Total all earninggroups;9000;Unclassificable;2012;10.0;34200.0
230;Total all earninggroups;9000;Unclassificable;2013;;
231;Total all earninggroups;9000;Unclassificable;2014;10.0;30870.0
232;Total all earninggroups;9000;Unclassificable;2015;;
233;Total all earninggroups;9000;Unclassificable;2016;;
234;Total all earninggroups;9000;Unclassificable;2017;;
235;Total all earninggroups;9000;Unclassificable;2018;;
236;Total all earninggroups;9000;Unclassificable;2019;;
237;Total all earninggroups;9000;Unclassificable;2020;;
238;Total all earninggroups;9000;Unclassificable;2021;;
239;Total all earninggroups;9000;Unclassificable;2022;;
240;Total all earninggroups;Age: younger than 15 years;Caribbean Netherlands;2011;20.0;10410.0
241;Total all earninggroups;Age: younger than 15 years;Caribbean Netherlands;2012;30.0;6210.0
242;Total all earninggroups;Age: younger than 15 years;Caribbean Netherlands;2013;10.0;6930.0
243;Total all earninggroups;Age: younger than 15 years;Caribbean Netherlands;2014;10.0;5750.0
244;Total all earninggroups;Age: younger than 15 years;Caribbean Netherlands;2015;10.0;2860.0
245;Total all earninggroups;Age: younger than 15 years;Caribbean Netherlands;2016;10.0;1450.0
246;Total all earninggroups;Age: younger than 15 years;Caribbean Netherlands;2017;;
247;Total all earninggroups;Age: younger than 15 years;Caribbean Netherlands;2018;10.0;1720.0
248;Total all earninggroups;Age: younger than 15 years;Caribbean Netherlands;2019;;
249;Total all earninggroups;Age: younger than 15 years;Caribbean Netherlands;2020;;
250;Total all earninggroups;Age: younger than 15 years;Caribbean Netherlands;2021;;
251;Total all earninggroups;Age: younger than 15 years;Caribbean Netherlands;2022;;
252;Total all earninggroups;Age: younger than 15 years;Bonaire;2011;20.0;5020.0
253;Total all earninggroups;Age: younger than 15 years;Bonaire;2012;20.0;6130.0
254;Total all earninggroups;Age: younger than 15 years;Bonaire;2013;10.0;6850.0
255;Total all earninggroups;Age: younger than 15 years;Bonaire;2014;10.0;5480.0
256;Total all earninggroups;Age: younger than 15 years;Bonaire;2015;10.0;2560.0
257;Total all earninggroups;Age: younger than 15 years;Bonaire;2016;10.0;1450.0
258;Total all earninggroups;Age: younger than 15 years;Bonaire;2017;;
259;Total all earninggroups;Age: younger than 15 years;Bonaire;2018;10.0;1720.0
260;Total all earninggroups;Age: younger than 15 years;Bonaire;2019;;
261;Total all earninggroups;Age: younger than 15 years;Bonaire;2020;;
262;Total all earninggroups;Age: younger than 15 years;Bonaire;2021;;
263;Total all earninggroups;Age: younger than 15 years;Bonaire;2022;;
264;Total all earninggroups;Age: younger than 15 years;St. Eustatius;2011;;
265;Total all earninggroups;Age: younger than 15 years;St. Eustatius;2012;;
266;Total all earninggroups;Age: younger than 15 years;St. Eustatius;2013;;
267;Total all earninggroups;Age: younger than 15 years;St. Eustatius;2014;;
268;Total all earninggroups;Age: younger than 15 years;St. Eustatius;2015;;
269;Total all earninggroups;Age: younger than 15 years;St. Eustatius;2016;;
270;Total all earninggroups;Age: younger than 15 years;St. Eustatius;2017;;
271;Total all earninggroups;Age: younger than 15 years;St. Eustatius;2018;;
272;Total all earninggroups;Age: younger than 15 years;St. Eustatius;2019;;
273;Total all earninggroups;Age: younger than 15 years;St. Eustatius;2020;;
274;Total all earninggroups;Age: younger than 15 years;St. Eustatius;2021;;
275;Total all earninggroups;Age: younger than 15 years;St. Eustatius;2022;;
276;Total all earninggroups;Age: younger than 15 years;Saba;2011;;
277;Total all earninggroups;Age: younger than 15 years;Saba;2012;;
278;Total all earninggroups;Age: younger than 15 years;Saba;2013;;
279;Total all earninggroups;Age: younger than 15 years;Saba;2014;;
280;Total all earninggroups;Age: younger than 15 years;Saba;2015;;
281;Total all earninggroups;Age: younger than 15 years;Saba;2016;;
282;Total all earninggroups;Age: younger than 15 years;Saba;2017;;
283;Total all earninggroups;Age: younger than 15 years;Saba;2018;;
284;Total all earninggroups;Age: younger than 15 years;Saba;2019;;
285;Total all earninggroups;Age: younger than 15 years;Saba;2020;;
286;Total all earninggroups;Age: younger than 15 years;Saba;2021;;
287;Total all earninggroups;Age: younger than 15 years;Saba;2022;;
288;Total all earninggroups;Age: younger than 15 years;Unclassificable;2011;;
289;Total all earninggroups;Age: younger than 15 years;Unclassificable;2012;;
290;Total all earninggroups;Age: younger than 15 years;Unclassificable;2013;;
291;Total all earninggroups;Age: younger than 15 years;Unclassificable;2014;;
292;Total all earninggroups;Age: younger than 15 years;Unclassificable;2015;;
293;Total all earninggroups;Age: younger than 15 years;Unclassificable;2016;;
294;Total all earninggroups;Age: younger than 15 years;Unclassificable;2017;;
295;Total all earninggroups;Age: younger than 15 years;Unclassificable;2018;;
296;Total all earninggroups;Age: younger than 15 years;Unclassificable;2019;;
297;Total all earninggroups;Age: younger than 15 years;Unclassificable;2020;;
298;Total all earninggroups;Age: younger than 15 years;Unclassificable;2021;;
299;Total all earninggroups;Age: younger than 15 years;Unclassificable;2022;;
300;Total all earninggroups;Age: 15 to 24 years;Caribbean Netherlands;2011;960.0;12920.0
301;Total all earninggroups;Age: 15 to 24 years;Caribbean Netherlands;2012;990.0;13380.0
302;Total all earninggroups;Age: 15 to 24 years;Caribbean Netherlands;2013;1040.0;13810.0
303;Total all earninggroups;Age: 15 to 24 years;Caribbean Netherlands;2014;1080.0;13880.0
304;Total all earninggroups;Age: 15 to 24 years;Caribbean Netherlands;2015;1140.0;13440.0
305;Total all earninggroups;Age: 15 to 24 years;Caribbean Netherlands;2016;1250.0;12950.0
306;Total all earninggroups;Age: 15 to 24 years;Caribbean Netherlands;2017;1280.0;13180.0
307;Total all earninggroups;Age: 15 to 24 years;Caribbean Netherlands;2018;1390.0;13190.0
308;Total all earninggroups;Age: 15 to 24 years;Caribbean Netherlands;2019;1400.0;13490.0
309;Total all earninggroups;Age: 15 to 24 years;Caribbean Netherlands;2020;1240.0;13660.0
310;Total all earninggroups;Age: 15 to 24 years;Caribbean Netherlands;2021;1410.0;13670.0
311;Total all earninggroups;Age: 15 to 24 years;Caribbean Netherlands;2022;1570.0;14390.0
312;Total all earninggroups;Age: 15 to 24 years;Bonaire;2011;830.0;12030.0
313;Total all earninggroups;Age: 15 to 24 years;Bonaire;2012;880.0;12680.0
314;Total all earninggroups;Age: 15 to 24 years;Bonaire;2013;910.0;13010.0
315;Total all earninggroups;Age: 15 to 24 years;Bonaire;2014;960.0;13110.0
316;Total all earninggroups;Age: 15 to 24 years;Bonaire;2015;1010.0;12710.0
317;Total all earninggroups;Age: 15 to 24 years;Bonaire;2016;1110.0;12350.0
318;Total all earninggroups;Age: 15 to 24 years;Bonaire;2017;1140.0;12690.0
319;Total all earninggroups;Age: 15 to 24 years;Bonaire;2018;1240.0;12860.0
320;Total all earninggroups;Age: 15 to 24 years;Bonaire;2019;1260.0;13090.0
321;Total all earninggroups;Age: 15 to 24 years;Bonaire;2020;1110.0;13110.0
322;Total all earninggroups;Age: 15 to 24 years;Bonaire;2021;1270.0;13310.0
323;Total all earninggroups;Age: 15 to 24 years;Bonaire;2022;1420.0;14210.0
324;Total all earninggroups;Age: 15 to 24 years;St. Eustatius;2011;70.0;19390.0
325;Total all earninggroups;Age: 15 to 24 years;St. Eustatius;2012;60.0;21260.0
326;Total all earninggroups;Age: 15 to 24 years;St. Eustatius;2013;70.0;24640.0
327;Total all earninggroups;Age: 15 to 24 years;St. Eustatius;2014;50.0;25720.0
328;Total all earninggroups;Age: 15 to 24 years;St. Eustatius;2015;60.0;22810.0
329;Total all earninggroups;Age: 15 to 24 years;St. Eustatius;2016;50.0;22770.0
330;Total all earninggroups;Age: 15 to 24 years;St. Eustatius;2017;60.0;22040.0
331;Total all earninggroups;Age: 15 to 24 years;St. Eustatius;2018;80.0;15970.0
332;Total all earninggroups;Age: 15 to 24 years;St. Eustatius;2019;70.0;16820.0
333;Total all earninggroups;Age: 15 to 24 years;St. Eustatius;2020;70.0;17130.0
334;Total all earninggroups;Age: 15 to 24 years;St. Eustatius;2021;70.0;16850.0
335;Total all earninggroups;Age: 15 to 24 years;St. Eustatius;2022;100.0;16440.0
336;Total all earninggroups;Age: 15 to 24 years;Saba;2011;60.0;17870.0
337;Total all earninggroups;Age: 15 to 24 years;Saba;2012;50.0;16310.0
338;Total all earninggroups;Age: 15 to 24 years;Saba;2013;60.0;14000.0
339;Total all earninggroups;Age: 15 to 24 years;Saba;2014;70.0;15400.0
340;Total all earninggroups;Age: 15 to 24 years;Saba;2015;70.0;15830.0
341;Total all earninggroups;Age: 15 to 24 years;Saba;2016;80.0;14400.0
342;Total all earninggroups;Age: 15 to 24 years;Saba;2017;80.0;13520.0
343;Total all earninggroups;Age: 15 to 24 years;Saba;2018;70.0;15910.0
344;Total all earninggroups;Age: 15 to 24 years;Saba;2019;70.0;17480.0
345;Total all earninggroups;Age: 15 to 24 years;Saba;2020;70.0;19150.0
346;Total all earninggroups;Age: 15 to 24 years;Saba;2021;60.0;17450.0
347;Total all earninggroups;Age: 15 to 24 years;Saba;2022;50.0;15650.0
348;Total all earninggroups;Age: 15 to 24 years;Unclassificable;2011;;
349;Total all earninggroups;Age: 15 to 24 years;Unclassificable;2012;;
350;Total all earninggroups;Age: 15 to 24 years;Unclassificable;2013;;
351;Total all earninggroups;Age: 15 to 24 years;Unclassificable;2014;;
352;Total all earninggroups;Age: 15 to 24 years;Unclassificable;2015;;
353;Total all earninggroups;Age: 15 to 24 years;Unclassificable;2016;;
354;Total all earninggroups;Age: 15 to 24 years;Unclassificable;2017;;
355;Total all earninggroups;Age: 15 to 24 years;Unclassificable;2018;;
356;Total all earninggroups;Age: 15 to 24 years;Unclassificable;2019;;
357;Total all earninggroups;Age: 15 to 24 years;Unclassificable;2020;;
358;Total all earninggroups;Age: 15 to 24 years;Unclassificable;2021;;
359;Total all earninggroups;Age: 15 to 24 years;Unclassificable;2022;;
360;Total all earninggroups;Age: 25 to 34 years;Caribbean Netherlands;2011;1820.0;20260.0
361;Total all earninggroups;Age: 25 to 34 years;Caribbean Netherlands;2012;1880.0;21990.0
362;Total all earninggroups;Age: 25 to 34 years;Caribbean Netherlands;2013;2010.0;22480.0
363;Total all earninggroups;Age: 25 to 34 years;Caribbean Netherlands;2014;2250.0;23030.0
364;Total all earninggroups;Age: 25 to 34 years;Caribbean Netherlands;2015;2510.0;23490.0
365;Total all earninggroups;Age: 25 to 34 years;Caribbean Netherlands;2016;2670.0;23290.0
366;Total all earninggroups;Age: 25 to 34 years;Caribbean Netherlands;2017;2750.0;23940.0
367;Total all earninggroups;Age: 25 to 34 years;Caribbean Netherlands;2018;2890.0;23620.0
368;Total all earninggroups;Age: 25 to 34 years;Caribbean Netherlands;2019;3060.0;24260.0
369;Total all earninggroups;Age: 25 to 34 years;Caribbean Netherlands;2020;3110.0;23970.0
370;Total all earninggroups;Age: 25 to 34 years;Caribbean Netherlands;2021;3280.0;24270.0
371;Total all earninggroups;Age: 25 to 34 years;Caribbean Netherlands;2022;3310.0;25910.0
372;Total all earninggroups;Age: 25 to 34 years;Bonaire;2011;1470.0;19160.0
373;Total all earninggroups;Age: 25 to 34 years;Bonaire;2012;1510.0;20700.0
374;Total all earninggroups;Age: 25 to 34 years;Bonaire;2013;1610.0;20940.0
375;Total all earninggroups;Age: 25 to 34 years;Bonaire;2014;1800.0;21700.0
376;Total all earninggroups;Age: 25 to 34 years;Bonaire;2015;2050.0;21960.0
377;Total all earninggroups;Age: 25 to 34 years;Bonaire;2016;2210.0;22060.0
378;Total all earninggroups;Age: 25 to 34 years;Bonaire;2017;2260.0;22600.0
379;Total all earninggroups;Age: 25 to 34 years;Bonaire;2018;2380.0;23080.0
380;Total all earninggroups;Age: 25 to 34 years;Bonaire;2019;2570.0;23690.0
381;Total all earninggroups;Age: 25 to 34 years;Bonaire;2020;2590.0;23560.0
382;Total all earninggroups;Age: 25 to 34 years;Bonaire;2021;2770.0;23670.0
383;Total all earninggroups;Age: 25 to 34 years;Bonaire;2022;2820.0;25070.0
384;Total all earninggroups;Age: 25 to 34 years;St. Eustatius;2011;210.0;25090.0
385;Total all earninggroups;Age: 25 to 34 years;St. Eustatius;2012;210.0;28610.0
386;Total all earninggroups;Age: 25 to 34 years;St. Eustatius;2013;250.0;30720.0
387;Total all earninggroups;Age: 25 to 34 years;St. Eustatius;2014;290.0;30620.0
388;Total all earninggroups;Age: 25 to 34 years;St. Eustatius;2015;310.0;33210.0
389;Total all earninggroups;Age: 25 to 34 years;St. Eustatius;2016;300.0;32100.0
390;Total all earninggroups;Age: 25 to 34 years;St. Eustatius;2017;310.0;34250.0
391;Total all earninggroups;Age: 25 to 34 years;St. Eustatius;2018;330.0;28060.0
392;Total all earninggroups;Age: 25 to 34 years;St. Eustatius;2019;300.0;29000.0
393;Total all earninggroups;Age: 25 to 34 years;St. Eustatius;2020;320.0;25650.0
394;Total all earninggroups;Age: 25 to 34 years;St. Eustatius;2021;320.0;27810.0
