ID;KenmerkenWerknemers;Perioden;ErgSnelWerken_1;HeelVeelWerkDoen_2;ExtraHardWerken_3;OnderTijdsdrukWerken_4;Haasten_5;RegelmatigVeelKrachtZetten_6;k_5KgTillen_7;k_5KgDuwenTrekken_8;k_5KgDragen_9;RegelmatigHardPraten_10;RegelmatigGebruikVanGehoorbeschermers_11;RegelmatigTeMakenMetTrillingen_12;GevaarlijkWerk_13;WaterigeOplossingen_14;StoffenOpUwHuid_15;AdemtStoffenIn_16;BesmettePersonen_17;InOngemakkelijkeWerkhoudingWerken_18;TijdensWerkRepeterendeBewegingMaken_19;UurPerDagAanBeeldschermVoorWerk_20;UurPerWeekAanBeeldschermVoorPrive_21;ZelfBeslissen_22;VolgordeWerkzaamhedenBepalen_23;WerktempoBepalen_24;OplossingenBedenken_25;VerlofNemen_26;EmotioneelMoeilijkeWerksituaties_27;EmotioneelVeeleisendWerk_28;EmotioneelBetrokkenBijWerk_29;VanKlanten_30;VanLeidinggevendenOfCollegaS_31;DoorKlanten_32;DoorLeidinggevendenOfCollegaS_33;DoorKlanten_34;DoorLeidinggevendenOfCollegaS_35;DoorKlanten_36;DoorLeidinggevendenOfCollegaS_37;AantalOngevallenPer100000Werknemers_38;TotaalAandeelWerknemersMetOngeval_39;OngevalZonderVerzuim_40;OngevalMetTenMinste0DagenVerzuim_41;OngevalMetTenMinste1DagVerzuim_42;OngevalMetTenMinste4DagenVerzuim_43;UitsluitendLichamelijkLetsel_44;UitsluitendGeestelijkLetsel_45;LichamelijkEnGeestelijkLetsel_46;BurnOutKlachten_47;EmotioneelUitgeput_48;LeegVoelen_49;SOchtendsMoeVoelen_50;VergtVeelOmMetMensenTeWerken_51;UitgeputDoorWerk_52;TevredenMetArbeidsomstandigheden_53;TevredenMetWerk_54;WilTot65eWerkzaamBlijven_55;InStaatTot65eWerkzaamTeBlijven_56;DoorLichterWerkLangerWerkzaam_57;Na65eWerkzaamBlijven_58;LeeftijdWillenDoorwerken_59;LeeftijdInStaatDoorwerken_60
10;Herkomst: autochtoon;2006;44.7;51.3;31.1;40.0;28.7;23.8;31.3;27.6;26.6;9.2;9.4;;;;;;;;;3.6;5.8;;;;;;;;;;;;;;;;;9600;6.1;3.0;3.1;3.0;2.2;4.2;1.5;0.3;;;;;;;72.8;;25.8;43.5;36.0;;;
11;Herkomst: autochtoon;2007;33.7;43.3;25.8;;;18.2;;;;6.9;;9.5;3.7;;;;;10.6;34.9;3.7;;;;;;;6.9;12.2;13.7;4.4;1.6;20.2;11.3;6.0;0.5;6.8;7.7;11100;6.5;3.3;3.2;3.0;2.6;4.8;1.3;0.4;10.1;10.9;26.6;12.4;7.7;9.7;73.9;78.8;33.8;42.6;39.5;;;
12;Herkomst: autochtoon;2008;32.4;41.7;26.4;;;20.6;;;;6.6;;9.2;;15.7;9.4;8.3;5.5;11.1;34.1;3.8;;65.9;67.0;61.6;71.1;52.8;7.1;11.7;12.6;4.6;1.7;19.6;10.4;6.6;0.4;6.4;7.5;14000;6.9;3.6;3.3;3.2;2.5;5.1;1.4;0.5;10.9;11.1;27.7;13.3;8.4;10.2;77.6;80.0;36.0;45.5;39.5;11.0;;
13;Herkomst: autochtoon;2009;32.8;41.0;25.7;;;18.3;;;;6.2;;9.3;3.7;15.4;9.3;8.2;9.3;10.4;33.2;3.7;;64.5;66.3;61.5;70.8;52.4;7.3;12.2;13.3;5.0;1.5;20.2;11.1;6.6;0.4;7.0;7.4;12400;6.7;3.5;3.1;2.9;2.3;4.6;1.5;0.5;11.3;11.2;26.8;13.5;8.7;10.3;75.9;80.3;42.1;46.2;40.8;12.5;;
14;Herkomst: autochtoon;2010;34.0;41.7;26.1;;;21.6;;;;6.2;;9.8;4.1;16.5;9.6;7.7;5.7;10.1;35.5;3.7;;64.4;65.5;60.4;70.3;52.0;7.0;11.8;13.1;5.0;1.6;18.9;9.9;6.3;0.4;6.0;6.7;13300;6.9;3.6;3.3;3.1;2.6;4.7;1.7;0.4;11.4;12.0;28.3;14.3;8.3;10.6;79.1;80.4;44.1;47.0;40.1;13.9;;
15;Herkomst: autochtoon;2011;32.3;41.3;25.3;;;19.7;;;;6.5;;9.4;3.2;16.4;9.1;7.7;6.9;10.8;34.5;3.8;;63.0;65.0;59.8;69.7;50.7;7.4;11.7;13.2;4.9;1.5;19.9;11.0;6.0;0.5;5.7;7.0;11500;6.2;3.3;2.9;2.7;2.2;4.1;1.5;0.5;11.2;11.5;25.7;13.9;8.4;10.7;75.8;79.7;;;;;62.7;62.1
16;Herkomst: autochtoon;2012;30.9;39.3;25.5;;;20.5;;;;6.5;;8.9;4.3;16.6;9.2;7.4;5.5;9.6;35.0;3.7;;62.3;63.9;58.0;68.8;51.5;5.8;10.1;11.8;5.1;1.7;19.7;10.8;6.5;0.5;5.7;6.9;12700;6.5;3.4;3.1;2.9;2.3;4.5;1.5;0.5;11.8;12.1;28.2;15.2;8.7;10.9;77.4;80.0;;;;;62.9;62.4
17;Herkomst: autochtoon;2013;32.1;41.6;26.6;;;19.2;;;;6.9;;9.1;3.6;16.7;9.5;8.4;8.1;10.3;34.6;3.7;;61.5;63.0;57.3;68.7;50.3;7.3;11.7;12.6;5.3;1.7;20.1;10.7;6.4;0.4;5.5;6.4;11000;6.2;3.5;2.7;2.5;2.0;4.4;1.3;0.5;11.0;11.3;25.6;13.8;8.0;10.7;74.8;79.2;;;;;63.2;62.5
18;Herkomst: westers allochtoon, 1e gen.;2005;49.5;49.6;37.7;44.9;34.9;24.1;33.0;29.2;26.6;12.1;10.3;;;;;;;;;3.9;6.2;;;;;;;;;;;;;;;;;7700;6.6;3.3;3.3;3.3;3.1;5.0;1.0;0.5;;;;;;;63.5;;24.3;36.0;39.8;;;
19;Herkomst: westers allochtoon, 1e gen.;2006;47.0;52.0;39.2;41.8;32.4;22.6;27.1;25.4;22.2;10.5;8.0;;;;;;;;;4.4;5.9;;;;;;;;;;;;;;;;;9100;6.2;2.8;3.4;3.2;2.5;4.5;0.8;0.9;;;;;;;63.8;;34.6;40.4;39.3;;;
20;Herkomst: westers allochtoon, 1e gen.;2007;36.7;47.6;32.2;;;17.8;;;;9.7;;12.3;4.1;;;;;11.4;40.1;4.1;;;;;;;10.6;13.6;17.1;3.9;3.6;14.0;12.5;4.0;0.7;7.2;12.9;15200;8.7;4.3;4.3;4.3;3.6;6.8;1.5;0.3;15.9;15.9;31.6;21.5;11.6;13.8;65.1;70.7;40.6;37.1;43.8;;;
21;Herkomst: westers allochtoon, 1e gen.;2008;35.3;45.8;28.7;;;17.4;;;;10.2;;8.2;;17.5;11.9;7.8;5.3;9.9;34.3;4.4;;62.8;59.8;61.4;67.8;44.4;10.4;14.2;15.4;5.7;2.5;13.1;11.9;5.4;0.9;5.7;12.4;9900;8.2;3.4;4.8;3.2;2.7;5.2;1.4;1.6;20.3;20.8;35.5;23.3;13.3;17.4;74.1;74.1;41.2;44.2;45.7;18.0;;
22;Herkomst: westers allochtoon, 1e gen.;2009;33.1;42.2;28.5;;;15.6;;;;8.9;;6.0;3.6;18.0;14.3;11.8;11.3;12.0;31.6;4.4;;55.8;57.6;53.6;65.0;41.3;15.1;18.6;20.8;4.2;2.3;13.7;11.2;4.3;1.2;9.7;14.6;7700;4.0;2.5;1.5;1.5;1.4;3.1;0.4;0.6;17.0;17.7;32.3;21.9;13.5;15.4;66.3;69.1;47.6;39.2;40.1;17.9;;
23;Herkomst: westers allochtoon, 1e gen.;2010;34.7;41.9;27.8;;;16.6;;;;7.7;;8.9;5.2;16.4;11.7;10.0;6.7;10.3;34.3;4.5;;57.6;61.6;59.3;63.6;45.6;10.7;15.4;15.1;3.8;2.1;12.4;8.6;3.9;1.2;7.4;9.6;9000;6.9;3.8;3.2;2.5;2.3;5.3;0.7;1.0;21.1;19.2;36.6;23.4;14.4;17.3;71.1;73.0;50.4;44.0;43.0;18.2;;
24;Herkomst: westers allochtoon, 1e gen.;2011;32.5;44.3;31.3;;;15.3;;;;9.7;;6.7;5.3;18.2;11.8;11.7;9.9;11.1;34.2;4.6;;56.3;61.4;61.0;63.1;43.8;13.5;14.6;17.7;4.9;3.7;14.4;11.1;5.5;1.4;8.1;12.4;17100;8.9;5.0;3.9;3.9;3.1;6.1;1.5;1.3;19.2;17.8;32.6;24.2;14.4;17.4;67.2;70.2;;;;;62.8;60.7
25;Herkomst: westers allochtoon, 1e gen.;2012;34.7;47.2;32.7;;;23.1;;;;9.5;;9.5;4.9;22.1;14.0;10.7;8.8;10.4;39.3;3.9;;50.3;52.8;54.0;61.0;37.3;12.6;13.5;16.6;7.6;2.9;15.9;10.7;5.8;2.0;8.7;11.3;11700;8.4;3.7;4.8;4.2;3.4;5.7;1.5;1.2;18.9;21.1;37.6;27.1;13.2;18.8;67.7;69.3;;;;;62.8;61.4
26;Herkomst: westers allochtoon, 1e gen.;2013;37.8;46.9;34.2;;;16.9;;;;9.6;;7.2;3.7;16.7;9.4;7.9;8.1;8.6;28.8;4.4;;53.6;54.9;55.3;62.0;46.7;13.6;14.2;15.7;5.5;3.3;14.4;10.8;5.1;0.8;7.3;12.3;13700;6.9;3.6;3.3;3.1;2.3;4.2;1.8;0.9;18.4;16.9;30.9;23.9;13.7;16.6;64.1;68.2;;;;;62.7;61.9
27;Herkomst: westers allochtoon, 2e gen.;2005;48.2;53.9;34.0;42.4;31.2;23.0;26.6;22.7;22.7;9.9;8.7;;;;;;;;;4.0;6.9;;;;;;;;;;;;;;;;;13800;7.2;3.1;4.1;3.9;2.4;5.8;0.8;0.5;;;;;;;67.3;;22.3;43.7;32.4;;;
28;Herkomst: westers allochtoon, 2e gen.;2006;48.2;52.4;35.3;44.7;30.9;21.8;27.1;23.1;24.0;8.6;6.0;;;;;;;;;4.0;6.7;;;;;;;;;;;;;;;;;11900;7.4;3.8;3.6;3.4;2.5;5.2;1.5;0.7;;;;;;;67.5;;29.5;45.6;35.3;;;
29;Herkomst: westers allochtoon, 2e gen.;2007;35.3;43.2;29.7;;;13.9;;;;6.1;;6.9;3.3;;;;;10.3;32.6;4.2;;;;;;;8.7;12.9;18.4;4.9;1.8;22.4;14.1;5.6;0.5;7.7;10.4;11300;6.1;2.6;3.5;3.5;3.3;3.7;1.9;0.5;12.2;10.1;26.9;13.9;8.3;11.2;72.7;76.1;34.2;44.0;36.4;;;
30;Herkomst: westers allochtoon, 2e gen.;2008;33.2;42.2;28.2;;;17.4;;;;7.4;;8.8;;14.1;8.7;9.2;5.7;9.4;32.7;4.2;;65.6;68.3;61.5;72.8;47.5;7.3;10.3;12.6;5.0;2.7;18.3;14.5;5.7;1.2;8.2;11.4;21000;7.4;3.5;3.9;3.9;3.4;4.7;1.9;0.6;14.4;13.5;30.2;18.1;10.6;13.6;73.3;75.6;39.2;46.3;37.6;13.0;;
31;Herkomst: westers allochtoon, 2e gen.;2009;34.9;45.2;29.3;;;13.6;;;;5.0;;6.0;3.8;14.6;9.0;7.0;9.2;8.9;32.4;4.2;;65.4;66.6;63.5;70.6;50.5;9.1;13.1;17.0;6.1;2.6;23.2;14.4;5.4;0.3;7.8;9.7;20400;6.7;4.1;2.6;2.6;2.2;5.0;1.1;0.6;11.9;12.8;28.2;13.0;8.2;12.7;73.1;76.8;47.4;50.5;39.4;16.0;;
32;Herkomst: westers allochtoon, 2e gen.;2010;35.0;43.9;29.2;;;17.3;;;;6.9;;8.2;4.6;14.0;8.7;6.9;4.6;10.9;38.9;4.2;;66.3;66.2;61.1;71.0;52.0;8.2;11.7;13.2;4.2;1.5;19.8;11.4;6.3;0.6;6.4;7.2;12300;5.6;3.6;2.0;1.9;1.7;3.9;1.1;0.6;13.9;13.9;31.7;17.5;9.3;13.4;74.7;75.9;46.6;45.8;36.0;16.7;;
33;Herkomst: westers allochtoon, 2e gen.;2011;37.7;47.4;30.4;;;15.6;;;;6.2;;8.8;3.7;14.6;6.9;7.6;6.9;10.3;33.0;4.4;;64.8;66.2;62.0;72.6;50.6;7.8;12.5;15.7;5.3;2.7;21.3;12.1;4.8;0.6;7.6;9.1;9100;6.7;4.1;2.6;2.6;2.1;4.9;1.5;0.3;15.4;15.6;30.3;18.9;10.9;14.4;70.3;76.2;;;;;62.6;62.1
34;Herkomst: westers allochtoon, 2e gen.;2012;31.8;40.8;28.0;;;16.4;;;;5.7;;5.6;3.3;13.2;8.4;6.3;4.9;9.4;32.6;4.5;;60.0;62.6;56.8;67.1;51.3;6.8;13.0;13.6;5.1;1.8;19.0;12.8;5.9;0.3;5.4;7.3;8000;5.5;3.0;2.5;2.5;1.7;3.3;1.6;0.6;13.0;13.7;26.2;16.7;9.9;12.7;74.1;76.5;;;;;63.1;63.0
35;Herkomst: westers allochtoon, 2e gen.;2013;35.0;41.3;29.4;;;17.6;;;;8.0;;8.4;3.9;16.4;9.5;8.1;8.2;9.4;33.9;4.1;;59.6;61.9;55.4;69.9;47.1;7.3;12.1;14.4;4.0;2.0;21.7;12.2;4.4;1.0;5.1;7.0;14200;7.1;3.7;3.5;3.4;2.4;5.4;1.0;0.8;13.4;15.2;29.9;18.0;9.4;13.1;70.0;72.9;;;;;63.0;61.9
36;Herkomst: niet-westers allochtoon 1e gen;2005;51.2;53.7;38.6;41.3;38.0;29.1;31.4;30.7;24.3;15.5;10.6;;;;;;;;;3.8;7.2;;;;;;;;;;;;;;;;;22700;11.0;3.8;7.2;6.4;4.8;7.1;1.9;1.6;;;;;;;54.5;;24.0;27.4;44.0;;;
37;Herkomst: niet-westers allochtoon 1e gen;2006;49.8;56.4;39.2;40.0;34.4;26.8;33.2;30.1;26.9;13.6;9.3;;;;;;;;;4.0;6.4;;;;;;;;;;;;;;;;;11900;9.4;3.2;6.2;5.9;4.0;6.3;1.9;1.1;;;;;;;63.7;;26.9;26.0;43.9;;;
38;Herkomst: niet-westers allochtoon 1e gen;2007;34.6;41.8;26.0;;;24.1;;;;12.1;;14.8;4.7;;;;;14.7;44.5;3.8;;;;;;;10.9;11.4;11.5;5.3;3.8;13.9;13.3;4.5;1.5;8.0;15.7;25900;10.0;4.6;5.5;5.1;3.7;6.4;1.5;2.0;22.2;21.0;38.4;27.7;15.5;23.5;60.5;64.6;34.7;30.0;41.3;;;
39;Herkomst: niet-westers allochtoon 1e gen;2008;28.0;43.4;27.5;;;23.5;;;;13.7;;17.8;;21.0;17.5;15.3;7.2;15.1;42.7;4.0;;50.9;52.6;53.0;53.4;35.3;10.9;13.8;11.4;6.2;2.0;14.4;11.2;6.8;2.7;10.6;15.5;20300;11.1;4.8;6.4;5.9;4.7;6.5;1.8;2.8;25.9;22.4;38.7;28.8;18.9;25.6;62.3;65.2;35.9;30.9;46.8;16.0;;
40;Herkomst: niet-westers allochtoon 1e gen;2009;31.0;43.9;27.3;;;22.6;;;;10.0;;11.9;3.6;20.3;16.3;12.7;12.5;13.1;39.7;3.9;;47.3;49.6;54.9;54.6;35.5;9.5;11.9;13.8;4.4;3.1;11.1;10.3;5.7;1.8;9.1;15.9;21800;11.4;4.5;6.9;6.3;5.6;7.6;2.6;1.1;25.1;22.0;39.7;27.9;16.1;24.0;60.0;65.7;40.2;29.9;46.5;14.0;;
41;Herkomst: niet-westers allochtoon 1e gen;2010;37.6;45.3;31.9;;;26.3;;;;10.9;;11.0;7.3;22.2;15.3;14.7;9.2;12.3;41.6;3.7;;46.7;50.0;53.9;51.5;33.4;14.5;16.4;13.9;5.8;3.1;12.5;10.2;5.1;1.8;10.6;11.7;17200;10.2;4.4;5.8;5.1;3.7;6.1;1.9;2.0;27.7;24.8;42.7;32.2;18.2;26.6;62.1;65.5;39.3;30.8;44.7;16.3;;
42;Herkomst: niet-westers allochtoon 1e gen;2011;31.8;39.9;29.3;;;22.9;;;;10.9;;13.7;5.6;23.2;15.7;14.1;9.6;12.2;40.4;3.9;;46.9;49.2;54.2;52.6;37.7;11.3;13.7;12.2;4.9;2.4;13.6;10.4;5.4;2.2;9.5;15.7;15600;9.4;3.3;6.1;5.4;4.5;7.0;1.7;0.6;24.3;21.3;35.7;27.0;17.2;22.9;60.8;64.3;;;;;61.0;59.2
43;Herkomst: niet-westers allochtoon 1e gen;2012;32.0;39.8;29.4;;;23.7;;;;11.7;;11.5;4.3;20.8;15.2;13.0;7.8;12.7;43.1;3.8;;44.8;46.8;51.5;48.7;36.2;10.0;12.6;11.0;5.3;2.4;11.7;11.5;5.4;1.8;8.4;12.7;15300;9.2;4.2;5.0;4.6;3.0;6.2;1.7;1.2;24.7;22.6;39.5;27.3;15.9;24.3;61.1;67.3;;;;;61.1;59.6
44;Herkomst: niet-westers allochtoon 1e gen;2013;30.1;39.7;30.1;;;21.1;;;;11.3;;13.8;5.0;24.6;17.1;16.7;12.7;13.3;41.7;3.4;;45.4;48.4;54.8;50.0;34.5;9.6;13.3;11.2;4.2;2.8;12.4;10.8;4.6;1.3;8.3;12.8;22900;9.6;4.3;5.3;5.2;4.3;6.9;1.4;1.1;24.1;21.1;39.3;27.1;16.2;24.4;61.1;68.9;;;;;61.8;60.3
45;Herkomst: niet-westers allochtoon 2e gen;2005;49.1;50.9;30.1;35.5;24.9;25.5;26.2;27.3;24.7;6.7;8.0;;;;;;;;;3.5;9.1;;;;;;;;;;;;;;;;;11800;9.9;3.8;6.1;6.1;3.4;6.1;2.8;0.3;;;;;;;60.4;;23.6;28.9;35.3;;;
46;Herkomst: niet-westers allochtoon 2e gen;2006;44.9;50.6;32.8;40.0;30.3;22.3;28.5;24.7;24.4;7.2;2.7;;;;;;;;;3.8;9.3;;;;;;;;;;;;;;;;;7800;5.0;3.7;1.3;1.3;0.9;2.6;1.9;0.2;;;;;;;62.9;;33.4;32.3;33.4;;;
47;Herkomst: niet-westers allochtoon 2e gen;2007;31.9;38.7;23.3;;;19.5;;;;8.6;;10.0;2.0;;;;;13.1;40.7;3.5;;;;;;;7.5;13.2;14.2;5.1;1.8;19.2;8.8;5.7;1.1;11.5;12.4;15600;9.4;6.0;3.4;3.2;2.7;7.3;1.0;1.2;18.7;17.9;33.5;30.2;11.9;19.6;67.1;69.2;31.0;25.9;37.8;;;
48;Herkomst: niet-westers allochtoon 2e gen;2008;33.4;40.1;31.2;;;16.2;;;;7.1;;9.4;;11.0;8.5;6.3;4.3;6.0;32.1;4.2;;55.8;59.3;62.5;60.6;37.3;10.1;11.4;8.3;6.1;3.0;15.8;9.7;3.3;0.0;7.2;9.9;6700;5.8;2.1;3.7;3.5;3.5;4.0;1.5;0.2;19.0;19.2;28.8;21.2;13.7;17.2;68.1;68.6;33.5;33.1;44.4;13.2;;
49;Herkomst: niet-westers allochtoon 2e gen;2009;32.2;35.8;25.3;;;16.5;;;;3.7;;7.6;3.2;12.4;10.7;8.1;6.6;5.9;31.2;4.3;;51.0;54.9;53.6;57.3;41.3;6.7;13.0;11.3;7.9;2.5;14.2;10.8;4.2;0.7;9.0;9.1;7800;6.6;3.1;3.6;3.3;2.4;3.9;2.2;0.6;17.0;15.2;25.1;23.3;12.2;13.4;66.2;68.8;43.2;34.2;41.2;15.2;;
50;Herkomst: niet-westers allochtoon 2e gen;2010;37.2;44.9;32.6;;;21.4;;;;10.0;;6.9;3.4;12.8;8.4;5.1;4.3;7.2;42.4;4.3;;50.9;56.1;55.6;60.9;38.8;7.3;10.1;12.7;8.7;3.7;18.6;8.1;3.4;0.5;10.7;8.3;15900;9.3;6.1;3.2;3.2;2.6;6.7;1.2;1.5;17.6;18.1;31.4;24.6;11.8;19.2;67.1;71.4;38.2;27.8;36.1;12.6;;
51;Herkomst: niet-westers allochtoon 2e gen;2011;29.2;35.4;27.4;;;19.6;;;;5.2;;7.1;2.3;15.3;10.1;7.0;7.8;7.7;40.1;3.8;;44.7;50.3;48.4;52.9;39.7;8.0;13.2;13.2;6.4;2.7;21.3;12.6;4.4;0.6;7.4;10.9;9900;5.4;2.5;2.9;2.6;2.4;3.6;1.4;0.0;17.9;16.5;28.1;24.9;10.9;17.0;65.8;70.4;;;;;59.4;58.9
52;Herkomst: niet-westers allochtoon 2e gen;2012;32.6;37.2;25.9;;;17.0;;;;5.6;;7.4;3.8;11.1;6.5;6.8;5.6;10.1;39.2;4.1;;47.0;49.8;51.3;61.2;41.4;7.8;11.0;11.0;10.1;3.5;20.7;11.6;6.0;1.6;7.2;8.3;17200;7.5;4.3;3.2;3.0;1.9;4.8;1.8;0.9;17.7;17.9;30.1;24.7;11.1;15.9;69.4;66.4;;;;;58.6;59.0
53;Herkomst: niet-westers allochtoon 2e gen;2013;31.7;39.2;30.6;;;18.9;;;;6.7;;6.8;2.9;15.1;10.0;6.2;9.2;6.3;39.2;3.9;;46.8;51.8;51.8;57.6;42.6;8.9;12.9;12.5;8.6;2.9;16.8;7.0;5.1;2.0;7.4;8.9;7100;5.7;3.0;2.8;2.4;2.1;3.4;1.0;1.3;15.2;15.6;28.8;22.1;12.2;17.7;66.4;67.4;;;;;58.3;56.2
54;Arbeidsduur: 1 tot 20 uur per week;2005;40.5;38.3;21.8;28.0;22.7;30.0;33.8;31.7;26.1;5.1;1.9;;;;;;;;;1.9;7.9;;;;;;;;;;;;;;;;;9400;5.2;3.5;1.8;1.8;1.1;3.5;1.3;0.3;;;;;;;71.4;;23.9;34.5;30.1;;;
55;Arbeidsduur: 1 tot 20 uur per week;2006;39.4;38.3;22.2;27.3;21.5;29.6;35.0;32.2;26.7;5.9;1.7;;;;;;;;;2.0;7.9;;;;;;;;;;;;;;;;;6900;5.3;2.8;2.6;2.5;1.6;3.8;1.3;0.3;;;;;;;73.9;;29.8;34.7;32.5;;;
