ID;PersonalCharacteristics;Accuracy;CaribbeanNetherlands;Periods;OftenFeelsUnsafe_1;SometimesFeelsUnsafe_2;SeldomFeelsUnsafe_3;NeverFeelsUnsafe_4;ALotOfCrime_5;ALittleCrime_6;NoCrime_7;SafetyRating_8
0;Total persons;Percentage/average;Caribbean Netherlands ;2013;4.5;15.2;8.4;71.5;5.9;39.8;49.2;7.7
1;Total persons;Percentage/average;Caribbean Netherlands ;2017/2018;2.2;5.2;5.7;86.7;3.9;31.0;65.2;8.2
2;Total persons;Percentage/average;Bonaire;2013;5.8;18.4;8.1;67.4;7.8;46.3;39.8;7.3
3;Total persons;Percentage/average;Bonaire;2017/2018;3.1;7.3;8.0;81.4;5.8;41.2;41.3;7.7
4;Total persons;Percentage/average;St. Eustatius;2013;;3.5;6.1;89.7;;19.1;79.0;8.8
5;Total persons;Percentage/average;St. Eustatius;2017/2018;;;1.4;97.0;;10.2;89.8;8.6
6;Total persons;Percentage/average;Saba;2013;;10.3;15.2;71.8;;25.3;70.5;8.8
7;Total persons;Percentage/average;Saba;2017/2018;;3.8;2.9;92.0;;7.8;92.2;9.3
8;Total persons;Reliability margin;Caribbean Netherlands ;2013;1.3;2.2;1.7;2.7;1.4;2.9;3.0;0.1
9;Total persons;Reliability margin;Caribbean Netherlands ;2017/2018;0.7;1.1;1.1;1.6;1.0;2.3;2.4;0.1
10;Total persons;Reliability margin;Bonaire;2013;1.6;2.7;1.9;3.3;1.9;3.5;3.4;0.1
11;Total persons;Reliability margin;Bonaire;2017/2018;1.1;1.6;1.7;2.4;1.5;3.1;3.1;0.1
12;Total persons;Reliability margin;St. Eustatius;2013;;3.1;4.1;5.2;;6.7;6.9;0.2
13;Total persons;Reliability margin;St. Eustatius;2017/2018;;;1.2;1.7;;3.0;3.0;0.1
14;Total persons;Reliability margin;Saba;2013;;4.9;5.8;7.3;;7.0;7.4;0.2
15;Total persons;Reliability margin;Saba;2017/2018;;2.4;2.1;3.4;;3.3;3.3;0.1
16;Sex: male;Percentage/average;Caribbean Netherlands ;2013;3.7;12.0;6.8;77.1;4.3;39.6;52.8;7.7
17;Sex: male;Percentage/average;Caribbean Netherlands ;2017/2018;1.7;3.8;6.5;87.7;3.6;32.7;63.7;8.1
18;Sex: male;Percentage/average;Bonaire;2013;4.9;15.5;5.9;73.3;5.8;48.0;41.9;7.3
19;Sex: male;Percentage/average;Bonaire;2017/2018;2.3;5.7;9.5;82.3;5.5;42.5;39.9;7.7
20;Sex: male;Percentage/average;St. Eustatius;2013;;;7.7;89.9;;11.6;88.4;8.7
21;Sex: male;Percentage/average;St. Eustatius;2017/2018;;;;98.3;;10.8;89.2;8.5
22;Sex: male;Percentage/average;Saba;2013;;;12.7;83.6;;24.2;72.4;9.0
23;Sex: male;Percentage/average;Saba;2017/2018;;;;93.0;;10.4;89.6;9.3
24;Sex: male;Reliability margin;Caribbean Netherlands ;2013;1.5;2.7;2.1;3.5;1.7;4.0;4.1;0.1
25;Sex: male;Reliability margin;Caribbean Netherlands ;2017/2018;0.9;1.3;1.7;2.2;1.3;3.3;3.4;0.1
26;Sex: male;Reliability margin;Bonaire;2013;2.1;3.5;2.3;4.3;2.3;4.8;4.8;0.2
27;Sex: male;Reliability margin;Bonaire;2017/2018;1.3;2.0;2.5;3.3;2.0;4.3;4.2;0.1
28;Sex: male;Reliability margin;St. Eustatius;2013;;;6.1;6.8;;7.3;7.3;0.2
29;Sex: male;Reliability margin;St. Eustatius;2017/2018;;;;1.8;;4.3;4.3;0.2
30;Sex: male;Reliability margin;Saba;2013;;;7.6;8.5;;9.8;10.3;0.3
31;Sex: male;Reliability margin;Saba;2017/2018;;;;4.5;;5.4;5.4;0.2
32;Sex: female;Percentage/average;Caribbean Netherlands ;2013;5.5;18.8;10.2;65.2;7.7;40.1;45.1;7.6
33;Sex: female;Percentage/average;Caribbean Netherlands ;2017/2018;2.8;6.7;4.8;85.7;4.1;29.2;66.8;8.2
34;Sex: female;Percentage/average;Bonaire;2013;6.8;21.7;10.6;60.7;10.0;44.3;37.5;7.3
35;Sex: female;Percentage/average;Bonaire;2017/2018;4.1;9.0;6.4;80.4;6.2;39.7;42.8;7.7
36;Sex: female;Percentage/average;St. Eustatius;2013;;;;89.5;;28.7;67.0;8.8
37;Sex: female;Percentage/average;St. Eustatius;2017/2018;;;;95.6;;9.5;90.5;8.7
38;Sex: female;Percentage/average;Saba;2013;;18.3;17.8;60.2;;26.3;68.6;8.5
39;Sex: female;Percentage/average;Saba;2017/2018;;5.4;;91.1;;5.2;94.8;9.3
40;Sex: female;Reliability margin;Caribbean Netherlands ;2013;2.0;3.4;2.7;4.2;2.3;4.3;4.4;0.1
41;Sex: female;Reliability margin;Caribbean Netherlands ;2017/2018;1.2;1.7;1.5;2.5;1.4;3.3;3.4;0.1
42;Sex: female;Reliability margin;Bonaire;2013;2.6;4.2;3.2;5.0;3.1;5.1;5.0;0.2
43;Sex: female;Reliability margin;Bonaire;2017/2018;1.8;2.6;2.2;3.5;2.2;4.4;4.4;0.1
44;Sex: female;Reliability margin;St. Eustatius;2013;;;;7.9;;11.7;12.1;0.4
45;Sex: female;Reliability margin;St. Eustatius;2017/2018;;;;3.0;;4.2;4.2;0.2
46;Sex: female;Reliability margin;Saba;2013;;8.9;8.8;11.2;;10.1;10.6;0.3
47;Sex: female;Reliability margin;Saba;2017/2018;;4.0;;5.0;;3.9;3.9;0.2
48;Age: 15 to 44 years;Percentage/average;Caribbean Netherlands ;2013;4.2;15.0;9.6;70.9;5.4;41.3;47.9;7.7
49;Age: 15 to 44 years;Percentage/average;Caribbean Netherlands ;2017/2018;2.1;5.8;5.6;86.3;2.9;32.3;64.8;8.2
50;Age: 15 to 44 years;Percentage/average;Bonaire;2013;5.5;17.3;8.8;68.2;7.1;49.6;36.3;7.3
51;Age: 15 to 44 years;Percentage/average;Bonaire;2017/2018;2.5;7.9;7.6;81.9;4.5;43.7;40.1;7.7
52;Age: 15 to 44 years;Percentage/average;St. Eustatius;2013;;6.1;7.8;86.2;;16.9;83.1;8.7
53;Age: 15 to 44 years;Percentage/average;St. Eustatius;2017/2018;;;2.3;94.3;;11.1;88.9;8.5
54;Age: 15 to 44 years;Percentage/average;Saba;2013;;13.1;17.9;65.4;;24.1;69.9;8.7
55;Age: 15 to 44 years;Percentage/average;Saba;2017/2018;;4.5;3.0;90.6;;9.4;90.6;9.3
56;Age: 15 to 44 years;Reliability margin;Caribbean Netherlands ;2013;1.7;3.0;2.5;3.8;1.9;4.1;4.2;0.1
57;Age: 15 to 44 years;Reliability margin;Caribbean Netherlands ;2017/2018;1.0;1.6;1.6;2.4;1.2;3.4;3.4;0.1
58;Age: 15 to 44 years;Reliability margin;Bonaire;2013;2.3;3.8;2.8;4.6;2.6;5.0;4.8;0.2
59;Age: 15 to 44 years;Reliability margin;Bonaire;2017/2018;1.4;2.4;2.4;3.5;1.9;4.5;4.4;0.1
60;Age: 15 to 44 years;Reliability margin;St. Eustatius;2013;;5.7;6.4;8.2;;8.9;8.9;0.3
61;Age: 15 to 44 years;Reliability margin;St. Eustatius;2017/2018;;;2.2;3.4;;4.5;4.5;0.2
62;Age: 15 to 44 years;Reliability margin;Saba;2013;;6.9;7.8;9.7;;8.7;9.3;0.3
63;Age: 15 to 44 years;Reliability margin;Saba;2017/2018;;3.4;2.8;4.8;;4.8;4.8;0.2
64;Age: 45 years or older;Percentage/average;Caribbean Netherlands ;2013;4.9;15.4;7.1;72.2;6.4;38.2;50.6;7.6
65;Age: 45 years or older;Percentage/average;Caribbean Netherlands ;2017/2018;2.4;4.7;5.8;87.1;4.8;29.7;65.5;8.1
66;Age: 45 years or older;Percentage/average;Bonaire;2013;6.0;19.5;7.4;66.6;8.4;43.0;43.4;7.3
67;Age: 45 years or older;Percentage/average;Bonaire;2017/2018;3.7;6.8;8.4;80.9;7.0;38.9;42.3;7.7
68;Age: 45 years or older;Percentage/average;St. Eustatius;2013;;;;93.5;;21.4;74.8;8.8
69;Age: 45 years or older;Percentage/average;St. Eustatius;2017/2018;;;;99.5;;9.3;90.7;8.7
70;Age: 45 years or older;Percentage/average;Saba;2013;;;10.7;82.5;;27.3;71.5;8.9
71;Age: 45 years or older;Percentage/average;Saba;2017/2018;;;;94.0;;5.6;94.4;9.3
72;Age: 45 years or older;Reliability margin;Caribbean Netherlands ;2013;1.9;3.1;2.2;3.9;2.1;4.2;4.3;0.2
73;Age: 45 years or older;Reliability margin;Caribbean Netherlands ;2017/2018;1.0;1.4;1.6;2.3;1.5;3.2;3.4;0.1
74;Age: 45 years or older;Reliability margin;Bonaire;2013;2.4;3.9;2.6;4.7;2.7;4.9;4.9;0.2
75;Age: 45 years or older;Reliability margin;Bonaire;2017/2018;1.6;2.2;2.4;3.4;2.2;4.2;4.2;0.1
76;Age: 45 years or older;Reliability margin;St. Eustatius;2013;;;;6.0;;10.0;10.6;0.3
77;Age: 45 years or older;Reliability margin;St. Eustatius;2017/2018;;;;1.0;;4.0;4.0;0.2
78;Age: 45 years or older;Reliability margin;Saba;2013;;;8.3;10.2;;12.0;12.1;0.3
79;Age: 45 years or older;Reliability margin;Saba;2017/2018;;;;4.5;;4.4;4.4;0.2
80;Age: 15 to 24 years;Percentage/average;Caribbean Netherlands ;2013;2.7;14.8;12.8;69.4;4.7;37.6;49.8;7.8
81;Age: 15 to 24 years;Percentage/average;Caribbean Netherlands ;2017/2018;;9.0;6.5;83.0;2.5;28.6;68.9;8.4
82;Age: 15 to 24 years;Percentage/average;Bonaire;2013;;18.9;11.0;66.9;6.9;48.3;35.3;7.4
83;Age: 15 to 24 years;Percentage/average;Bonaire;2017/2018;;11.9;9.2;76.3;3.9;37.0;45.2;7.9
84;Age: 15 to 24 years;Percentage/average;St. Eustatius;2013;;;;;;;;
85;Age: 15 to 24 years;Percentage/average;St. Eustatius;2017/2018;;;;;;;;
86;Age: 15 to 24 years;Percentage/average;Saba;2013;;;;;;;;
87;Age: 15 to 24 years;Percentage/average;Saba;2017/2018;;;;;;;;
88;Age: 15 to 24 years;Reliability margin;Caribbean Netherlands ;2013;2.5;5.4;5.1;7.1;3.2;7.4;7.7;0.3
89;Age: 15 to 24 years;Reliability margin;Caribbean Netherlands ;2017/2018;;3.7;3.2;4.9;2.1;6.1;6.3;0.2
90;Age: 15 to 24 years;Reliability margin;Bonaire;2013;;7.4;5.9;8.9;4.8;9.4;9.0;0.3
91;Age: 15 to 24 years;Reliability margin;Bonaire;2017/2018;;5.5;4.9;7.2;3.3;8.2;8.5;0.2
92;Age: 15 to 24 years;Reliability margin;St. Eustatius;2013;;;;;;;;
93;Age: 15 to 24 years;Reliability margin;St. Eustatius;2017/2018;;;;;;;;
94;Age: 15 to 24 years;Reliability margin;Saba;2013;;;;;;;;
95;Age: 15 to 24 years;Reliability margin;Saba;2017/2018;;;;;;;;
96;Age: 25 to 44 years;Percentage/average;Caribbean Netherlands ;2013;4.8;15.1;8.3;71.5;5.7;42.9;47.0;7.6
97;Age: 25 to 44 years;Percentage/average;Caribbean Netherlands ;2017/2018;2.4;4.6;5.2;87.6;3.0;33.8;63.2;8.1
98;Age: 25 to 44 years;Percentage/average;Bonaire;2013;6.4;16.7;7.9;68.7;7.2;50.1;36.7;7.2
99;Age: 25 to 44 years;Percentage/average;Bonaire;2017/2018;2.5;6.3;7.0;84.1;4.8;46.4;38.1;7.7
100;Age: 25 to 44 years;Percentage/average;St. Eustatius;2013;;;;;;;;
101;Age: 25 to 44 years;Percentage/average;St. Eustatius;2017/2018;;;;94.2;;10.3;89.7;8.4
102;Age: 25 to 44 years;Percentage/average;Saba;2013;;;;;;;;
103;Age: 25 to 44 years;Percentage/average;Saba;2017/2018;;;4.6;90.7;;9.7;90.3;9.2
104;Age: 25 to 44 years;Reliability margin;Caribbean Netherlands ;2013;2.2;3.6;2.8;4.5;2.3;5.0;5.0;0.2
105;Age: 25 to 44 years;Reliability margin;Caribbean Netherlands ;2017/2018;1.3;1.7;1.8;2.7;1.5;4.0;4.1;0.1
106;Age: 25 to 44 years;Reliability margin;Bonaire;2013;2.9;4.4;3.2;5.4;3.0;5.9;5.7;0.2
