ID;Vervoerwijzen;Populatie;Marges;RegioS;Perioden;Vervoersprestatie_1
0;Totaal;Populatie: 6 jaar of ouder;Waarde;Nederland;2018;218.1
1;Totaal;Populatie: 6 jaar of ouder;Waarde;Nederland;2019;218.8
2;Totaal;Populatie: 6 jaar of ouder;Waarde;Nederland;2020;152.0
3;Totaal;Populatie: 6 jaar of ouder;Waarde;Nederland;2021;168.4
4;Totaal;Populatie: 6 jaar of ouder;Waarde;Nederland;2022;186.9
5;Totaal;Populatie: 6 jaar of ouder;Waarde;Nederland;2023;199.3
6;Totaal;Populatie: 6 jaar of ouder;Waarde;Noord-Nederland (LD);2018;25.0
7;Totaal;Populatie: 6 jaar of ouder;Waarde;Noord-Nederland (LD);2019;25.1
8;Totaal;Populatie: 6 jaar of ouder;Waarde;Noord-Nederland (LD);2020;17.1
9;Totaal;Populatie: 6 jaar of ouder;Waarde;Noord-Nederland (LD);2021;19.4
10;Totaal;Populatie: 6 jaar of ouder;Waarde;Noord-Nederland (LD);2022;21.6
11;Totaal;Populatie: 6 jaar of ouder;Waarde;Noord-Nederland (LD);2023;22.0
12;Totaal;Populatie: 6 jaar of ouder;Waarde;Oost-Nederland (LD);2018;49.3
13;Totaal;Populatie: 6 jaar of ouder;Waarde;Oost-Nederland (LD);2019;49.8
14;Totaal;Populatie: 6 jaar of ouder;Waarde;Oost-Nederland (LD);2020;35.1
15;Totaal;Populatie: 6 jaar of ouder;Waarde;Oost-Nederland (LD);2021;38.7
16;Totaal;Populatie: 6 jaar of ouder;Waarde;Oost-Nederland (LD);2022;43.1
17;Totaal;Populatie: 6 jaar of ouder;Waarde;Oost-Nederland (LD);2023;45.6
18;Totaal;Populatie: 6 jaar of ouder;Waarde;West-Nederland (LD);2018;98.7
19;Totaal;Populatie: 6 jaar of ouder;Waarde;West-Nederland (LD);2019;99.6
20;Totaal;Populatie: 6 jaar of ouder;Waarde;West-Nederland (LD);2020;68.4
21;Totaal;Populatie: 6 jaar of ouder;Waarde;West-Nederland (LD);2021;76.1
22;Totaal;Populatie: 6 jaar of ouder;Waarde;West-Nederland (LD);2022;82.8
23;Totaal;Populatie: 6 jaar of ouder;Waarde;West-Nederland (LD);2023;89.4
24;Totaal;Populatie: 6 jaar of ouder;Waarde;Zuid-Nederland (LD);2018;45.1
25;Totaal;Populatie: 6 jaar of ouder;Waarde;Zuid-Nederland (LD);2019;44.4
26;Totaal;Populatie: 6 jaar of ouder;Waarde;Zuid-Nederland (LD);2020;31.6
27;Totaal;Populatie: 6 jaar of ouder;Waarde;Zuid-Nederland (LD);2021;34.1
28;Totaal;Populatie: 6 jaar of ouder;Waarde;Zuid-Nederland (LD);2022;39.4
29;Totaal;Populatie: 6 jaar of ouder;Waarde;Zuid-Nederland (LD);2023;42.3
30;Totaal;Populatie: 6 jaar of ouder;Waarde;Groningen (PV);2018;7.8
31;Totaal;Populatie: 6 jaar of ouder;Waarde;Groningen (PV);2019;8.1
32;Totaal;Populatie: 6 jaar of ouder;Waarde;Groningen (PV);2020;5.5
33;Totaal;Populatie: 6 jaar of ouder;Waarde;Groningen (PV);2021;6.3
34;Totaal;Populatie: 6 jaar of ouder;Waarde;Groningen (PV);2022;7.0
35;Totaal;Populatie: 6 jaar of ouder;Waarde;Groningen (PV);2023;6.7
36;Totaal;Populatie: 6 jaar of ouder;Waarde;Friesland (PV);2018;9.6
37;Totaal;Populatie: 6 jaar of ouder;Waarde;Friesland (PV);2019;10.0
38;Totaal;Populatie: 6 jaar of ouder;Waarde;Friesland (PV);2020;6.8
39;Totaal;Populatie: 6 jaar of ouder;Waarde;Friesland (PV);2021;7.5
40;Totaal;Populatie: 6 jaar of ouder;Waarde;Friesland (PV);2022;8.5
41;Totaal;Populatie: 6 jaar of ouder;Waarde;Friesland (PV);2023;8.5
42;Totaal;Populatie: 6 jaar of ouder;Waarde;Drenthe (PV);2018;7.5
43;Totaal;Populatie: 6 jaar of ouder;Waarde;Drenthe (PV);2019;7.0
44;Totaal;Populatie: 6 jaar of ouder;Waarde;Drenthe (PV);2020;4.9
45;Totaal;Populatie: 6 jaar of ouder;Waarde;Drenthe (PV);2021;5.6
46;Totaal;Populatie: 6 jaar of ouder;Waarde;Drenthe (PV);2022;6.1
47;Totaal;Populatie: 6 jaar of ouder;Waarde;Drenthe (PV);2023;6.8
48;Totaal;Populatie: 6 jaar of ouder;Waarde;Overijssel (PV);2018;15.5
49;Totaal;Populatie: 6 jaar of ouder;Waarde;Overijssel (PV);2019;15.7
50;Totaal;Populatie: 6 jaar of ouder;Waarde;Overijssel (PV);2020;10.5
51;Totaal;Populatie: 6 jaar of ouder;Waarde;Overijssel (PV);2021;11.7
52;Totaal;Populatie: 6 jaar of ouder;Waarde;Overijssel (PV);2022;13.3
53;Totaal;Populatie: 6 jaar of ouder;Waarde;Overijssel (PV);2023;14.1
54;Totaal;Populatie: 6 jaar of ouder;Waarde;Flevoland (PV);2018;6.1
55;Totaal;Populatie: 6 jaar of ouder;Waarde;Flevoland (PV);2019;6.1
56;Totaal;Populatie: 6 jaar of ouder;Waarde;Flevoland (PV);2020;4.4
57;Totaal;Populatie: 6 jaar of ouder;Waarde;Flevoland (PV);2021;4.9
58;Totaal;Populatie: 6 jaar of ouder;Waarde;Flevoland (PV);2022;5.4
59;Totaal;Populatie: 6 jaar of ouder;Waarde;Flevoland (PV);2023;5.6
60;Totaal;Populatie: 6 jaar of ouder;Waarde;Gelderland (PV);2018;27.8
61;Totaal;Populatie: 6 jaar of ouder;Waarde;Gelderland (PV);2019;28.0
62;Totaal;Populatie: 6 jaar of ouder;Waarde;Gelderland (PV);2020;20.1
63;Totaal;Populatie: 6 jaar of ouder;Waarde;Gelderland (PV);2021;22.1
64;Totaal;Populatie: 6 jaar of ouder;Waarde;Gelderland (PV);2022;24.4
65;Totaal;Populatie: 6 jaar of ouder;Waarde;Gelderland (PV);2023;26.0
66;Totaal;Populatie: 6 jaar of ouder;Waarde;Utrecht (PV);2018;16.8
67;Totaal;Populatie: 6 jaar of ouder;Waarde;Utrecht (PV);2019;18.8
68;Totaal;Populatie: 6 jaar of ouder;Waarde;Utrecht (PV);2020;12.6
69;Totaal;Populatie: 6 jaar of ouder;Waarde;Utrecht (PV);2021;13.6
70;Totaal;Populatie: 6 jaar of ouder;Waarde;Utrecht (PV);2022;15.2
71;Totaal;Populatie: 6 jaar of ouder;Waarde;Utrecht (PV);2023;16.6
72;Totaal;Populatie: 6 jaar of ouder;Waarde;Noord-Holland (PV);2018;35.3
73;Totaal;Populatie: 6 jaar of ouder;Waarde;Noord-Holland (PV);2019;33.1
74;Totaal;Populatie: 6 jaar of ouder;Waarde;Noord-Holland (PV);2020;22.6
75;Totaal;Populatie: 6 jaar of ouder;Waarde;Noord-Holland (PV);2021;25.4
76;Totaal;Populatie: 6 jaar of ouder;Waarde;Noord-Holland (PV);2022;28.3
77;Totaal;Populatie: 6 jaar of ouder;Waarde;Noord-Holland (PV);2023;29.7
78;Totaal;Populatie: 6 jaar of ouder;Waarde;Zuid-Holland (PV);2018;42.2
79;Totaal;Populatie: 6 jaar of ouder;Waarde;Zuid-Holland (PV);2019;42.7
80;Totaal;Populatie: 6 jaar of ouder;Waarde;Zuid-Holland (PV);2020;29.3
81;Totaal;Populatie: 6 jaar of ouder;Waarde;Zuid-Holland (PV);2021;32.8
82;Totaal;Populatie: 6 jaar of ouder;Waarde;Zuid-Holland (PV);2022;35.0
83;Totaal;Populatie: 6 jaar of ouder;Waarde;Zuid-Holland (PV);2023;38.5
84;Totaal;Populatie: 6 jaar of ouder;Waarde;Zeeland (PV);2018;4.4
85;Totaal;Populatie: 6 jaar of ouder;Waarde;Zeeland (PV);2019;5.0
86;Totaal;Populatie: 6 jaar of ouder;Waarde;Zeeland (PV);2020;3.8
87;Totaal;Populatie: 6 jaar of ouder;Waarde;Zeeland (PV);2021;4.4
88;Totaal;Populatie: 6 jaar of ouder;Waarde;Zeeland (PV);2022;4.4
89;Totaal;Populatie: 6 jaar of ouder;Waarde;Zeeland (PV);2023;4.6
90;Totaal;Populatie: 6 jaar of ouder;Waarde;Noord-Brabant (PV);2018;32.2
91;Totaal;Populatie: 6 jaar of ouder;Waarde;Noord-Brabant (PV);2019;32.0
92;Totaal;Populatie: 6 jaar of ouder;Waarde;Noord-Brabant (PV);2020;22.2
93;Totaal;Populatie: 6 jaar of ouder;Waarde;Noord-Brabant (PV);2021;24.2
94;Totaal;Populatie: 6 jaar of ouder;Waarde;Noord-Brabant (PV);2022;28.2
95;Totaal;Populatie: 6 jaar of ouder;Waarde;Noord-Brabant (PV);2023;30.9
96;Totaal;Populatie: 6 jaar of ouder;Waarde;Limburg (PV);2018;12.9
97;Totaal;Populatie: 6 jaar of ouder;Waarde;Limburg (PV);2019;12.4
98;Totaal;Populatie: 6 jaar of ouder;Waarde;Limburg (PV);2020;9.4
99;Totaal;Populatie: 6 jaar of ouder;Waarde;Limburg (PV);2021;9.9
100;Totaal;Populatie: 6 jaar of ouder;Waarde;Limburg (PV);2022;11.2
101;Totaal;Populatie: 6 jaar of ouder;Waarde;Limburg (PV);2023;11.3
102;Totaal;Populatie: 6 jaar of ouder;Waarde;Zeer sterk stedelijk;2018;46.8
103;Totaal;Populatie: 6 jaar of ouder;Waarde;Zeer sterk stedelijk;2019;46.2
104;Totaal;Populatie: 6 jaar of ouder;Waarde;Zeer sterk stedelijk;2020;31.4
105;Totaal;Populatie: 6 jaar of ouder;Waarde;Zeer sterk stedelijk;2021;36.3
106;Totaal;Populatie: 6 jaar of ouder;Waarde;Zeer sterk stedelijk;2022;40.9
107;Totaal;Populatie: 6 jaar of ouder;Waarde;Zeer sterk stedelijk;2023;43.9
108;Totaal;Populatie: 6 jaar of ouder;Waarde;Sterk stedelijk;2018;66.1
109;Totaal;Populatie: 6 jaar of ouder;Waarde;Sterk stedelijk;2019;66.6
110;Totaal;Populatie: 6 jaar of ouder;Waarde;Sterk stedelijk;2020;46.1
111;Totaal;Populatie: 6 jaar of ouder;Waarde;Sterk stedelijk;2021;50.8
112;Totaal;Populatie: 6 jaar of ouder;Waarde;Sterk stedelijk;2022;56.3
113;Totaal;Populatie: 6 jaar of ouder;Waarde;Sterk stedelijk;2023;59.8
114;Totaal;Populatie: 6 jaar of ouder;Waarde;Matig stedelijk;2018;34.7
115;Totaal;Populatie: 6 jaar of ouder;Waarde;Matig stedelijk;2019;35.6
116;Totaal;Populatie: 6 jaar of ouder;Waarde;Matig stedelijk;2020;24.6
117;Totaal;Populatie: 6 jaar of ouder;Waarde;Matig stedelijk;2021;25.6
118;Totaal;Populatie: 6 jaar of ouder;Waarde;Matig stedelijk;2022;30.9
119;Totaal;Populatie: 6 jaar of ouder;Waarde;Matig stedelijk;2023;33.7
120;Totaal;Populatie: 6 jaar of ouder;Waarde;Weinig stedelijk;2018;51.9
121;Totaal;Populatie: 6 jaar of ouder;Waarde;Weinig stedelijk;2019;50.6
122;Totaal;Populatie: 6 jaar of ouder;Waarde;Weinig stedelijk;2020;35.7
123;Totaal;Populatie: 6 jaar of ouder;Waarde;Weinig stedelijk;2021;40.7
124;Totaal;Populatie: 6 jaar of ouder;Waarde;Weinig stedelijk;2022;44.3
125;Totaal;Populatie: 6 jaar of ouder;Waarde;Weinig stedelijk;2023;45.6
126;Totaal;Populatie: 6 jaar of ouder;Waarde;Niet stedelijk;2018;18.7
127;Totaal;Populatie: 6 jaar of ouder;Waarde;Niet stedelijk;2019;20.0
128;Totaal;Populatie: 6 jaar of ouder;Waarde;Niet stedelijk;2020;14.2
129;Totaal;Populatie: 6 jaar of ouder;Waarde;Niet stedelijk;2021;14.9
130;Totaal;Populatie: 6 jaar of ouder;Waarde;Niet stedelijk;2022;14.6
131;Totaal;Populatie: 6 jaar of ouder;Waarde;Niet stedelijk;2023;16.2
132;Totaal;Populatie: 6 jaar of ouder;Ondergrens 95%-interval;Nederland;2018;214.6
133;Totaal;Populatie: 6 jaar of ouder;Ondergrens 95%-interval;Nederland;2019;215.0
134;Totaal;Populatie: 6 jaar of ouder;Ondergrens 95%-interval;Nederland;2020;149.4
135;Totaal;Populatie: 6 jaar of ouder;Ondergrens 95%-interval;Nederland;2021;165.5
136;Totaal;Populatie: 6 jaar of ouder;Ondergrens 95%-interval;Nederland;2022;183.9
137;Totaal;Populatie: 6 jaar of ouder;Ondergrens 95%-interval;Nederland;2023;196.2
138;Totaal;Populatie: 6 jaar of ouder;Ondergrens 95%-interval;Noord-Nederland (LD);2018;23.6
139;Totaal;Populatie: 6 jaar of ouder;Ondergrens 95%-interval;Noord-Nederland (LD);2019;23.4
140;Totaal;Populatie: 6 jaar of ouder;Ondergrens 95%-interval;Noord-Nederland (LD);2020;16.0
141;Totaal;Populatie: 6 jaar of ouder;Ondergrens 95%-interval;Noord-Nederland (LD);2021;18.2
142;Totaal;Populatie: 6 jaar of ouder;Ondergrens 95%-interval;Noord-Nederland (LD);2022;20.2
143;Totaal;Populatie: 6 jaar of ouder;Ondergrens 95%-interval;Noord-Nederland (LD);2023;20.7
144;Totaal;Populatie: 6 jaar of ouder;Ondergrens 95%-interval;Oost-Nederland (LD);2018;47.5
145;Totaal;Populatie: 6 jaar of ouder;Ondergrens 95%-interval;Oost-Nederland (LD);2019;47.7
146;Totaal;Populatie: 6 jaar of ouder;Ondergrens 95%-interval;Oost-Nederland (LD);2020;33.6
147;Totaal;Populatie: 6 jaar of ouder;Ondergrens 95%-interval;Oost-Nederland (LD);2021;37.2
148;Totaal;Populatie: 6 jaar of ouder;Ondergrens 95%-interval;Oost-Nederland (LD);2022;41.5
149;Totaal;Populatie: 6 jaar of ouder;Ondergrens 95%-interval;Oost-Nederland (LD);2023;44.0
150;Totaal;Populatie: 6 jaar of ouder;Ondergrens 95%-interval;West-Nederland (LD);2018;96.3
151;Totaal;Populatie: 6 jaar of ouder;Ondergrens 95%-interval;West-Nederland (LD);2019;97.0
152;Totaal;Populatie: 6 jaar of ouder;Ondergrens 95%-interval;West-Nederland (LD);2020;66.6
153;Totaal;Populatie: 6 jaar of ouder;Ondergrens 95%-interval;West-Nederland (LD);2021;74.4
154;Totaal;Populatie: 6 jaar of ouder;Ondergrens 95%-interval;West-Nederland (LD);2022;80.9
