ID;Geslacht;Migratieachtergrond;Onderwijssoort;Leeftijd;OnderwijsVertragingInSchoolloopbaan;Perioden;AantalLeerlingenVoortgezetOnderwijs_1;AantalVsvErsVoorgezetOnderwijs_2;AantalNietVsvErsVoortgezetOnderwijs_3;PercentageVsvErsVoortgezetOnderwijs_4
0;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Totaal;2004/'05;863270.0;17370.0;845900.0;2.0
1;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Totaal;2005/'06;903370.0;15950.0;887420.0;1.8
2;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Totaal;2006/'07;907230.0;14660.0;892570.0;1.6
3;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Totaal;2007/'08;906100.0;12390.0;893710.0;1.4
4;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Totaal;2008/'09;899420.0;10590.0;888830.0;1.2
5;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Totaal;2009/'10;899740.0;10470.0;889270.0;1.2
6;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Totaal;2010/'11;903960.0;9820.0;894140.0;1.1
7;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Totaal;2011/'12;912360.0;10150.0;902210.0;1.1
8;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Totaal;2012/'13 Oude methode;923590.0;9450.0;914150.0;1.0
9;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Totaal;2012/'13 Nieuwe methode;918000.0;5310.0;912690.0;0.6
10;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Totaal;2013/'14;929830.0;5150.0;924680.0;0.6
11;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Totaal;2014/'15;940290.0;5140.0;935150.0;0.5
12;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Totaal;2015/'16;948240.0;5370.0;942860.0;0.6
13;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Totaal;2016/'17;948290.0;5650.0;942640.0;0.6
14;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Totaal;2017/'18;938700.0;5660.0;933040.0;0.6
15;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Geen vertraging;2004/'05;608720.0;5200.0;603520.0;0.9
16;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Geen vertraging;2005/'06;635210.0;5230.0;629980.0;0.8
17;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Geen vertraging;2006/'07;637590.0;4820.0;632770.0;0.8
18;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Geen vertraging;2007/'08;635740.0;4150.0;631590.0;0.7
19;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Geen vertraging;2008/'09;633590.0;3570.0;630020.0;0.6
20;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Geen vertraging;2009/'10;634890.0;3640.0;631250.0;0.6
21;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Geen vertraging;2010/'11;637370.0;3290.0;634080.0;0.5
22;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Geen vertraging;2011/'12;644920.0;3520.0;641400.0;0.5
23;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Geen vertraging;2012/'13 Oude methode;658790.0;3360.0;655430.0;0.5
24;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Geen vertraging;2012/'13 Nieuwe methode;656330.0;1470.0;654860.0;0.2
25;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Geen vertraging;2013/'14;672610.0;1530.0;671080.0;0.2
26;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Geen vertraging;2014/'15;688860.0;1480.0;687380.0;0.2
