ID;PersonalCharacteristics;TypeOfFigure;CarribeanNetherlands;Periods;PersonsWithAtLeast1Contact_1;AverageNumberOfContactsPopulation_2;AverageNumberOfContactsPerPatient_3;IslandOfResidence_4;OtherIslandOrCountry_5;PersonsWithAtLeast1Contact_6;AverageNumberOfContactsPopulation_7;AverageNumberOfContactsPerPatient_8;IslandOfResidence_9;OtherIslandOrCountry_10;PersonsWithAtLeast1Contact_11;AverageNumberOfContactsPopulation_12;AverageNumberOfContactsPerPatient_13;IslandOfResidence_14;OtherIslandOrCountry_15;PersonsWithAtLeast1Contact_16;AverageNumberOfContactsPopulation_17;AverageNumberOfContactsPerPatient_18;IslandOfResidence_19;OtherIslandOrCountry_20;PersonsWithOvernightStays_21;NumberOfAdmissionsPer100Persons_22;NumberOfAdmissionsPer100Patients_23;IslandOfResidence_24;OtherIslandOrCountry_25;PersonsWithDayAdmission_26;NumberOfDayAdmissionsP100Persons_27;NumberOfDayAdmissionsP100Patients_28;IslandOfResidence_29;OtherIslandOrCountry_30;PersonsWithAtLeast1Contact_31;NumberOfContactsPer100Persons_32;NumberOfContactsPer100Patients_33;IslandOfResidence_34;OtherIslandOrCountry_35;PrescribedMedicinesIn14Days_36;NonPrescribedMedicinesIn14Days_37
0;Total persons;Percentage/average;Caribbean Netherlands ;2013;76.5;7.9;10.3;92.0;8.0;40.5;3.3;8.1;67.6;32.4;54.7;3.6;6.5;86.6;13.4;19.0;1.7;8.8;97.7;;11.9;34.9;292.9;63.9;36.1;9.9;21.4;215.9;65.8;34.2;56.0;105.5;188.4;93.3;6.7;38.3;25.8
1;Total persons;Percentage/average;Caribbean Netherlands ;2017/2018;;;;;;;;;;;;;;;;10.7;1.3;12.0;93.1;6.9;;;;;;8.8;24.8;280.4;59.7;40.3;54.2;116.6;215.2;93.3;6.7;31.1;20.3
2;Total persons;Percentage/average;Caribbean Netherlands ;2021;58.7;6.1;10.4;96.0;4.0;31.6;3.2;10.0;83.3;16.7;40.8;2.8;6.8;91.2;8.8;9.0;1.0;10.9;95.0;5.0;7.9;38.4;484.7;68.9;31.1;9.3;32.9;353.6;80.0;20.0;42.7;102.3;239.6;96.0;4.0;28.1;27.8
3;Total persons;Percentage/average;Bonaire;2013;78.1;7.9;10.1;98.3;1.7;40.0;3.0;7.4;87.7;12.3;56.2;4.2;7.4;91.8;8.2;21.4;2.0;9.2;98.6;;9.7;17.8;184.4;69.8;30.2;8.8;12.4;141.6;72.9;27.1;57.9;109.3;188.9;97.5;2.5;40.2;25.1
4;Total persons;Percentage/average;Bonaire;2017/2018;74.2;7.3;9.8;98.9;1.1;40.4;4.6;11.4;90.4;9.6;46.4;1.9;4.1;90.8;9.2;10.3;1.5;14.8;96.4;;11.0;29.9;271.0;75.7;24.3;7.4;19.5;263.6;70.5;29.5;58.4;126.3;216.3;97.6;2.4;35.9;19.3
5;Total persons;Percentage/average;Bonaire;2021;64.3;6.4;9.9;98.8;1.2;32.4;3.3;10.3;97.4;2.6;48.6;3.4;7.0;94.1;5.9;8.8;1.3;14.9;96.0;;7.8;21.3;273.2;78.1;21.9;7.5;9.5;126.7;86.6;13.4;46.6;125.9;270.4;97.2;2.8;30.2;29.9
6;Total persons;Percentage/average;St. Eustatius;2013;71.7;8.4;11.8;75.5;24.5;47.6;5.3;11.1;;;50.2;2.2;4.3;70.8;29.2;11.6;0.8;;;;24.0;;;;;18.4;68.1;;;;54.9;89.2;162.5;82.8;17.2;33.3;23.9
7;Total persons;Percentage/average;St. Eustatius;2017/2018;;;;;;;;;;;;;;;;10.3;0.5;;;;;;;;;9.3;22.4;;;;45.5;85.4;187.7;91.5;8.5;15.8;12.3
8;Total persons;Percentage/average;St. Eustatius;2021;42.5;5.0;11.7;92.8;7.2;27.4;2.8;10.2;77.6;22.4;24.1;1.7;7.0;97.9;;6.4;0.2;;;;7.3;21.2;;;;3.5;7.5;;;;33.3;65.4;196.1;98.1;;16.2;15.7
9;Total persons;Percentage/average;Saba;2013;72.0;6.3;8.7;66.0;34.0;32.9;2.8;8.6;;;50.0;1.3;2.5;67.0;33.0;11.9;0.8;;;;10.4;;;;;5.6;19.2;;;;42.6;238.9;101.7;68.3;31.7;31.5;35.1
10;Total persons;Percentage/average;Saba;2017/2018;77.1;6.6;8.5;79.1;20.9;34.8;2.7;7.9;46.6;53.4;;;;;;13.0;1.4;;;;11.4;53.7;;;;13.8;48.6;;;;49.5;120.9;244.2;75.9;24.1;35.4;36.1
11;Total persons;Percentage/average;Saba;2021;67.9;7.0;10.4;91.6;8.4;36.2;3.2;8.9;54.7;45.3;45.4;2.7;6.0;77.5;22.5;13.8;1.3;;;;9.3;113.2;;;;23.2;137.2;591.7;79.1;20.9;46.5;94.0;202.1;90.7;9.3;42.3;42.2
12;Total persons;Reliability margin;Caribbean Netherlands ;2013;2.8;0.9;1.2;2.2;2.2;3.2;0.7;1.6;5.0;5.0;3.2;0.6;1.0;3.2;3.2;2.5;0.4;1.9;3.2;;2.2;19.0;152.2;9.4;9.4;1.9;9.0;81.9;9.6;9.6;3.2;10.0;14.6;2.3;2.3;3.1;2.8
13;Total persons;Reliability margin;Caribbean Netherlands ;2017/2018;;;;;;;;;;;;;;;;1.5;0.3;2.5;3.8;3.8;;;;;;1.4;8.3;83.7;8.2;8.2;2.5;10.5;16.7;1.7;1.7;2.2;1.9
14;Total persons;Reliability margin;Caribbean Netherlands ;2021;2.7;0.7;1.2;1.4;1.4;2.5;0.5;1.4;3.6;3.6;2.7;0.6;1.4;2.5;2.5;1.6;0.4;3.6;4.4;4.4;1.5;18.6;222.4;8.9;8.9;1.6;17.2;178.4;7.3;7.3;2.7;17.1;37.2;1.6;1.6;2.4;2.4
15;Total persons;Reliability margin;Bonaire;2013;3.0;1.1;1.4;1.3;1.3;3.6;0.7;1.7;3.8;3.8;3.6;0.8;1.3;2.9;2.9;3.0;0.5;2.2;2.5;;2.2;5.3;38.9;10.7;10.7;2.0;3.4;22.3;10.6;10.6;3.6;11.5;16.2;1.6;1.6;3.6;3.2
16;Total persons;Reliability margin;Bonaire;2017/2018;2.7;0.8;1.1;0.7;0.7;3.1;0.8;1.8;2.9;2.9;3.1;0.4;0.8;2.6;2.6;1.9;0.5;3.8;3.7;;2.0;8.7;62.4;8.1;8.1;1.6;9.4;113.6;10.5;10.5;3.1;12.6;18.3;1.2;1.2;3.0;2.4
17;Total persons;Reliability margin;Bonaire;2021;3.6;0.9;1.3;1.1;1.1;3.5;0.8;2.1;2.0;2.0;3.8;1.0;2.0;2.6;2.6;2.1;0.6;5.9;5.5;;2.1;10.6;117.4;11.2;11.2;2.0;3.8;38.5;9.7;9.7;3.8;31.0;63.1;1.9;1.9;3.4;3.4
18;Total persons;Reliability margin;St. Eustatius;2013;8.6;2.5;3.4;9.9;9.9;9.7;2.9;5.8;;;9.8;1.0;1.9;12.7;12.7;6.2;0.6;;;;8.7;;;;;7.6;56.9;;;;9.7;25.2;38.1;10.3;10.3;8.7;8.0
19;Total persons;Reliability margin;St. Eustatius;2017/2018;;;;;;;;;;;;;;;;3.2;0.2;;;;;;;;;3.1;11.9;;;;5.3;13.5;20.0;4.4;4.4;3.7;3.3
20;Total persons;Reliability margin;St. Eustatius;2021;5.0;1.5;3.2;4.1;4.1;4.5;0.8;2.3;8.1;8.1;4.2;0.5;1.9;2.9;;2.6;0.1;;;;2.6;11.1;;;;1.9;5.2;;;;4.7;12.5;25.6;2.2;;3.6;3.5
21;Total persons;Reliability margin;Saba;2013;8.1;2.2;2.9;10.0;10.0;8.1;1.2;2.9;;;8.7;0.8;1.6;11.9;11.9;5.5;0.4;;;;5.3;;;;;3.7;16.1;;;;8.6;66.0;33.6;12.7;12.7;8.0;8.3
22;Total persons;Reliability margin;Saba;2017/2018;5.2;1.6;2.0;5.7;5.7;5.9;1.0;2.5;10.5;10.5;;;;;;4.2;0.8;;;;3.9;34.1;;;;4.3;33.7;;;;6.2;39.0;72.7;7.5;7.5;5.9;5.9
23;Total persons;Reliability margin;Saba;2021;6.3;1.9;2.6;4.2;4.2;6.2;1.2;2.9;10.4;10.4;6.5;1.4;2.9;8.1;8.1;4.4;0.9;;;;3.3;93.4;;;;5.5;90.0;370.4;10.7;10.7;6.5;19.9;33.7;5.2;5.2;6.4;6.4
