ID;Zorgfuncties;Zorgfinanciering;Perioden;UitgavenGezondheidsEnWelzijnszorg_1
0;Totaal uitgaven aan zorg en welzijn;Totaal alle financieringsvormen;1998;39380.0
1;Totaal uitgaven aan zorg en welzijn;Totaal alle financieringsvormen;1999;42394.0
2;Totaal uitgaven aan zorg en welzijn;Totaal alle financieringsvormen;2000;45361.0
3;Totaal uitgaven aan zorg en welzijn;Totaal alle financieringsvormen;2001;50767.0
4;Totaal uitgaven aan zorg en welzijn;Totaal alle financieringsvormen;2002;56663.0
5;Totaal uitgaven aan zorg en welzijn;Totaal alle financieringsvormen;2003;60888.0
6;Totaal uitgaven aan zorg en welzijn;Totaal alle financieringsvormen;2004;63003.0
7;Totaal uitgaven aan zorg en welzijn;Totaal alle financieringsvormen;2005;65424.0
8;Totaal uitgaven aan zorg en welzijn;Totaal alle financieringsvormen;2006;68495.0
9;Totaal uitgaven aan zorg en welzijn;Totaal alle financieringsvormen;2007;72713.0
10;Totaal uitgaven aan zorg en welzijn;Totaal alle financieringsvormen;2008;77705.0
11;Totaal uitgaven aan zorg en welzijn;Totaal alle financieringsvormen;2009;82298.0
12;Totaal uitgaven aan zorg en welzijn;Totaal alle financieringsvormen;2010;85790.0
13;Totaal uitgaven aan zorg en welzijn;Totaal alle financieringsvormen;2011;88125.0
14;Totaal uitgaven aan zorg en welzijn;Totaal alle financieringsvormen;2012;90622.0
15;Totaal uitgaven aan zorg en welzijn;Totaal alle financieringsvormen;2013;90954.0
16;Totaal uitgaven aan zorg en welzijn;Totaal alle financieringsvormen;2014;91927.0
17;Totaal uitgaven aan zorg en welzijn;Totaal alle financieringsvormen;2015;92323.0
18;Totaal uitgaven aan zorg en welzijn;Totaal alle financieringsvormen;2016;94842.0
19;Totaal uitgaven aan zorg en welzijn;Totaal alle financieringsvormen;2017;96972.0
20;Totaal uitgaven aan zorg en welzijn;Totaal alle financieringsvormen;2018;101031.0
21;Totaal uitgaven aan zorg en welzijn;Totaal alle financieringsvormen;2019;107429.0
22;Totaal uitgaven aan zorg en welzijn;Totaal alle financieringsvormen;2020;116384.0
23;Totaal uitgaven aan zorg en welzijn;Totaal alle financieringsvormen;2021;124794.0
24;Totaal uitgaven aan zorg en welzijn;Totaal alle financieringsvormen;2022;127306.0
25;Totaal uitgaven aan zorg en welzijn;Totaal financiering van ingezetenen;1998;39258.0
26;Totaal uitgaven aan zorg en welzijn;Totaal financiering van ingezetenen;1999;42269.0
27;Totaal uitgaven aan zorg en welzijn;Totaal financiering van ingezetenen;2000;45232.0
28;Totaal uitgaven aan zorg en welzijn;Totaal financiering van ingezetenen;2001;50632.0
29;Totaal uitgaven aan zorg en welzijn;Totaal financiering van ingezetenen;2002;56498.0
30;Totaal uitgaven aan zorg en welzijn;Totaal financiering van ingezetenen;2003;60730.0
31;Totaal uitgaven aan zorg en welzijn;Totaal financiering van ingezetenen;2004;62840.0
32;Totaal uitgaven aan zorg en welzijn;Totaal financiering van ingezetenen;2005;65253.0
33;Totaal uitgaven aan zorg en welzijn;Totaal financiering van ingezetenen;2006;68330.0
34;Totaal uitgaven aan zorg en welzijn;Totaal financiering van ingezetenen;2007;72549.0
35;Totaal uitgaven aan zorg en welzijn;Totaal financiering van ingezetenen;2008;77539.0
36;Totaal uitgaven aan zorg en welzijn;Totaal financiering van ingezetenen;2009;82116.0
37;Totaal uitgaven aan zorg en welzijn;Totaal financiering van ingezetenen;2010;85599.0
38;Totaal uitgaven aan zorg en welzijn;Totaal financiering van ingezetenen;2011;87921.0
39;Totaal uitgaven aan zorg en welzijn;Totaal financiering van ingezetenen;2012;90410.0
40;Totaal uitgaven aan zorg en welzijn;Totaal financiering van ingezetenen;2013;90748.0
41;Totaal uitgaven aan zorg en welzijn;Totaal financiering van ingezetenen;2014;91731.0
42;Totaal uitgaven aan zorg en welzijn;Totaal financiering van ingezetenen;2015;92115.0
43;Totaal uitgaven aan zorg en welzijn;Totaal financiering van ingezetenen;2016;94634.0
44;Totaal uitgaven aan zorg en welzijn;Totaal financiering van ingezetenen;2017;96761.0
45;Totaal uitgaven aan zorg en welzijn;Totaal financiering van ingezetenen;2018;100813.0
46;Totaal uitgaven aan zorg en welzijn;Totaal financiering van ingezetenen;2019;107199.0
47;Totaal uitgaven aan zorg en welzijn;Totaal financiering van ingezetenen;2020;116159.0
48;Totaal uitgaven aan zorg en welzijn;Totaal financiering van ingezetenen;2021;124572.0
49;Totaal uitgaven aan zorg en welzijn;Totaal financiering van ingezetenen;2022;127052.0
50;Totaal uitgaven aan zorg en welzijn;HF1: Overheid en soc. verzekering;1998;28411.0
51;Totaal uitgaven aan zorg en welzijn;HF1: Overheid en soc. verzekering;1999;30369.0
52;Totaal uitgaven aan zorg en welzijn;HF1: Overheid en soc. verzekering;2000;32621.0
53;Totaal uitgaven aan zorg en welzijn;HF1: Overheid en soc. verzekering;2001;36792.0
54;Totaal uitgaven aan zorg en welzijn;HF1: Overheid en soc. verzekering;2002;40953.0
55;Totaal uitgaven aan zorg en welzijn;HF1: Overheid en soc. verzekering;2003;44000.0
56;Totaal uitgaven aan zorg en welzijn;HF1: Overheid en soc. verzekering;2004;44569.0
57;Totaal uitgaven aan zorg en welzijn;HF1: Overheid en soc. verzekering;2005;46636.0
58;Totaal uitgaven aan zorg en welzijn;HF1: Overheid en soc. verzekering;2006;57297.0
59;Totaal uitgaven aan zorg en welzijn;HF1: Overheid en soc. verzekering;2007;61620.0
60;Totaal uitgaven aan zorg en welzijn;HF1: Overheid en soc. verzekering;2008;65111.0
61;Totaal uitgaven aan zorg en welzijn;HF1: Overheid en soc. verzekering;2009;69430.0
62;Totaal uitgaven aan zorg en welzijn;HF1: Overheid en soc. verzekering;2010;72396.0
63;Totaal uitgaven aan zorg en welzijn;HF1: Overheid en soc. verzekering;2011;73646.0
64;Totaal uitgaven aan zorg en welzijn;HF1: Overheid en soc. verzekering;2012;74998.0
65;Totaal uitgaven aan zorg en welzijn;HF1: Overheid en soc. verzekering;2013;74394.0
66;Totaal uitgaven aan zorg en welzijn;HF1: Overheid en soc. verzekering;2014;75304.0
67;Totaal uitgaven aan zorg en welzijn;HF1: Overheid en soc. verzekering;2015;75763.0
68;Totaal uitgaven aan zorg en welzijn;HF1: Overheid en soc. verzekering;2016;77812.0
69;Totaal uitgaven aan zorg en welzijn;HF1: Overheid en soc. verzekering;2017;79985.0
70;Totaal uitgaven aan zorg en welzijn;HF1: Overheid en soc. verzekering;2018;83710.0
71;Totaal uitgaven aan zorg en welzijn;HF1: Overheid en soc. verzekering;2019;89613.0
72;Totaal uitgaven aan zorg en welzijn;HF1: Overheid en soc. verzekering;2020;99535.0
73;Totaal uitgaven aan zorg en welzijn;HF1: Overheid en soc. verzekering;2021;106541.0
74;Totaal uitgaven aan zorg en welzijn;HF1: Overheid en soc. verzekering;2022;107661.0
75;Totaal uitgaven aan zorg en welzijn;HF11: Overheid;1998;5481.0
76;Totaal uitgaven aan zorg en welzijn;HF11: Overheid;1999;6132.0
77;Totaal uitgaven aan zorg en welzijn;HF11: Overheid;2000;6604.0
78;Totaal uitgaven aan zorg en welzijn;HF11: Overheid;2001;7516.0
79;Totaal uitgaven aan zorg en welzijn;HF11: Overheid;2002;8060.0
80;Totaal uitgaven aan zorg en welzijn;HF11: Overheid;2003;8380.0
81;Totaal uitgaven aan zorg en welzijn;HF11: Overheid;2004;8136.0
82;Totaal uitgaven aan zorg en welzijn;HF11: Overheid;2005;8934.0
83;Totaal uitgaven aan zorg en welzijn;HF11: Overheid;2006;9327.0
84;Totaal uitgaven aan zorg en welzijn;HF11: Overheid;2007;12519.0
85;Totaal uitgaven aan zorg en welzijn;HF11: Overheid;2008;13639.0
86;Totaal uitgaven aan zorg en welzijn;HF11: Overheid;2009;14974.0
87;Totaal uitgaven aan zorg en welzijn;HF11: Overheid;2010;15393.0
88;Totaal uitgaven aan zorg en welzijn;HF11: Overheid;2011;15260.0
89;Totaal uitgaven aan zorg en welzijn;HF11: Overheid;2012;14674.0
90;Totaal uitgaven aan zorg en welzijn;HF11: Overheid;2013;13078.0
91;Totaal uitgaven aan zorg en welzijn;HF11: Overheid;2014;12944.0
92;Totaal uitgaven aan zorg en welzijn;HF11: Overheid;2015;17159.0
93;Totaal uitgaven aan zorg en welzijn;HF11: Overheid;2016;17935.0
94;Totaal uitgaven aan zorg en welzijn;HF11: Overheid;2017;18478.0
95;Totaal uitgaven aan zorg en welzijn;HF11: Overheid;2018;19647.0
96;Totaal uitgaven aan zorg en welzijn;HF11: Overheid;2019;21082.0
