ID;Geslacht;Leeftijd;BurgerlijkeStaat;Migratieachtergrond;Perioden;PersonenMetAansprakenPartnerpensioen_1;PartnerOntvangtTotAOWDatum_2;PartnerOntvangtVanafAOWDatum_3;PartnerOntvangtTotAOWDatum_4;PartnerOntvangtVanafAOWDatum_5
0;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2017;9665310;75065156.0;67990206.0;47699635.0;59710388.0
1;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2018;9811570;77379454.0;71492254.0;50202692.0;62861034.0
2;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2019;9916960;86705961.0;72829130.0;53637439.0;65427357.0
3;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2020;9991500;88021703.0;74054681.0;56067019.0;68657269.0
4;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2021;10193090;92836843.0;77566931.0;65763568.0;69987636.0
5;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlandse achtergrond;2017;7048440;62464187.0;56315347.0;39466476.0;49589388.0
6;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlandse achtergrond;2018;7094520;63795038.0;58650209.0;41125710.0;51751244.0
7;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlandse achtergrond;2019;7109570;70282359.0;59113557.0;43223055.0;53265725.0
8;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlandse achtergrond;2020;7107580;70987311.0;59868338.0;44936327.0;55581894.0
9;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlandse achtergrond;2021;7131220;74290436.0;62241398.0;52393494.0;56149108.0
10;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Met migratieachtergrond;2017;2285020;12284993.0;11374851.0;7984887.0;9845993.0
11;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Met migratieachtergrond;2018;2386770;13219565.0;12485768.0;8772459.0;10769839.0
12;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Met migratieachtergrond;2019;2700020;16367350.0;13661118.0;10362192.0;12107261.0
13;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Met migratieachtergrond;2020;2808890;17015879.0;14168823.0;11112970.0;13057505.0
14;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Met migratieachtergrond;2021;2988380;18527527.0;15307609.0;13351910.0;13820291.0
15;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Westerse migratieachtergrond;2017;1222570;6868527.0;6440890.0;4609839.0;5649859.0
16;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Westerse migratieachtergrond;2018;1276680;7271456.0;6978057.0;4998014.0;6093921.0
17;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Westerse migratieachtergrond;2019;1534130;9052287.0;7626390.0;5939339.0;6854392.0
18;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Westerse migratieachtergrond;2020;1601610;9271845.0;7800383.0;6286371.0;7281466.0
19;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Westerse migratieachtergrond;2021;1710410;9881285.0;8246372.0;7312729.0;7551263.0
