ID;Geslacht;Opleidingsclusters;Vooropleiding;Perioden;TotaalAantalStudenten_1;Na3Jaar_2;Na4Jaar_3;Na5Jaar_4;Na6Jaar_5;Na7Jaar_6;Na8Jaar_7;Na9Jaar_8;Na3Jaar_9;Na4Jaar_10;Na5Jaar_11;Na6Jaar_12;Na7Jaar_13;Na8Jaar_14;Na9Jaar_15;Na3Jaar_16;Na4Jaar_17;Na5Jaar_18;Na6Jaar_19;Na7Jaar_20;Na8Jaar_21;Na9Jaar_22;Na3Jaar_23;Na4Jaar_24;Na5Jaar_25;Na6Jaar_26;Na7Jaar_27;Na8Jaar_28;Na9Jaar_29;Na3Jaar_30;Na4Jaar_31;Na5Jaar_32;Na6Jaar_33;Na7Jaar_34;Na8Jaar_35;Na9Jaar_36;Na1Jaar_37;Na2Jaar_38;Na3Jaar_39;Na4Jaar_40;Na5Jaar_41;Na6Jaar_42;Na7Jaar_43;Na8Jaar_44;InJaar2_45;InJaar3_46;InJaar4_47;InJaar5_48;InJaar6_49;InJaar7_50;InJaar8_51;InJaar9_52;InJaar2_53;InJaar3_54;InJaar4_55;InJaar5_56;InJaar6_57;InJaar7_58;InJaar8_59;InJaar9_60;InJaar2_61;InJaar3_62;InJaar4_63;InJaar5_64;InJaar6_65;InJaar7_66;InJaar8_67;InJaar9_68;InJaar2_69;InJaar3_70;InJaar4_71;InJaar5_72;InJaar6_73;InJaar7_74;InJaar8_75;InJaar9_76;InJaar2_77;InJaar3_78;InJaar4_79;InJaar5_80;InJaar6_81;InJaar7_82;InJaar8_83;InJaar9_84
0;Totaal mannen en vrouwen;0;Totaal alle vooropleidingen;Cohort 1995;28250.0;8.0;13.0;32.0;51.0;63.0;70.0;73.0;6.0;10.0;26.0;43.0;54.0;60.0;64.0;6.0;10.0;26.0;41.0;51.0;56.0;59.0;0.0;0.0;1.0;2.0;3.0;4.0;5.0;3.0;3.0;6.0;8.0;9.0;10.0;10.0;9.0;11.0;14.0;15.0;16.0;17.0;18.0;19.0;89.0;85.0;78.0;72.0;52.0;32.0;19.0;11.0;83.0;76.0;69.0;64.0;46.0;28.0;17.0;10.0;79.0;71.0;64.0;58.0;41.0;25.0;14.0;8.0;4.0;5.0;5.0;5.0;5.0;4.0;3.0;2.0;6.0;8.0;9.0;8.0;6.0;4.0;2.0;2.0
1;Totaal mannen en vrouwen;0;Totaal alle vooropleidingen;Cohort 1996;27700.0;7.0;13.0;32.0;50.0;63.0;70.0;74.0;5.0;10.0;26.0;43.0;55.0;61.0;65.0;5.0;10.0;25.0;40.0;51.0;57.0;60.0;0.0;0.0;1.0;2.0;3.0;4.0;5.0;3.0;3.0;6.0;7.0;9.0;9.0;9.0;8.0;11.0;13.0;14.0;15.0;15.0;16.0;17.0;90.0;85.0;80.0;73.0;54.0;34.0;21.0;13.0;84.0;78.0;72.0;65.0;48.0;31.0;18.0;11.0;80.0;72.0;66.0;59.0;43.0;27.0;15.0;9.0;4.0;5.0;6.0;6.0;5.0;4.0;3.0;2.0;6.0;8.0;8.0;8.0;5.0;4.0;3.0;2.0
2;Totaal mannen en vrouwen;0;Totaal alle vooropleidingen;Cohort 1997;28620.0;8.0;14.0;32.0;52.0;65.0;72.0;76.0;5.0;11.0;27.0;44.0;56.0;63.0;67.0;5.0;10.0;26.0;42.0;52.0;58.0;61.0;0.0;0.0;1.0;2.0;4.0;5.0;6.0;3.0;4.0;6.0;8.0;9.0;9.0;9.0;8.0;11.0;12.0;13.0;14.0;14.0;15.0;15.0;90.0;85.0;80.0;73.0;54.0;34.0;21.0;12.0;84.0;78.0;72.0;65.0;49.0;30.0;18.0;10.0;80.0;72.0;65.0;59.0;43.0;26.0;15.0;8.0;4.0;6.0;6.0;6.0;6.0;5.0;3.0;2.0;6.0;7.0;8.0;7.0;5.0;4.0;3.0;2.0
3;Totaal mannen en vrouwen;0;Totaal alle vooropleidingen;Cohort 1998;30190.0;9.0;15.0;34.0;53.0;66.0;74.0;;6.0;11.0;28.0;45.0;57.0;64.0;;6.0;11.0;27.0;43.0;53.0;59.0;;0.0;0.0;1.0;2.0;4.0;5.0;;3.0;4.0;6.0;8.0;9.0;9.0;;8.0;11.0;12.0;13.0;13.0;13.0;14.0;16.0;89.0;85.0;79.0;72.0;53.0;33.0;20.0;11.0;83.0;77.0;71.0;64.0;47.0;29.0;17.0;9.0;79.0;71.0;65.0;58.0;41.0;25.0;14.0;7.0;4.0;6.0;6.0;6.0;6.0;5.0;3.0;2.0;6.0;8.0;8.0;8.0;6.0;4.0;3.0;2.0
4;Totaal mannen en vrouwen;0;Totaal alle vooropleidingen;Cohort 1999;31110.0;10.0;18.0;37.0;56.0;69.0;;;7.0;14.0;31.0;48.0;60.0;;;7.0;14.0;29.0;45.0;56.0;;;0.0;0.0;1.0;3.0;5.0;;;3.0;4.0;6.0;8.0;9.0;;;7.0;10.0;11.0;11.0;12.0;12.0;14.0;;90.0;86.0;79.0;71.0;51.0;32.0;17.0;;84.0;78.0;71.0;63.0;46.0;28.0;15.0;;80.0;72.0;65.0;57.0;40.0;24.0;12.0;;4.0;6.0;6.0;7.0;6.0;4.0;3.0;;6.0;8.0;8.0;8.0;5.0;4.0;2.0;
5;Totaal mannen en vrouwen;0;Totaal alle vooropleidingen;Cohort 2000;30720.0;11.0;22.0;42.0;61.0;;;;8.0;19.0;37.0;53.0;;;;8.0;18.0;35.0;50.0;;;;0.0;1.0;2.0;4.0;;;;2.0;3.0;5.0;7.0;;;;7.0;9.0;10.0;10.0;11.0;12.0;;;91.0;87.0;80.0;68.0;47.0;27.0;;;85.0;80.0;72.0;60.0;42.0;24.0;;;81.0;74.0;65.0;54.0;36.0;20.0;;;4.0;6.0;7.0;7.0;5.0;4.0;;;5.0;7.0;8.0;8.0;5.0;3.0;;
6;Totaal mannen en vrouwen;0;Totaal alle vooropleidingen;Cohort 2001;33400.0;14.0;29.0;51.0;;;;;12.0;26.0;46.0;;;;;12.0;24.0;43.0;;;;;0.0;2.0;3.0;;;;;3.0;3.0;6.0;;;;;7.0;8.0;9.0;10.0;11.0;;;;91.0;87.0;77.0;61.0;37.0;;;;85.0;79.0;68.0;53.0;32.0;;;;80.0;72.0;61.0;47.0;28.0;;;;5.0;7.0;7.0;6.0;4.0;;;;6.0;8.0;8.0;8.0;5.0;;;
7;Totaal mannen en vrouwen;0;Totaal alle vooropleidingen;Cohort 2002;33350.0;24.0;44.0;;;;;;22.0;41.0;;;;;;21.0;39.0;;;;;;1.0;2.0;;;;;;2.0;3.0;;;;;;6.0;8.0;9.0;11.0;;;;;92.0;87.0;67.0;45.0;;;;;86.0;80.0;59.0;38.0;;;;;81.0;74.0;53.0;33.0;;;;;5.0;6.0;6.0;5.0;;;;;6.0;8.0;8.0;7.0;;;;
8;Totaal mannen en vrouwen;0;Totaal alle vooropleidingen;Cohort 2003;34000.0;24.0;;;;;;;22.0;;;;;;;21.0;;;;;;;0.0;;;;;;;2.0;;;;;;;6.0;8.0;10.0;;;;;;92.0;87.0;66.0;;;;;;86.0;79.0;58.0;;;;;;81.0;73.0;52.0;;;;;;5.0;6.0;6.0;;;;;;6.0;8.0;8.0;;;;;
9;Totaal mannen en vrouwen;0;Totaal alle vooropleidingen;Cohort 2004;35850.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;9.0;;;;;;;92.0;86.0;;;;;;;85.0;78.0;;;;;;;80.0;72.0;;;;;;;5.0;6.0;;;;;;;7.0;8.0;;;;;;
