ID;Persoonskenmerken;Marges;CaribischNederland;Perioden;VoeltZichVaakOnveilig_1;VoeltZichSomsOnveilig_2;VoeltZichZeldenOnveilig_3;VoeltZichNooitOnveilig_4;VeelCriminaliteit_5;WeinigCriminaliteit_6;GeenCriminaliteit_7;RapportcijferVeiligheid_8
0;Totaal personen;Percentage;Caribisch Nederland;2013;4.5;15.2;8.4;71.5;5.9;39.8;49.2;7.7
1;Totaal personen;Percentage;Caribisch Nederland;2017/2018;2.2;5.2;5.7;86.7;3.9;31.0;65.2;8.2
2;Totaal personen;Percentage;Caribisch Nederland;2021;0.8;3.8;3.7;91.7;0.9;25.5;66.3;8.4
3;Totaal personen;Percentage;Bonaire;2013;5.8;18.4;8.1;67.4;7.8;46.3;39.8;7.3
4;Totaal personen;Percentage;Bonaire;2017/2018;3.1;7.3;8.0;81.4;5.8;41.2;41.3;7.7
5;Totaal personen;Percentage;Bonaire;2021;1.1;4.6;4.8;89.5;1.7;41.7;46.0;7.9
6;Totaal personen;Percentage;Sint-Eustatius;2013;;3.5;6.1;89.7;;19.1;79.0;8.8
7;Totaal personen;Percentage;Sint-Eustatius;2017/2018;;;1.4;97.0;;10.2;89.8;8.6
8;Totaal personen;Percentage;Sint-Eustatius;2021;0.8;2.9;2.3;94.0;;8.3;87.0;8.7
9;Totaal personen;Percentage;Saba;2013;;10.3;15.2;71.8;;25.3;70.5;8.8
10;Totaal personen;Percentage;Saba;2017/2018;;3.8;2.9;92.0;;7.8;92.2;9.3
11;Totaal personen;Percentage;Saba;2021;;2.9;2.9;94.1;;9.3;88.0;9.3
12;Totaal personen;Betrouwbaarheidsmarge;Caribisch Nederland;2013;1.3;2.2;1.7;2.7;1.4;2.9;3.0;0.1
13;Totaal personen;Betrouwbaarheidsmarge;Caribisch Nederland;2017/2018;0.7;1.1;1.1;1.6;1.0;2.3;2.4;0.1
14;Totaal personen;Betrouwbaarheidsmarge;Caribisch Nederland;2021;0.5;1.0;1.0;1.4;0.5;2.2;2.4;0.1
