ID;Geslacht;Leeftijd;Perioden;TotaalPersonenInHuishoudens_1;TotaalPersonenInParticuliereHuish_2;ThuiswonendKind_3;Alleenstaand_4;TotaalSamenwonend_5;PartnerInNietGehuwdPaarZonderKi_6;PartnerInGehuwdPaarZonderKinderen_7;PartnerInNietGehuwdPaarMetKinderen_8;PartnerInGehuwdPaarMetKinderen_9;OuderInEenouderhuishouden_10;OverigLidHuishouden_11;PersoonInInstitutioneelHuishouden_12;TotaalPersonenInHuishoudens_13;TotaalPersonenInParticuliereHuish_14;PersoonInEenpersoonshuishouden_15;TotaalPersonenInMeerpersoonshuisho_16;ZonderKinderen_17;MetKinderen_18;TotaalPersonenInNietGehuwdPaar_19;ZonderKinderen_20;MetKinderen_21;TotaalPersonenInGehuwdPaar_22;ZonderKinderen_23;MetKinderen_24;PersoonInEenouderhuishouden_25;PersoonInOverigHuishouden_26;PersoonInInstitutioneelHuishouden_27
10;Totaal mannen en vrouwen;10000;1981;14209;13897;5079;1184.0;6999.0;247.0;2182.0;64.0;4505.0;263.0;372;312;14209;13897;1184.0;12713;2622;10091;411;269.0;142;11469;2231.0;9238;711;122;312
11;Totaal mannen en vrouwen;10000;1982;14286;13976;5033;1256.0;7053.0;281.0;2202.0;67.0;4502.0;278.0;356;310;14286;13976;1256.0;12720;2669;10051;445;301.0;145;11406;2246.0;9160;746;122;310
12;Totaal mannen en vrouwen;10000;1983;14340;14032;4975;1329.0;7092.0;318.0;2215.0;70.0;4488.0;294.0;342;307;14340;14032;1329.0;12703;2714;9989;481;334.0;146;11316;2256.0;9060;782;124;307
13;Totaal mannen en vrouwen;10000;1984;14395;14089;4918;1403.0;7124.0;356.0;2227.0;74.0;4466.0;309.0;335;305;14395;14089;1403.0;12686;2765;9921;520;371.0;150;11224;2268.0;8956;815;126;305
14;Totaal mannen en vrouwen;10000;1985;14454;14151;4861;1477.0;7159.0;397.0;2246.0;80.0;4437.0;321.0;332;303;14454;14151;1477.0;12673;2825;9848;565;409.0;156;11138;2288.0;8850;842;128;303
15;Totaal mannen en vrouwen;10000;1986;14529;14231;4816;1551.0;7207.0;438.0;2282.0;88.0;4398.0;331.0;326;299;14529;14231;1551.0;12680;2901;9779;617;449.0;168;11073;2323.0;8750;861;129;299
16;Totaal mannen en vrouwen;10000;1987;14615;14321;4776;1620.0;7268.0;482.0;2330.0;98.0;4358.0;338.0;319;294;14615;14321;1620.0;12701;2990;9711;675;491.0;183;11024;2370.0;8654;873;129;294
17;Totaal mannen en vrouwen;10000;1988;14715;14426;4738;1689.0;7345.0;527.0;2390.0;109.0;4319.0;343.0;311;289;14715;14426;1689.0;12737;3092;9645;738;536.0;202;10992;2430.0;8563;880;127;289
18;Totaal mannen en vrouwen;10000;1989;14805;14522;4693;1752.0;7430.0;574.0;2457.0;121.0;4277.0;346.0;300;284;14805;14522;1752.0;12769;3203;9566;806;583.0;223;10959;2497.0;8462;881;123;284
19;Totaal mannen en vrouwen;10000;1990;14893;14615;4646;1813.0;7521.0;620.0;2534.0;131.0;4235.0;347.0;288;278;14893;14615;1813.0;12802;3321;9480;870;629.0;240;10932;2573.0;8359;881;119;278
20;Totaal mannen en vrouwen;10000;1991;15010;14746;4619;1872.0;7630.0;673.0;2612.0;142.0;4202.0;348.0;276;264;15010;14746;1872.0;12874;3448;9427;940;682.0;258;10937;2652.0;8285;883;114;264
21;Totaal mannen en vrouwen;10000;1992;15129;14879;4602;1930.0;7734.0;718.0;2687.0;157.0;4172.0;348.0;264;250;15129;14879;1930.0;12949;3561;9388;1013;728.0;286;10945;2726.0;8219;883;108;250
22;Totaal mannen en vrouwen;10000;1993;15239;14989;4584;1982.0;7819.0;763.0;2748.0;176.0;4133.0;349.0;254;250;15239;14989;1982.0;13007;3664;9342;1091;772.0;319;10927;2790.0;8137;886;102;250
23;Totaal mannen en vrouwen;10000;1994;15342;15091;4573;2032.0;7887.0;810.0;2796.0;196.0;4085.0;352.0;246;250;15342;15091;2032.0;13059;3756;9303;1174;818.0;356;10892;2841.0;8051;896;97;250
24;Totaal mannen en vrouwen;41100;1971;3566;3539;3471;;;;;;;;68;27;3566;3539;;3539;9;3530;15;;15;3392;;3392;124;9;27
25;Totaal mannen en vrouwen;41100;1972;3572;3546;3479;;;;;;;;67;26;3572;3546;;3546;11;3535;21;;21;3401;;3401;113;11;26
26;Totaal mannen en vrouwen;41100;1973;3560;3536;3471;;;;;;;;65;24;3560;3536;;3536;13;3523;26;;26;3394;;3394;103;13;24
27;Totaal mannen en vrouwen;41100;1974;3527;3504;3441;;;;;;;;63;23;3527;3504;;3504;14;3490;30;;30;3364;;3364;97;14;23
28;Totaal mannen en vrouwen;41100;1975;3484;3462;3401;;;;;;;;61;22;3484;3462;;3462;13;3449;33;;33;3319;;3319;96;13;22
29;Totaal mannen en vrouwen;41100;1976;3443;3422;3363;;;;;;;;59;21;3443;3422;;3422;10;3412;35;;35;3272;;3272;104;10;21
30;Totaal mannen en vrouwen;41100;1977;3380;3360;3304;;;;;;;;56;20;3380;3360;;3360;7;3353;36;;36;3203;;3203;114;7;20
31;Totaal mannen en vrouwen;41100;1978;3315;3296;3242;;;;;;;;53;19;3315;3296;;3296;6;3290;37;;37;3132;;3132;120;6;19
32;Totaal mannen en vrouwen;41100;1979;3248;3230;3179;;;;;;;;51;18;3248;3230;;3230;6;3225;38;;38;3062;;3062;125;6;18
33;Totaal mannen en vrouwen;41100;1980;3184;3167;3118;;;;;;;;48;17;3184;3167;;3167;6;3161;38;;38;2992;;2992;131;6;17
34;Totaal mannen en vrouwen;41100;1981;3134;3118;3071;;;;;;;;46;17;3134;3118;;3118;6;3112;38;;38;2933;;2933;141;6;17
35;Totaal mannen en vrouwen;41100;1982;3074;3057;3014;;;;;;;;44;16;3074;3057;;3057;5;3052;37;;37;2860;;2860;156;5;16
36;Totaal mannen en vrouwen;41100;1983;3003;2987;2946;;;;;;;;41;16;3003;2987;;2987;5;2982;35;;35;2775;;2775;172;5;16
37;Totaal mannen en vrouwen;41100;1984;2930;2914;2875;;;;;;;;39;16;2930;2914;;2914;5;2909;35;;35;2686;;2686;189;5;16
38;Totaal mannen en vrouwen;41100;1985;2850;2835;2798;;;;;;;;37;15;2850;2835;;2835;6;2829;36;;36;2592;;2592;201;6;15
39;Totaal mannen en vrouwen;41100;1986;2788;2773;2738;;;;;;;;36;15;2788;2773;;2773;6;2767;39;;39;2520;;2520;207;6;15
40;Totaal mannen en vrouwen;41100;1987;2746;2731;2697;;;;;;;;35;14;2746;2731;;2731;7;2724;45;;45;2469;;2469;209;7;14
41;Totaal mannen en vrouwen;41100;1988;2719;2705;2672;;;;;;;;33;14;2719;2705;;2705;8;2697;53;;53;2435;;2435;210;8;14
42;Totaal mannen en vrouwen;41100;1989;2710;2697;2664;;;;;;;;32;13;2710;2697;;2697;8;2689;63;;63;2416;;2416;210;8;13
43;Totaal mannen en vrouwen;41100;1990;2715;2703;2671;;;;;;;;31;12;2715;2703;;2703;8;2694;71;;71;2410;;2410;213;8;12
44;Totaal mannen en vrouwen;41100;1991;2738;2728;2697;;;;;;;;31;10;2738;2728;;2728;8;2720;79;;79;2418;;2418;223;8;10
45;Totaal mannen en vrouwen;41100;1992;2765;2757;2727;;;;;;;;30;8;2765;2757;;2757;8;2749;91;;91;2429;;2429;229;8;8
46;Totaal mannen en vrouwen;41100;1993;2791;2783;2753;;;;;;;;30;8;2791;2783;;2783;8;2776;104;;104;2437;;2437;234;8;8
47;Totaal mannen en vrouwen;41100;1994;2816;2808;2778;;;;;;;;30;8;2816;2808;;2808;7;2800;119;;119;2440;;2440;242;7;8
48;Totaal mannen en vrouwen;53050;1971;2317;2242;1611;100.0;450.0;9.0;202.0;3.0;236.0;3.0;79;74;2317;2242;100.0;2143;243;1900;25;9.0;15;1933;216.0;1717;167;18;74
49;Totaal mannen en vrouwen;53050;1972;2288;2216;1595;105.0;431.0;14.0;202.0;4.0;211.0;4.0;81;72;2288;2216;105.0;2111;251;1860;35;17.0;18;1892;216.0;1676;166;18;72
50;Totaal mannen en vrouwen;53050;1973;2268;2199;1584;111.0;415.0;19.0;203.0;4.0;189.0;4.0;83;69;2268;2199;111.0;2088;259;1828;46;25.0;21;1859;217.0;1643;164;18;69
51;Totaal mannen en vrouwen;53050;1974;2268;2201;1585;118.0;407.0;25.0;206.0;5.0;172.0;5.0;86;67;2268;2201;118.0;2083;270;1813;56;33.0;24;1843;219.0;1624;164;19;67
52;Totaal mannen en vrouwen;53050;1975;2287;2222;1593;125.0;408.0;32.0;210.0;5.0;161.0;6.0;90;65;2287;2222;125.0;2097;285;1812;68;42.0;26;1843;223.0;1620;166;20;65
53;Totaal mannen en vrouwen;53050;1976;2319;2257;1604;134.0;419.0;41.0;216.0;5.0;156.0;6.0;94;62;2319;2257;134.0;2122;302;1820;81;52.0;29;1852;229.0;1623;168;21;62
54;Totaal mannen en vrouwen;53050;1977;2347;2287;1610;143.0;430.0;52.0;220.0;5.0;153.0;7.0;97;60;2347;2287;143.0;2144;318;1826;95;63.0;31;1856;233.0;1623;171;22;60
55;Totaal mannen en vrouwen;53050;1978;2369;2312;1621;152.0;433.0;62.0;221.0;5.0;145.0;8.0;98;58;2369;2312;152.0;2160;329;1830;107;74.0;33;1854;233.0;1622;175;23;58
56;Totaal mannen en vrouwen;53050;1979;2401;2345;1643;160.0;434.0;73.0;219.0;5.0;137.0;8.0;99;56;2401;2345;160.0;2185;339;1845;120;85.0;36;1859;231.0;1629;181;24;56
57;Totaal mannen en vrouwen;53050;1980;2439;2385;1673;169.0;435.0;84.0;216.0;6.0;129.0;9.0;99;54;2439;2385;169.0;2216;347;1868;134;96.0;38;1869;227.0;1642;189;25;54
58;Totaal mannen en vrouwen;53050;1981;2472;2421;1698;179.0;436.0;98.0;210.0;6.0;122.0;10.0;98;52;2472;2421;179.0;2242;353;1889;147;107.0;39;1871;220.0;1652;198;26;52
59;Totaal mannen en vrouwen;53050;1982;2486;2437;1709;187.0;435.0;112.0;200.0;6.0;117.0;10.0;95;49;2486;2437;187.0;2249;355;1895;159;119.0;40;1856;209.0;1648;207;27;49
60;Totaal mannen en vrouwen;53050;1983;2492;2445;1716;195.0;432.0;126.0;187.0;7.0;112.0;11.0;91;47;2492;2445;195.0;2250;354;1896;171;130.0;41;1837;195.0;1641;214;29;47
61;Totaal mannen en vrouwen;53050;1984;2494;2450;1726;203.0;421.0;137.0;172.0;7.0;106.0;11.0;89;44;2494;2450;203.0;2247;349;1898;180;139.0;41;1818;180.0;1638;219;30;44
62;Totaal mannen en vrouwen;53050;1985;2502;2460;1741;211.0;409.0;145.0;157.0;7.0;99.0;12.0;87;42;2502;2460;211.0;2249;345;1904;189;147.0;42;1807;166.0;1641;222;32;42
63;Totaal mannen en vrouwen;53050;1986;2506;2467;1752;221.0;397.0;154.0;145.0;8.0;90.0;12.0;86;40;2506;2467;221.0;2246;341;1905;198;155.0;43;1793;153.0;1639;223;33;40
64;Totaal mannen en vrouwen;53050;1987;2496;2459;1748;231.0;386.0;162.0;133.0;9.0;82.0;11.0;83;37;2496;2459;231.0;2228;338;1890;206;163.0;43;1766;142.0;1624;222;33;37
65;Totaal mannen en vrouwen;53050;1988;2474;2438;1729;241.0;377.0;169.0;123.0;10.0;74.0;11.0;80;36;2474;2438;241.0;2197;337;1860;215;171.0;44;1730;133.0;1597;219;33;36
66;Totaal mannen en vrouwen;53050;1989;2428;2394;1687;252.0;370.0;177.0;113.0;11.0;69.0;10.0;75;34;2428;2394;252.0;2142;336;1806;223;179.0;44;1675;125.0;1550;212;33;34
67;Totaal mannen en vrouwen;53050;1990;2371;2339;1630;261.0;368.0;184.0;107.0;12.0;65.0;9.0;71;32;2371;2339;261.0;2079;335;1743;230;186.0;44;1613;117.0;1496;204;32;32
68;Totaal mannen en vrouwen;53050;1991;2315;2289;1575;269.0;370.0;194.0;101.0;13.0;62.0;9.0;66;25;2315;2289;269.0;2021;337;1684;239;195.0;44;1557;111.0;1446;194;31;25
69;Totaal mannen en vrouwen;53050;1992;2261;2242;1529;274.0;369.0;200.0;93.0;14.0;62.0;8.0;62;19;2261;2242;274.0;1968;332;1636;247;202.0;45;1502;100.0;1402;189;30;19
70;Totaal mannen en vrouwen;53050;1993;2202;2184;1485;274.0;358.0;202.0;84.0;14.0;59.0;8.0;58;18;2202;2184;274.0;1910;324;1586;249;203.0;46;1445;93.0;1352;188;29;18
71;Totaal mannen en vrouwen;53050;1994;2145;2128;1451;273.0;340.0;198.0;75.0;14.0;52.0;9.0;55;17;2145;2128;273.0;1854;310;1544;246;199.0;47;1392;84.0;1308;188;28;17
72;Totaal mannen en vrouwen;53500;1971;1753;1739;180;92.0;1412.0;9.0;239.0;5.0;1158.0;14.0;41;13;1753;1739;92.0;1647;268;1380;17;10.0;7;1556;246.0;1309;63;12;13
73;Totaal mannen en vrouwen;53500;1972;1866;1852;190;102.0;1502.0;9.0;276.0;7.0;1210.0;15.0;43;14;1866;1852;102.0;1750;306;1443;20;11.0;9;1652;284.0;1368;67;12;14
74;Totaal mannen en vrouwen;53500;1973;1961;1946;198;112.0;1577.0;9.0;309.0;9.0;1251.0;16.0;44;14;1961;1946;112.0;1835;342;1493;23;12.0;11;1731;319.0;1412;69;12;14
75;Totaal mannen en vrouwen;53500;1974;2033;2018;202;121.0;1633.0;10.0;335.0;10.0;1277.0;17.0;44;15;2033;2018;121.0;1897;371;1526;26;13.0;13;1788;346.0;1442;70;12;15
76;Totaal mannen en vrouwen;53500;1975;2096;2080;206;131.0;1681.0;14.0;354.0;12.0;1302.0;19.0;44;15;2096;2080;131.0;1950;393;1556;30;16.0;15;1836;366.0;1470;71;12;15
77;Totaal mannen en vrouwen;53500;1976;2155;2140;208;141.0;1726.0;20.0;363.0;12.0;1331.0;20.0;44;16;2155;2140;141.0;1999;408;1591;36;20.0;16;1878;375.0;1503;72;12;16
78;Totaal mannen en vrouwen;53500;1977;2210;2194;209;153.0;1765.0;25.0;370.0;13.0;1356.0;22.0;44;16;2210;2194;153.0;2040;421;1619;44;27.0;17;1911;382.0;1529;73;12;16
79;Totaal mannen en vrouwen;53500;1978;2263;2246;212;168.0;1798.0;34.0;382.0;15.0;1367.0;25.0;43;16;2263;2246;168.0;2078;441;1637;54;36.0;18;1937;394.0;1543;75;12;16
80;Totaal mannen en vrouwen;53500;1979;2301;2284;214;185.0;1815.0;43.0;396.0;16.0;1360.0;28.0;42;16;2301;2284;185.0;2099;464;1634;65;45.0;20;1944;407.0;1537;78;12;16
81;Totaal mannen en vrouwen;53500;1980;2335;2318;217;206.0;1824.0;54.0;410.0;18.0;1342.0;32.0;40;16;2335;2318;206.0;2113;489;1623;78;57.0;21;1941;420.0;1521;81;12;16
82;Totaal mannen en vrouwen;53500;1981;2381;2365;222;230.0;1839.0;68.0;424.0;19.0;1327.0;36.0;38;16;2381;2365;230.0;2135;518;1617;94;71.0;23;1942;434.0;1508;86;13;16
83;Totaal mannen en vrouwen;53500;1982;2351;2336;221;253.0;1786.0;81.0;421.0;20.0;1263.0;41.0;35;15;2351;2336;253.0;2083;528;1555;110;86.0;24;1872;429.0;1442;89;13;15
84;Totaal mannen en vrouwen;53500;1983;2332;2318;223;278.0;1739.0;97.0;415.0;21.0;1205.0;45.0;33;15;2332;2318;278.0;2040;538;1501;127;102.0;25;1806;422.0;1384;93;13;15
85;Totaal mannen en vrouwen;53500;1984;2332;2318;228;305.0;1705.0;117.0;407.0;22.0;1159.0;49.0;32;14;2332;2318;305.0;2013;550;1463;148;122.0;26;1755;414.0;1340;97;14;14
86;Totaal mannen en vrouwen;53500;1985;2348;2334;234;331.0;1686.0;138.0;403.0;24.0;1121.0;52.0;31;13;2348;2334;331.0;2003;567;1436;171;143.0;28;1716;410.0;1307;101;15;13
87;Totaal mannen en vrouwen;53500;1986;2371;2358;239;354.0;1681.0;161.0;405.0;28.0;1086.0;54.0;31;13;2371;2358;354.0;2004;591;1413;196;165.0;31;1688;411.0;1277;105;15;13
88;Totaal mannen en vrouwen;53500;1987;2404;2391;244;375.0;1687.0;185.0;413.0;32.0;1056.0;55.0;30;13;2404;2391;375.0;2016;621;1395;223;187.0;35;1668;418.0;1251;109;16;13
89;Totaal mannen en vrouwen;53500;1988;2437;2423;249;393.0;1697.0;210.0;421.0;37.0;1029.0;55.0;30;13;2437;2423;393.0;2030;651;1379;251;211.0;40;1651;424.0;1227;112;16;13
90;Totaal mannen en vrouwen;53500;1989;2471;2457;253;408.0;1713.0;236.0;425.0;43.0;1009.0;54.0;29;14;2471;2457;408.0;2049;680;1369;282;236.0;46;1637;428.0;1209;114;16;14
91;Totaal mannen en vrouwen;53500;1990;2502;2488;255;422.0;1729.0;259.0;431.0;47.0;991.0;55.0;28;14;2502;2488;422.0;2067;711;1356;310;260.0;50;1623;435.0;1189;117;16;14
92;Totaal mannen en vrouwen;53500;1991;2538;2524;257;433.0;1751.0;288.0;430.0;52.0;981.0;56.0;28;14;2538;2524;433.0;2091;740;1351;344;289.0;55;1614;435.0;1178;117;16;14
93;Totaal mannen en vrouwen;53500;1992;2564;2549;256;445.0;1764.0;309.0;429.0;58.0;967.0;56.0;27;15;2564;2549;445.0;2104;760;1344;373;311.0;62;1599;433.0;1166;116;16;15
94;Totaal mannen en vrouwen;53500;1993;2585;2570;256;458.0;1773.0;335.0;432.0;66.0;940.0;56.0;27;15;2585;2570;458.0;2112;788;1324;406;336.0;70;1575;436.0;1139;115;16;15
95;Totaal mannen en vrouwen;53500;1994;2602;2586;256;471.0;1774.0;366.0;415.0;74.0;919.0;58.0;27;15;2602;2586;471.0;2115;803;1312;446;367.0;79;1537;420.0;1117;117;16;15
96;Totaal mannen en vrouwen;53700;1971;1533;1520;63;56.0;1345.0;9.0;111.0;6.0;1219.0;25.0;31;13;1533;1520;56.0;1464;138;1326;16;9.0;7;1376;115.0;1261;58;14;13
97;Totaal mannen en vrouwen;53700;1972;1544;1531;61;60.0;1355.0;8.0;112.0;7.0;1228.0;25.0;30;13;1544;1531;60.0;1471;138;1333;16;9.0;8;1383;116.0;1267;59;13;13
98;Totaal mannen en vrouwen;53700;1973;1552;1540;60;64.0;1362.0;8.0;112.0;8.0;1235.0;25.0;30;12;1552;1540;64.0;1476;137;1339;16;8.0;8;1387;116.0;1271;60;13;12
99;Totaal mannen en vrouwen;53700;1974;1565;1553;58;68.0;1373.0;7.0;112.0;8.0;1245.0;25.0;29;12;1565;1553;68.0;1485;137;1348;17;8.0;8;1395;116.0;1279;61;12;12
100;Totaal mannen en vrouwen;53700;1975;1582;1570;56;72.0;1387.0;7.0;113.0;9.0;1258.0;27.0;28;12;1582;1570;72.0;1498;137;1362;17;8.0;9;1408;117.0;1291;62;11;12
101;Totaal mannen en vrouwen;53700;1976;1603;1591;55;76.0;1403.0;8.0;113.0;9.0;1274.0;30.0;27;12;1603;1591;76.0;1515;137;1378;18;9.0;9;1423;117.0;1306;63;11;12
102;Totaal mannen en vrouwen;53700;1977;1616;1604;53;80.0;1412.0;8.0;113.0;9.0;1282.0;33.0;26;12;1616;1604;80.0;1525;137;1388;19;9.0;10;1431;117.0;1314;65;10;12
103;Totaal mannen en vrouwen;53700;1978;1635;1623;52;85.0;1424.0;8.0;113.0;9.0;1293.0;37.0;25;11;1635;1623;85.0;1538;137;1401;20;10.0;10;1442;118.0;1325;67;10;11
104;Totaal mannen en vrouwen;53700;1979;1674;1663;51;93.0;1454.0;9.0;115.0;10.0;1319.0;40.0;25;11;1674;1663;93.0;1570;139;1431;21;10.0;11;1470;119.0;1351;70;10;11
105;Totaal mannen en vrouwen;53700;1980;1721;1710;51;102.0;1489.0;10.0;118.0;11.0;1350.0;44.0;24;11;1721;1710;102.0;1608;142;1466;23;11.0;12;1502;121.0;1381;73;9;11
106;Totaal mannen en vrouwen;53700;1981;1758;1748;50;112.0;1513.0;12.0;120.0;12.0;1370.0;49.0;24;10;1758;1748;112.0;1636;145;1491;25;13.0;13;1524;123.0;1401;77;9;10
107;Totaal mannen en vrouwen;53700;1982;1864;1854;52;127.0;1595.0;14.0;127.0;13.0;1442.0;56.0;24;10;1864;1854;127.0;1727;155;1572;29;15.0;14;1603;130.0;1473;85;10;10
108;Totaal mannen en vrouwen;53700;1983;1956;1947;54;143.0;1663.0;17.0;134.0;15.0;1497.0;64.0;24;9;1956;1947;143.0;1804;165;1639;34;18.0;16;1667;137.0;1530;93;10;9
109;Totaal mannen en vrouwen;53700;1984;2028;2019;55;158.0;1712.0;22.0;142.0;17.0;1531.0;71.0;24;9;2028;2019;158.0;1861;178;1684;40;22.0;18;1711;145.0;1565;100;10;9
110;Totaal mannen en vrouwen;53700;1985;2089;2080;56;173.0;1750.0;27.0;150.0;20.0;1554.0;78.0;23;9;2089;2080;173.0;1908;191;1717;48;27.0;21;1742;154.0;1589;107;10;9
111;Totaal mannen en vrouwen;53700;1986;2141;2132;56;186.0;1784.0;32.0;158.0;24.0;1570.0;84.0;23;8;2141;2132;186.0;1947;204;1742;58;33.0;25;1766;161.0;1605;113;10;8
112;Totaal mannen en vrouwen;53700;1987;2197;2188;57;198.0;1823.0;39.0;166.0;29.0;1589.0;88.0;22;8;2197;2188;198.0;1990;219;1771;69;39.0;30;1793;170.0;1623;118;10;8
113;Totaal mannen en vrouwen;53700;1988;2252;2243;57;209.0;1863.0;46.0;175.0;34.0;1607.0;92.0;22;9;2252;2243;209.0;2034;234;1799;82;46.0;35;1819;178.0;1641;123;10;9
114;Totaal mannen en vrouwen;53700;1989;2291;2282;58;218.0;1891.0;53.0;184.0;41.0;1614.0;94.0;20;9;2291;2282;218.0;2064;250;1815;95;54.0;41;1832;186.0;1646;127;9;9
115;Totaal mannen en vrouwen;53700;1990;2322;2312;58;226.0;1913.0;61.0;191.0;46.0;1615.0;96.0;19;10;2322;2312;226.0;2087;264;1823;108;61.0;46;1840;194.0;1647;130;9;10
116;Totaal mannen en vrouwen;53700;1991;2368;2356;59;235.0;1946.0;69.0;201.0;51.0;1625.0;99.0;18;12;2368;2356;235.0;2121;281;1840;121;70.0;52;1858;203.0;1655;133;9;12
117;Totaal mannen en vrouwen;53700;1992;2347;2333;58;240.0;1921.0;76.0;202.0;56.0;1587.0;99.0;16;14;2347;2333;240.0;2093;289;1805;133;76.0;57;1821;205.0;1616;132;8;14
118;Totaal mannen en vrouwen;53700;1993;2338;2323;57;246.0;1906.0;83.0;201.0;62.0;1559.0;99.0;15;15;2338;2323;246.0;2076;295;1782;147;84.0;63;1791;204.0;1587;131;7;15
119;Totaal mannen en vrouwen;53700;1994;2346;2331;56;254.0;1906.0;92.0;201.0;70.0;1543.0;100.0;14;16;2346;2331;254.0;2077;303;1774;164;93.0;71;1774;203.0;1570;132;7;16
120;Totaal mannen en vrouwen;53800;1971;1413;1396;29;58.0;1226.0;13.0;228.0;7.0;977.0;44.0;38;17;1413;1396;58.0;1338;269;1068;21;14.0;7;1227;234.0;994;67;22;17
121;Totaal mannen en vrouwen;53800;1972;1427;1411;29;63.0;1236.0;13.0;224.0;9.0;990.0;46.0;37;16;1427;1411;63.0;1348;265;1084;24;14.0;10;1234;230.0;1004;70;21;16
122;Totaal mannen en vrouwen;53800;1973;1443;1427;29;67.0;1247.0;13.0;220.0;11.0;1002.0;47.0;36;16;1443;1427;67.0;1360;261;1099;26;14.0;12;1241;227.0;1014;73;19;16
123;Totaal mannen en vrouwen;53800;1974;1465;1450;29;71.0;1265.0;13.0;220.0;13.0;1019.0;48.0;35;16;1465;1450;71.0;1378;259;1120;28;15.0;14;1256;226.0;1030;76;18;16
124;Totaal mannen en vrouwen;53800;1975;1485;1470;29;75.0;1282.0;13.0;221.0;14.0;1033.0;49.0;34;15;1485;1470;75.0;1395;259;1135;30;15.0;15;1271;227.0;1043;77;17;15
125;Totaal mannen en vrouwen;53800;1976;1491;1476;29;78.0;1287.0;13.0;225.0;15.0;1035.0;49.0;33;15;1491;1476;78.0;1398;261;1138;30;15.0;15;1276;230.0;1046;76;16;15
126;Totaal mannen en vrouwen;53800;1977;1491;1477;28;80.0;1288.0;13.0;227.0;15.0;1032.0;50.0;31;14;1491;1477;80.0;1396;261;1135;30;15.0;15;1276;232.0;1045;75;15;14
127;Totaal mannen en vrouwen;53800;1978;1496;1482;27;84.0;1291.0;13.0;228.0;15.0;1035.0;50.0;30;14;1496;1482;84.0;1399;260;1139;31;15.0;16;1279;231.0;1048;75;14;14
128;Totaal mannen en vrouwen;53800;1979;1492;1479;27;87.0;1285.0;13.0;225.0;16.0;1031.0;51.0;29;14;1492;1479;87.0;1392;256;1136;32;15.0;17;1272;227.0;1044;76;13;14
