ID;Arbeidspositie;ArbeidspositieVoorgaandePeriode;Persoonskenmerken;Perioden;BeroepsEnNietBeroepsbevolking_1
0;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2013 1e kwartaal;3458.0
1;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2013 2e kwartaal;3468.0
2;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2013 3e kwartaal;3462.0
3;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2013 4e kwartaal;3451.0
4;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2014 1e kwartaal;3470.0
5;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2014 2e kwartaal;3527.0
6;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2014 3e kwartaal;3534.0
7;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2014 4e kwartaal;3523.0
8;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2015 1e kwartaal;3498.0
9;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2015 2e kwartaal;3508.0
10;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2015 3e kwartaal;3504.0
11;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2015 4e kwartaal;3511.0
12;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2016 1e kwartaal;3544.0
13;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2016 2e kwartaal;3586.0
14;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2016 3e kwartaal;3567.0
15;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2016 4e kwartaal;3574.0
16;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2017 1e kwartaal;3600.0
17;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2017 2e kwartaal;3611.0
18;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2017 3e kwartaal;3603.0
19;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2017 4e kwartaal;3580.0
20;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2018 1e kwartaal;3604.0
21;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2018 2e kwartaal;3607.0
22;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2018 3e kwartaal;3568.0
23;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2018 4e kwartaal;3517.0
24;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2019 1e kwartaal;3519.0
25;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2019 2e kwartaal;3522.0
26;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2019 3e kwartaal;3509.0
27;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2019 4e kwartaal;3488.0
28;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2020 1e kwartaal;3482.0
29;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2020 2e kwartaal;3503.0
30;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2020 3e kwartaal;3589.0
31;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2020 4e kwartaal;3505.0
32;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2021 1e kwartaal;
33;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2021 2e kwartaal;3540.0
34;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2021 3e kwartaal;3506.0
35;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2021 4e kwartaal;3473.0
36;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2022 1e kwartaal;3442.0
37;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2022 2e kwartaal;3444.0
38;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2022 3e kwartaal;3359.0
39;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2022 4e kwartaal;3352.0
40;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2023 1e kwartaal;3294.0
41;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2023 2e kwartaal;3271.0
42;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2023 3e kwartaal;3238.0
43;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2023 4e kwartaal;3250.0
44;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2024 1e kwartaal;3230.0
45;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2024 2e kwartaal;3224.0
46;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2024 3e kwartaal;3192.0
47;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Totaal personen;2024 4e kwartaal;3249.0
48;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2013 1e kwartaal;1409.0
49;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2013 2e kwartaal;1434.0
50;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2013 3e kwartaal;1423.0
51;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2013 4e kwartaal;1423.0
52;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2014 1e kwartaal;1403.0
53;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2014 2e kwartaal;1439.0
54;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2014 3e kwartaal;1435.0
55;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2014 4e kwartaal;1438.0
56;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2015 1e kwartaal;1443.0
57;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2015 2e kwartaal;1454.0
58;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2015 3e kwartaal;1439.0
59;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2015 4e kwartaal;1438.0
60;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2016 1e kwartaal;1473.0
61;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2016 2e kwartaal;1492.0
62;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2016 3e kwartaal;1486.0
63;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2016 4e kwartaal;1492.0
64;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2017 1e kwartaal;1516.0
65;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2017 2e kwartaal;1525.0
66;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2017 3e kwartaal;1507.0
67;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2017 4e kwartaal;1488.0
68;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2018 1e kwartaal;1498.0
69;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2018 2e kwartaal;1511.0
70;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2018 3e kwartaal;1492.0
71;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2018 4e kwartaal;1459.0
72;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2019 1e kwartaal;1470.0
73;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2019 2e kwartaal;1469.0
74;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2019 3e kwartaal;1476.0
75;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2019 4e kwartaal;1448.0
76;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2020 1e kwartaal;1439.0
77;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2020 2e kwartaal;1482.0
78;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2020 3e kwartaal;1530.0
79;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2020 4e kwartaal;1508.0
80;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2021 1e kwartaal;
81;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2021 2e kwartaal;1491.0
82;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2021 3e kwartaal;1509.0
83;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2021 4e kwartaal;1480.0
84;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2022 1e kwartaal;1455.0
85;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2022 2e kwartaal;1457.0
86;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2022 3e kwartaal;1422.0
87;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2022 4e kwartaal;1386.0
88;Beroeps- en niet beroepsbevolking;Niet-beroepsbevolking;Geslacht: Mannen;2023 1e kwartaal;1400.0
