ID;SectorsAssets;CounterpartSectorsLiabilities;BalanceSheetsAndTransactions;Periods;SavingsTransferableAndOtherDeposits_1;ShortTermSecurities_2;LongTermSecurities_3;ShortTermLoans_4;LongTermLoans_5;HomeMortgages_6;ListedShares_7;InvestmentFundSharesOrUnits_8
0;Total domestic sectors;Total domestic sectors;Opening balance sheet;1999 1st quarter;302528.0;;;125186.0;778433.0;;;
1;Total domestic sectors;Total domestic sectors;Opening balance sheet;1999 2nd quarter;309626.0;;;131674.0;789070.0;;;
2;Total domestic sectors;Total domestic sectors;Opening balance sheet;1999 3rd quarter;321659.0;;;133712.0;801232.0;;;
3;Total domestic sectors;Total domestic sectors;Opening balance sheet;1999 4th quarter;321585.0;;;137744.0;815893.0;;;
4;Total domestic sectors;Total domestic sectors;Opening balance sheet;1999;302528.0;;;125186.0;778433.0;;;
5;Total domestic sectors;Total domestic sectors;Opening balance sheet;2000 1st quarter;327383.0;;;138250.0;831990.0;;;
6;Total domestic sectors;Total domestic sectors;Opening balance sheet;2000 2nd quarter;347773.0;;;147430.0;836494.0;;;
7;Total domestic sectors;Total domestic sectors;Opening balance sheet;2000 3rd quarter;337833.0;;;152825.0;843876.0;;;
8;Total domestic sectors;Total domestic sectors;Opening balance sheet;2000 4th quarter;360873.0;;;158810.0;853193.0;;;
9;Total domestic sectors;Total domestic sectors;Opening balance sheet;2000;327383.0;;;138250.0;831990.0;;;
10;Total domestic sectors;Total domestic sectors;Opening balance sheet;2001 1st quarter;357346.0;;;159878.0;859084.0;;;
11;Total domestic sectors;Total domestic sectors;Opening balance sheet;2001 2nd quarter;377942.0;;;152314.0;867199.0;;;
12;Total domestic sectors;Total domestic sectors;Opening balance sheet;2001 3rd quarter;377729.0;;;151952.0;880160.0;;;
13;Total domestic sectors;Total domestic sectors;Opening balance sheet;2001 4th quarter;386924.0;;;156243.0;890449.0;;;
14;Total domestic sectors;Total domestic sectors;Opening balance sheet;2001;357346.0;;;159878.0;859084.0;;;
15;Total domestic sectors;Total domestic sectors;Opening balance sheet;2002 1st quarter;405324.0;;;154708.0;902482.0;;;
16;Total domestic sectors;Total domestic sectors;Opening balance sheet;2002 2nd quarter;417529.0;;;159866.0;908482.0;;;
17;Total domestic sectors;Total domestic sectors;Opening balance sheet;2002 3rd quarter;423412.0;;;156373.0;913294.0;;;
18;Total domestic sectors;Total domestic sectors;Opening balance sheet;2002 4th quarter;429402.0;;;167526.0;924294.0;;;
19;Total domestic sectors;Total domestic sectors;Opening balance sheet;2002;405324.0;;;154708.0;902482.0;;;
