ID;Geslacht;Leeftijd;Migratieachtergrond;Perioden;Instromers_1;HerinstromersBinnenEenJaar_2;Uitstromers_3
0;Totaal mannen en vrouwen;Totaal;Totaal;2008 1e kwartaal;24540.0;6850.0;26060.0
1;Totaal mannen en vrouwen;Totaal;Totaal;2008 2e kwartaal;20900.0;5910.0;24220.0
2;Totaal mannen en vrouwen;Totaal;Totaal;2008 3e kwartaal;21190.0;6230.0;26050.0
3;Totaal mannen en vrouwen;Totaal;Totaal;2008 4e kwartaal;22450.0;6290.0;22170.0
4;Totaal mannen en vrouwen;Totaal;Totaal;2009 1e kwartaal;28800.0;6630.0;20550.0
5;Totaal mannen en vrouwen;Totaal;Totaal;2009 2e kwartaal;28820.0;6150.0;20140.0
6;Totaal mannen en vrouwen;Totaal;Totaal;2009 3e kwartaal;29420.0;6100.0;22640.0
7;Totaal mannen en vrouwen;Totaal;Totaal;2009 4e kwartaal;30570.0;6160.0;20930.0
8;Totaal mannen en vrouwen;Totaal;Totaal;2010 1e kwartaal;38410.0;6590.0;22450.0
9;Totaal mannen en vrouwen;Totaal;Totaal;2010 2e kwartaal;31000.0;6170.0;25960.0
10;Totaal mannen en vrouwen;Totaal;Totaal;2010 3e kwartaal;31300.0;7290.0;28230.0
11;Totaal mannen en vrouwen;Totaal;Totaal;2010 4e kwartaal;32480.0;7580.0;24600.0
12;Totaal mannen en vrouwen;Totaal;Totaal;2011 1e kwartaal;36970.0;8220.0;26790.0
13;Totaal mannen en vrouwen;Totaal;Totaal;2011 2e kwartaal;28630.0;6910.0;26290.0
14;Totaal mannen en vrouwen;Totaal;Totaal;2011 3e kwartaal;29050.0;7720.0;29330.0
15;Totaal mannen en vrouwen;Totaal;Totaal;2011 4e kwartaal;30680.0;8250.0;24470.0
16;Totaal mannen en vrouwen;Totaal;Totaal;2012 1e kwartaal;32300.0;9830.0;28850.0
17;Totaal mannen en vrouwen;Totaal;Totaal;2012 2e kwartaal;29600.0;9260.0;25800.0
18;Totaal mannen en vrouwen;Totaal;Totaal;2012 3e kwartaal;32430.0;10140.0;29240.0
19;Totaal mannen en vrouwen;Totaal;Totaal;2012 4e kwartaal;36070.0;10880.0;25720.0
20;Totaal mannen en vrouwen;Totaal;Totaal;2013 1e kwartaal;41610.0;11080.0;25690.0
21;Totaal mannen en vrouwen;Totaal;Totaal;2013 2e kwartaal;36260.0;10110.0;27610.0
22;Totaal mannen en vrouwen;Totaal;Totaal;2013 3e kwartaal;38540.0;11770.0;35740.0
23;Totaal mannen en vrouwen;Totaal;Totaal;2013 4e kwartaal;39810.0;11790.0;28090.0
24;Totaal mannen en vrouwen;Totaal;Totaal;2014 1e kwartaal;42690.0;11770.0;29220.0
