ID;Zorgfuncties;Zorgaanbieders;Perioden;UitgavenAanGezondheidszorgIngezetenen_1
0;Totaal gezondheidsuitgaven ingezetenen;Totaal aanbieders gezondheidszorg;1998;30737
1;Totaal gezondheidsuitgaven ingezetenen;Totaal aanbieders gezondheidszorg;1999;32822
2;Totaal gezondheidsuitgaven ingezetenen;Totaal aanbieders gezondheidszorg;2000;34836
3;Totaal gezondheidsuitgaven ingezetenen;Totaal aanbieders gezondheidszorg;2001;38837
4;Totaal gezondheidsuitgaven ingezetenen;Totaal aanbieders gezondheidszorg;2002;43344
5;Totaal gezondheidsuitgaven ingezetenen;Totaal aanbieders gezondheidszorg;2003;46443
6;Totaal gezondheidsuitgaven ingezetenen;Totaal aanbieders gezondheidszorg;2004;48222
7;Totaal gezondheidsuitgaven ingezetenen;Totaal aanbieders gezondheidszorg;2005;50112
8;Totaal gezondheidsuitgaven ingezetenen;Totaal aanbieders gezondheidszorg;2006;53080
9;Totaal gezondheidsuitgaven ingezetenen;Totaal aanbieders gezondheidszorg;2007;56053
10;Totaal gezondheidsuitgaven ingezetenen;Totaal aanbieders gezondheidszorg;2008;60038
11;Totaal gezondheidsuitgaven ingezetenen;Totaal aanbieders gezondheidszorg;2009;62440
12;Totaal gezondheidsuitgaven ingezetenen;Totaal aanbieders gezondheidszorg;2010;64910
13;Totaal gezondheidsuitgaven ingezetenen;Totaal aanbieders gezondheidszorg;2011;66555
14;Totaal gezondheidsuitgaven ingezetenen;Totaal aanbieders gezondheidszorg;2012;68816
15;Totaal gezondheidsuitgaven ingezetenen;Totaal aanbieders gezondheidszorg;2013;69901
16;Totaal gezondheidsuitgaven ingezetenen;Totaal aanbieders gezondheidszorg;2014;70964
17;Totaal gezondheidsuitgaven ingezetenen;Totaal aanbieders gezondheidszorg;2015;71236
18;Totaal gezondheidsuitgaven ingezetenen;Totaal aanbieders gezondheidszorg;2016;72918
19;Totaal gezondheidsuitgaven ingezetenen;Totaal aanbieders gezondheidszorg;2017;74614
20;Totaal gezondheidsuitgaven ingezetenen;Totaal aanbieders gezondheidszorg;2018;77553
21;Totaal gezondheidsuitgaven ingezetenen;Totaal aanbieders gezondheidszorg;2019;82447
22;Totaal gezondheidsuitgaven ingezetenen;Totaal aanbieders gezondheidszorg;2020;89402
23;Totaal gezondheidsuitgaven ingezetenen;Totaal aanbieders gezondheidszorg;2021;96852
24;Totaal gezondheidsuitgaven ingezetenen;Totaal aanbieders gezondheidszorg;2022;96820
25;Totaal gezondheidsuitgaven ingezetenen;HP1: Ziekenhuizen;1998;9170
26;Totaal gezondheidsuitgaven ingezetenen;HP1: Ziekenhuizen;1999;9665
27;Totaal gezondheidsuitgaven ingezetenen;HP1: Ziekenhuizen;2000;10229
28;Totaal gezondheidsuitgaven ingezetenen;HP1: Ziekenhuizen;2001;11630
29;Totaal gezondheidsuitgaven ingezetenen;HP1: Ziekenhuizen;2002;13051
30;Totaal gezondheidsuitgaven ingezetenen;HP1: Ziekenhuizen;2003;13981
31;Totaal gezondheidsuitgaven ingezetenen;HP1: Ziekenhuizen;2004;14784
32;Totaal gezondheidsuitgaven ingezetenen;HP1: Ziekenhuizen;2005;15412
33;Totaal gezondheidsuitgaven ingezetenen;HP1: Ziekenhuizen;2006;16208
34;Totaal gezondheidsuitgaven ingezetenen;HP1: Ziekenhuizen;2007;17207
35;Totaal gezondheidsuitgaven ingezetenen;HP1: Ziekenhuizen;2008;18679
36;Totaal gezondheidsuitgaven ingezetenen;HP1: Ziekenhuizen;2009;19721
37;Totaal gezondheidsuitgaven ingezetenen;HP1: Ziekenhuizen;2010;21216
38;Totaal gezondheidsuitgaven ingezetenen;HP1: Ziekenhuizen;2011;21040
39;Totaal gezondheidsuitgaven ingezetenen;HP1: Ziekenhuizen;2012;21843
40;Totaal gezondheidsuitgaven ingezetenen;HP1: Ziekenhuizen;2013;22603
41;Totaal gezondheidsuitgaven ingezetenen;HP1: Ziekenhuizen;2014;22805
42;Totaal gezondheidsuitgaven ingezetenen;HP1: Ziekenhuizen;2015;24064
43;Totaal gezondheidsuitgaven ingezetenen;HP1: Ziekenhuizen;2016;24745
44;Totaal gezondheidsuitgaven ingezetenen;HP1: Ziekenhuizen;2017;25148
45;Totaal gezondheidsuitgaven ingezetenen;HP1: Ziekenhuizen;2018;26262
46;Totaal gezondheidsuitgaven ingezetenen;HP1: Ziekenhuizen;2019;27674
47;Totaal gezondheidsuitgaven ingezetenen;HP1: Ziekenhuizen;2020;29728
48;Totaal gezondheidsuitgaven ingezetenen;HP1: Ziekenhuizen;2021;30470
49;Totaal gezondheidsuitgaven ingezetenen;HP1: Ziekenhuizen;2022;31664
50;Totaal gezondheidsuitgaven ingezetenen;HP11:Algemene en academ. Ziekenhuizen;1998;7146
51;Totaal gezondheidsuitgaven ingezetenen;HP11:Algemene en academ. Ziekenhuizen;1999;7500
52;Totaal gezondheidsuitgaven ingezetenen;HP11:Algemene en academ. Ziekenhuizen;2000;7968
53;Totaal gezondheidsuitgaven ingezetenen;HP11:Algemene en academ. Ziekenhuizen;2001;9120
54;Totaal gezondheidsuitgaven ingezetenen;HP11:Algemene en academ. Ziekenhuizen;2002;10258
55;Totaal gezondheidsuitgaven ingezetenen;HP11:Algemene en academ. Ziekenhuizen;2003;10876
56;Totaal gezondheidsuitgaven ingezetenen;HP11:Algemene en academ. Ziekenhuizen;2004;11475
57;Totaal gezondheidsuitgaven ingezetenen;HP11:Algemene en academ. Ziekenhuizen;2005;11899
58;Totaal gezondheidsuitgaven ingezetenen;HP11:Algemene en academ. Ziekenhuizen;2006;12571
59;Totaal gezondheidsuitgaven ingezetenen;HP11:Algemene en academ. Ziekenhuizen;2007;13248
60;Totaal gezondheidsuitgaven ingezetenen;HP11:Algemene en academ. Ziekenhuizen;2008;14130
61;Totaal gezondheidsuitgaven ingezetenen;HP11:Algemene en academ. Ziekenhuizen;2009;15201
62;Totaal gezondheidsuitgaven ingezetenen;HP11:Algemene en academ. Ziekenhuizen;2010;16595
63;Totaal gezondheidsuitgaven ingezetenen;HP11:Algemene en academ. Ziekenhuizen;2011;16198
64;Totaal gezondheidsuitgaven ingezetenen;HP11:Algemene en academ. Ziekenhuizen;2012;16851
65;Totaal gezondheidsuitgaven ingezetenen;HP11:Algemene en academ. Ziekenhuizen;2013;17733
66;Totaal gezondheidsuitgaven ingezetenen;HP11:Algemene en academ. Ziekenhuizen;2014;17933
67;Totaal gezondheidsuitgaven ingezetenen;HP11:Algemene en academ. Ziekenhuizen;2015;19416
68;Totaal gezondheidsuitgaven ingezetenen;HP11:Algemene en academ. Ziekenhuizen;2016;19865
69;Totaal gezondheidsuitgaven ingezetenen;HP11:Algemene en academ. Ziekenhuizen;2017;20188
70;Totaal gezondheidsuitgaven ingezetenen;HP11:Algemene en academ. Ziekenhuizen;2018;20994
71;Totaal gezondheidsuitgaven ingezetenen;HP11:Algemene en academ. Ziekenhuizen;2019;22004
72;Totaal gezondheidsuitgaven ingezetenen;HP11:Algemene en academ. Ziekenhuizen;2020;23692
73;Totaal gezondheidsuitgaven ingezetenen;HP11:Algemene en academ. Ziekenhuizen;2021;24230
74;Totaal gezondheidsuitgaven ingezetenen;HP11:Algemene en academ. Ziekenhuizen;2022;25173
75;Totaal gezondheidsuitgaven ingezetenen;HP12: Geestelijke gez., verslavingszorg;1998;1703
76;Totaal gezondheidsuitgaven ingezetenen;HP12: Geestelijke gez., verslavingszorg;1999;1836
77;Totaal gezondheidsuitgaven ingezetenen;HP12: Geestelijke gez., verslavingszorg;2000;1913
78;Totaal gezondheidsuitgaven ingezetenen;HP12: Geestelijke gez., verslavingszorg;2001;2110
79;Totaal gezondheidsuitgaven ingezetenen;HP12: Geestelijke gez., verslavingszorg;2002;2339
80;Totaal gezondheidsuitgaven ingezetenen;HP12: Geestelijke gez., verslavingszorg;2003;2584
81;Totaal gezondheidsuitgaven ingezetenen;HP12: Geestelijke gez., verslavingszorg;2004;2779
82;Totaal gezondheidsuitgaven ingezetenen;HP12: Geestelijke gez., verslavingszorg;2005;2960
83;Totaal gezondheidsuitgaven ingezetenen;HP12: Geestelijke gez., verslavingszorg;2006;3069
84;Totaal gezondheidsuitgaven ingezetenen;HP12: Geestelijke gez., verslavingszorg;2007;3304
85;Totaal gezondheidsuitgaven ingezetenen;HP12: Geestelijke gez., verslavingszorg;2008;3839
86;Totaal gezondheidsuitgaven ingezetenen;HP12: Geestelijke gez., verslavingszorg;2009;3768
87;Totaal gezondheidsuitgaven ingezetenen;HP12: Geestelijke gez., verslavingszorg;2010;3785
88;Totaal gezondheidsuitgaven ingezetenen;HP12: Geestelijke gez., verslavingszorg;2011;3940
89;Totaal gezondheidsuitgaven ingezetenen;HP12: Geestelijke gez., verslavingszorg;2012;4103
90;Totaal gezondheidsuitgaven ingezetenen;HP12: Geestelijke gez., verslavingszorg;2013;3920
91;Totaal gezondheidsuitgaven ingezetenen;HP12: Geestelijke gez., verslavingszorg;2014;3903
92;Totaal gezondheidsuitgaven ingezetenen;HP12: Geestelijke gez., verslavingszorg;2015;3648
93;Totaal gezondheidsuitgaven ingezetenen;HP12: Geestelijke gez., verslavingszorg;2016;3843
94;Totaal gezondheidsuitgaven ingezetenen;HP12: Geestelijke gez., verslavingszorg;2017;3909
95;Totaal gezondheidsuitgaven ingezetenen;HP12: Geestelijke gez., verslavingszorg;2018;4079
96;Totaal gezondheidsuitgaven ingezetenen;HP12: Geestelijke gez., verslavingszorg;2019;4405
97;Totaal gezondheidsuitgaven ingezetenen;HP12: Geestelijke gez., verslavingszorg;2020;4715
98;Totaal gezondheidsuitgaven ingezetenen;HP12: Geestelijke gez., verslavingszorg;2021;4866
99;Totaal gezondheidsuitgaven ingezetenen;HP12: Geestelijke gez., verslavingszorg;2022;5098
100;Totaal gezondheidsuitgaven ingezetenen;HP13: Categorale ziekenhuizen;1998;320
101;Totaal gezondheidsuitgaven ingezetenen;HP13: Categorale ziekenhuizen;1999;329
102;Totaal gezondheidsuitgaven ingezetenen;HP13: Categorale ziekenhuizen;2000;348
103;Totaal gezondheidsuitgaven ingezetenen;HP13: Categorale ziekenhuizen;2001;400
104;Totaal gezondheidsuitgaven ingezetenen;HP13: Categorale ziekenhuizen;2002;454
105;Totaal gezondheidsuitgaven ingezetenen;HP13: Categorale ziekenhuizen;2003;521
106;Totaal gezondheidsuitgaven ingezetenen;HP13: Categorale ziekenhuizen;2004;530
107;Totaal gezondheidsuitgaven ingezetenen;HP13: Categorale ziekenhuizen;2005;553
108;Totaal gezondheidsuitgaven ingezetenen;HP13: Categorale ziekenhuizen;2006;568
109;Totaal gezondheidsuitgaven ingezetenen;HP13: Categorale ziekenhuizen;2007;656
110;Totaal gezondheidsuitgaven ingezetenen;HP13: Categorale ziekenhuizen;2008;710
111;Totaal gezondheidsuitgaven ingezetenen;HP13: Categorale ziekenhuizen;2009;752
112;Totaal gezondheidsuitgaven ingezetenen;HP13: Categorale ziekenhuizen;2010;836
113;Totaal gezondheidsuitgaven ingezetenen;HP13: Categorale ziekenhuizen;2011;902
114;Totaal gezondheidsuitgaven ingezetenen;HP13: Categorale ziekenhuizen;2012;890
115;Totaal gezondheidsuitgaven ingezetenen;HP13: Categorale ziekenhuizen;2013;950
116;Totaal gezondheidsuitgaven ingezetenen;HP13: Categorale ziekenhuizen;2014;969
117;Totaal gezondheidsuitgaven ingezetenen;HP13: Categorale ziekenhuizen;2015;1000
118;Totaal gezondheidsuitgaven ingezetenen;HP13: Categorale ziekenhuizen;2016;1036
119;Totaal gezondheidsuitgaven ingezetenen;HP13: Categorale ziekenhuizen;2017;1051
120;Totaal gezondheidsuitgaven ingezetenen;HP13: Categorale ziekenhuizen;2018;1190
121;Totaal gezondheidsuitgaven ingezetenen;HP13: Categorale ziekenhuizen;2019;1265
122;Totaal gezondheidsuitgaven ingezetenen;HP13: Categorale ziekenhuizen;2020;1322
123;Totaal gezondheidsuitgaven ingezetenen;HP13: Categorale ziekenhuizen;2021;1374
124;Totaal gezondheidsuitgaven ingezetenen;HP13: Categorale ziekenhuizen;2022;1393
125;Totaal gezondheidsuitgaven ingezetenen;HP2: Instellingen langdurige zorg;1998;7877
126;Totaal gezondheidsuitgaven ingezetenen;HP2: Instellingen langdurige zorg;1999;8372
127;Totaal gezondheidsuitgaven ingezetenen;HP2: Instellingen langdurige zorg;2000;8974
