ID;Geslacht;Leeftijd;Arbeidskenmerken;LevenLangLeren;Perioden;WerkzameBeroepsbevolking15Tot75Jaar_1
0;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Totaal;2003;7783.0
1;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Totaal;2004;7761.0
2;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Totaal;2005;7818.0
3;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Totaal;2006;7938.0
4;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Totaal;2007;8169.0
5;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Totaal;2008;8358.0
6;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Totaal;2009;8361.0
7;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Totaal;2010;8278.0
8;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Totaal;2011;8280.0
9;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Totaal;2012;8330.0
10;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Totaal;2013;8266.0
11;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Totaal;2014;8214.0
12;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Totaal;2015;8294.0
13;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Totaal;2016;8403.0
14;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Totaal;2017;8579.0
15;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Totaal;2018;8774.0
16;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Totaal;2019;8953.0
17;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Totaal;2020;8951.0
18;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Totaal;2021;9255.0
19;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Deelname leven lang leren;2003;1972.0
20;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Deelname leven lang leren;2004;1915.0
21;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Deelname leven lang leren;2005;1903.0
22;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Deelname leven lang leren;2006;1959.0
23;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Deelname leven lang leren;2007;2127.0
24;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Deelname leven lang leren;2008;2230.0
25;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Deelname leven lang leren;2009;2217.0
26;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Deelname leven lang leren;2010;2179.0
27;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Deelname leven lang leren;2011;2198.0
28;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Deelname leven lang leren;2012;2205.0
29;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Deelname leven lang leren;2013;2265.0
30;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Deelname leven lang leren;2014;2282.0
31;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Deelname leven lang leren;2015;2366.0
32;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Deelname leven lang leren;2016;2381.0
33;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Deelname leven lang leren;2017;2465.0
34;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Deelname leven lang leren;2018;2505.0
35;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Deelname leven lang leren;2019;2585.0
36;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Deelname leven lang leren;2020;2481.0
37;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Deelname leven lang leren;2021;3322.0
38;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt formeel onderwijs;2003;1142.0
39;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt formeel onderwijs;2004;1152.0
40;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt formeel onderwijs;2005;1162.0
41;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt formeel onderwijs;2006;1215.0
42;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt formeel onderwijs;2007;1312.0
