ID;Afzet;Producten;Perioden;Indexcijfers_1;MaandOpMaandOntwikkeling_2;JaarOpJaarOntwikkeling_3;Indexcijfers_4;MaandOpMaandOntwikkeling_5;JaarOpJaarOntwikkeling_6
122;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2000 juni;98.4;1.4;;98.4;1.4;
123;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2000 juli;106.1;7.8;;106.1;7.8;
124;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2000 augustus;107.7;1.6;;107.7;1.6;
125;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2000 september;109.6;1.7;;109.6;1.7;
126;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2000 oktober;114.0;4.1;;114.0;4.1;
127;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2000 november;114.7;0.6;;114.7;0.6;
128;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2000 december;115.6;0.8;;115.6;0.8;
129;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2000;100.0;;;100.0;;
130;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2001 januari;120.1;3.9;50.7;120.1;3.9;50.7
131;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2001 februari;124.3;3.5;52.3;124.3;3.5;52.3
132;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2001 maart;124.2;-0.1;49.7;124.2;-0.1;49.7
133;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2001 april;118.4;-4.7;27.7;118.4;-4.7;27.7
134;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2001 mei;119.2;0.7;22.9;119.2;0.7;22.9
135;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2001 juni;120.9;1.4;22.9;120.9;1.4;22.9
136;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2001 juli;118.1;-2.2;11.4;118.1;-2.2;11.4
137;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2001 augustus;113.8;-3.7;5.6;113.8;-3.7;5.6
138;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2001 september;111.2;-2.3;1.5;111.2;-2.3;1.5
139;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2001 oktober;107.3;-3.5;-5.9;107.3;-3.5;-5.9
140;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2001 november;104.9;-2.2;-8.5;104.9;-2.2;-8.5
141;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2001 december;103.4;-1.4;-10.5;103.4;-1.4;-10.5
142;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2001;115.5;;15.5;115.5;;15.5
143;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2002 januari;100.4;-2.9;-16.4;100.4;-2.9;-16.4
144;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2002 februari;102.1;1.6;-17.9;102.1;1.6;-17.9
145;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2002 maart;101.4;-0.7;-18.4;101.4;-0.7;-18.4
146;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2002 april;102.4;1.0;-13.5;102.4;1.0;-13.5
147;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2002 mei;101.7;-0.7;-14.7;101.7;-0.7;-14.7
148;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2002 juni;98.9;-2.7;-18.2;98.9;-2.7;-18.2
149;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2002 juli;103.9;5.1;-12.0;103.9;5.1;-12.0
150;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2002 augustus;103.7;-0.3;-8.9;103.7;-0.3;-8.9
151;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2002 september;103.2;-0.4;-7.2;103.2;-0.4;-7.2
152;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2002 oktober;108.1;4.7;0.8;108.1;4.7;0.8
153;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2002 november;108.8;0.7;3.7;108.8;0.7;3.7
154;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2002 december;112.5;3.4;8.8;112.5;3.4;8.8
155;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2002;103.9;;-10.0;103.9;;-10.0
156;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2003 januari;117.1;4.1;16.6;117.1;4.1;16.6
157;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2003 februari;117.9;0.7;15.5;117.9;0.7;15.5
158;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2003 maart;116.7;-1.0;15.1;116.7;-1.0;15.1
159;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2003 april;117.2;0.4;14.4;117.2;0.4;14.4
160;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2003 mei;118.2;0.9;16.3;118.2;0.9;16.3
161;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2003 juni;118.9;0.5;20.2;118.9;0.5;20.2
162;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2003 juli;106.4;-10.5;2.3;106.4;-10.5;2.3
163;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2003 augustus;105.7;-0.7;1.9;105.7;-0.7;1.9
164;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2003 september;103.7;-1.8;0.5;103.7;-1.8;0.5
165;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2003 oktober;104.3;0.5;-3.5;104.3;0.5;-3.5
166;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2003 november;105.7;1.4;-2.8;105.7;1.4;-2.8
167;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2003 december;109.8;3.8;-2.4;109.8;3.8;-2.4
168;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2003;111.8;;7.6;111.8;;7.6
169;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2004 januari;107.7;-1.9;-8.0;107.7;-1.9;-8.0
170;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2004 februari;108.3;0.5;-8.2;108.3;0.5;-8.2
171;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2004 maart;107.8;-0.4;-7.6;107.8;-0.4;-7.6
172;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2004 april;105.9;-1.7;-9.6;105.9;-1.7;-9.6
173;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2004 mei;105.2;-0.7;-11.0;105.2;-0.7;-11.0
174;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2004 juni;105.8;0.6;-11.0;105.8;0.6;-11.0
175;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2004 juli;107.8;1.9;1.3;107.8;1.9;1.3
176;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2004 augustus;107.9;0.1;2.1;107.9;0.1;2.1
177;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2004 september;109.9;1.9;6.0;109.9;1.9;6.0
178;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2004 oktober;119.0;8.3;14.1;119.0;8.3;14.1
179;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2004 november;120.5;1.2;13.9;120.5;1.2;13.9
180;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2004 december;119.9;-0.4;9.2;119.9;-0.4;9.2
181;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2004;110.5;;-1.2;110.5;;-1.2
182;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2005 januari;128.9;7.5;19.7;128.9;7.5;19.7
183;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2005 februari;129.7;0.6;19.8;129.7;0.6;19.8
184;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2005 maart;131.5;1.4;21.9;131.5;1.4;21.9
185;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2005 april;137.7;4.7;29.9;137.7;4.7;29.9
186;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2005 mei;136.5;-0.9;29.7;136.5;-0.9;29.7
187;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2005 juni;140.6;3.0;32.9;140.6;3.0;32.9
188;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2005 juli;147.2;4.7;36.6;147.2;4.7;36.6
189;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2005 augustus;152.1;3.3;40.9;152.1;3.3;40.9
190;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2005 september;155.7;2.4;41.6;155.7;2.4;41.6
191;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2005 oktober;167.1;7.3;40.4;167.1;7.3;40.4
192;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2005 november;167.0;-0.1;38.6;167.0;-0.1;38.6
193;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2005 december;176.7;5.8;47.4;176.7;5.8;47.4
194;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2005;147.6;;33.6;147.6;;33.6
195;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2006 januari;184.4;4.4;43.1;184.4;4.4;43.1
196;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2006 februari;184.4;0.0;42.2;184.4;0.0;42.2
197;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2006 maart;186.6;1.2;42.0;186.6;1.2;42.0
198;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2006 april;192.7;3.3;40.0;192.7;3.3;40.0
199;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2006 mei;200.2;3.9;46.7;200.2;3.9;46.7
200;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2006 juni;200.0;-0.1;42.2;200.0;-0.1;42.2
201;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2006 juli;199.3;-0.3;35.4;199.3;-0.3;35.4
202;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2006 augustus;199.0;-0.2;30.8;199.0;-0.2;30.8
203;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2006 september;199.6;0.3;28.2;199.6;0.3;28.2
204;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2006 oktober;197.7;-0.9;18.3;197.7;-0.9;18.3
205;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2006 november;196.2;-0.8;17.5;196.2;-0.8;17.5
206;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2006 december;196.8;0.3;11.4;196.8;0.3;11.4
207;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2006;194.7;;32.0;194.7;;32.0
208;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2007 januari;199.0;1.1;7.9;199.0;1.1;7.9
209;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2007 februari;196.1;-1.5;6.3;196.1;-1.5;6.3
