ID;Leeftijd;Geboortegeneratie;Kinderen_1;k_1eKinderen_2;k_2eKinderen_3;k_3eKinderen_4;k_4OfVolgendeKinderen_5
0;Totaal over leeftijd 15-50;1935;2.49886;0.88315;0.78088;0.45633;0.3785
1;Totaal over leeftijd 15-50;1936;2.43154;0.88108;0.78079;0.4345;0.33517
2;Totaal over leeftijd 15-50;1937;2.40692;0.89766;0.78916;0.4245;0.2956
3;Totaal over leeftijd 15-50;1938;2.31703;0.87908;0.77775;0.40029;0.25991
4;Totaal over leeftijd 15-50;1939;2.26666;0.884;0.78078;0.38005;0.22183
5;Totaal over leeftijd 15-50;1940;2.21382;0.88123;0.78044;0.3564;0.19575
6;Totaal over leeftijd 15-50;1941;2.18308;0.9;0.77906;0.33615;0.16787
7;Totaal over leeftijd 15-50;1942;2.12353;0.88881;0.76159;0.31381;0.15932
8;Totaal over leeftijd 15-50;1943;2.08089;0.89658;0.76092;0.28776;0.13563
9;Totaal over leeftijd 15-50;1944;2.04654;0.89487;0.7592;0.27119;0.12128
10;Totaal over leeftijd 15-50;1945;1.99651;0.88313;0.74664;0.25081;0.11593
11;Totaal over leeftijd 15-50;1946;1.94643;0.88313;0.73633;0.23027;0.0967
12;Totaal over leeftijd 15-50;1947;1.91854;0.87203;0.72792;0.22357;0.09502
13;Totaal over leeftijd 15-50;1948;1.91693;0.87214;0.72104;0.22396;0.09979
14;Totaal over leeftijd 15-50;1949;1.88988;0.86079;0.70936;0.22181;0.09792
15;Totaal over leeftijd 15-50;1950;1.9006;0.85423;0.70269;0.2306;0.11308
16;Totaal over leeftijd 15-50;1951;1.87468;0.84665;0.69504;0.22953;0.10346
17;Totaal over leeftijd 15-50;1952;1.87533;0.84149;0.68886;0.23447;0.11051
18;Totaal over leeftijd 15-50;1953;1.86962;0.8366;0.68303;0.23798;0.11202
19;Totaal over leeftijd 15-50;1954;1.87648;0.83522;0.68176;0.24578;0.11372
20;Totaal over leeftijd 15-50;1955;1.86756;0.82907;0.6775;0.24883;0.11216
21;Totaal over leeftijd 15-50;1956;1.8742;0.8303;0.67835;0.2539;0.11166
22;Totaal over leeftijd 15-50;1957;1.87124;0.8277;0.67792;0.25617;0.10945
23;Totaal over leeftijd 15-50;1958;1.86728;0.8234;0.67528;0.257;0.1116
24;Totaal over leeftijd 15-50;1959;1.85524;0.82312;0.67158;0.2533;0.10724
25;Totaal over leeftijd 15-50;1960;1.86447;0.82714;0.67212;0.25516;0.11005
26;Totaal over leeftijd 15-50;1961;1.83487;0.82008;0.66617;0.24622;0.1024
27;Totaal over leeftijd 15-50;1962;1.83399;0.82238;0.66607;0.24394;0.1016
28;Totaal over leeftijd 15-50;1963;1.81554;0.82001;0.65981;0.23715;0.09856
29;Totaal over leeftijd 15-50;1964;1.80302;0.81817;0.65368;0.23313;0.09804
30;Totaal over leeftijd 15-50;1965;1.79856;0.81945;0.65312;0.22985;0.09614
31;Totaal over leeftijd 15-50;1966;1.78704;0.8186;0.64944;0.22516;0.09384
32;Totaal over leeftijd 15-50;1967;1.7792;0.81935;0.64579;0.22006;0.094
33;Totaal over leeftijd 15-50;1968;1.77564;0.82173;0.64101;0.21777;0.09512
34;Totaal over leeftijd 15-50;1969;1.76767;0.82095;0.63967;0.21333;0.09372
35;Totaal over leeftijd 15-50;1970;1.76386;0.81849;0.63867;0.21294;0.09377
36;Totaal over leeftijd 15-50;1971;1.75619;0.81365;0.63771;0.21125;0.09358
37;Totaal over leeftijd 15-50;1972;1.76001;0.80891;0.64128;0.21458;0.09524
38;Totaal over leeftijd 15-50;1973;1.76526;0.8124;0.64666;0.21135;0.09485
39;Totaal over leeftijd 15-50;1974;1.76946;0.81376;0.64792;0.21207;0.0957
40;Totaal over leeftijd 15-50;1975;1.76344;0.81076;0.64775;0.20827;0.09667
41;Totaal over leeftijd 15-50;1976;1.75768;0.80697;0.64748;0.20684;0.09639
42;Totaal over leeftijd 15-50;1977;1.76473;0.8133;0.64927;0.20538;0.09677
43;Totaal over leeftijd 15-50;1978;1.76657;0.81413;0.65027;0.2051;0.09707
44;Totaal over leeftijd 15-50;1979;1.76725;0.81478;0.65039;0.20491;0.09717
45;Totaal over leeftijd 15-50;1980;1.76993;0.81673;0.65103;0.20463;0.09754
46;Totaal over leeftijd 15-50;1981;1.76916;0.81567;0.65159;0.20425;0.09764
47;Totaal over leeftijd 15-50;1982;1.76942;0.81537;0.65209;0.20417;0.09779
48;Totaal over leeftijd 15-50;1983;1.76798;0.8138;0.65208;0.20413;0.09797
49;Totaal over leeftijd 15-50;1984;1.76657;0.81254;0.65205;0.20383;0.09816
50;Totaal over leeftijd 15-50;1985;1.76454;0.81083;0.65185;0.20359;0.09828
51;Totaal over leeftijd 15-50;1986;1.76225;0.809;0.65142;0.20342;0.09842
52;Totaal over leeftijd 15-50;1987;1.75995;0.80706;0.65122;0.20313;0.09855
53;Totaal over leeftijd 15-50;1988;1.75779;0.8053;0.65099;0.20285;0.09865
54;Totaal over leeftijd 15-50;1989;1.75606;0.80382;0.65081;0.20267;0.09876
55;Totaal over leeftijd 15-50;1990;1.75429;0.80233;0.65066;0.20248;0.09883
56;Totaal over leeftijd 15-50;1991;1.75262;0.8008;0.65061;0.20228;0.09894
57;Totaal over leeftijd 15-50;1992;1.75153;0.79978;0.65059;0.20212;0.09903
58;Totaal over leeftijd 15-50;1993;1.75075;0.79914;0.65057;0.20198;0.09906
59;Totaal over leeftijd 15-50;1994;1.7505;0.79887;0.65062;0.20184;0.09917
60;Totaal over leeftijd 15-50;1995;1.75033;0.79875;0.65064;0.20172;0.09922
61;Totaal over leeftijd 15-50;1996;1.75028;0.79872;0.65066;0.20159;0.09931
62;Totaal over leeftijd 15-50;1997;1.75019;0.79871;0.65068;0.20144;0.09936
63;Totaal over leeftijd 15-50;1998;1.75013;0.7987;0.65065;0.20136;0.09942
64;Totaal over leeftijd 15-50;1999;1.75009;0.79876;0.65062;0.20125;0.09946
65;Totaal over leeftijd 15-50;2000;1.75005;0.79877;0.65062;0.20115;0.09951
66;Totaal over leeftijd 15-50;2001;1.75005;0.79883;0.65062;0.20104;0.09956
67;Totaal over leeftijd 15-50;2002;1.75015;0.79894;0.6506;0.20096;0.09965
68;Totaal over leeftijd 15-50;2003;1.75021;0.79905;0.65059;0.20089;0.09968
69;Totaal over leeftijd 15-50;2004;1.75018;0.79912;0.65054;0.20081;0.09971
70;Totaal over leeftijd 15-50;2005;1.75015;0.79919;0.65049;0.20074;0.09973
71;Totaal over leeftijd 15-50;2006;1.75023;0.7993;0.65052;0.20063;0.09978
72;Totaal over leeftijd 15-50;2007;1.7503;0.79941;0.65045;0.2006;0.09984
73;Totaal over leeftijd 15-50;2008;1.75038;0.79956;0.65047;0.20051;0.09984
74;Totaal over leeftijd 15-50;2009;1.75038;0.79963;0.65045;0.20045;0.09985
75;Totaal over leeftijd 15-50;2010;1.75049;0.79974;0.65046;0.2004;0.09989
76;Totaal over leeftijd 15-50;2011;1.75043;0.79983;0.6504;0.20032;0.09988
77;Totaal over leeftijd 15-50;2012;1.75045;0.79992;0.65035;0.20026;0.09992
78;Totaal over leeftijd 15-50;2013;1.75042;0.79998;0.65034;0.20018;0.09992
79;Totaal over leeftijd 15-50;2014;1.75043;0.80002;0.65037;0.20013;0.09991
80;Totaal over leeftijd 15-50;2015;1.75039;0.80005;0.65035;0.20006;0.09993
81;Totaal over leeftijd 15-50;2016;1.75043;0.80008;0.65037;0.20005;0.09993
82;Totaal over leeftijd 15-50;2017;1.75037;0.8;0.65038;0.20005;0.09994
83;Totaal over leeftijd 15-50;2018;1.75021;0.79982;0.65036;0.20011;0.09992
84;Totaal over leeftijd 15-50;2019;1.75007;0.79959;0.65038;0.20019;0.09991
85;Totaal over leeftijd 15-50;2020;1.74994;0.79939;0.65038;0.20025;0.09992
86;15;1935;0.00027;0.00027;0.0;0.0;0.0
87;15;1936;0.00032;0.00032;0.0;0.0;0.0
88;15;1937;0.00024;0.00024;0.0;0.0;0.0
89;15;1938;0.00029;0.00029;0.0;0.0;0.0
90;15;1939;0.00029;0.00029;0.0;0.0;0.0
91;15;1940;0.00028;0.00028;0.0;0.0;0.0
92;15;1941;0.0003;0.0003;0.0;0.0;0.0
93;15;1942;0.00054;0.00054;0.0;0.0;0.0
94;15;1943;0.00053;0.00053;0.0;0.0;0.0
95;15;1944;0.0005;0.0005;0.0;0.0;0.0
96;15;1945;0.00054;0.00054;0.0;0.0;0.0
97;15;1946;0.00061;0.00061;0.0;0.0;0.0
98;15;1947;0.00054;0.00054;0.0;0.0;0.0
99;15;1948;0.00052;0.00052;0.0;0.0;0.0
100;15;1949;0.00069;0.00069;0.0;0.0;0.0
101;15;1950;0.00054;0.00054;0.0;0.0;0.0
102;15;1951;0.00074;0.00074;0.0;0.0;0.0
103;15;1952;0.00076;0.00076;0.0;0.0;0.0
104;15;1953;0.00078;0.00078;0.0;0.0;0.0
105;15;1954;0.00087;0.00087;0.0;0.0;0.0
106;15;1955;0.0008;0.0008;0.0;0.0;0.0
107;15;1956;0.00088;0.00087;1e-05;0.0;0.0
108;15;1957;0.00083;0.00083;0.0;0.0;0.0
109;15;1958;0.00058;0.00058;0.0;0.0;0.0
110;15;1959;0.00058;0.00055;3e-05;0.0;0.0
111;15;1960;0.0005;0.00049;1e-05;0.0;0.0
112;15;1961;0.00045;0.00045;0.0;0.0;0.0
113;15;1962;0.00043;0.00043;0.0;0.0;0.0
114;15;1963;0.00046;0.00046;0.0;0.0;0.0
115;15;1964;0.00046;0.00045;1e-05;0.0;0.0
116;15;1965;0.00044;0.00044;0.0;0.0;0.0
117;15;1966;0.00035;0.00035;0.0;0.0;0.0
118;15;1967;0.0005;0.0005;0.0;0.0;0.0
119;15;1968;0.00037;0.00037;0.0;0.0;0.0
120;15;1969;0.0003;0.0003;0.0;0.0;0.0
121;15;1970;0.00034;0.00033;1e-05;0.0;0.0
122;15;1971;0.00043;0.00043;0.0;0.0;0.0
123;15;1972;0.00041;0.00041;0.0;0.0;0.0
124;15;1973;0.00037;0.00036;1e-05;0.0;0.0
125;15;1974;0.00041;0.00041;0.0;0.0;0.0
126;15;1975;0.00041;0.00041;0.0;0.0;0.0
127;15;1976;0.00048;0.00045;2e-05;0.0;1e-05
128;15;1977;0.00051;0.0005;1e-05;0.0;0.0
129;15;1978;0.00046;0.00046;0.0;0.0;0.0
130;15;1979;0.00039;0.00037;2e-05;0.0;0.0
131;15;1980;0.00034;0.00034;0.0;0.0;0.0
132;15;1981;0.00039;0.00039;0.0;0.0;0.0
133;15;1982;0.00044;0.00044;0.0;0.0;0.0
134;15;1983;0.00042;0.00041;1e-05;0.0;0.0
135;15;1984;0.0004;0.0004;0.0;0.0;0.0
136;15;1985;0.00053;0.00051;2e-05;0.0;0.0
137;15;1986;0.00052;0.00052;0.0;0.0;0.0
138;15;1987;0.00049;0.00049;0.0;0.0;0.0
139;15;1988;0.00046;0.00046;0.0;0.0;0.0
140;15;1989;0.00043;0.00043;0.0;0.0;0.0
141;15;1990;0.0004;0.0004;0.0;0.0;0.0
142;15;1991;0.00038;0.00038;0.0;0.0;0.0
143;15;1992;0.00035;0.00035;0.0;0.0;0.0
144;15;1993;0.00032;0.00032;0.0;0.0;0.0
145;15;1994;0.00029;0.00029;0.0;0.0;0.0
146;15;1995;0.00023;0.00023;0.0;0.0;0.0
147;15;1996;0.00022;0.00022;0.0;0.0;0.0
148;15;1997;0.00022;0.00022;0.0;0.0;0.0
149;15;1998;0.00021;0.00021;0.0;0.0;0.0
150;15;1999;0.0002;0.0002;0.0;0.0;0.0
