ID;ExportBehavior;Periods;ExportGrowth_1;ContributionToTotalExportGrowth_2
0;Total;2012;20358508.0;5.0
1;Total;2013;3389471.0;0.8
2;Total;2014;299443.0;0.1
3;Total;2015;;
4;Total;2016;4245625.0;1.0
5;Total;2017;44206192.0;10.4
6;Total;2018;30440281.0;6.5
7;Total;2019;17390024.0;3.5
8;Total;2020;-32551398.0;-6.3
9;Total;2021;103928826.0;21.5
10;Total;2022;;
11;Increase: entering export markets;2012;8536591.0;2.1
12;Increase: entering export markets;2013;6916388.0;1.6
13;Increase: entering export markets;2014;5759812.0;1.3
14;Increase: entering export markets;2015;;
15;Increase: entering export markets;2016;7946996.0;1.9
16;Increase: entering export markets;2017;3217308.0;0.8
17;Increase: entering export markets;2018;2130993.0;0.5
18;Increase: entering export markets;2019;5511158.0;1.1
19;Increase: entering export markets;2020;2629477.0;0.5
20;Increase: entering export markets;2021;9833379.0;2.0
21;Increase: entering export markets;2022;;
22;Increase: existing combo product/country;2012;59766518.0;14.6
23;Increase: existing combo product/country;2013;56727190.0;13.2
24;Increase: existing combo product/country;2014;54548136.0;12.6
25;Increase: existing combo product/country;2015;;
26;Increase: existing combo product/country;2016;49518101.0;11.8
27;Increase: existing combo product/country;2017;65552043.0;15.5
28;Increase: existing combo product/country;2018;64661381.0;13.8
29;Increase: existing combo product/country;2019;61994297.0;12.5
30;Increase: existing combo product/country;2020;56263302.0;10.9
31;Increase: existing combo product/country;2021;100167466.0;20.8
32;Increase: existing combo product/country;2022;;
33;Increase: existing product, new country;2012;8876962.0;2.2
34;Increase: existing product, new country;2013;7140706.0;1.7
35;Increase: existing product, new country;2014;9908868.0;2.3
36;Increase: existing product, new country;2015;;
37;Increase: existing product, new country;2016;8098779.0;1.9
38;Increase: existing product, new country;2017;8182344.0;1.9
39;Increase: existing product, new country;2018;6843950.0;1.5
40;Increase: existing product, new country;2019;7362898.0;1.5
41;Increase: existing product, new country;2020;7574517.0;1.5
42;Increase: existing product, new country;2021;36856942.0;7.6
43;Increase: existing product, new country;2022;;
44;Increase: new product, existing country;2012;5764946.0;1.4
45;Increase: new product, existing country;2013;2525245.0;0.6
46;Increase: new product, existing country;2014;2823934.0;0.7
47;Increase: new product, existing country;2015;;
