ID;Geslacht;Leeftijd;Herkomstland;Geboorteland;RegioS;Perioden;Bevolking_1
0;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Nederland;2022;17590672.0
1;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Nederland;2023;17811291.0
2;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Nederland;2024;17942942.0
3;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Noord-Nederland (LD);2022;1741932.0
4;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Noord-Nederland (LD);2023;1757677.0
5;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Noord-Nederland (LD);2024;1767380.0
6;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Oost-Nederland (LD);2022;3717153.0
7;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Oost-Nederland (LD);2023;3762742.0
8;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Oost-Nederland (LD);2024;3788930.0
9;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;West-Nederland (LD);2022;8420411.0
10;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;West-Nederland (LD);2023;8536295.0
11;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;West-Nederland (LD);2024;8608638.0
12;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Zuid-Nederland (LD);2022;3711176.0
13;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Zuid-Nederland (LD);2023;3754577.0
14;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Zuid-Nederland (LD);2024;3777994.0
15;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Groningen (PV);2022;590170.0
16;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Groningen (PV);2023;596075.0
17;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Groningen (PV);2024;601347.0
18;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Fryslân (PV);2022;654019.0
19;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Fryslân (PV);2023;659551.0
20;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Fryslân (PV);2024;661904.0
21;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Drenthe (PV);2022;497743.0
22;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Drenthe (PV);2023;502051.0
23;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Drenthe (PV);2024;504129.0
24;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Overijssel (PV);2022;1171910.0
