ID;Geslacht;Leeftijden;TypeZorg;RegioS;Perioden;AantalInVerslagjaar_1;PercentageInVerslagjaar_2;TotaalUrenInVerslagjaar_3;GemiddeldPerPersoonInVerslagjaar_4;GemiddeldInBevolkingInVerslagjaar_5
0;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Nederland;2004;608095;4.77;89515;147;7.02
1;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Nederland;2005;595375;4.66;90493;152;7.08
2;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Nederland;2006;607575;4.74;95031;156;7.42
3;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Nederland;2007;610180;4.76;95279;156;7.43
4;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Nederland;2008;620190;4.79;96447;156;7.44
5;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Nederland;2009;620890;4.76;99194;160;7.6
6;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Nederland;2010;629155;4.79;101725;162;7.74
7;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;4 grote gemeenten;2004;79270;4.79;12060;152;7.28
8;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;4 grote gemeenten;2005;76765;4.63;12142;158;7.32
9;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;4 grote gemeenten;2006;77580;4.7;12462;161;7.54
10;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;4 grote gemeenten;2007;76425;4.64;12000;157;7.28
11;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;4 grote gemeenten;2008;74780;4.46;11661;156;6.95
12;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;4 grote gemeenten;2009;73370;4.32;11399;155;6.72
13;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;4 grote gemeenten;2010;73465;4.28;12142;165;7.07
14;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Overige gemeenten;2004;528825;4.77;77455;146;6.99
15;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Overige gemeenten;2005;518610;4.66;78351;151;7.04
16;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Overige gemeenten;2006;529995;4.75;82568;156;7.4
17;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Overige gemeenten;2007;533755;4.77;83280;156;7.45
18;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Overige gemeenten;2008;545410;4.84;84786;155;7.52
19;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Overige gemeenten;2009;547515;4.82;87795;160;7.73
20;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Overige gemeenten;2010;555690;4.87;89584;161;7.85
21;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Nederland;2004;169795;1.33;16552;97;1.3
22;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Nederland;2005;219245;1.71;24001;109;1.88
23;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Nederland;2006;234270;1.83;26167;112;2.04
24;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Nederland;2007;237020;1.85;26770;113;2.09
