ID;ConsumptionByHouseholds;Periods;Indices_1;VolumeChanges_2;VolumeChangesShoppingdayAdjusted_3;Indices_4;ValueChanges_5;PriceChanges_6
0;Domestic consumption by households;2000;93.7;3.6;3.6;72.8;6.7;2.9
1;Domestic consumption by households;2001;95.5;1.9;2.1;76.6;5.3;3.3
2;Domestic consumption by households;2002;96.6;1.1;1.1;80.1;4.6;3.4
3;Domestic consumption by households;2003;96.5;-0.1;-0.1;81.9;2.2;2.3
4;Domestic consumption by households;2004;97.5;1.0;0.8;83.8;2.3;1.3
5;Domestic consumption by households;2005;98.4;0.9;1.1;86.1;2.8;1.8
6;Domestic consumption by households;2006;98.3;-0.1;0.0;88.4;2.6;2.7
7;Domestic consumption by households;2007;100.3;2.0;1.9;91.9;4.0;2.0
8;Domestic consumption by households;2008;100.8;0.6;0.4;94.5;2.8;2.2
9;Domestic consumption by households;2009;98.7;-2.2;-2.0;91.2;-3.6;-1.4
10;Domestic consumption by households;2010;99.1;0.4;0.4;93.0;2.0;1.6
11;Domestic consumption by households;2011;99.3;0.2;0.2;95.1;2.2;2.0
12;Domestic consumption by households;2012;98.2;-1.1;-1.1;95.1;0.1;1.2
13;Domestic consumption by households;2013;97.4;-0.8;-0.7;96.4;1.3;2.1
14;Domestic consumption by households;2014;97.9;0.5;0.5;97.7;1.4;0.9
15;Domestic consumption by households;2015;100.0;2.1;2.1;100.0;2.4;0.2
16;Domestic consumption by households;2016;101.4;1.4;1.2;102.1;2.1;0.7
17;Domestic consumption by households;2017;103.6;2.2;2.5;105.7;3.6;1.3
18;Domestic consumption by households;2018;106.2;2.4;2.4;110.6;4.6;2.1
19;Domestic consumption by households;2019;107.4;1.1;1.1;114.8;3.8;2.6
20;Domestic consumption by households;2020;101.1;-5.9;-6.0;109.6;-4.6;1.4
21;Domestic consumption by households;2000 January;95.0;3.6;4.0;72.0;6.3;2.6
22;Domestic consumption by households;2000 February;92.1;5.5;4.4;69.7;8.9;3.2
23;Domestic consumption by households;2000 March;97.0;5.8;4.5;74.5;8.6;2.6
24;Domestic consumption by households;2000 1st quarter;94.7;5.0;4.3;72.1;7.9;2.8
25;Domestic consumption by households;2000 April;93.8;3.6;4.4;72.3;6.5;2.8
26;Domestic consumption by households;2000 May;94.9;4.3;3.9;74.2;7.8;3.4
27;Domestic consumption by households;2000 June;93.1;2.9;2.3;72.6;6.2;3.2
28;Domestic consumption by households;2000 2nd quarter;94.0;3.6;3.6;73.0;6.8;3.1
29;Domestic consumption by households;2000 July;92.0;-0.1;1.8;71.6;2.6;2.7
30;Domestic consumption by households;2000 August;92.0;5.5;3.8;71.6;8.2;2.5
31;Domestic consumption by households;2000 September;92.9;4.1;3.4;72.8;7.3;3.1
32;Domestic consumption by households;2000 3rd quarter;92.3;3.1;3.0;72.0;6.0;2.8
33;Domestic consumption by households;2000 October;91.2;1.0;2.3;72.5;4.0;2.9
34;Domestic consumption by households;2000 November;92.7;3.9;3.3;73.2;7.5;3.4
35;Domestic consumption by households;2000 December;97.6;3.7;4.6;76.2;6.9;3.1
36;Domestic consumption by households;2000 4th quarter;93.8;2.9;3.4;74.0;6.1;3.1
37;Domestic consumption by households;2001 January;96.8;1.9;1.8;75.6;5.0;3.0
38;Domestic consumption by households;2001 February;92.5;0.4;1.8;72.0;3.3;2.9
39;Domestic consumption by households;2001 March;99.2;2.3;2.1;78.7;5.6;3.3
40;Domestic consumption by households;2001 1st quarter;96.2;1.5;1.9;75.4;4.7;3.1
41;Domestic consumption by households;2001 April;94.1;0.2;1.2;75.0;3.8;3.6
42;Domestic consumption by households;2001 May;97.5;2.7;2.1;78.8;6.2;3.4
43;Domestic consumption by households;2001 June;96.0;3.1;2.7;77.2;6.3;3.1
44;Domestic consumption by households;2001 2nd quarter;95.8;2.0;2.0;77.0;5.5;3.4
45;Domestic consumption by households;2001 July;93.8;1.9;2.3;75.3;5.1;3.1
46;Domestic consumption by households;2001 August;94.6;2.8;2.3;76.0;6.1;3.3
47;Domestic consumption by households;2001 September;93.9;1.0;2.5;76.0;4.4;3.3
48;Domestic consumption by households;2001 3rd quarter;94.1;1.9;2.4;75.8;5.2;3.2
49;Domestic consumption by households;2001 October;94.0;3.2;2.3;77.4;6.8;3.6
50;Domestic consumption by households;2001 November;95.7;3.2;2.9;78.0;6.6;3.3
51;Domestic consumption by households;2001 December;98.4;0.8;1.4;79.4;4.2;3.4
52;Domestic consumption by households;2001 4th quarter;96.0;2.3;2.2;78.3;5.8;3.4
53;Domestic consumption by households;2002 January;98.9;2.1;1.6;80.1;6.0;3.8
54;Domestic consumption by households;2002 February;93.7;1.3;1.3;75.6;5.0;3.6
55;Domestic consumption by households;2002 March;99.9;0.7;1.5;82.0;4.3;3.5
56;Domestic consumption by households;2002 1st quarter;97.5;1.4;1.5;79.2;5.1;3.6
57;Domestic consumption by households;2002 April;95.8;1.9;1.4;79.1;5.4;3.5
58;Domestic consumption by households;2002 May;98.9;1.5;0.9;82.5;4.6;3.1
59;Domestic consumption by households;2002 June;96.4;0.4;1.7;80.1;3.8;3.4
60;Domestic consumption by households;2002 2nd quarter;97.0;1.2;1.4;80.6;4.6;3.3
61;Domestic consumption by households;2002 July;95.3;1.6;0.7;79.4;5.4;3.7
62;Domestic consumption by households;2002 August;95.6;1.1;0.7;79.7;4.9;3.8
63;Domestic consumption by households;2002 September;94.0;0.1;0.9;78.8;3.6;3.5
64;Domestic consumption by households;2002 3rd quarter;95.0;0.9;0.8;79.3;4.7;3.7
65;Domestic consumption by households;2002 October;95.9;1.9;1.4;81.5;5.3;3.3
66;Domestic consumption by households;2002 November;95.8;0.1;-0.4;80.4;3.1;3.0
67;Domestic consumption by households;2002 December;98.7;0.4;1.1;82.2;3.4;3.0
68;Domestic consumption by households;2002 4th quarter;96.8;0.8;0.7;81.4;3.9;3.1
