ID;Geslacht;TypeZelfstandige;SociaaleconomischePositieBijUitstroom;Persoonskenmerken;BedrijfstakkenBranchesSBI2008;Perioden;StoppendeZelfstandigen_1
0;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2012;188.8
1;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2013;199.9
2;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2014;195.2
3;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2015;195.1
4;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2016;189.8
5;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2017;187.7
6;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2018;195.0
7;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2019;202.6
8;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2020;252.8
9;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2021;223.6
10;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2022;258.6
11;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-E Nijverheid (geen bouw) en energie;2012;3.3
12;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-E Nijverheid (geen bouw) en energie;2013;3.6
13;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-E Nijverheid (geen bouw) en energie;2014;3.1
14;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-E Nijverheid (geen bouw) en energie;2015;3.2
