ID;Population;Sex;PersonalCharacteristics;ModesOfTravel;Margins;RegionCharacteristics;Periods;Trips_1;DistanceTravelled_2;TimeTravelled_3;Trips_4;DistanceTravelled_5;TimeTravelled_6
0;Population 6 years or older;Total male and female;Total persons;Total;Value;The Netherlands;2018;2.78;36.16;74.6;1015.0;13200.0;453.8
1;Population 6 years or older;Total male and female;Total persons;Total;Value;The Netherlands;2019;2.71;36.0;74.39;989.0;13140.0;452.6
2;Population 6 years or older;Total male and female;Total persons;Total;Value;The Netherlands;2020;2.35;24.88;61.96;861.0;9105.0;378.0
3;Population 6 years or older;Total male and female;Total persons;Total;Value;The Netherlands;2021;2.51;27.24;69.85;915.0;9942.0;424.9
4;Population 6 years or older;Total male and female;Total persons;Total;Value;The Netherlands;2022;2.7;30.21;72.69;984.0;11027.0;442.2
5;Population 6 years or older;Total male and female;Total persons;Total;Value;The Netherlands;2023;2.72;31.97;73.51;992.0;11669.0;447.2
6;Population 6 years or older;Total male and female;Total persons;Total;Value;Noord-Nederland (LD);2018;2.77;40.99;74.28;1011.0;14962.0;451.9
7;Population 6 years or older;Total male and female;Total persons;Total;Value;Noord-Nederland (LD);2019;2.68;41.33;74.88;979.0;15086.0;455.5
8;Population 6 years or older;Total male and female;Total persons;Total;Value;Noord-Nederland (LD);2020;2.4;28.18;61.99;878.0;10314.0;378.1
9;Population 6 years or older;Total male and female;Total persons;Total;Value;Noord-Nederland (LD);2021;2.5;31.52;70.2;911.0;11506.0;427.1
10;Population 6 years or older;Total male and female;Total persons;Total;Value;Noord-Nederland (LD);2022;2.68;35.19;74.38;980.0;12843.0;452.5
11;Population 6 years or older;Total male and female;Total persons;Total;Value;Noord-Nederland (LD);2023;2.72;35.08;72.11;993.0;12803.0;438.6
12;Population 6 years or older;Total male and female;Total persons;Total;Value;Oost-Nederland (LD);2018;2.84;38.75;74.15;1038.0;14142.0;451.1
13;Population 6 years or older;Total male and female;Total persons;Total;Value;Oost-Nederland (LD);2019;2.76;38.61;74.06;1008.0;14091.0;450.6
14;Population 6 years or older;Total male and female;Total persons;Total;Value;Oost-Nederland (LD);2020;2.43;27.24;62.24;889.0;9970.0;379.7
15;Population 6 years or older;Total male and female;Total persons;Total;Value;Oost-Nederland (LD);2021;2.57;29.57;69.55;939.0;10794.0;423.1
16;Population 6 years or older;Total male and female;Total persons;Total;Value;Oost-Nederland (LD);2022;2.82;32.97;73.49;1030.0;12032.0;447.1
17;Population 6 years or older;Total male and female;Total persons;Total;Value;Oost-Nederland (LD);2023;2.82;34.85;73.35;1030.0;12719.0;446.2
18;Population 6 years or older;Total male and female;Total persons;Total;Value;West-Nederland (LD);2018;2.75;34.57;76.13;1005.0;12618.0;463.2
19;Population 6 years or older;Total male and female;Total persons;Total;Value;West-Nederland (LD);2019;2.68;34.61;76.31;977.0;12632.0;464.2
20;Population 6 years or older;Total male and female;Total persons;Total;Value;West-Nederland (LD);2020;2.27;23.41;62.4;830.0;8568.0;380.6
21;Population 6 years or older;Total male and female;Total persons;Total;Value;West-Nederland (LD);2021;2.46;25.82;71.02;897.0;9425.0;432.0
22;Population 6 years or older;Total male and female;Total persons;Total;Value;West-Nederland (LD);2022;2.63;28.0;72.55;959.0;10219.0;441.4
23;Population 6 years or older;Total male and female;Total persons;Total;Value;West-Nederland (LD);2023;2.64;30.0;74.27;963.0;10948.0;451.8
24;Population 6 years or older;Total male and female;Total persons;Total;Value;Zuid-Nederland (LD);2018;2.79;34.91;71.77;1018.0;12741.0;436.6
25;Population 6 years or older;Total male and female;Total persons;Total;Value;Zuid-Nederland (LD);2019;2.74;34.04;70.18;1001.0;12425.0;426.9
26;Population 6 years or older;Total male and female;Total persons;Total;Value;Zuid-Nederland (LD);2020;2.44;24.29;60.69;895.0;8889.0;370.2
27;Population 6 years or older;Total male and female;Total persons;Total;Value;Zuid-Nederland (LD);2021;2.55;26.1;67.35;932.0;9527.0;409.7
28;Population 6 years or older;Total male and female;Total persons;Total;Value;Zuid-Nederland (LD);2022;2.73;30.15;71.41;998.0;11004.0;434.4
29;Population 6 years or older;Total male and female;Total persons;Total;Value;Zuid-Nederland (LD);2023;2.79;32.12;72.59;1019.0;11725.0;441.6
30;Population 6 years or older;Total male and female;Total persons;Total;Value;Groningen (PV);2018;2.81;37.46;73.7;1024.0;13675.0;448.4
31;Population 6 years or older;Total male and female;Total persons;Total;Value;Groningen (PV);2019;2.63;39.76;75.17;961.0;14514.0;457.3
