ID;Geslacht;Persoonskenmerken;Arbeidsmarktpositie;LevenLangLeren;Perioden;Bevolking15Tot75Jaar_1
0;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Totaal;2003;12116
1;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Totaal;2004;12155
2;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Totaal;2005;12190
3;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Totaal;2006;12221
4;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Totaal;2007;12257
5;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Totaal;2008;12315
6;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Totaal;2009;12372
7;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Totaal;2010;12412
8;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Totaal;2011;12452
9;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Totaal;2012;12541
10;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Totaal;2013;12638
11;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Totaal;2014;12665
12;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Totaal;2015;12685
13;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Totaal;2016;12768
14;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Totaal;2017;12870
15;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Totaal;2018;12936
16;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Totaal;2019;13015
17;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Totaal;2020;13094
18;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Totaal;2021;13147
