ID;Geslacht;Niveau;Leerweg;Sectorkamer;Persoonskenmerken;MaatschappelijkePositie1JaarEerder;Perioden;InstromersTotaal_1
0;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Totaal instromers;2018/'19;165980
1;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Totaal instromers;2019/'20;165320
2;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Totaal instromers;2020/'21;161060
3;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Totaal instromers;2021/'22;153740
4;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Totaal instromers;2022/'23;151070
5;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Totaal instromers;2023/'24;153180
6;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Onderwijsvolgend;2018/'19;114730
7;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Onderwijsvolgend;2019/'20;113740
8;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Onderwijsvolgend;2020/'21;112610
9;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Onderwijsvolgend;2021/'22;104960
10;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Onderwijsvolgend;2022/'23;103890
11;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Onderwijsvolgend;2023/'24;105190
12;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Speciale scholen: vso;2018/'19;3590
13;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Speciale scholen: vso;2019/'20;3380
14;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Speciale scholen: vso;2020/'21;3750
15;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Speciale scholen: vso;2021/'22;3700
16;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Speciale scholen: vso;2022/'23;3550
17;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Speciale scholen: vso;2023/'24;3510
18;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Praktijkonderwijs;2018/'19;3360
19;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Praktijkonderwijs;2019/'20;3560
